object,day,profile_valid,profile_mean,profile_spatial_std,profile_amplitude,axis_lat,centroid_lat,spread_lat,NS_contrast,raw_profile_daily_speed
P,65,True,6.311470190094209,2.719133673434072,8.048712781892464,25.0,24.811472784172597,6.132257623257913,-2.9602562123960627,0.2178656005023705
P,66,True,6.389482737318937,2.8020776968890084,8.418032479631414,25.0,24.694439715283714,6.097673180803031,-3.2296976320273645,0.16671902408596026
P,67,True,6.486373506493896,2.8396094542538926,8.429258080557918,25.0,24.68784628209866,6.103689121602731,-3.2746396802781135,0.11580237755242241
P,68,True,6.638518732165061,2.8987683056362963,8.773849093334427,25.0,24.71293790776077,6.091278036356674,-3.3539634158151843,0.18759747380854422
P,69,True,6.7752504569264245,2.9571931465661834,8.920573252204205,25.0,24.774307641393687,6.090986568283034,-3.3156880494391148,0.1707196147346081
P,70,True,6.815102111071268,2.981611286152608,8.94776445402457,25.0,24.801014578429893,6.080975326803041,-3.200743763419518,0.11775610060115076
P,71,True,6.833009376647066,2.95512275723181,8.852401449665427,25.0,24.831382152982112,6.115941454879609,-3.0765636991609577,0.14175639370747778
P,72,True,6.871154723262127,2.9616968186619377,8.786441932344491,25.0,24.841522515183666,6.144934726017865,-3.002789647372186,0.14795621225564054
P,73,True,6.875151015112505,2.9155225683113577,8.523670644866238,25.0,24.884186221195147,6.18012416992235,-2.8115564887864783,0.1770039808201698
P,74,True,6.8290844440409915,2.834467574982443,8.320002936124984,27.0,24.979947540380103,6.226403339485189,-2.502103517649063,0.2116077784774028
V,0,False,,,,,,,,
V,1,False,,,,,,,,
V,2,False,,,,,,,,
V,3,False,,,,,,,,
V,4,True,1.4456843625937634,1.4277767562510075,4.553823588626683,24.0,22.696050784825957,3.6746812183523856,2.031185498441061,
V,5,True,1.4993938026323068,1.4530012638630603,4.635353995838357,24.0,22.720527771488463,3.699559293886321,2.078511862577695,0.06297104166851746
V,6,True,1.5165037330587798,1.4485105360195163,4.6247464954593,24.0,22.7097491744693,3.706267804527494,2.065955109912482,0.021716077304106945
V,7,True,1.4749044746179336,1.4269036614386272,4.533479481361405,24.0,22.599383352240302,3.6540540519560425,1.9799106863517313,0.07043560202334165
V,8,True,1.413335509410227,1.3905102636384328,4.396251495345848,24.0,22.44746596532608,3.596313968775692,1.8557589546488085,0.09387235031217026
V,9,True,1.351048654829192,1.3507099791399895,4.240180526103762,24.0,22.368890853654204,3.555823680206898,1.7681965140491054,0.07989580024281352
V,10,True,1.3487133704510712,1.3303687256681584,4.181506988991332,24.0,22.40614679275536,3.580016168049184,1.7598226087250952,0.025436164655707284
V,11,True,1.386866214254477,1.3308146491665935,4.194461689495265,24.0,22.489129781304307,3.6395240964119338,1.7984009673073358,0.05239117808445613
V,12,True,1.4233341739993994,1.3299911413023253,4.195151258180191,24.0,22.52632329047688,3.680549031379226,1.8164803002167473,0.04007820478975966
V,13,True,1.4474686958021092,1.3207347874452917,4.167638942791735,24.0,22.55559772703019,3.716177856177733,1.8204043175160196,0.029489431089063572
V,14,True,1.4765452357500368,1.2981188313853527,4.100793923644689,24.0,22.5466751858598,3.7727077117646974,1.7932983811923233,0.03808290969445253
V,15,True,1.540073821346186,1.2981235332361498,4.113073068143142,24.0,22.585953066048198,3.841102511332834,1.8191774514537478,0.06922433238559422
V,16,True,1.6185371713454284,1.2925117030737703,4.127208486381682,24.0,22.561685790686887,3.948478568038957,1.8187431973200758,0.08086730318469904
V,17,True,1.6677249921354043,1.2796791259058764,4.108479560802324,24.0,22.59656681950154,4.044179913103378,1.8363940647279906,0.06323921238019645
V,18,True,1.735445656708454,1.2851601984604732,4.1472743708006385,24.0,22.622683273428034,4.12419815045902,1.872500067051309,0.07602372597056133
V,19,True,1.7999919769674877,1.3055555876969676,4.221416496735213,24.0,22.58739821682984,4.168256747734403,1.8968523892818574,0.06964561554638739
V,20,True,1.7805904729652156,1.2863464167598286,4.16781588664907,24.0,22.46028732603883,4.170178305483882,1.815303520792488,0.05906581503979666
V,21,True,1.6849150022496984,1.2341621177214326,4.00706838461795,24.0,22.355670378236958,4.14157332154883,1.687774468400611,0.11888822712926006
V,22,True,1.6297884202961221,1.187760034745906,3.86323081967064,24.0,22.319114533762125,4.152873668280389,1.6125813903907233,0.07376600231754989
V,23,True,1.6112918966672003,1.1623312782145836,3.7903161445145654,24.0,22.30550213587143,4.17280724657957,1.574853984332104,0.033398940690132814
V,24,True,1.612808233038713,1.128016197417865,3.6835887024670937,24.0,22.24824665121565,4.22653912715164,1.5132825940938095,0.03775106249190892
