window_id,target_pair,target_set,score_phase,year,score,score_z,Y_delta,order_label,peak_A,peak_B
W113,P-Jw,exploratory_full_pair,mid,1984,-0.31565993181324853,-0.31565993181324853,1.0,A_earlier,121.0,122.0
W113,P-Jw,exploratory_full_pair,mid,1979,-0.3133554528639086,-0.3133554528639086,3.0,A_earlier,116.0,119.0
W113,P-Jw,exploratory_full_pair,mid,1986,-0.3012130099696276,-0.3012130099696276,-2.0,B_earlier,110.0,108.0
W113,P-Jw,exploratory_full_pair,mid,1994,-0.1142395691546462,-0.1142395691546462,-4.0,B_earlier,107.0,103.0
W113,P-Jw,exploratory_full_pair,mid,1997,-0.11324961836621326,-0.11324961836621326,-3.0,B_earlier,111.0,108.0
W113,P-Jw,exploratory_full_pair,mid,2004,-0.09247871633992723,-0.09247871633992723,1.0,A_earlier,110.0,111.0
W113,P-Jw,exploratory_full_pair,mid,2012,-0.031166759331618953,-0.031166759331618953,3.0,A_earlier,109.0,112.0
W113,P-Jw,exploratory_full_pair,mid,2008,-0.015133711091789947,-0.015133711091789947,-6.0,B_earlier,118.0,112.0
W113,P-Jw,exploratory_full_pair,mid,1987,-0.010223322307854733,-0.010223322307854733,-3.0,B_earlier,113.0,110.0
W113,P-Jw,exploratory_full_pair,mid,2015,-0.007642727839065016,-0.007642727839065016,-1.0,B_earlier,116.0,115.0
W113,P-Jw,exploratory_full_pair,mid,1996,0.04275370848131052,0.04275370848131052,2.0,A_earlier,109.0,111.0
W113,P-Jw,exploratory_full_pair,mid,2011,0.07370760470853657,0.07370760470853657,1.0,A_earlier,111.0,112.0
W113,P-Jw,exploratory_full_pair,mid,2009,0.09941867533943807,0.09941867533943807,2.0,A_earlier,112.0,114.0
W113,P-Jw,exploratory_full_pair,mid,1998,0.41633044360608307,0.41633044360608307,2.0,A_earlier,105.0,107.0
W113,P-Jw,exploratory_full_pair,high,1985,0.4435012543872941,0.4435012543872941,4.0,A_earlier,110.0,114.0
W113,P-Jw,exploratory_full_pair,high,2007,0.4661010770987648,0.4661010770987648,23.0,A_earlier,99.0,122.0
W113,P-Jw,exploratory_full_pair,high,2014,0.5856826553522434,0.5856826553522434,-3.0,B_earlier,109.0,106.0
W113,P-Jw,exploratory_full_pair,high,1991,0.6440509598203802,0.6440509598203802,-1.0,B_earlier,120.0,119.0
W113,P-Jw,exploratory_full_pair,high,2003,0.731143293395963,0.731143293395963,5.0,A_earlier,109.0,114.0
W113,P-Jw,exploratory_full_pair,high,2005,0.7957709916952607,0.7957709916952607,-1.0,B_earlier,113.0,112.0
W113,P-Jw,exploratory_full_pair,high,1988,0.8611126831256114,0.8611126831256114,4.0,A_earlier,113.0,117.0
W113,P-Jw,exploratory_full_pair,high,1993,0.9421908450500703,0.9421908450500703,5.0,A_earlier,108.0,113.0
W113,P-Jw,exploratory_full_pair,high,2017,1.0717856186124233,1.0717856186124233,18.0,A_earlier,102.0,120.0
W113,P-Jw,exploratory_full_pair,high,1989,1.0816666526319,1.0816666526319,3.0,A_earlier,113.0,116.0
W113,P-Jw,exploratory_full_pair,high,1981,1.1043977468309525,1.1043977468309525,6.0,A_earlier,107.0,113.0
W113,P-Jw,exploratory_full_pair,high,2000,1.242059264140214,1.242059264140214,9.0,A_earlier,110.0,119.0
W113,P-Jw,exploratory_full_pair,high,1999,1.3347112973053636,1.3347112973053636,7.0,A_earlier,107.0,114.0
W113,P-Jw,exploratory_full_pair,high,1980,2.2694434748524213,2.2694434748524213,19.0,A_earlier,108.0,127.0
