window,variable,surrogate_mode,n_years,n_days,n_finite,n_pair_for_phi,nan_fraction,mu,raw_phi_before_clip,phi,phi_after_clip,phi_clip_limit,phi_clipped_flag,phi_clip_amount,phi_clip_direction,phi_clip_severity,sigma,stationary_std,ar1_estimation_scope
S2,Je_meridional_width,pooled_window_variable_ar1,45,46,2070,2025,0.0,-1.1155864208793843e-17,-0.010167461538130135,-0.010167461538130135,-0.010167461538130135,0.95,False,0.0,none,none,0.5827575109643963,0.5827876352415217,window_variable_pooled_across_years
S2,Jw_strength,pooled_window_variable_ar1,45,46,2070,2025,0.0,9.336600199359771e-16,0.9789890797927876,0.95,0.95,0.95,True,0.028989079792787642,upper,moderate,1.2327467353796098,3.9479491769117034,window_variable_pooled_across_years
S2,Jw_axis_lat,pooled_window_variable_ar1,45,46,2070,2025,0.0,8.238176646493915e-17,0.8404544796065911,0.8404544796065911,0.8404544796065911,0.95,False,0.0,none,none,1.7022813325712995,3.1414235055279467,window_variable_pooled_across_years
S2,Jw_meridional_width,pooled_window_variable_ar1,45,46,2070,2025,0.0,-3.432573602705798e-18,-6.27154919116819e-05,-6.27154919116819e-05,-6.27154919116819e-05,0.95,False,0.0,none,none,1.0297461937866343,1.0297461958117502,window_variable_pooled_across_years
T2,P_main_band_share,pooled_window_variable_ar1,45,32,1440,1395,0.0,1.1102230246251566e-17,0.9642953309765471,0.95,0.95,0.95,True,0.014295330976547116,upper,moderate,0.03223061547231833,0.10322057903168018,window_variable_pooled_across_years
T2,P_south_band_share_18_24,pooled_window_variable_ar1,45,32,1440,1395,0.0,0.0,0.9601757797602596,0.95,0.95,0.95,True,0.010175779760259629,upper,moderate,0.022442987138167884,0.07187508192612277,window_variable_pooled_across_years
T2,P_main_minus_south,pooled_window_variable_ar1,45,32,1440,1395,0.0,-4.934324553889585e-18,0.9627035315970258,0.95,0.95,0.95,True,0.012703531597025863,upper,moderate,0.04863565569958069,0.15575875512547435,window_variable_pooled_across_years
T2,P_spread_lat,pooled_window_variable_ar1,45,32,1440,1395,0.0,2.911251486794855e-16,0.9687799802433864,0.95,0.95,0.95,True,0.01877998024338645,upper,moderate,0.24239311585075216,0.7762792427248707,window_variable_pooled_across_years
T2,P_north_band_share_35_45,pooled_window_variable_ar1,45,32,1440,1395,0.0,8.943463253924873e-18,0.9597898375241305,0.95,0.95,0.95,True,0.00978983752413054,upper,minor,0.0156551908490477,0.05013673616248605,window_variable_pooled_across_years
T2,P_north_minus_main_35_45,pooled_window_variable_ar1,45,32,1440,1395,0.0,-3.7007434154171884e-18,0.9656016287084404,0.95,0.95,0.95,True,0.015601628708440396,upper,moderate,0.03588964474056202,0.114938851060533,window_variable_pooled_across_years
T2,P_total_centroid_lat_10_50,pooled_window_variable_ar1,45,32,1440,1395,0.0,2.8619082412559593e-16,0.9632929422201145,0.95,0.95,0.95,True,0.013292942220114567,upper,moderate,0.5475749713291999,1.7536433845763655,window_variable_pooled_across_years
T2,V_strength,pooled_window_variable_ar1,45,32,1440,1395,0.0,1.1348946473946044e-16,0.9823585444466886,0.95,0.95,0.95,True,0.03235854444668862,upper,severe,0.22749732604167455,0.7285745362929462,window_variable_pooled_across_years
