window,source,target,source_family,target_family,sample_status,main_surrogate_mode,audit_surrogate_mode,T_pos_obs,T_pos_main_null95,p_pos_main_surrogate,T_pos_audit_null90,T_pos_audit_null95,T_pos_audit_null99,p_pos_audit_surrogate,audit_strength_excess,audit_strength_ratio,delta_p_audit_minus_main,delta_null95_audit_minus_main,q_pos_audit_global,q_pos_audit_within_window,main_p_supported,audit_p_supported,audit_support_shift
T3,P_total_centroid_lat_10_50,H_centroid_lat,P,H,ok,pooled_window_variable_ar1,pooled_phi_yearwise_scale_ar1,0.4272759222621614,0.25320583665388485,0.000999000999000999,0.28141278889469584,0.3226603901895449,0.3939441242697111,0.005994005994005994,0.10461553207261648,1.3242279971556494,0.004995004995004995,0.06945455353566005,0.060419580419580426,0.1346153846153846,True,True,same_p_support_flag
T3,P_total_centroid_lat_10_50,H_west_extent_lon,P,H,ok,pooled_window_variable_ar1,pooled_phi_yearwise_scale_ar1,0.24289345353426434,0.23509266914284868,0.04595404595404595,0.2865555227091347,0.3320892186451191,0.4066147369783634,0.16683316683316685,-0.08919576511085475,0.7314102352531591,0.1208791208791209,0.09699654950227041,0.3866735271417546,0.404603270745003,True,False,audit_more_conservative
T3,P_total_centroid_lat_10_50,H_zonal_width,P,H,ok,pooled_window_variable_ar1,pooled_phi_yearwise_scale_ar1,0.2984690307567091,0.18686543403949185,0.002997002997002997,0.22036415126903303,0.25333393840574886,0.3024523818418554,0.012987012987012988,0.04513509235096025,1.1781644126917974,0.009990009990009992,0.06646850436625701,0.09944751381215469,0.1775147928994083,True,True,same_p_support_flag
T3,P_total_centroid_lat_10_50,Je_strength,P,Je,ok,pooled_window_variable_ar1,pooled_phi_yearwise_scale_ar1,0.16309192905576314,0.25424067986726634,0.24275724275724275,0.2218806870312504,0.2571884842579667,0.3522105152100838,0.23876123876123875,-0.09409655520220356,0.6341338708313927,-0.0039960039960039995,0.0029478043907003593,0.468066586878468,0.49230769230769234,False,False,same_p_support_flag
T3,P_total_centroid_lat_10_50,Je_axis_lat,P,Je,ok,pooled_window_variable_ar1,pooled_phi_yearwise_scale_ar1,0.3837105648960598,0.25168012237259824,0.002997002997002997,0.2970106809390293,0.34093197613068665,0.43521024172234796,0.02097902097902098,0.04277858876537316,1.1254754372144171,0.017982017982017984,0.08925185375808842,0.13127279041500262,0.20192307692307693,True,True,same_p_support_flag
T3,P_total_centroid_lat_10_50,Je_meridional_width,P,Je,ok,pooled_window_variable_ar1,pooled_phi_yearwise_scale_ar1,0.06165537841131049,0.10046235160836837,0.33766233766233766,0.0875207907979577,0.10237707803894197,0.1422823159667346,0.26673326673326675,-0.04072169962763148,0.6022381141592862,-0.07092907092907091,0.0019147264305735961,0.4909592399632241,0.4993090741593736,False,False,same_p_support_flag
T3,P_total_centroid_lat_10_50,Jw_strength,P,Jw,ok,pooled_window_variable_ar1,pooled_phi_yearwise_scale_ar1,0.11953210321242297,0.25977337291598374,0.42657342657342656,0.24484694009677124,0.2796138122600568,0.35143823626959,0.44955044955044954,-0.16008170904763386,0.4274899807211644,0.022977022977022976,0.01984043934407309,0.6309639727361247,0.618131868131868,False,False,same_p_support_flag
T3,P_total_centroid_lat_10_50,Jw_axis_lat,P,Jw,ok,pooled_window_variable_ar1,pooled_phi_yearwise_scale_ar1,0.4164982102958345,0.2592920588079331,0.001998001998001998,0.3299246751208969,0.3693646399501194,0.44810114667712253,0.017982017982017984,0.04713357034571508,1.1276071536032257,0.015984015984015984,0.11007258114218632,0.12069286645557833,0.18858560794044663,True,True,same_p_support_flag
T3,P_total_centroid_lat_10_50,Jw_meridional_width,P,Jw,ok,pooled_window_variable_ar1,pooled_phi_yearwise_scale_ar1,0.05242060371836218,0.10200237015078988,0.4025974025974026,0.12485784720568811,0.15387037234592,0.20514197199465656,0.5714285714285714,-0.10144976862755781,0.3406802941927901,0.16883116883116878,0.05186800219513012,0.7112707678491244,0.6860221490571685,False,False,same_p_support_flag
T3,V_strength,P_main_band_share,V,P,ok,pooled_window_variable_ar1,pooled_phi_yearwise_scale_ar1,0.12733312515224585,0.2598167360350473,0.38961038961038963,0.2637946644883846,0.3021421823221243,0.34953988231786615,0.47652347652347654,-0.17480905716987846,0.4214344523946397,0.08691308691308691,0.04232544628707702,0.6456124520640649,0.6380286380286381,False,False,same_p_support_flag
T3,V_strength,P_south_band_share_18_24,V,P,ok,pooled_window_variable_ar1,pooled_phi_yearwise_scale_ar1,0.28826289682676715,0.27224328966512085,0.03796203796203796,0.2905852370269849,0.33007285188898555,0.405754756368745,0.1048951048951049,-0.04180995506221841,0.8733311303157992,0.06693306693306694,0.057829562223864706,0.3116497650259708,0.3397435897435897,True,False,audit_more_conservative
T3,V_strength,P_main_minus_south,V,P,ok,pooled_window_variable_ar1,pooled_phi_yearwise_scale_ar1,0.21278623890438614,0.2556299785742177,0.1258741258741259,0.2869276041652933,0.3243075826062763,0.4010648944778864,0.26373626373626374,-0.11152134370189015,0.6561247726443634,0.13786213786213786,0.06867760403205858,0.4893419833178869,0.4993090741593736,False,False,same_p_support_flag
T3,V_strength,P_spread_lat,V,P,ok,pooled_window_variable_ar1,pooled_phi_yearwise_scale_ar1,0.293194858254198,0.252331810991654,0.01998001998001998,0.26844645551768953,0.31895368162189985,0.38277760670117855,0.07592407592407592,-0.025758823367701855,0.9192396111036668,0.05594405594405594,0.06662187063024583,0.26708317063647014,0.29990262901655307,True,False,audit_more_conservative
T3,V_strength,P_north_band_share_35_45,V,P,ok,pooled_window_variable_ar1,pooled_phi_yearwise_scale_ar1,0.2984530254573943,0.24939484150962124,0.013986013986013986,0.2873345599692849,0.3298150693810258,0.3938637452280747,0.08091908091908091,-0.031362043923631455,0.9049102153443456,0.06693306693306693,0.08042022787140454,0.2752241623407267,0.3039399624765478,True,False,audit_more_conservative
T3,V_strength,P_north_minus_main_35_45,V,P,ok,pooled_window_variable_ar1,pooled_phi_yearwise_scale_ar1,0.07243134593753445,0.2620431204427314,0.6923076923076923,0.22461013454622228,0.2692866621500072,0.3243484709468392,0.6363636363636364,-0.19685531621247274,0.26897487368752887,-0.05594405594405594,0.007243541707275758,0.7583834909716252,0.7368421052631579,False,False,same_p_support_flag
T3,V_strength,P_total_centroid_lat_10_50,V,P,ok,pooled_window_variable_ar1,pooled_phi_yearwise_scale_ar1,0.24553832872093692,0.27031344502342664,0.07992007992007992,0.2728439327175082,0.30630698858625693,0.3740851935648208,0.16383616383616384,-0.06076865986532001,0.8016086405805025,0.08391608391608392,0.0359935435628303,0.3835758835758836,0.404603270745003,False,False,same_p_support_flag
T3,V_strength,H_strength,V,H,ok,pooled_window_variable_ar1,pooled_phi_yearwise_scale_ar1,0.18217149938752628,0.25659381291233646,0.19480519480519481,0.2516872831060551,0.2949670459091991,0.3473144381720611,0.2887112887112887,-0.11279554652167281,0.6175994976862768,0.09390609390609389,0.03837323299686263,0.5126891046173557,0.5022869022869023,False,False,same_p_support_flag
T3,V_strength,H_centroid_lat,V,H,ok,pooled_window_variable_ar1,pooled_phi_yearwise_scale_ar1,0.29713885138195545,0.26193229980446975,0.030969030969030968,0.2871427961054102,0.3279670314117238,0.41439703855386656,0.08791208791208792,-0.030828180029768337,0.906002198156719,0.05694305694305695,0.06603473160725404,0.28839326354119255,0.31484794275491956,True,False,audit_more_conservative
T3,V_strength,H_west_extent_lon,V,H,ok,pooled_window_variable_ar1,pooled_phi_yearwise_scale_ar1,0.1698956432488613,0.24955326666051694,0.1968031968031968,0.21449736437314149,0.24944966868894272,0.3014601397504618,0.2077922077922078,-0.07955402544008142,0.681081855677735,0.010989010989011005,-0.00010359797157422079,0.4383561643835616,0.4507042253521127,False,False,same_p_support_flag
T3,V_strength,H_zonal_width,V,H,ok,pooled_window_variable_ar1,pooled_phi_yearwise_scale_ar1,0.05712370173752221,0.18499849736717294,0.6733266733266733,0.18171219080107615,0.21798837965558418,0.27574956561434166,0.6813186813186813,-0.16086467791806197,0.26204929743400146,0.007992007992008054,0.03298988228841124,0.7892249831238549,0.7603121516164995,False,False,same_p_support_flag
T3,V_strength,Je_strength,V,Je,ok,pooled_window_variable_ar1,pooled_phi_yearwise_scale_ar1,0.19459411436902468,0.25293427804588986,0.14785214785214784,0.26510747490940045,0.30926696554816124,0.39785023451928975,0.26173826173826176,-0.11467285117913656,0.6292107985866376,0.11388611388611392,0.056332687502271384,0.48759305210918114,0.4993090741593736,False,False,same_p_support_flag
T3,V_strength,Je_axis_lat,V,Je,ok,pooled_window_variable_ar1,pooled_phi_yearwise_scale_ar1,0.35662175960904563,0.26456167332248837,0.006993006993006993,0.33442674940574646,0.3831918397449272,0.4559017539445394,0.07692307692307693,-0.02657008013588158,0.9306611535528313,0.06993006993006994,0.11863016642243884,0.26855260608409226,0.29990262901655307,True,False,audit_more_conservative
T3,V_strength,Je_meridional_width,V,Je,ok,pooled_window_variable_ar1,pooled_phi_yearwise_scale_ar1,0.11667694165720427,0.10657917748178351,0.022977022977022976,0.09472973898012314,0.11324620491397235,0.14802392210590462,0.04195804195804196,0.003430736743231924,1.0302944963660203,0.018981018981018984,0.006667027432188832,0.19004524886877827,0.22672064777327935,True,True,same_p_support_flag
T3,V_strength,Jw_strength,V,Jw,ok,pooled_window_variable_ar1,pooled_phi_yearwise_scale_ar1,0.0975296150428769,0.2597465629133952,0.5194805194805194,0.2660898121856809,0.2972063620223932,0.3874065773234206,0.5944055944055944,-0.19967674697951632,0.32815453336604034,0.07492507492507494,0.03745979910899799,0.729067392784207,0.7096004770423374,False,False,same_p_support_flag
T3,V_strength,Jw_axis_lat,V,Jw,ok,pooled_window_variable_ar1,pooled_phi_yearwise_scale_ar1,0.14239058092216797,0.2620082800109844,0.33766233766233766,0.29518380641309105,0.3323373500161835,0.410411339875571,0.5514485514485514,-0.1899467690940155,0.42845193570699813,0.21378621378621376,0.07032907000519906,0.7002360900665985,0.6821130676552363,False,False,same_p_support_flag
T3,V_strength,Jw_meridional_width,V,Jw,ok,pooled_window_variable_ar1,pooled_phi_yearwise_scale_ar1,0.03877852343010662,0.09846448075523022,0.5694305694305695,0.10772471073055391,0.14020775523908682,0.18807512528729514,0.6723276723276723,-0.1014292318089802,0.27657901921316846,0.10289710289710285,0.041743274483856604,0.7840522960421993,0.7603121516164995,False,False,same_p_support_flag
T3,V_pos_centroid_lat,P_main_band_share,V,P,ok,pooled_window_variable_ar1,pooled_phi_yearwise_scale_ar1,0.14434016063546667,0.2769558259872058,0.31368631368631367,0.20058550056312538,0.2359219258831144,0.29823562914741014,0.2707292707292707,-0.09158176524764772,0.6118132517576126,-0.042957042957042946,-0.041033900104091414,0.49568133319784574,0.4993090741593736,False,False,same_p_support_flag
T3,V_pos_centroid_lat,P_south_band_share_18_24,V,P,ok,pooled_window_variable_ar1,pooled_phi_yearwise_scale_ar1,0.39826862796853396,0.2578534773196199,0.002997002997002997,0.3210533619359826,0.3574969662824753,0.42597518776947785,0.024975024975024976,0.04077166168605867,1.1140475739137967,0.02197802197802198,0.09964348896285541,0.14761358044940134,0.20512820512820515,True,True,same_p_support_flag
T3,V_pos_centroid_lat,P_main_minus_south,V,P,ok,pooled_window_variable_ar1,pooled_phi_yearwise_scale_ar1,0.20598753503893028,0.2734855485095435,0.14085914085914086,0.2650647185509435,0.30316726055250726,0.3726538607796382,0.22477522477522477,-0.09717972551357698,0.6794517807217317,0.0839160839160839,0.02968171204296377,0.451832431527863,0.46777546777546775,False,False,same_p_support_flag
T3,V_pos_centroid_lat,P_spread_lat,V,P,ok,pooled_window_variable_ar1,pooled_phi_yearwise_scale_ar1,0.5942560406671467,0.26596194261759604,0.000999000999000999,0.38426190245703157,0.41880232014367813,0.4870370102835984,0.000999000999000999,0.17545372052346853,1.4189416153742314,0.0,0.1528403775260821,0.01978021978021978,0.07692307692307693,True,True,same_p_support_flag
T3,V_pos_centroid_lat,P_north_band_share_35_45,V,P,ok,pooled_window_variable_ar1,pooled_phi_yearwise_scale_ar1,0.4253372806714562,0.2582982786429446,0.000999000999000999,0.32300559672373885,0.35617063797708637,0.4108513722422448,0.006993006993006993,0.06916664269436984,1.1941952404813885,0.005994005994005994,0.09787235933414179,0.06661379857256146,0.1346153846153846,True,True,same_p_support_flag
T3,V_pos_centroid_lat,P_north_minus_main_35_45,V,P,ok,pooled_window_variable_ar1,pooled_phi_yearwise_scale_ar1,0.2603163252227561,0.26100027562218225,0.05194805194805195,0.22849487857280093,0.26246218370835006,0.3325132085568016,0.053946053946053944,-0.0021458584855939544,0.9918241231735752,0.001998001998001993,0.0014619080861678069,0.22121074192080112,0.24080267558528426,False,False,same_p_support_flag
T3,V_pos_centroid_lat,P_total_centroid_lat_10_50,V,P,ok,pooled_window_variable_ar1,pooled_phi_yearwise_scale_ar1,0.26178069414812316,0.27565103861701695,0.06593406593406594,0.2837775974157509,0.3260053499896999,0.38965491569728383,0.14185814185814186,-0.06422465584157672,0.8029950862965718,0.07592407592407592,0.050354311372682925,0.36010143702451397,0.3826761473820297,False,False,same_p_support_flag
T3,V_pos_centroid_lat,H_strength,V,H,ok,pooled_window_variable_ar1,pooled_phi_yearwise_scale_ar1,0.22880756288504925,0.2600785450368068,0.08891108891108891,0.2677641926253465,0.30853568136393134,0.3798245806227119,0.18581418581418582,-0.07972811847888209,0.7415919023484376,0.09690309690309691,0.04845713632712456,0.4133843684405482,0.4270952927669346,False,False,same_p_support_flag
T3,V_pos_centroid_lat,H_centroid_lat,V,H,ok,pooled_window_variable_ar1,pooled_phi_yearwise_scale_ar1,0.09027494619643117,0.25289199459045525,0.5804195804195804,0.28425165244355666,0.3317675935503726,0.41932194065025175,0.6753246753246753,-0.24149264735394144,0.2721029659056337,0.09490509490509491,0.07887559895991736,0.7862242755144897,0.7603121516164995,False,False,same_p_support_flag
T3,V_pos_centroid_lat,H_west_extent_lon,V,H,ok,pooled_window_variable_ar1,pooled_phi_yearwise_scale_ar1,0.1721399121497204,0.23501643215336326,0.18181818181818182,0.22822896584391378,0.2731283256510414,0.3324600469357547,0.22377622377622378,-0.10098841350132098,0.6302528737705974,0.04195804195804195,0.03811189349767813,0.4508050089445438,0.46777546777546775,False,False,same_p_support_flag
T3,V_pos_centroid_lat,H_zonal_width,V,H,ok,pooled_window_variable_ar1,pooled_phi_yearwise_scale_ar1,0.10328367863110112,0.17808039079382135,0.3046953046953047,0.19849195925125743,0.23537632725363625,0.31145318693944896,0.4485514485514486,-0.1320926486225351,0.4388023206760506,0.14385614385614387,0.0572959364598149,0.6309639727361247,0.618131868131868,False,False,same_p_support_flag
T3,V_pos_centroid_lat,Je_strength,V,Je,ok,pooled_window_variable_ar1,pooled_phi_yearwise_scale_ar1,0.2133670567096409,0.2519243583494144,0.12087912087912088,0.33401213678243225,0.3724408743809548,0.4316247450709508,0.3646353646353646,-0.1590738176713139,0.5728884002441588,0.24375624375624372,0.1205165160315404,0.5656235202961559,0.5615384615384615,False,False,same_p_support_flag
