window,year,variable,audit_surrogate_mode,year_n_finite,year_nan_fraction,year_mean,year_std,pooled_raw_phi_before_clip,pooled_phi_used,pooled_phi_clip_amount,pooled_phi_clip_severity,fallback_to_pooled_scale
S5,1986,H_strength,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,-3.4845135802544975,8.65446142979822,0.9704847852501125,0.95,0.020484785250112547,moderate,False
S5,1987,H_strength,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,-10.354434473137044,13.06778020903366,0.9704847852501125,0.95,0.020484785250112547,moderate,False
S5,1988,H_strength,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,-5.4598312545173755,4.3302284146040355,0.9704847852501125,0.95,0.020484785250112547,moderate,False
S5,1989,H_strength,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,-3.91260955223981,14.022683860557292,0.9704847852501125,0.95,0.020484785250112547,moderate,False
S5,1990,H_strength,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,0.2621236332575791,8.420389153150502,0.9704847852501125,0.95,0.020484785250112547,moderate,False
S5,1991,H_strength,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,-3.456336128071671,7.398929987082106,0.9704847852501125,0.95,0.020484785250112547,moderate,False
S5,1992,H_strength,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,-7.44590804188243,6.03603790620697,0.9704847852501125,0.95,0.020484785250112547,moderate,False
S5,1993,H_strength,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,-1.4757998400905128,10.598685024624531,0.9704847852501125,0.95,0.020484785250112547,moderate,False
S5,1994,H_strength,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,-15.37662790139355,7.55678012806847,0.9704847852501125,0.95,0.020484785250112547,moderate,False
S5,1995,H_strength,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,4.423282828128431,16.672440682476605,0.9704847852501125,0.95,0.020484785250112547,moderate,False
S5,1996,H_strength,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,-14.498139305984733,7.6568827409338684,0.9704847852501125,0.95,0.020484785250112547,moderate,False
S5,1997,H_strength,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,-4.699095297464046,7.676099026763879,0.9704847852501125,0.95,0.020484785250112547,moderate,False
S5,1998,H_strength,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,-1.5186788959541808,11.013073881672748,0.9704847852501125,0.95,0.020484785250112547,moderate,False
S5,1999,H_strength,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,-0.12912552979472822,8.976106084166064,0.9704847852501125,0.95,0.020484785250112547,moderate,False
S5,2000,H_strength,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,-23.294369925947976,10.301848588380256,0.9704847852501125,0.95,0.020484785250112547,moderate,False
S5,2001,H_strength,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,-18.186283400362555,6.049720169958545,0.9704847852501125,0.95,0.020484785250112547,moderate,False
S5,2002,H_strength,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,-7.009794237725,4.506449534549442,0.9704847852501125,0.95,0.020484785250112547,moderate,False
S5,2003,H_strength,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,6.406828359720712,14.598885808599448,0.9704847852501125,0.95,0.020484785250112547,moderate,False
S5,2004,H_strength,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,6.072913880816195,8.992562490372473,0.9704847852501125,0.95,0.020484785250112547,moderate,False
S5,2005,H_strength,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,10.794677994866433,15.969372959408304,0.9704847852501125,0.95,0.020484785250112547,moderate,False
S5,2006,H_strength,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,-9.421636161253264,4.365862129370616,0.9704847852501125,0.95,0.020484785250112547,moderate,False
S5,2007,H_strength,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,-0.15026966108718626,19.460171203868896,0.9704847852501125,0.95,0.020484785250112547,moderate,False
S5,2008,H_strength,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,-6.090064542226064,7.055968177684944,0.9704847852501125,0.95,0.020484785250112547,moderate,False
S5,2009,H_strength,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,1.6545922810463158,9.410978517392989,0.9704847852501125,0.95,0.020484785250112547,moderate,False
S5,2010,H_strength,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,12.302542406366193,15.967390315536818,0.9704847852501125,0.95,0.020484785250112547,moderate,False
S5,2011,H_strength,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,-9.025600677630864,11.320359524479134,0.9704847852501125,0.95,0.020484785250112547,moderate,False
S5,2012,H_strength,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,-5.47068518269094,11.080794544122009,0.9704847852501125,0.95,0.020484785250112547,moderate,False
S5,2013,H_strength,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,0.9361226940984853,7.327570656850219,0.9704847852501125,0.95,0.020484785250112547,moderate,False
S5,2014,H_strength,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,7.450111993017454,7.490673608856695,0.9704847852501125,0.95,0.020484785250112547,moderate,False
S5,2015,H_strength,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,0.9947776716414228,4.422603148688234,0.9704847852501125,0.95,0.020484785250112547,moderate,False
S5,2016,H_strength,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,13.502835164768367,6.595557748133016,0.9704847852501125,0.95,0.020484785250112547,moderate,False
S5,2017,H_strength,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,21.131806704100164,5.431347069781099,0.9704847852501125,0.95,0.020484785250112547,moderate,False
S5,2018,H_strength,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,10.998487686276931,13.64243038819724,0.9704847852501125,0.95,0.020484785250112547,moderate,False
S5,2019,H_strength,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,19.427231346212356,11.690145810670902,0.9704847852501125,0.95,0.020484785250112547,moderate,False
S5,2020,H_strength,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,11.07479807242842,6.385768482995875,0.9704847852501125,0.95,0.020484785250112547,moderate,False
S5,2021,H_strength,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,20.49992344424063,3.7060204431484958,0.9704847852501125,0.95,0.020484785250112547,moderate,False
S5,2022,H_strength,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,2.4516539870568885,14.800228759207835,0.9704847852501125,0.95,0.020484785250112547,moderate,False
S5,2023,H_strength,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,13.054456240742438,11.374679172275423,0.9704847852501125,0.95,0.020484785250112547,moderate,False
S5,1979,H_centroid_lat,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,1.024041056244559,2.1160047097737893,0.9178429918892036,0.9178429918892036,0.0,none,False
S5,1980,H_centroid_lat,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,0.4398871362067587,1.1247320816959152,0.9178429918892036,0.9178429918892036,0.0,none,False
S5,1981,H_centroid_lat,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,-0.697446066986865,1.2431456082088577,0.9178429918892036,0.9178429918892036,0.0,none,False
S5,1982,H_centroid_lat,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,-1.0085817762187343,2.2393710977941508,0.9178429918892036,0.9178429918892036,0.0,none,False
S5,1983,H_centroid_lat,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,-0.7964910039568462,1.9894702253614105,0.9178429918892036,0.9178429918892036,0.0,none,False
S5,1984,H_centroid_lat,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,-0.8930082692863273,1.0550973414449034,0.9178429918892036,0.9178429918892036,0.0,none,False
S5,1985,H_centroid_lat,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,2.4338170757062723,0.8015240908751972,0.9178429918892036,0.9178429918892036,0.0,none,False
S5,1986,H_centroid_lat,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,-0.33802584530890234,3.112479008350994,0.9178429918892036,0.9178429918892036,0.0,none,False
S5,1987,H_centroid_lat,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,-5.958617611466504,5.245477002452007,0.9178429918892036,0.9178429918892036,0.0,none,False
S5,1988,H_centroid_lat,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,-1.5250049198762712,2.463979756340328,0.9178429918892036,0.9178429918892036,0.0,none,False
S5,1989,H_centroid_lat,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,2.1586312862055204,1.1844251837779258,0.9178429918892036,0.9178429918892036,0.0,none,False
S5,1990,H_centroid_lat,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,0.9115067180874701,1.5837623038638455,0.9178429918892036,0.9178429918892036,0.0,none,False
S5,1991,H_centroid_lat,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,0.7304363963298022,1.0405019735437224,0.9178429918892036,0.9178429918892036,0.0,none,False
S5,1992,H_centroid_lat,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,0.5915183263135303,1.8542407299510661,0.9178429918892036,0.9178429918892036,0.0,none,False
S5,1993,H_centroid_lat,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,-0.5140468050166315,1.4799095294444193,0.9178429918892036,0.9178429918892036,0.0,none,False
S5,1994,H_centroid_lat,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,-2.9292841019856666,3.018520848648272,0.9178429918892036,0.9178429918892036,0.0,none,False
S5,1995,H_centroid_lat,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,-3.289360230635988,5.400455657259203,0.9178429918892036,0.9178429918892036,0.0,none,False
S5,1996,H_centroid_lat,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,-2.783310671375201,3.277901073343168,0.9178429918892036,0.9178429918892036,0.0,none,False
S5,1997,H_centroid_lat,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,-3.2850918943838376,1.6154277516748528,0.9178429918892036,0.9178429918892036,0.0,none,False
S5,1998,H_centroid_lat,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,0.7086398995505724,3.3975195616848497,0.9178429918892036,0.9178429918892036,0.0,none,False
S5,1999,H_centroid_lat,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,2.6580424331102046,1.8491675439291702,0.9178429918892036,0.9178429918892036,0.0,none,False
S5,2000,H_centroid_lat,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,-1.141304899530318,3.077518225129845,0.9178429918892036,0.9178429918892036,0.0,none,False
S5,2001,H_centroid_lat,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,-0.17276788428363432,3.3604860854145113,0.9178429918892036,0.9178429918892036,0.0,none,False
S5,2002,H_centroid_lat,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,1.263748150941888,4.08596632617642,0.9178429918892036,0.9178429918892036,0.0,none,False
S5,2003,H_centroid_lat,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,0.3238659693495849,2.423811235297588,0.9178429918892036,0.9178429918892036,0.0,none,False
S5,2004,H_centroid_lat,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,2.72760205500894,1.0114953862278149,0.9178429918892036,0.9178429918892036,0.0,none,False
S5,2005,H_centroid_lat,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,3.3889257391540717,0.5397600456317885,0.9178429918892036,0.9178429918892036,0.0,none,False
S5,2006,H_centroid_lat,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,-1.3165914874057165,2.8724538308842296,0.9178429918892036,0.9178429918892036,0.0,none,False
S5,2007,H_centroid_lat,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,0.6474644399234174,7.010064300716431,0.9178429918892036,0.9178429918892036,0.0,none,False
S5,2008,H_centroid_lat,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,-0.9184178606172693,2.4086164774189123,0.9178429918892036,0.9178429918892036,0.0,none,False
S5,2009,H_centroid_lat,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,0.10138241901835773,1.6262391429164471,0.9178429918892036,0.9178429918892036,0.0,none,False
S5,2010,H_centroid_lat,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,2.4468228054154038,2.6949429484672907,0.9178429918892036,0.9178429918892036,0.0,none,False
S5,2011,H_centroid_lat,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,-0.6455302746417485,5.546989807519448,0.9178429918892036,0.9178429918892036,0.0,none,False
S5,2012,H_centroid_lat,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,-0.9977907024570724,1.845660362344928,0.9178429918892036,0.9178429918892036,0.0,none,False
