comparison,target_window,reference_window,sector,lat,V850_target,V850_reference,V850_delta
T3_full_minus_S3,T3_full,S3,full_easm_lon,16.75,2.0227507524058432,2.563452830823205,-0.540702078417362
T3_full_minus_S3,T3_full,S3,full_easm_lon,17.0,2.051914629339662,2.615674384749776,-0.5637597554101137
T3_full_minus_S3,T3_full,S3,full_easm_lon,17.25,2.0965287708875904,2.6844286050975583,-0.5878998342099679
T3_full_minus_S3,T3_full,S3,full_easm_lon,17.5,2.1504679876899346,2.763199001927202,-0.6127310142372675
T3_full_minus_S3,T3_full,S3,full_easm_lon,17.75,2.204665458204035,2.84211329648523,-0.637447838281195
T3_full_minus_S3,T3_full,S3,full_easm_lon,18.0,2.2663055760012565,2.928932100019816,-0.6626265240185596
T3_full_minus_S3,T3_full,S3,full_easm_lon,18.25,2.337722008287368,3.027981360011003,-0.6902593517236348
T3_full_minus_S3,T3_full,S3,full_easm_lon,18.5,2.4109722044977366,3.1305773751482304,-0.7196051706504938
T3_full_minus_S3,T3_full,S3,full_easm_lon,18.75,2.475586643776952,3.2226888335324833,-0.7471021897555312
T3_full_minus_S3,T3_full,S3,full_easm_lon,19.0,2.5064751469731954,3.2758228341758904,-0.769347687202695
T3_full_minus_S3,T3_full,S3,full_easm_lon,19.25,2.5164576906489304,3.3072623177856677,-0.7908046271367373
T3_full_minus_S3,T3_full,S3,full_easm_lon,19.5,2.5346795000144198,3.3516001950411916,-0.8169206950267718
T3_full_minus_S3,T3_full,S3,full_easm_lon,19.75,2.558481178226065,3.4024768530170375,-0.8439956747909725
T3_full_minus_S3,T3_full,S3,full_easm_lon,20.0,2.5850143537837247,3.455707999057933,-0.8706936452742084
T3_full_minus_S3,T3_full,S3,full_easm_lon,20.25,2.6178436685650177,3.516726413358862,-0.8988827447938443
T3_full_minus_S3,T3_full,S3,full_easm_lon,20.5,2.6606762379405637,3.588619315743046,-0.9279430778024822
T3_full_minus_S3,T3_full,S3,full_easm_lon,20.75,2.7104107237198978,3.6680408454853337,-0.9576301217654359
T3_full_minus_S3,T3_full,S3,full_easm_lon,21.0,2.76062699981278,3.7502613163642606,-0.9896343165514807
T3_full_minus_S3,T3_full,S3,full_easm_lon,21.25,2.8047929844366766,3.829355372580786,-1.0245623881441093
T3_full_minus_S3,T3_full,S3,full_easm_lon,21.5,2.8516137871568206,3.915035373922435,-1.0634215867656143
T3_full_minus_S3,T3_full,S3,full_easm_lon,21.75,2.898099738985256,4.001235185144173,-1.1031354461589173
T3_full_minus_S3,T3_full,S3,full_easm_lon,22.0,2.922893635286895,4.059621807497857,-1.1367281722109621
T3_full_minus_S3,T3_full,S3,full_easm_lon,22.25,2.9419270615580566,4.105872301434697,-1.1639452398766408
T3_full_minus_S3,T3_full,S3,full_easm_lon,22.5,2.954466726073829,4.138666193528702,-1.184199467454873
T3_full_minus_S3,T3_full,S3,full_easm_lon,22.75,2.953303509606574,4.151302689360867,-1.1979991797542935
T3_full_minus_S3,T3_full,S3,full_easm_lon,23.0,2.9632202226584967,4.174535745554951,-1.211315522896454
T3_full_minus_S3,T3_full,S3,full_easm_lon,23.25,2.9915353333278674,4.219925455858233,-1.2283901225303655
T3_full_minus_S3,T3_full,S3,full_easm_lon,23.5,3.0189271128349295,4.264751097015174,-1.2458239841802445
T3_full_minus_S3,T3_full,S3,full_easm_lon,23.75,3.0449112060596666,4.309255084583768,-1.2643438785241012
T3_full_minus_S3,T3_full,S3,full_easm_lon,24.0,3.0989019972821894,4.386881459900114,-1.2879794626179248
T3_full_minus_S3,T3_full,S3,full_easm_lon,24.25,3.1592145523319903,4.4675555624392995,-1.3083410101073092
T3_full_minus_S3,T3_full,S3,full_easm_lon,24.5,3.200253772390811,4.523413831877647,-1.3231600594868365
T3_full_minus_S3,T3_full,S3,full_easm_lon,24.75,3.2510761606337826,4.585572260836258,-1.3344961002024758
T3_full_minus_S3,T3_full,S3,full_easm_lon,25.0,3.309544953123916,4.651463795066973,-1.3419188419430568
T3_full_minus_S3,T3_full,S3,full_easm_lon,25.25,3.343493216686074,4.68876119940756,-1.3452679827214862
T3_full_minus_S3,T3_full,S3,full_easm_lon,25.5,3.3691927695848136,4.710880522111341,-1.3416877525265276
T3_full_minus_S3,T3_full,S3,full_easm_lon,25.75,3.3849623151336115,4.709353195590256,-1.3243908804566447
T3_full_minus_S3,T3_full,S3,full_easm_lon,26.0,3.344598907783318,4.6294125163674895,-1.2848136085841717
T3_full_minus_S3,T3_full,S3,full_easm_lon,26.25,3.290262241897975,4.529468529163256,-1.2392062872652811
T3_full_minus_S3,T3_full,S3,full_easm_lon,26.5,3.27873289023439,4.481526932054832,-1.2027940418204421
T3_full_minus_S3,T3_full,S3,full_easm_lon,26.75,3.2857333089301184,4.452061931296824,-1.1663286223667058
T3_full_minus_S3,T3_full,S3,full_easm_lon,27.0,3.2826392529965878,4.4072367689295655,-1.1245975159329777
T3_full_minus_S3,T3_full,S3,full_easm_lon,27.25,3.2718017311831566,4.350788177104819,-1.0789864459216627
T3_full_minus_S3,T3_full,S3,full_easm_lon,27.5,3.256730309617939,4.28617646035556,-1.0294461507376211
T3_full_minus_S3,T3_full,S3,full_easm_lon,27.75,3.2284167487713264,4.206320691680935,-0.9779039429096081
T3_full_minus_S3,T3_full,S3,full_easm_lon,28.0,3.195207396444711,4.125293900200748,-0.9300865037560366
T3_full_minus_S3,T3_full,S3,full_easm_lon,28.25,3.1768687567000877,4.059959895770229,-0.883091139070141
T3_full_minus_S3,T3_full,S3,full_easm_lon,28.5,3.169934035019545,4.0008235846085904,-0.8308895495890454
T3_full_minus_S3,T3_full,S3,full_easm_lon,28.75,3.142682510254988,3.9205863744732645,-0.7779038642182767
T3_full_minus_S3,T3_full,S3,full_easm_lon,29.0,3.103893820415347,3.8301060585691125,-0.7262122381537655
T3_full_minus_S3,T3_full,S3,full_easm_lon,29.25,3.079262974621788,3.7485883630672796,-0.6693253884454915
T3_full_minus_S3,T3_full,S3,full_easm_lon,29.5,3.0455489996176164,3.6568360163067393,-0.6112870166891229
T3_full_minus_S3,T3_full,S3,full_easm_lon,29.75,2.9881986607948745,3.5427734037067586,-0.5545747429118841
