window,sector,lat,value
S3,west_sector,30.0,8.676917458436925
S3,west_sector,30.25,8.542428667539912
S3,west_sector,30.5,8.556427696980585
S3,west_sector,30.75,8.942129523945502
S3,west_sector,31.0,8.935422526543377
S3,west_sector,31.25,8.66120643086336
S3,west_sector,31.5,9.22737665687613
S3,west_sector,31.75,9.167167631516921
S3,west_sector,32.0,8.604680120982822
S3,west_sector,32.25,8.274650251531275
S3,west_sector,32.5,7.744230199878718
S3,west_sector,32.75,7.326192052568707
S3,west_sector,33.0,6.517253288346894
S3,west_sector,33.25,6.44410933628212
S3,west_sector,33.5,6.252481608531374
S3,west_sector,33.75,6.106544949996499
S3,west_sector,34.0,6.003447229519453
S3,west_sector,34.25,5.598252021261896
S3,west_sector,34.5,4.8686126932849145
S3,west_sector,34.75,4.50486782331748
S3,west_sector,35.0,4.352390681277597
S3,west_sector,35.25,4.270814070781612
S3,west_sector,35.5,4.153005351388805
S3,west_sector,35.75,3.786707228351342
S3,west_sector,36.0,3.438348207763535
S3,west_sector,36.25,3.3487006841646574
S3,west_sector,36.5,3.346449803774048
S3,west_sector,36.75,3.1504517797353313
S3,west_sector,37.0,3.136767493596152
S3,west_sector,37.25,3.2927232005060922
S3,west_sector,37.5,3.2159244400508835
S3,west_sector,37.75,2.9496730146775705
S3,west_sector,38.0,2.6042729176199075
S3,west_sector,38.25,2.4027816145847174
S3,west_sector,38.5,2.219302522222472
S3,west_sector,38.75,1.993325139467408
S3,west_sector,39.0,1.7730097674588223
S3,west_sector,39.25,1.6173891593344898
S3,west_sector,39.5,1.453345128057225
S3,west_sector,39.75,1.346520995116288
S3,west_sector,40.0,1.2728929686600388
S3,west_sector,40.25,1.1865274413405094
S3,west_sector,40.5,1.0649098723361823
S3,west_sector,40.75,1.051072865829987
S3,west_sector,41.0,1.0892581261528862
S3,west_sector,41.25,1.0255727829360095
S3,west_sector,41.5,0.9007591783000227
S3,west_sector,41.75,0.8732231857230606
S3,west_sector,42.0,0.7977764904688275
S3,west_sector,42.25,0.6972954915710587
S3,west_sector,42.5,0.6929412817144069
S3,west_sector,42.75,0.6758044950870161
S3,west_sector,43.0,0.7614099671240565
S3,west_sector,43.25,0.8358741681710933
S3,west_sector,43.5,0.834929266283031
S3,west_sector,43.75,0.8883728105194716
S3,west_sector,44.0,0.7967222391072317
S3,west_sector,44.25,0.7684980726350193
S3,west_sector,44.5,0.830036029270717
S3,west_sector,44.75,1.0343382050390957
S3,west_sector,45.0,0.9999560011952369
S3,west_sector,45.25,0.9674080429163648
S3,west_sector,45.5,1.0869794097346785
S3,west_sector,45.75,1.277634403332561
S3,west_sector,46.0,1.4803282160337277
S3,west_sector,46.25,1.8416481547885477
S3,west_sector,46.5,2.1915221580626474
S3,west_sector,46.75,2.307193324722671
S3,west_sector,47.0,2.516740738399445
S3,west_sector,47.25,2.576766923225385
S3,west_sector,47.5,2.5676051601314764
S3,west_sector,47.75,2.63339211244648
S3,west_sector,48.0,2.855473164962803
S3,west_sector,48.25,3.179554233291523
S3,west_sector,48.5,3.3742224170053365
S3,west_sector,48.75,3.3160516238915387
S3,west_sector,49.0,3.3873975942962034
S3,west_sector,49.25,3.3800716724092994
S3,west_sector,49.5,3.470432320410973
S3,west_sector,49.75,3.555226480704586
S3,west_sector,50.0,3.674563547346327
S3,west_sector,50.25,3.7066648324633396
S3,west_sector,50.5,3.520374062354333
S3,west_sector,50.75,3.58048919650919
S3,west_sector,51.0,3.6315065727925893
S3,west_sector,51.25,4.148612835241824
S3,west_sector,51.5,3.8822432467488732
S3,west_sector,51.75,3.729584877559118
