day,lat,Je_raw_profile_value
76,25.0,2.860909870972243
76,27.0,8.664942416142999
76,29.0,15.564344564774489
76,31.0,23.041364752407972
76,33.0,29.854442065155187
76,35.0,34.39137400890196
76,37.0,35.848893811590806
76,39.0,33.60736339009798
76,41.0,28.699228457275836
76,43.0,22.790612751595976
76,45.0,16.87999378173563
77,25.0,2.020551727239019
77,27.0,7.778930615691891
77,29.0,14.741741020364826
77,31.0,22.335031825995035
77,33.0,29.326930044387893
77,35.0,34.09432567400852
77,37.0,35.841285442882864
77,39.0,33.73153909103812
77,41.0,28.796759424030576
77,43.0,22.816303877147604
77,45.0,16.921368943491203
78,25.0,1.2489321963572546
78,27.0,6.953800458114381
78,29.0,13.928558306688812
78,31.0,21.541147935938035
78,33.0,28.6947262522894
78,35.0,33.796948200399356
78,37.0,35.843562396755324
78,39.0,33.97100974669349
78,41.0,28.966206104680015
78,43.0,22.858827506080747
78,45.0,16.916117374925
79,25.0,0.49075071851737245
79,27.0,6.126722746494318
79,29.0,13.101368026077848
79,31.0,20.740677075529806
79,33.0,28.075969207768747
79,35.0,33.52833760214064
79,37.0,35.81713507864928
79,39.0,34.074612674171384
79,41.0,29.261249237256703
79,43.0,23.060499767608544
79,45.0,16.990994109974164
80,25.0,-0.229296152376443
80,27.0,5.324819257476766
80,29.0,12.25509987736947
80,31.0,19.89862917517395
80,33.0,27.450716314872277
80,35.0,33.2106799767987
80,37.0,35.72800566287283
80,39.0,34.10870446805649
80,41.0,29.469221788385575
80,43.0,23.3030894546464
80,45.0,17.154203624144767
81,25.0,-0.9436902573993561
81,27.0,4.507508499133935
81,29.0,11.36674267839187
81,31.0,18.969747672947367
81,33.0,26.583142577184315
81,35.0,32.6145254547122
81,37.0,35.508852594496496
81,39.0,34.22943921505817
81,41.0,29.75153461806419
81,43.0,23.559847225936476
81,45.0,17.32874462931995
82,25.0,-1.5684229803827157
82,27.0,3.756802290191237
82,29.0,10.551927721899707
82,31.0,18.136491766684465
82,33.0,25.80265913113925
82,35.0,31.966041904399177
82,37.0,35.019361364226256
82,39.0,33.98199152825645
82,41.0,29.756476128489258
82,43.0,23.748209092115623
82,45.0,17.599710505339075
83,25.0,-2.1346569473431978
83,27.0,3.0749975522073987
83,29.0,9.83928620037585
83,31.0,17.46675571828562
83,33.0,25.211081082200504
83,35.0,31.591564037723447
83,37.0,34.864711761913114
83,39.0,33.89161702421808
83,41.0,29.6383616991634
83,43.0,23.605539766808498
83,45.0,17.4538661696284
84,25.0,-2.6116629391572315
84,27.0,2.5295845986791607
84,29.0,9.231362792782571
84,31.0,16.86533980246002
84,33.0,24.660092273201176
84,35.0,31.20328148354699
84,37.0,34.7260706594834
84,39.0,33.87133863719356
84,41.0,29.491229584742072
84,43.0,23.311062677966795
84,45.0,17.175844356279672
85,25.0,-3.0211577523324435
85,27.0,1.9824586101310007
85,29.0,8.6730787497856
85,31.0,16.27189378601918
85,33.0,24.038769774732064
85,35.0,30.636440006099413
85,37.0,34.20770755044244
85,39.0,33.53031549152112
85,41.0,29.325088841937525
85,43.0,23.18858860711395
85,45.0,17.131254595315678
86,25.0,-3.377881790777699
86,27.0,1.5077849934763736
86,29.0,8.081073494492268
86,31.0,15.614157448062633
86,33.0,23.396842298920603
86,35.0,30.052071350125484
86,37.0,33.66746691164193
86,39.0,33.11864846627842
86,41.0,29.140235467216446
86,43.0,23.180347972442167
86,45.0,17.240398198280232
87,25.0,-3.773193145231101
87,27.0,0.9395572814175182
87,29.0,7.404589166232556
87,31.0,14.90797690176853
87,33.0,22.6726773162138
87,35.0,29.31477010393008
87,37.0,32.96612341931799
87,39.0,32.58384503759608
87,41.0,28.904736137402704
87,43.0,23.180446927508225
87,45.0,17.39406288640788
88,25.0,-4.150727105353102
88,27.0,0.36765733592386224
88,29.0,6.7359722102194475
88,31.0,14.206885673423928
88,33.0,21.928797759697453
88,35.0,28.528894358438876
88,37.0,32.25085572768574
88,39.0,32.124263171978946
88,41.0,28.705846706969936
88,43.0,23.250386018485788
88,45.0,17.538851769823946
89,25.0,-4.46090201967814
89,27.0,-0.11683490430569665
89,29.0,6.087914144914102
89,31.0,13.420642642954405
89,33.0,21.11457348849383
89,35.0,27.79271620578475
89,37.0,31.69516079773251
89,39.0,31.81777452321217
89,41.0,28.692649721046312
89,43.0,23.45963669814062
89,45.0,17.717230898197975
90,25.0,-4.728992423202693
90,27.0,-0.5767726379449875
90,29.0,5.486232311343261
90,31.0,12.78503469279632
90,33.0,20.54768877929513
90,35.0,27.354848759991214
90,37.0,31.370396833129245
90,39.0,31.603252600954704
90,41.0,28.562354068963877
90,43.0,23.37517549370337
90,45.0,17.73928774510787
91,25.0,-4.9804617608501704
91,27.0,-0.9142375129854483
91,29.0,5.057461410116326
91,31.0,12.305397808489536
91,33.0,20.07462332343314
91,35.0,26.91584653065845
91,37.0,31.072230742295915
91,39.0,31.49170992233235
91,41.0,28.46881915987367
91,43.0,23.18571432039263
91,45.0,17.47704811053712
92,25.0,-5.167906672064436
92,27.0,-1.1936663944440538
92,29.0,4.657451653303218
92,31.0,11.732296029747756
92,33.0,19.421710853217366
92,35.0,26.28613206854492
92,37.0,30.529890184440568
92,39.0,31.12838088407194
92,41.0,28.207728397412748
92,43.0,22.931724951063202
92,45.0,17.403795761223762
93,25.0,-5.336838187948758
93,27.0,-1.527460519117655
93,29.0,4.191593307463813
93,31.0,11.098746789308864
93,33.0,18.623536736122713
93,35.0,25.415393014518283
93,37.0,29.63058307048252
93,39.0,30.50549178281474
93,41.0,27.901037806400307
93,43.0,22.884599174589063
93,45.0,17.589084240041778
94,25.0,-5.444038398282467
94,27.0,-1.7567132534050602
