window_id,mode_target,tested_y_target,corr_score_y,abs_corr_score_y,own_target_corr,max_other_target_corr,own_minus_max_other,own_abs_rank,n_targets_tested,specificity_margin,specificity_status
W081,W081_H_vs_Je_delta_peak,W081_P_vs_Je_delta_peak,0.30781399782750596,0.30781399782750596,0.42102096414454787,0.46164760659289494,-0.04062664244834707,2,10,0.05,common_mode
W081,W081_H_vs_Je_delta_peak,W081_P_vs_Jw_delta_peak,0.18009652375016486,0.18009652375016486,0.42102096414454787,0.46164760659289494,-0.04062664244834707,2,10,0.05,common_mode
W081,W081_H_vs_Je_delta_peak,W081_V_vs_H_delta_peak,0.09961976038047214,0.09961976038047214,0.42102096414454787,0.46164760659289494,-0.04062664244834707,2,10,0.05,common_mode
W081,W081_H_vs_Je_delta_peak,W081_V_vs_Je_delta_peak,0.46164760659289494,0.46164760659289494,0.42102096414454787,0.46164760659289494,-0.04062664244834707,2,10,0.05,common_mode
W081,W081_H_vs_Je_delta_peak,W081_V_vs_Jw_delta_peak,0.3710838887063525,0.3710838887063525,0.42102096414454787,0.46164760659289494,-0.04062664244834707,2,10,0.05,common_mode
W081,W081_H_vs_Je_delta_peak,W081_H_vs_Je_delta_peak,0.42102096414454787,0.42102096414454787,0.42102096414454787,0.46164760659289494,-0.04062664244834707,2,10,0.05,common_mode
W081,W081_H_vs_Je_delta_peak,W081_H_vs_Jw_delta_peak,0.30134150049170555,0.30134150049170555,0.42102096414454787,0.46164760659289494,-0.04062664244834707,2,10,0.05,common_mode
W081,W081_H_vs_Je_delta_peak,W081_Je_vs_Jw_delta_peak,-0.15360496512302363,0.15360496512302363,0.42102096414454787,0.46164760659289494,-0.04062664244834707,2,10,0.05,common_mode
W081,W081_H_vs_Jw_delta_peak,W081_P_vs_V_delta_peak,-0.18240304461069545,0.18240304461069545,0.6295171312138245,0.5714888413486054,0.05802828986521902,1,10,0.05,pair_specific
W081,W081_H_vs_Jw_delta_peak,W081_P_vs_H_delta_peak,-0.23587275340828082,0.23587275340828082,0.6295171312138245,0.5714888413486054,0.05802828986521902,1,10,0.05,pair_specific
W081,W081_H_vs_Jw_delta_peak,W081_P_vs_Je_delta_peak,0.05952728686913218,0.05952728686913218,0.6295171312138245,0.5714888413486054,0.05802828986521902,1,10,0.05,pair_specific
W081,W081_H_vs_Jw_delta_peak,W081_P_vs_Jw_delta_peak,0.46733341343707013,0.46733341343707013,0.6295171312138245,0.5714888413486054,0.05802828986521902,1,10,0.05,pair_specific
