window_id,bootstrap_id,object,selected_peak_day,peak_score,selected_candidate_id
W045,123,Jw,39.0,,
W045,124,P,45.0,,
W045,124,V,48.0,,
W045,124,H,46.0,,
W045,124,Je,45.0,,
W045,124,Jw,45.0,,
W045,125,P,45.0,,
W045,125,V,46.0,,
W045,125,H,46.0,,
W045,125,Je,45.0,,
W045,125,Jw,45.0,,
W045,126,P,45.0,,
W045,126,V,45.0,,
W045,126,H,37.0,,
W045,126,Je,45.0,,
W045,126,Jw,49.0,,
W045,127,P,43.0,,
W045,127,V,47.0,,
W045,127,H,27.0,,
W045,127,Je,46.0,,
W045,127,Jw,39.0,,
W045,128,P,45.0,,
W045,128,V,47.0,,
W045,128,H,46.0,,
W045,128,Je,46.0,,
W045,128,Jw,42.0,,
W045,129,P,45.0,,
W045,129,V,44.0,,
W045,129,H,38.0,,
W045,129,Je,47.0,,
W045,129,Jw,38.0,,
W045,130,P,51.0,,
W045,130,V,46.0,,
W045,130,H,39.0,,
W045,130,Je,53.0,,
W045,130,Jw,44.0,,
W045,131,P,43.0,,
W045,131,V,42.0,,
W045,131,H,50.0,,
W045,131,Je,45.0,,
W045,131,Jw,41.0,,
W045,132,P,45.0,,
W045,132,V,45.0,,
W045,132,H,35.0,,
W045,132,Je,48.0,,
W045,132,Jw,38.0,,
W045,133,P,45.0,,
W045,133,V,47.0,,
W045,133,H,47.0,,
W045,133,Je,46.0,,
W045,133,Jw,45.0,,
W045,134,P,42.0,,
W045,134,V,45.0,,
W045,134,H,34.0,,
W045,134,Je,45.0,,
W045,134,Jw,42.0,,
W045,135,P,41.0,,
W045,135,V,45.0,,
W045,135,H,34.0,,
W045,135,Je,47.0,,
W045,135,Jw,39.0,,
W045,136,P,46.0,,
W045,136,V,46.0,,
W045,136,H,36.0,,
W045,136,Je,47.0,,
W045,136,Jw,42.0,,
W045,137,P,45.0,,
W045,137,V,45.0,,
W045,137,H,36.0,,
W045,137,Je,46.0,,
W045,137,Jw,41.0,,
W045,138,P,45.0,,
W045,138,V,47.0,,
W045,138,H,34.0,,
W045,138,Je,48.0,,
W045,138,Jw,38.0,,
W045,139,P,45.0,,
W045,139,V,48.0,,
W045,139,H,35.0,,
W045,139,Je,45.0,,
W045,139,Jw,52.0,,
W045,140,P,46.0,,
W045,140,V,46.0,,
W045,140,H,32.0,,
W045,140,Je,46.0,,
W045,140,Jw,44.0,,
W045,141,P,45.0,,
W045,141,V,45.0,,
W045,141,H,35.0,,
W045,141,Je,46.0,,
W045,141,Jw,46.0,,
W045,142,P,42.0,,
W045,142,V,46.0,,
W045,142,H,31.0,,
W045,142,Je,44.0,,
W045,142,Jw,41.0,,
W045,143,P,47.0,,
W045,143,V,49.0,,
W045,143,H,39.0,,
W045,143,Je,46.0,,
W045,143,Jw,43.0,,
W045,144,P,46.0,,
W045,144,V,44.0,,
W045,144,H,33.0,,
W045,144,Je,46.0,,
W045,144,Jw,45.0,,
W045,145,P,46.0,,
W045,145,V,47.0,,
W045,145,H,47.0,,
W045,145,Je,45.0,,
W045,145,Jw,46.0,,
W045,146,P,46.0,,
W045,146,V,48.0,,
W045,146,H,39.0,,
W045,146,Je,45.0,,
W045,146,Jw,41.0,,
W045,147,P,45.0,,
W045,147,V,45.0,,
W045,147,H,46.0,,
W045,147,Je,46.0,,
W045,147,Jw,39.0,,
W045,148,P,42.0,,
W045,148,V,44.0,,
W045,148,H,33.0,,
W045,148,Je,46.0,,
W045,148,Jw,41.0,,
W045,149,P,44.0,,
W045,149,V,44.0,,
W045,149,H,35.0,,
W045,149,Je,48.0,,
W045,149,Jw,39.0,,
W045,150,P,46.0,,
W045,150,V,46.0,,
W045,150,H,47.0,,
W045,150,Je,46.0,,
W045,150,Jw,41.0,,
W045,151,P,41.0,,
W045,151,V,44.0,,
W045,151,H,54.0,,
W045,151,Je,47.0,,
W045,151,Jw,42.0,,
W045,152,P,42.0,,
W045,152,V,42.0,,
W045,152,H,51.0,,
W045,152,Je,44.0,,
W045,152,Jw,41.0,,
W045,153,P,45.0,,
W045,153,V,44.0,,
W045,153,H,34.0,,
W045,153,Je,47.0,,
W045,153,Jw,42.0,,
W045,154,P,45.0,,
W045,154,V,43.0,,
W045,154,H,30.0,,
W045,154,Je,45.0,,
W045,154,Jw,43.0,,
