bootstrap_id,sampled_year_indices
151,30;39;11;19;18;13;40;26;0;43;35;28;16;5;0;0;25;17;7;41;1;9;20;19;13;36;29;38;5;6;19;44;24;11;24;11;34;4;40;35;29;23;6;22;6
152,17;20;33;6;32;32;12;35;1;8;10;13;43;33;28;17;13;14;0;12;3;40;26;24;10;13;12;12;9;42;15;32;6;41;29;7;44;27;12;34;25;21;8;35;22
153,2;20;17;36;33;1;40;34;4;37;1;34;12;33;30;30;38;38;9;3;36;37;33;31;39;44;10;30;42;26;35;37;34;10;10;44;44;40;41;24;29;14;4;36;7
154,44;8;38;31;31;10;5;37;1;4;19;38;42;32;35;6;25;30;39;18;22;9;13;24;35;17;13;26;30;35;42;37;9;25;6;27;1;18;14;39;34;11;19;18;44
155,44;7;9;26;27;41;8;12;17;14;40;30;27;27;3;12;22;20;4;44;30;21;44;28;13;32;2;10;34;1;33;33;0;38;39;15;42;0;30;29;32;24;10;42;4
156,17;9;2;23;11;7;10;10;2;21;19;27;1;1;25;16;10;25;35;24;4;35;38;5;38;13;10;31;41;19;42;16;12;24;38;18;12;30;16;31;43;30;29;29;0
157,18;17;36;31;34;20;26;3;31;30;28;44;30;39;28;28;29;12;4;42;8;33;7;36;11;22;2;21;12;22;44;35;29;27;36;36;3;6;36;5;43;23;35;20;23
158,25;7;0;9;5;15;37;9;25;19;31;42;16;16;19;28;9;29;16;1;14;32;16;10;44;1;2;29;0;37;40;44;6;2;35;24;23;38;36;2;32;0;16;5;1
159,25;37;13;40;3;23;30;36;32;7;10;38;6;42;25;33;18;21;42;29;26;4;37;23;27;9;20;19;43;33;25;6;12;3;19;33;44;13;20;38;1;2;28;11;33
160,42;1;32;23;22;13;10;37;1;40;5;33;13;10;37;16;40;6;12;36;8;20;35;44;24;32;17;27;33;15;44;42;40;6;18;5;10;12;25;24;16;37;22;44;34
161,32;33;37;2;14;39;5;15;8;40;18;25;0;10;20;22;29;25;26;27;30;42;42;28;16;8;33;26;42;28;10;17;10;28;25;26;14;14;40;6;20;44;2;30;26
162,24;38;3;1;13;12;4;0;5;40;18;15;24;9;19;35;24;39;6;29;40;43;28;8;15;41;26;33;37;24;15;4;31;42;25;17;27;16;27;35;22;13;31;19;42
163,43;39;38;40;20;23;0;36;17;41;12;7;20;28;20;10;25;32;19;5;42;9;33;32;14;22;21;15;15;12;27;1;35;15;32;18;26;40;36;9;23;27;28;6;5
164,1;8;29;32;22;27;16;11;31;10;37;38;40;1;37;18;37;43;41;23;28;8;14;30;8;5;4;30;26;23;9;41;12;2;19;0;18;5;0;32;19;36;25;2;9
165,8;32;21;2;4;13;15;3;5;23;14;21;39;36;36;24;5;19;44;0;38;35;39;22;33;33;38;41;1;28;11;7;31;43;17;34;30;2;40;42;30;38;38;1;23
166,39;39;32;11;44;8;41;33;42;26;7;43;18;1;39;16;23;12;26;23;8;10;27;4;9;14;39;38;7;9;31;10;23;22;10;40;2;42;36;0;20;23;33;32;25
167,19;29;39;1;10;41;3;2;18;24;14;30;31;42;0;22;27;7;22;27;27;29;15;4;23;29;17;34;20;20;12;37;32;10;41;13;21;30;23;11;40;44;27;24;19
168,19;18;36;16;4;37;33;3;30;36;40;23;13;18;3;4;11;14;26;26;34;0;4;23;9;8;38;10;44;26;32;34;22;38;6;33;14;35;28;1;9;34;34;17;31
169,31;7;27;24;39;30;17;21;25;38;3;10;6;24;6;27;29;34;31;7;7;10;15;40;13;44;4;41;23;12;34;1;40;11;19;13;39;0;18;5;25;1;9;8;11
170,32;27;26;32;42;21;6;24;3;14;21;10;43;34;2;10;17;19;1;13;34;6;18;20;22;41;33;30;3;11;9;3;37;20;19;43;31;5;28;10;17;22;9;24;34
171,21;25;25;8;33;3;43;39;22;26;14;7;41;33;20;35;10;23;1;23;1;12;35;13;37;0;19;33;16;32;37;16;26;4;2;32;44;43;24;4;7;44;19;7;28
172,21;12;40;13;12;0;7;38;43;38;43;10;40;2;25;30;33;19;16;41;38;44;12;27;0;44;34;30;1;21;40;31;3;43;7;26;42;39;37;2;5;18;31;31;38
173,2;9;6;11;20;0;33;41;27;33;18;9;31;8;16;5;10;3;25;14;25;4;25;2;6;10;23;21;6;25;40;25;12;4;17;29;31;7;22;30;26;28;43;4;23
174,9;13;2;29;11;16;9;7;36;44;3;14;20;28;33;26;12;36;42;6;9;18;0;8;31;20;33;32;13;40;22;20;43;24;44;3;42;9;23;33;9;15;11;21;41
175,35;5;4;26;12;5;43;36;31;8;26;7;40;4;37;38;0;0;32;3;38;0;3;25;21;13;23;14;6;36;26;22;9;19;29;5;15;12;39;9;41;19;13;3;7
176,6;9;33;9;7;15;25;4;8;27;41;7;8;1;35;1;41;28;23;43;28;40;12;9;34;38;24;43;1;37;14;4;16;11;5;1;27;38;17;17;22;14;31;27;16
177,29;25;19;22;5;42;9;10;20;29;17;4;11;24;35;27;23;28;20;14;20;6;6;32;40;30;13;38;10;7;27;15;13;27;4;30;9;36;33;10;17;7;14;26;2
178,3;1;42;7;36;25;40;9;13;10;42;22;24;41;43;24;24;39;8;43;35;32;16;27;10;17;3;21;32;14;41;24;13;28;30;14;23;42;29;26;6;23;7;1;7
179,24;20;12;11;26;30;25;40;35;9;4;33;3;34;17;5;23;39;42;5;16;6;7;5;27;23;18;26;31;4;9;38;8;27;28;8;12;24;4;21;10;31;20;43;7
180,33;13;7;2;16;15;12;42;10;38;25;5;37;31;22;18;44;35;28;5;16;17;24;10;32;14;20;38;4;26;30;24;35;29;24;37;20;10;33;28;43;32;20;7;2
181,28;25;41;24;23;7;3;23;13;23;4;19;11;29;28;5;32;17;34;0;1;21;20;28;34;1;39;40;27;40;35;34;43;16;25;36;26;8;28;11;32;32;8;37;40
182,29;38;37;39;3;19;21;35;11;20;16;25;22;10;14;20;7;0;38;11;12;10;3;33;39;33;31;24;15;36;26;42;3;15;33;10;11;10;0;38;7;36;15;37;34
183,15;16;21;8;33;37;29;4;43;10;9;16;36;13;9;43;44;32;1;27;37;36;3;8;16;27;5;6;31;26;8;35;19;6;37;6;17;7;41;37;28;31;39;15;25
184,43;20;31;4;14;30;31;13;28;3;13;16;10;6;11;15;0;30;35;21;30;5;21;28;40;17;18;20;22;39;24;42;6;18;1;20;34;33;29;34;15;15;30;10;32
185,37;9;22;30;6;15;44;30;36;36;8;39;13;40;39;7;12;31;7;9;37;1;4;22;24;24;17;0;38;25;21;16;15;1;31;22;41;38;43;44;6;3;22;35;38
186,1;12;29;35;30;13;15;3;44;35;29;16;20;39;18;13;12;18;29;30;43;41;29;2;12;43;35;40;30;44;44;8;5;39;18;9;27;7;9;35;30;22;39;14;21
187,42;39;39;19;44;1;27;15;2;36;14;10;33;24;12;5;8;3;36;34;25;34;31;6;15;32;34;37;43;24;42;39;20;21;16;20;6;13;19;30;28;10;28;38;23
188,17;11;42;40;7;14;30;16;32;0;16;43;26;21;2;14;30;38;17;8;44;42;8;35;27;6;21;36;41;16;20;32;20;25;7;39;39;1;42;30;25;34;29;34;10
189,40;40;22;41;4;27;12;31;27;2;39;2;15;8;27;0;2;7;18;25;8;21;14;15;7;26;40;37;38;4;3;31;22;38;10;23;22;9;36;33;18;36;1;20;2
190,11;5;15;23;24;11;37;23;12;31;24;0;5;2;20;44;9;5;20;44;35;31;34;38;4;28;5;17;23;4;37;16;28;38;41;5;20;17;23;36;8;32;0;39;35
191,1;35;1;40;38;3;34;26;2;19;13;17;8;28;25;16;13;1;37;34;41;9;7;4;17;18;42;37;2;7;2;41;16;23;13;28;43;3;7;37;36;2;16;8;17
192,31;25;44;25;17;31;26;26;27;36;5;19;25;32;5;22;35;37;18;17;27;43;34;6;2;33;13;25;14;32;8;26;26;31;6;8;41;7;25;42;11;37;25;5;16
193,38;44;17;39;19;20;22;29;5;14;19;31;13;29;31;42;35;25;7;31;6;13;44;34;11;43;25;13;35;2;24;35;0;33;14;21;9;7;22;3;4;3;13;22;37
194,35;11;30;30;34;9;11;13;14;10;37;27;40;25;7;23;4;23;39;4;7;35;10;18;11;44;21;35;26;19;23;37;38;3;25;15;8;19;8;27;28;43;8;20;44
195,31;44;17;32;29;20;40;21;41;26;40;43;34;14;35;0;31;19;16;11;14;39;43;8;29;31;27;7;3;36;9;35;4;1;24;25;13;18;14;44;40;9;42;28;23
196,0;42;42;10;22;17;24;15;17;32;19;17;35;20;42;19;40;27;11;35;28;2;10;6;43;13;19;31;27;28;40;18;30;43;31;41;32;0;15;22;25;1;26;44;13
197,37;14;21;33;8;12;42;34;6;19;31;33;22;27;2;37;15;17;32;18;30;4;24;36;21;5;44;14;42;29;13;32;23;44;4;6;35;34;44;20;7;2;29;18;7
198,3;25;9;18;15;3;5;11;26;33;14;35;12;2;36;5;8;24;5;20;36;30;0;13;42;21;37;39;2;39;43;41;40;36;40;42;35;24;25;40;10;40;11;11;16
199,40;18;13;20;12;22;37;5;6;34;30;26;17;2;22;26;7;8;40;37;31;2;7;26;18;3;21;21;36;17;22;21;7;22;8;8;30;1;42;11;6;32;29;43;20
200,21;3;19;33;16;17;15;34;27;8;1;22;37;7;27;15;21;35;38;1;37;2;29;35;28;1;27;15;12;5;0;10;6;26;4;4;6;39;33;26;24;0;22;38;12
201,16;42;42;16;29;28;34;12;12;0;37;27;12;9;31;6;39;6;20;26;5;29;4;24;39;2;16;36;14;17;13;20;1;43;7;20;9;34;7;11;12;23;4;15;12
202,22;17;15;21;11;35;34;3;19;5;1;43;39;11;37;20;6;21;29;16;18;32;1;38;4;10;9;25;6;36;18;40;19;42;20;32;7;44;40;32;19;7;39;37;9
203,25;9;39;15;14;19;44;37;38;39;41;38;44;27;38;42;27;42;41;26;20;39;1;43;12;2;41;35;44;3;1;44;42;37;3;39;7;1;39;36;24;34;0;26;6
204,32;17;22;22;8;1;22;2;21;35;21;42;31;43;13;10;10;20;21;42;25;16;23;14;18;13;7;32;35;34;7;11;5;43;10;38;4;16;6;29;43;31;44;42;29
205,5;30;14;2;21;40;13;36;7;28;42;19;30;8;9;39;31;9;37;20;20;44;40;1;41;8;19;39;37;41;30;15;35;10;13;16;12;19;29;6;1;13;31;11;44
206,29;38;37;16;28;8;18;4;35;34;7;9;17;36;5;21;38;40;18;35;27;31;21;11;27;44;30;2;24;31;5;5;10;16;31;21;2;41;44;11;33;26;41;12;38
207,32;0;44;13;24;24;11;32;7;28;19;20;31;30;35;27;11;33;3;30;36;32;37;11;12;2;32;6;19;9;13;39;8;40;23;19;15;33;37;25;40;35;24;43;1
208,10;6;0;28;4;14;17;11;26;20;30;29;16;0;44;38;13;44;16;40;16;12;12;20;20;13;33;26;20;11;42;2;11;5;42;16;20;7;38;26;25;11;35;2;19
209,1;3;17;6;38;7;9;9;17;41;23;20;31;30;11;29;10;40;32;24;10;25;20;3;41;31;36;30;31;31;15;7;11;32;1;5;1;22;24;6;39;22;15;42;34
210,13;27;3;44;11;4;41;34;15;41;7;7;13;43;30;9;15;4;12;8;33;12;6;22;27;18;42;5;7;29;34;34;9;25;8;8;3;25;14;1;17;28;24;38;8
211,37;34;21;8;31;6;36;3;36;35;43;12;22;18;29;34;41;21;39;16;30;10;14;0;16;37;18;19;18;42;29;38;26;8;4;10;44;31;43;3;2;8;25;39;8
212,43;18;26;33;12;34;12;33;4;37;2;9;6;38;6;12;5;33;17;4;34;36;42;40;34;21;8;3;4;16;35;39;39;34;7;1;23;2;17;4;15;23;13;2;11
213,19;16;42;23;11;38;42;29;30;44;42;16;6;4;43;32;29;43;24;12;21;32;41;38;30;0;3;34;29;1;30;8;10;19;5;16;42;33;19;10;2;6;13;18;15
214,0;2;1;33;24;8;22;26;18;5;22;28;6;41;5;28;20;27;30;40;29;39;13;30;14;9;4;21;39;6;18;25;27;11;20;44;26;10;20;37;21;21;27;10;34
215,21;20;35;10;43;3;20;33;16;29;12;44;17;35;20;19;34;13;42;31;29;27;33;38;12;19;10;23;5;25;16;17;24;1;20;2;5;34;4;27;1;7;4;2;3
216,4;6;13;19;12;12;11;31;16;12;22;0;33;34;41;42;21;38;33;23;37;24;38;26;4;21;2;5;18;27;33;7;10;28;18;34;2;36;13;38;42;23;26;9;10
217,23;41;16;23;2;13;30;22;5;14;25;17;19;9;1;16;26;8;11;35;0;0;4;10;2;36;13;19;44;11;42;13;15;23;19;17;32;2;8;27;9;27;10;27;1
218,27;36;38;40;31;16;9;10;0;30;13;3;40;10;17;6;10;31;27;13;44;20;15;3;1;33;6;37;24;23;38;18;22;17;7;2;5;2;26;24;0;37;25;36;29
219,16;28;25;27;27;19;24;42;44;19;13;32;21;29;9;7;20;5;32;22;8;23;2;13;37;21;5;21;14;23;25;12;16;36;1;18;8;26;37;35;42;16;8;44;5
220,32;9;13;0;12;10;1;7;27;11;7;34;26;18;37;35;15;32;22;7;34;16;26;17;7;37;18;34;2;44;21;4;32;7;18;22;4;37;38;34;5;22;7;10;9
221,17;42;37;19;38;39;28;20;37;23;12;17;9;13;17;6;28;21;19;16;21;40;0;11;39;30;0;35;32;33;15;22;10;5;32;22;44;11;0;13;8;22;37;37;14
222,19;35;37;43;41;18;32;19;31;35;2;4;12;19;5;44;12;7;32;1;7;6;21;41;37;0;5;0;41;7;0;2;30;19;7;15;41;2;28;27;14;17;33;6;38
223,41;3;5;40;37;18;8;43;5;23;2;9;37;21;6;13;27;7;38;2;8;10;9;21;30;1;24;23;11;26;35;27;11;32;7;32;31;41;7;39;30;40;33;14;28
224,6;5;12;32;38;36;10;27;25;5;40;4;6;4;16;6;43;2;40;32;24;40;7;9;11;43;42;32;20;23;44;42;20;7;39;39;29;38;21;20;23;21;23;31;21
225,26;34;16;37;24;19;18;18;19;6;29;21;42;20;42;9;2;10;0;17;30;24;2;17;22;42;15;27;12;30;11;22;20;4;7;15;35;14;9;33;43;11;21;29;26
226,3;44;42;39;35;40;42;21;22;14;21;20;4;37;21;4;8;2;20;35;38;20;1;41;23;20;14;37;20;44;34;10;11;8;3;14;24;28;29;35;43;8;25;4;6
227,17;38;33;22;2;3;44;5;1;33;43;30;37;18;23;13;28;43;2;43;4;15;36;34;29;38;5;32;12;38;28;25;34;38;37;42;11;7;8;18;18;36;5;41;2
228,39;18;40;31;41;1;40;26;23;16;31;34;2;31;32;41;17;22;31;42;5;25;43;5;17;22;43;35;36;37;3;35;44;17;42;5;32;20;41;30;7;26;41;20;13
229,6;43;10;5;39;8;39;15;5;38;28;30;6;6;30;31;6;11;14;43;29;33;29;19;6;38;37;38;21;40;38;9;19;43;23;32;23;12;28;35;24;42;2;37;19
230,36;31;43;39;28;18;34;20;34;22;40;13;12;29;6;19;22;9;43;37;2;0;1;41;38;5;10;10;9;5;1;42;8;24;30;6;1;26;29;13;18;19;31;34;12
231,21;43;24;2;39;26;9;32;18;23;7;2;28;26;30;14;43;18;28;29;4;25;14;39;28;22;13;43;31;20;30;29;12;27;34;23;0;43;10;12;1;12;7;36;3
232,0;30;11;0;27;44;35;34;30;42;19;0;41;23;25;15;12;30;29;11;19;42;43;7;24;21;5;13;9;16;5;18;12;9;14;0;9;19;15;43;0;29;41;43;33
233,29;10;10;0;15;2;6;22;27;25;23;25;5;21;41;7;16;25;28;32;3;43;37;44;13;32;11;21;10;3;37;19;30;38;6;36;15;15;0;19;24;15;34;7;4
234,26;17;4;3;12;20;36;27;26;29;21;44;26;35;32;1;37;25;30;37;31;11;42;4;24;40;41;3;22;15;7;19;16;16;7;0;5;6;38;32;44;40;10;37;5
235,9;38;21;28;44;29;23;40;21;5;43;44;2;42;28;15;16;33;38;32;34;13;8;11;16;34;43;30;3;35;23;1;27;41;5;33;22;43;4;36;18;5;20;13;26
236,7;37;39;30;28;38;4;19;36;42;9;5;0;8;44;28;18;28;7;36;41;38;8;34;9;5;7;24;17;5;5;13;8;1;11;20;9;24;23;7;32;44;26;9;27
237,33;26;1;41;3;38;35;14;5;29;41;4;3;30;12;14;28;5;21;11;33;25;43;12;34;22;44;27;7;21;16;17;13;29;6;38;1;1;42;41;44;8;34;44;10
238,20;42;16;30;36;1;19;23;2;42;44;23;29;1;20;12;40;14;30;21;35;10;11;37;13;34;12;36;10;12;3;17;27;39;39;41;26;38;38;21;24;18;3;6;38
239,41;28;9;16;18;3;2;37;34;19;27;35;29;11;9;9;7;14;34;21;42;27;12;35;19;7;22;36;29;36;5;34;5;24;41;19;17;24;22;31;35;21;22;37;13
240,23;25;33;16;14;15;41;14;1;33;24;24;13;25;40;4;20;22;28;26;32;13;27;41;15;25;23;24;14;22;36;7;33;26;5;6;20;37;22;8;2;3;17;14;9
241,33;4;29;6;39;42;40;32;11;12;4;38;23;40;7;2;0;30;37;44;1;36;12;9;18;36;34;28;37;1;0;10;44;4;4;2;6;8;18;0;11;17;19;2;25
242,10;26;43;15;25;26;21;13;34;42;37;25;15;12;7;11;13;16;19;24;37;37;13;28;1;21;16;36;42;43;1;42;11;36;29;37;31;29;32;20;23;7;29;6;26
243,23;23;25;12;3;1;19;16;1;12;18;6;34;44;6;25;24;7;15;0;5;39;11;44;11;40;29;1;8;30;7;43;37;11;12;7;31;39;32;31;0;38;35;27;27
244,11;37;37;44;10;36;26;23;44;12;16;26;34;44;39;7;32;27;18;14;33;24;1;42;11;22;23;19;31;25;2;23;18;5;14;21;19;37;43;12;24;5;19;7;38
245,1;21;9;27;17;38;14;40;39;40;13;36;29;32;31;21;15;25;30;10;33;3;43;33;40;26;22;10;16;38;27;33;2;13;27;42;16;5;11;28;36;25;38;36;26
246,11;40;42;18;13;27;9;21;11;44;13;18;26;18;29;9;28;39;30;33;43;18;20;14;5;16;2;25;9;38;29;44;39;12;4;39;40;32;20;19;15;27;9;13;22
247,14;31;44;16;31;18;42;43;36;3;8;41;44;44;24;11;31;4;14;26;25;44;28;0;21;11;4;12;40;26;21;41;42;44;0;14;39;27;40;31;8;39;17;18;42
248,43;10;8;41;8;26;43;6;3;1;28;4;39;33;41;42;27;11;28;20;43;31;31;6;37;41;7;17;11;25;39;25;18;8;21;1;7;28;0;26;24;25;32;34;9
249,34;16;14;25;5;18;0;22;34;40;18;25;19;18;19;11;39;44;36;43;27;4;22;31;11;7;24;21;34;20;4;25;38;3;14;7;2;16;24;34;44;1;26;33;25
250,25;1;29;8;3;18;35;32;40;7;22;32;30;9;5;19;34;43;5;26;0;30;33;25;7;20;5;38;44;17;11;36;29;34;23;0;44;26;20;1;39;43;16;16;25
251,38;32;10;41;36;34;26;16;28;8;33;31;31;39;21;2;40;36;9;5;17;25;27;32;36;21;18;23;42;38;27;34;37;19;29;33;7;28;15;33;4;42;14;20;14
252,27;39;8;32;29;30;43;31;24;37;6;36;8;22;32;2;13;41;1;6;7;0;20;22;19;22;28;32;36;1;2;35;25;1;4;15;33;9;3;28;13;9;28;26;0
253,2;31;27;17;21;37;12;25;18;7;33;42;11;21;29;7;20;18;26;9;5;17;26;2;22;32;44;12;9;8;41;9;28;19;3;38;6;3;25;27;28;9;27;14;33
254,9;11;18;5;44;29;29;19;16;23;2;6;4;40;15;8;18;40;39;13;17;21;16;23;13;29;34;1;35;37;40;16;9;0;22;6;32;17;28;37;0;2;8;30;8
255,26;34;9;21;36;25;24;22;42;36;36;9;32;32;43;33;23;7;1;5;32;38;5;17;24;0;21;17;43;36;11;12;4;36;24;11;28;0;34;24;20;40;29;28;25
256,13;35;34;2;37;16;31;8;25;7;41;23;43;13;9;3;21;9;30;32;42;12;10;25;42;39;37;1;15;16;11;42;19;20;9;20;27;13;0;6;42;11;19;25;14
257,10;28;26;29;21;36;21;12;29;22;15;8;10;17;5;6;18;43;23;14;26;15;42;0;5;6;22;19;25;16;31;23;5;12;15;22;2;11;5;16;20;21;28;41;10
258,1;39;11;2;8;17;36;0;35;17;36;3;27;31;34;1;42;13;20;1;26;31;40;38;31;43;28;19;44;40;24;18;24;7;0;11;17;42;38;42;5;43;0;27;7
259,23;28;4;2;11;28;22;41;41;10;34;18;38;23;33;41;27;27;35;43;42;24;2;32;22;31;16;19;36;38;16;31;15;23;1;8;31;19;28;30;32;10;21;26;39
260,19;26;13;35;22;19;6;37;33;30;12;32;25;11;10;22;14;17;24;9;32;30;14;32;8;8;12;31;36;1;28;12;2;14;42;2;27;4;2;40;13;23;7;19;24
261,36;26;22;28;26;12;8;31;1;26;18;36;40;31;7;12;2;13;27;9;2;10;10;27;2;43;36;40;28;6;41;32;40;39;2;21;0;13;11;27;41;5;4;38;33
262,26;25;40;12;3;22;0;40;0;36;7;26;0;10;9;24;19;10;18;36;28;9;24;31;34;13;2;39;18;11;1;12;9;23;5;18;11;24;34;14;0;13;44;43;6
263,38;32;13;36;17;32;13;42;29;34;36;23;31;29;34;3;12;23;28;25;4;10;2;36;23;43;11;14;26;26;39;24;24;4;21;7;18;19;0;38;21;32;29;0;3
264,39;23;7;40;32;40;4;20;20;4;2;31;22;39;35;1;6;14;41;37;12;25;43;28;17;33;37;29;35;39;4;32;41;15;5;13;24;7;37;13;5;10;42;23;41
265,37;30;44;36;36;12;12;8;43;9;34;7;26;20;13;43;12;6;9;30;41;1;31;8;17;26;22;38;30;8;34;15;0;3;30;7;22;33;3;15;29;17;38;41;18
266,1;30;4;9;39;19;33;44;39;31;21;23;40;41;8;44;13;7;24;41;43;17;0;0;40;0;30;39;2;33;29;2;42;33;22;8;5;43;32;39;8;0;18;16;23
267,30;28;13;14;11;29;36;6;29;35;28;15;30;41;30;44;25;19;19;10;1;43;24;30;22;37;31;30;25;3;24;16;9;2;2;16;20;8;25;3;10;23;28;41;32
268,13;41;6;18;9;14;41;35;21;20;9;40;15;0;39;39;24;0;27;37;38;7;1;20;24;13;20;28;37;31;10;3;10;32;20;32;14;24;19;34;36;5;38;39;36
269,2;6;28;41;13;42;2;29;24;15;4;28;19;23;16;15;5;7;29;16;1;13;8;3;17;8;19;32;10;33;4;27;35;8;11;27;10;42;30;29;1;38;22;11;4
270,28;18;23;28;12;34;26;17;6;43;13;17;6;34;34;0;9;9;35;44;33;25;11;7;25;44;40;21;9;17;7;39;27;4;8;8;29;43;11;15;7;37;21;5;37
271,18;38;19;34;3;15;3;34;4;35;27;18;42;0;40;34;28;1;38;17;43;1;19;21;5;31;43;11;34;11;28;10;39;17;7;25;15;28;35;38;2;31;34;26;37
272,17;35;8;2;3;9;27;9;0;11;16;22;3;26;11;25;16;36;8;43;22;18;5;15;39;15;3;33;14;42;42;6;13;18;33;12;19;3;23;33;19;39;39;41;37
273,8;39;44;18;24;1;44;22;37;16;38;8;21;12;7;34;42;16;5;38;8;19;2;7;13;1;5;15;8;43;10;23;21;6;21;7;41;3;35;41;43;13;8;24;17
274,27;32;18;28;15;11;26;42;5;2;35;32;2;7;9;23;12;28;30;8;7;4;29;28;11;27;12;23;7;15;44;23;22;43;25;8;18;20;42;17;32;7;8;23;13
275,12;36;12;11;12;22;40;35;35;18;13;15;13;24;35;38;35;27;13;4;41;30;17;9;40;2;20;12;29;10;4;23;3;12;27;9;40;27;20;9;5;0;7;9;14
276,5;8;4;17;29;41;43;0;26;9;22;26;32;38;22;21;6;37;11;2;40;13;31;39;5;3;3;28;36;36;43;41;28;35;17;35;43;3;34;21;30;15;26;26;24
277,24;15;7;32;6;4;22;34;23;25;35;23;10;10;19;2;24;40;16;6;1;42;43;36;6;20;22;31;3;21;32;43;28;29;10;37;38;8;7;27;35;28;41;8;39
278,40;42;33;6;3;24;10;21;38;29;16;22;3;39;2;0;23;27;24;17;44;5;2;15;37;35;16;31;7;11;1;43;15;38;32;1;0;42;6;5;3;6;14;9;28
279,34;34;0;16;19;6;20;25;2;3;18;26;34;7;23;41;0;17;39;8;9;31;13;22;23;41;14;29;26;40;29;26;23;30;16;8;42;18;6;27;39;15;11;7;30
280,2;6;21;31;38;41;26;42;6;31;22;43;29;23;36;5;1;25;4;41;2;28;0;36;22;30;13;33;5;10;22;6;40;31;22;18;29;38;28;14;3;36;9;20;6
281,37;5;29;42;13;37;32;32;1;26;26;24;2;4;32;22;37;28;15;40;39;14;23;44;2;32;16;6;36;16;21;11;34;36;15;15;31;27;12;36;16;2;12;35;38
282,14;27;28;11;40;23;29;7;30;22;17;40;19;24;13;41;5;25;25;3;36;42;0;6;8;21;39;31;12;42;38;28;13;10;37;0;17;43;0;2;42;14;10;44;34
283,32;2;24;28;33;43;17;2;36;27;39;27;4;22;16;44;22;2;8;39;27;19;42;22;7;40;43;8;24;2;13;38;31;41;41;5;9;13;18;35;35;36;31;10;0
284,24;41;26;14;31;15;23;19;19;21;35;4;32;43;43;19;27;42;31;36;15;34;3;17;24;28;25;11;33;36;14;37;7;13;29;22;39;0;20;1;24;35;14;2;31
285,29;26;20;18;5;32;27;26;35;35;15;37;12;1;36;42;36;29;29;38;20;26;2;40;41;31;14;3;2;29;28;21;28;5;26;35;24;18;24;36;8;0;42;36;14
286,18;34;4;19;3;3;18;4;10;7;0;15;33;30;8;6;40;31;11;10;17;3;20;24;42;0;43;14;17;13;1;24;25;15;18;25;24;5;23;33;40;44;38;11;6
287,27;9;14;42;8;33;17;22;44;43;35;33;6;37;34;16;0;12;38;3;19;3;3;30;8;12;38;13;22;40;25;26;20;2;4;40;32;30;32;1;26;22;26;10;28
288,34;43;26;41;17;3;8;30;6;35;19;44;27;16;6;15;39;13;19;39;18;2;20;5;33;29;7;40;34;2;21;23;29;25;28;44;43;12;44;29;31;34;11;4;19
289,11;27;28;39;42;30;3;31;3;19;4;31;16;18;14;25;16;1;24;16;28;35;44;1;35;1;22;27;37;7;31;9;6;2;23;0;34;6;23;7;26;24;29;2;36
290,33;30;16;3;7;10;9;1;6;33;13;22;15;3;12;21;4;7;25;41;28;25;12;31;29;18;32;9;20;3;9;29;18;23;13;2;13;26;4;36;22;25;30;33;18
291,19;29;8;22;28;1;41;15;0;30;8;3;33;11;15;20;25;0;19;38;6;21;23;4;35;36;10;39;24;21;39;43;36;1;17;16;23;14;7;16;44;39;19;11;14
292,33;37;38;32;15;30;17;28;41;20;30;6;42;22;14;0;33;15;39;37;37;18;21;39;30;13;19;34;20;37;42;39;1;3;12;16;30;30;15;41;40;14;30;9;10
293,42;24;8;12;27;22;33;44;21;34;1;7;7;37;19;30;41;35;23;37;17;38;32;8;35;7;40;29;27;12;9;31;14;13;44;29;1;11;41;33;6;16;3;41;42
294,35;7;37;38;9;34;4;2;36;10;28;25;6;38;1;15;0;29;37;41;19;10;37;14;7;3;17;37;12;32;25;44;32;44;16;28;40;30;18;14;6;20;6;2;17
295,35;28;26;15;35;10;43;7;20;39;30;34;39;13;21;32;30;6;28;41;15;22;25;24;36;27;27;0;9;20;12;30;21;4;36;19;27;1;17;4;4;42;40;12;25
296,39;18;10;31;32;25;33;20;23;35;40;21;1;32;23;4;22;17;44;21;37;4;36;14;21;39;2;24;40;14;14;16;9;28;37;23;31;38;29;40;2;24;14;20;38
297,18;19;9;41;36;8;10;30;13;36;26;35;31;15;38;13;15;7;34;16;2;0;9;16;21;7;13;18;32;12;11;10;13;5;22;0;38;36;18;15;6;19;28;27;10
298,31;39;16;5;6;27;2;21;18;6;9;28;42;7;14;27;36;26;19;32;38;0;4;2;21;11;4;6;41;27;19;33;20;32;39;5;0;14;38;16;5;4;13;2;41
299,32;15;39;15;2;31;16;16;25;26;10;27;22;34;25;44;18;20;17;14;2;26;30;25;34;17;35;44;34;30;5;32;17;35;4;2;27;41;44;34;19;35;23;30;36
300,38;30;40;32;39;38;16;7;35;2;22;36;31;34;31;14;27;39;3;44;21;8;17;26;1;33;38;33;4;41;37;6;5;42;18;8;30;29;15;17;6;36;34;6;6
301,27;14;20;12;23;40;41;14;25;20;32;8;0;37;33;0;22;17;6;7;24;39;1;2;30;18;41;28;28;40;1;8;3;27;24;27;14;26;10;40;20;31;1;42;20
