year,day,V_PC1,V_PC2,V_PC3,V_PC4,V_PC5
1980,47,114.816605,68.023895,105.066635,-7.3524127,50.320644
1980,48,59.949017,79.98539,191.1166,-9.754263,81.520485
1980,49,25.735243,56.118248,201.78497,-1.9042532,93.29314
1980,50,-13.35176,65.12194,112.06346,4.9006004,74.71813
1980,51,-35.830105,58.97407,16.28207,43.23123,76.592445
1980,52,-97.376305,65.39898,-102.15112,34.39695,51.677654
1980,53,-76.3758,107.19433,-204.36139,11.366977,-25.537334
1980,54,22.882204,133.49995,-231.65509,-51.690014,-64.42131
1980,55,106.19378,161.86307,-263.6435,-40.09296,-21.136784
1980,56,116.1469,182.67989,-229.67265,-49.01249,6.159401
1980,57,155.91708,137.82312,-171.37646,-10.417444,31.849716
1980,58,60.764275,53.780907,-131.95195,7.3824635,102.670044
1980,59,-76.67816,93.1636,-172.92654,11.142348,107.356766
1980,60,-83.75018,113.078476,-139.72939,-23.229168,37.372948
1980,61,13.683097,67.898575,-135.92007,-56.13011,-26.324202
1980,62,49.642963,4.2966566,-143.01648,-71.46665,-49.40615
1980,63,42.240158,-40.12398,-142.73772,-35.945335,-25.129187
1980,64,-5.7405143,-95.92903,-119.117676,31.533747,67.52789
1980,65,-106.22918,-95.86078,-75.99615,30.481411,139.93555
1980,66,-176.8862,-19.916224,-37.474106,77.911064,182.03403
1980,67,-195.84697,44.442207,27.08456,99.21802,172.82953
1980,68,-194.81612,70.53418,67.583885,73.053314,119.03697
1980,69,-149.76869,88.4126,53.97333,20.025938,62.696453
1980,70,-74.31012,14.423219,24.750662,54.077282,36.455845
1980,71,-95.130066,-65.82675,26.744522,44.97273,27.761219
1980,72,-130.18567,-77.44927,3.5654063,-4.2427115,51.457596
1980,73,-137.59625,-71.90198,-40.713894,-19.305237,110.08712
1980,74,-155.57973,-79.4946,-88.40408,-31.73769,154.54504
1980,75,-154.31088,-45.285156,-161.00574,-76.3667,172.07289
1980,76,-82.633354,-50.306595,-217.9836,-100.0237,152.96982
1980,77,-26.366295,-88.8795,-236.20552,-90.18328,128.58882
1980,78,14.865632,-79.13612,-211.69725,-84.46713,92.270996
1980,79,63.217854,-62.67534,-134.7653,-67.25933,35.99639
1980,80,43.858166,-82.76452,-60.070797,-48.074913,7.013106
1980,81,-5.6650887,-91.272865,-35.885468,-21.880806,37.233963
1980,82,-44.453243,-105.05854,-3.9835923,32.334366,67.42622
1980,83,-79.61974,-112.855415,15.117099,54.100494,87.10109
1980,84,-96.93729,-98.2096,-7.4591193,86.69224,85.641014
1980,85,-100.50386,-99.98077,2.9852793,163.2197,41.000145
1980,86,-151.28201,-112.952515,41.011463,169.53784,-34.837204
1980,87,-165.97888,-118.39491,22.511087,122.92158,-77.41024
1980,88,-169.23006,-159.46968,52.70293,95.92309,-83.64025
1980,89,-145.15823,-150.46857,117.89375,36.739532,-24.531786
1980,90,-76.82768,-71.257996,166.14108,-36.87566,42.543682
1980,91,25.193974,11.769425,167.94951,-90.10114,77.06712
1980,92,96.49691,65.29439,154.29068,-143.36108,64.42261
1980,93,153.56465,128.01912,83.65034,-184.50507,9.725763
1980,94,159.66344,114.36977,2.4958918,-197.34009,-62.9446
1980,95,130.04912,68.40787,-75.6753,-211.9792,-96.142395
1980,96,91.98591,6.7764626,-110.018585,-189.55588,-83.56069
1980,97,89.26448,15.173099,-75.884636,-130.40405,-7.567805
1980,98,115.35078,68.81521,-39.63463,-57.268635,52.018948
1980,99,137.22073,152.84526,-16.639652,22.53975,49.91997
1980,100,166.45161,191.51328,14.822772,102.93336,-14.384917
1980,101,165.63602,240.8354,47.65139,163.80833,-91.85512
1980,102,105.32754,268.41998,44.392006,180.36624,-194.84561
1980,103,28.67246,185.10654,47.816467,166.97728,-252.88618
1980,104,-51.106678,47.06944,95.31034,152.11723,-230.5739
1980,105,-130.48784,-23.768188,136.71022,98.24924,-135.18263
1980,106,-164.89014,-41.90369,119.621254,22.850306,-76.49347
1980,107,-156.038,-96.666145,79.80226,-20.459988,-74.55772
1980,108,-151.3968,-98.06204,64.57134,-40.024544,-40.838364
1980,109,-124.207664,-16.986912,29.816343,-69.337906,1.3071339
1980,110,-68.26361,48.951233,-25.820671,-59.480515,-19.625135
1980,111,-9.560667,51.412262,-76.071594,-9.800095,-49.7216
1980,112,45.08109,26.939493,-63.222206,38.909508,12.441016
1980,113,86.61733,39.21074,-49.830326,51.614567,41.324158
1980,114,113.49402,29.780394,-63.551548,72.6982,-0.8521017
1980,115,102.54913,-12.814112,-63.265747,122.8406,-43.79201
