window_id,object,selected_candidate_id,selected_peak_day,selected_window_start,selected_window_end,selected_role,support_class,selection_reason,excluded_candidates,early_secondary_candidates,late_secondary_candidates,target_name,phase_group,phase_group_size,years_in_phase_group,group_role
W113,Jw,CP001,106,98,116,front_or_early,candidate_window,system_relevant_first,CP002@126:accepted_window,,CP002@126:accepted_window,W113_Je_late_minus_early_peak_influence,target_mode_low,15,1980;1981;1989;1991;1993;1994;1997;1998;2003;2005;2009;2010;2014;2017;2021,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,P,CP001,115,105,125,within_system_window,candidate_window,system_relevant_first,CP002@124:candidate_window,,CP002@124:candidate_window,W113_Je_late_minus_early_peak_influence,target_mode_mid,15,1984;1985;1987;1988;1990;1995;2000;2001;2004;2011;2012;2013;2018;2020;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,V,CP001,116,106,126,within_system_window,candidate_window,system_relevant_first,CP002@138:unstable_window,,CP002@138:unstable_window,W113_Je_late_minus_early_peak_influence,target_mode_mid,15,1984;1985;1987;1988;1990;1995;2000;2001;2004;2011;2012;2013;2018;2020;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,H,CP001,116,106,126,within_system_window,accepted_window,system_relevant_first,CP002@135:weak_window;CP003@125:weak_window,,CP002@135:weak_window;CP003@125:weak_window,W113_Je_late_minus_early_peak_influence,target_mode_mid,15,1984;1985;1987;1988;1990;1995;2000;2001;2004;2011;2012;2013;2018;2020;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,Je,CP001,109,99,119,within_system_window,accepted_window,system_relevant_first,CP002@135:weak_window,,CP002@135:weak_window,W113_Je_late_minus_early_peak_influence,target_mode_mid,15,1984;1985;1987;1988;1990;1995;2000;2001;2004;2011;2012;2013;2018;2020;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,Jw,CP001,103,98,113,front_or_early,candidate_window,system_relevant_first,CP002@131:weak_window;CP003@119:weak_window,,CP002@131:weak_window,W113_Je_late_minus_early_peak_influence,target_mode_mid,15,1984;1985;1987;1988;1990;1995;2000;2001;2004;2011;2012;2013;2018;2020;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,P,CP001,106,98,116,front_or_early,accepted_window,system_relevant_first,CP002@119:candidate_window,,,W113_P_earlier_minus_H_earlier,target_mode_high,15,1980;1981;1986;1989;1991;1992;2001;2003;2004;2010;2011;2012;2015;2018;2019,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,V,CP001,119,109,129,late_or_catchup,accepted_window,system_relevant_first,CP002@100:weak_window,,,W113_P_earlier_minus_H_earlier,target_mode_high,15,1980;1981;1986;1989;1991;1992;2001;2003;2004;2010;2011;2012;2015;2018;2019,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,H,CP001,119,109,129,late_or_catchup,accepted_window,system_relevant_first,CP002@101:weak_window;CP003@130:candidate_window,,CP003@130:candidate_window,W113_P_earlier_minus_H_earlier,target_mode_high,15,1980;1981;1986;1989;1991;1992;2001;2003;2004;2010;2011;2012;2015;2018;2019,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,Je,CP001,108,98,118,within_system_window,accepted_window,system_relevant_first,CP002@132:accepted_window,,CP002@132:accepted_window,W113_P_earlier_minus_H_earlier,target_mode_high,15,1980;1981;1986;1989;1991;1992;2001;2003;2004;2010;2011;2012;2015;2018;2019,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,Jw,CP001,110,100,120,within_system_window,accepted_window,system_relevant_first,CP002@101:candidate_window;CP003@131:candidate_window,,CP003@131:candidate_window,W113_P_earlier_minus_H_earlier,target_mode_high,15,1980;1981;1986;1989;1991;1992;2001;2003;2004;2010;2011;2012;2015;2018;2019,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,P,CP001,118,108,128,within_system_window,accepted_window,system_relevant_first,CP002@133:candidate_window;CP003@107:weak_window,,CP002@133:candidate_window,W113_P_earlier_minus_H_earlier,target_mode_low,15,1979;1982;1984;1988;1993;1994;1995;1998;2002;2008;2009;2017;2020;2021;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,V,CP001,111,101,121,within_system_window,accepted_window,system_relevant_first,CP002@135:candidate_window;CP003@120:weak_window,,CP002@135:candidate_window,W113_P_earlier_minus_H_earlier,target_mode_low,15,1979;1982;1984;1988;1993;1994;1995;1998;2002;2008;2009;2017;2020;2021;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
