window_id,object,observed_peak_day,bootstrap_peak_median,bootstrap_peak_q025,bootstrap_peak_q975,abs_error_median,abs_error_q75,abs_error_q90,abs_error_q975,support_class,included_in_tau_estimation,target_name,phase_group,phase_group_size,years_in_phase_group,group_role
W113,Je,113.0,113.0,107.0,117.0,3.0,4.0,6.0,6.0,candidate_window,True,W113_P_earlier_minus_H_earlier,target_mode_mid,15,1983;1985;1987;1990;1996;1997;1999;2000;2005;2006;2007;2013;2014;2016;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,Jw,103.0,107.0,99.0,123.0,4.0,10.0,16.0,20.0,candidate_window,True,W113_P_earlier_minus_H_earlier,target_mode_mid,15,1983;1985;1987;1990;1996;1997;1999;2000;2005;2006;2007;2013;2014;2016;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,P,107.0,108.0,106.0,120.0,1.0,3.0,12.0,13.0,accepted_window,True,W113_P_earlier_minus_V_earlier,target_mode_high,15,1980;1981;1986;1989;1990;1991;1992;1996;2000;2001;2004;2010;2011;2012;2015,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,V,118.0,118.0,115.475,120.0,1.0,1.0,2.0,3.0,accepted_window,True,W113_P_earlier_minus_V_earlier,target_mode_high,15,1980;1981;1986;1989;1990;1991;1992;1996;2000;2001;2004;2010;2011;2012;2015,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,H,116.0,116.0,108.0,119.0,1.0,2.0,4.0,8.0,accepted_window,True,W113_P_earlier_minus_V_earlier,target_mode_high,15,1980;1981;1986;1989;1990;1991;1992;1996;2000;2001;2004;2010;2011;2012;2015,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,Je,109.0,109.0,104.0,115.0,1.0,2.0,4.0,8.0,accepted_window,True,W113_P_earlier_minus_V_earlier,target_mode_high,15,1980;1981;1986;1989;1990;1991;1992;1996;2000;2001;2004;2010;2011;2012;2015,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,Jw,108.0,108.0,101.0,117.0,2.0,4.0,7.0,9.0,candidate_window,True,W113_P_earlier_minus_V_earlier,target_mode_high,15,1980;1981;1986;1989;1990;1991;1992;1996;2000;2001;2004;2010;2011;2012;2015,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,P,117.0,117.0,108.0,119.0,1.0,1.0,2.0,9.0,accepted_window,True,W113_P_earlier_minus_V_earlier,target_mode_low,15,1979;1982;1993;1994;1995;1998;2002;2006;2007;2008;2009;2017;2020;2021;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,V,110.0,110.0,108.0,112.0,1.0,1.0,2.0,2.0,accepted_window,True,W113_P_earlier_minus_V_earlier,target_mode_low,15,1979;1982;1993;1994;1995;1998;2002;2006;2007;2008;2009;2017;2020;2021;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,H,113.0,114.0,111.0,116.0,1.0,1.0,2.0,3.0,accepted_window,True,W113_P_earlier_minus_V_earlier,target_mode_low,15,1979;1982;1993;1994;1995;1998;2002;2006;2007;2008;2009;2017;2020;2021;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,Je,112.0,113.0,107.475,118.0,2.0,3.0,5.0,6.0,candidate_window,True,W113_P_earlier_minus_V_earlier,target_mode_low,15,1979;1982;1993;1994;1995;1998;2002;2006;2007;2008;2009;2017;2020;2021;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
