window,metric,n,mean,median,p25,p75,p90,min,max
T3,lag0_abs_r,308,0.1427499732990847,0.12007074724104685,0.0421768203051351,0.1961401886196407,0.3191516605065977,0.0007551100807773,0.5618676570977882
T3,negative_peak_abs_r,308,0.1661233704708323,0.14433901984884712,0.08995858556732533,0.22306463873357,0.326617043723604,0.0176619859665685,0.5711669081433886
T3,D_pos_0,308,0.006195631548924284,-0.0026451517816724,-0.027288233761892426,0.02999810474548515,0.07349643051628367,-0.1168124430049499,0.3066689691757077
T3,D_pos_neg,308,0.001860993644049587,0.001864635731515,-0.04753967035679885,0.04807392771428597,0.08867888665963344,-0.1840829013940765,0.2452416239361293
T3,p_pos_surrogate,308,0.30736471320886904,0.2237762237762237,0.0429570429570429,0.5047452547452548,0.7894105894105895,0.0009990009990009,0.998001998001998
T3,q_pos_within_window,308,0.43930870177973963,0.44610228481196224,0.1692307692307692,0.6710875331564986,0.8767972126048121,0.0161943319838056,0.998001998001998
T3,p_pos_audit_surrogate,308,0.3440585388637336,0.2987012987012987,0.0919080919080919,0.5322177822177823,0.7635364635364635,0.0009990009990009,1.0
T3,positive_peak_lag,308,2.616883116883117,2.0,1.0,4.0,5.0,1.0,5.0
T3,positive_peak_signed_r,308,-0.006933501254833574,-0.0231618876694689,-0.16125438159295274,0.13430406242031123,0.24744520508240572,-0.4895875303599397,0.5697633549128992
T3,negative_peak_lag,308,-2.6136363636363638,-2.0,-4.25,-1.0,-1.0,-5.0,-1.0
T3,negative_peak_signed_r,308,-0.0053333946357365745,-0.0219807088009773,-0.148852959156725,0.13538535799080958,0.23882504358583256,-0.4953559869563518,0.5711669081433886
T3,D_pos_neg_CI90_low,308,-0.10652158134884576,-0.10593857374234006,-0.15584477792711895,-0.0493453049893467,-0.013365800463716222,-0.3040780544203808,0.1041368726980602
T3,D_pos_neg_CI90_high,308,0.10886755411178921,0.10057597125306485,0.055530931571064,0.15491547926159782,0.2040589215589438,-0.0523135250334428,0.3792273163168677
T3,D_pos_neg_CI95_low,308,-0.12832172313362225,-0.12596652916575657,-0.1816740231149894,-0.0697983652917338,-0.033477835308457916,-0.3337133652849017,0.0915922662333409
T3,D_pos_neg_CI95_high,308,0.13020035521512524,0.12131373789458474,0.07498441053295533,0.17758729286040914,0.22913317847099055,-0.0320474991288224,0.4126583479116487
T3,P_D_pos_neg_gt_0,308,0.5040389610389611,0.4935,0.269,0.75925,0.917,0.005,1.0
T3,D_pos_0_CI90_low,308,-0.04836941813692699,-0.0472888850386354,-0.06748821519814652,-0.030041966084989248,-0.015075427387526567,-0.1472994928472935,0.0701264333519906
T3,D_pos_0_CI90_high,308,0.10043662630008048,0.0893414499132735,0.053250458455863424,0.14423567530226677,0.20223384518980872,-0.0542092397475333,0.4005230094515434
