year,mode,target_metric,target_family,target_value
2009,local_background_removed,P_centroid_lat_transition,P_position,-3.129162584484316
2010,local_background_removed,P_centroid_lat_transition,P_position,3.789533481584403
2011,local_background_removed,P_centroid_lat_transition,P_position,-3.334252293587493
2012,local_background_removed,P_centroid_lat_transition,P_position,-2.9424565348069436
2013,local_background_removed,P_centroid_lat_transition,P_position,-0.41752919841393776
2014,local_background_removed,P_centroid_lat_transition,P_position,-0.7588620327793407
2015,local_background_removed,P_centroid_lat_transition,P_position,-4.104361260474011
2016,local_background_removed,P_centroid_lat_transition,P_position,-6.28181971440954
2017,local_background_removed,P_centroid_lat_transition,P_position,-8.217603388378166
2018,local_background_removed,P_centroid_lat_transition,P_position,5.738231761142558
2019,local_background_removed,P_centroid_lat_transition,P_position,2.092747376173932
2020,local_background_removed,P_centroid_lat_transition,P_position,-3.1312727359815895
2021,local_background_removed,P_centroid_lat_transition,P_position,0.030220259172509145
2022,local_background_removed,P_centroid_lat_transition,P_position,-5.328396467350217
2023,local_background_removed,P_centroid_lat_transition,P_position,5.09511857913407
1979,local_background_removed,P_spread_lat_transition,P_spread,-1.057323457945504
1980,local_background_removed,P_spread_lat_transition,P_spread,-1.5937913081568986
1981,local_background_removed,P_spread_lat_transition,P_spread,-0.8428701920305501
1982,local_background_removed,P_spread_lat_transition,P_spread,-4.039888161491866
1983,local_background_removed,P_spread_lat_transition,P_spread,0.8293635249112223
1984,local_background_removed,P_spread_lat_transition,P_spread,1.8977683133442866
1985,local_background_removed,P_spread_lat_transition,P_spread,2.3134548258278347
1986,local_background_removed,P_spread_lat_transition,P_spread,3.2189069303156526
1987,local_background_removed,P_spread_lat_transition,P_spread,0.6238878392777369
1988,local_background_removed,P_spread_lat_transition,P_spread,1.8976686878579803
1989,local_background_removed,P_spread_lat_transition,P_spread,0.9675489152801586
1990,local_background_removed,P_spread_lat_transition,P_spread,-1.7575259375736199
1991,local_background_removed,P_spread_lat_transition,P_spread,2.472238164582801
1992,local_background_removed,P_spread_lat_transition,P_spread,0.15011891379586384
1993,local_background_removed,P_spread_lat_transition,P_spread,-3.278356892879275
1994,local_background_removed,P_spread_lat_transition,P_spread,1.1487397403932889
1995,local_background_removed,P_spread_lat_transition,P_spread,-0.6160672606140807
1996,local_background_removed,P_spread_lat_transition,P_spread,0.586012919812269
1997,local_background_removed,P_spread_lat_transition,P_spread,-0.7630133053447368
1998,local_background_removed,P_spread_lat_transition,P_spread,1.6380993568543616
1999,local_background_removed,P_spread_lat_transition,P_spread,-0.3259514229495556
2000,local_background_removed,P_spread_lat_transition,P_spread,0.3425116628038216
2001,local_background_removed,P_spread_lat_transition,P_spread,-0.514832768574232
2002,local_background_removed,P_spread_lat_transition,P_spread,0.7894326935892289
2003,local_background_removed,P_spread_lat_transition,P_spread,-0.34733713980314773
2004,local_background_removed,P_spread_lat_transition,P_spread,1.2424817196241191
2005,local_background_removed,P_spread_lat_transition,P_spread,4.228444233989664
2006,local_background_removed,P_spread_lat_transition,P_spread,-1.6494337373301047
2007,local_background_removed,P_spread_lat_transition,P_spread,0.2163489142495063
2008,local_background_removed,P_spread_lat_transition,P_spread,-0.5145730646151523
