mode,anchor_name,anchor_type,anchor_start,anchor_end,source_metric,information_form,target_metric,target_family,n_valid_years,spearman_r,pearson_r,n_high,n_low,high_mean_target,low_mean_target,high_minus_low,permutation_null_p90_absdiff,permutation_p,bootstrap_ci_low,bootstrap_ci_high,evaluation_mode,primary_score,support_flag
anomaly,E2_W33,named,27,38,H_zonal_width,slope,P_main_band_share_transition,P_rainband_structure,45,0.4826722930294879,0.4706284461331982,13,13,0.08394025551390273,-0.1708287930700721,0.2547690485839748,0.1471955772704496,0.003599280143971206,0.10863850118530606,0.40930418632627585,formal_perm_boot,2.4954107454586865,True
anomaly,E2_W33,named,27,38,H_zonal_width,slope,P_main_minus_south_transition,P_rainband_structure,45,0.4759520399733853,0.46747418321929335,13,13,0.1419081718030186,-0.2966709205808074,0.438579092383826,0.2496055444681875,0.002999400119976005,0.1564615652132566,0.7354740268923052,formal_perm_boot,2.4978809945925766,True
anomaly,E2_W33,named,27,38,H_zonal_width,slope,P_south_band_share_18_24_transition,P_rainband_structure,45,-0.452233499775376,-0.4234977171157229,13,13,-0.057967916289115864,0.12584212751073534,-0.18381004379985122,0.11201138354158822,0.0065986802639472104,-0.3055664368189142,-0.05372397765350029,formal_perm_boot,2.4614240019653684,True
anomaly,E2_W33,named,27,38,H_zonal_width,slope,P_spread_lat_transition,P_spread,45,-0.17775728181730252,-0.184796073960043,13,13,-0.10327383871704073,0.4767432376699873,-0.580017076387028,1.11513691057428,0.3899220155968806,-1.5879007688385258,0.42248403430074677,formal_perm_boot,0.20675813563665393,False
anomaly,E2_W33,named,27,38,H_zonal_width,slope,P_total_strength_transition,P_strength,45,-0.5967848253154656,-0.5023268133815837,13,13,0.01913642453637263,1.5851308758798022,-1.5659944513434296,0.7987658451556029,0.0001999600079984003,-2.340552864605712,-0.8591191439817386,formal_perm_boot,2.675084547882637,True
anomaly,E2_W33,named,27,38,H_zonal_width,window_mean,P_centroid_lat_transition,P_position,45,0.03880872448486767,0.03571052111502135,13,13,-1.1943108493806542,-1.358514194103385,0.16420334472273068,2.9453973148481385,0.9316136772645471,-3.6291561495014557,3.6373049597780445,formal_perm_boot,0.04701889172100421,False
anomaly,E2_W33,named,27,38,H_zonal_width,window_mean,P_main_band_share_transition,P_rainband_structure,45,-0.0071819201508498765,0.013323154721995316,13,13,-0.035971172306909494,-0.041306776371403224,0.0053356040644937305,0.1465404486666985,0.9554089182163568,-0.14980095561716392,0.14988563123078769,formal_perm_boot,0.007448700354074563,False
anomaly,E2_W33,named,27,38,H_zonal_width,window_mean,P_main_minus_south_transition,P_rainband_structure,45,-0.05547868593592289,-0.0029713622868155266,13,13,-0.08669417394966622,-0.08438376785741515,-0.002310406092251069,0.2554844405483636,0.9872025594881024,-0.23912431148605195,0.25285186821968547,formal_perm_boot,0.05559420624053544,False
anomaly,E2_W33,named,27,38,H_zonal_width,window_mean,P_south_band_share_18_24_transition,P_rainband_structure,45,0.08473347994488936,0.024000833851204353,13,13,0.05072300164275672,0.04307699148601195,0.007646010156744772,0.11142230737555436,0.9092181563687263,-0.10516370403704955,0.12461706596292588,formal_perm_boot,0.0851157804527266,False
anomaly,E2_W33,named,27,38,H_zonal_width,window_mean,P_spread_lat_transition,P_spread,45,-0.07550899534746751,-0.07944359220394769,13,13,-0.2896194650957564,-0.03384921805182096,-0.2557702470439355,1.0989247138551397,0.7088582283543291,-1.4416771486470294,1.039579965498833,formal_perm_boot,0.08829750769966428,False
anomaly,E2_W33,named,27,38,H_zonal_width,window_mean,P_total_strength_transition,P_strength,45,-0.03722738426816679,-0.027803137764722232,13,13,0.6489983512539884,0.5881258279520651,0.060872523301923276,0.773112647406519,0.8986202759448111,-0.9815802666363519,1.1264569437336118,formal_perm_boot,0.040271010433262956,False
anomaly,E2_shift_left,named,22,33,H_centroid_lat,abs_transition,P_centroid_lat_transition,P_position,45,0.11067193675889325,0.19375139067099365,13,13,0.17381396273390373,-1.430258938247815,1.6040729009817187,2.961910551182044,0.38392321535692864,-1.7091510661279303,5.199908006050205,formal_perm_boot,0.1908755818079792,False
anomaly,E2_shift_left,named,22,33,H_centroid_lat,abs_transition,P_main_band_share_transition,P_rainband_structure,45,0.15968379446640316,0.11685988879486173,13,13,-0.007899499139563781,-0.05657548580112716,0.04867598666156338,0.14920982354133866,0.596880623875225,-0.1385662972857561,0.21490836781335834,formal_perm_boot,0.16211759379948132,False
anomaly,E2_shift_left,named,22,33,H_centroid_lat,abs_transition,P_main_minus_south_transition,P_rainband_structure,45,0.08115942028985507,0.08134863843250222,13,13,-0.03718673223654374,-0.10624459793368038,0.06905786569713664,0.2508035120457143,0.6530693861227754,-0.2515613582155242,0.3988671260966431,formal_perm_boot,0.0846123135747119,False
anomaly,E2_shift_left,named,22,33,H_centroid_lat,abs_transition,P_south_band_share_18_24_transition,P_rainband_structure,45,-0.07220026350461133,-0.028030480583144803,13,13,0.02928723309698,0.04966911213255325,-0.020381879035573248,0.11371632943175151,0.7684463107378524,-0.1513998694438974,0.10358478954120183,formal_perm_boot,0.07321935745639,False
anomaly,E2_shift_left,named,22,33,H_centroid_lat,abs_transition,P_spread_lat_transition,P_spread,45,-0.12200263504611329,-0.043312999214920905,13,13,-0.0764087034258092,0.38844479924209324,-0.46485350266790243,1.108734858831499,0.4911017796440712,-1.4556370681117001,0.4494095034014734,formal_perm_boot,0.14524531017950842,False
