year,mode,window_start,window_end,window_name,information_form,source_feature,source_value
1989,anomaly,1,12,sliding_001_012,pre_state,H_zonal_width_sliding_pre_state,21.875
1990,anomaly,1,12,sliding_001_012,pre_state,H_zonal_width_sliding_pre_state,18.375
1991,anomaly,1,12,sliding_001_012,pre_state,H_zonal_width_sliding_pre_state,30.0
1992,anomaly,1,12,sliding_001_012,pre_state,H_zonal_width_sliding_pre_state,26.25
1993,anomaly,1,12,sliding_001_012,pre_state,H_zonal_width_sliding_pre_state,23.25
1994,anomaly,1,12,sliding_001_012,pre_state,H_zonal_width_sliding_pre_state,27.75
1995,anomaly,1,12,sliding_001_012,pre_state,H_zonal_width_sliding_pre_state,27.625
1996,anomaly,1,12,sliding_001_012,pre_state,H_zonal_width_sliding_pre_state,30.0
1997,anomaly,1,12,sliding_001_012,pre_state,H_zonal_width_sliding_pre_state,15.625
1998,anomaly,1,12,sliding_001_012,pre_state,H_zonal_width_sliding_pre_state,24.125
1999,anomaly,1,12,sliding_001_012,pre_state,H_zonal_width_sliding_pre_state,30.0
2000,anomaly,1,12,sliding_001_012,pre_state,H_zonal_width_sliding_pre_state,11.375
2001,anomaly,1,12,sliding_001_012,pre_state,H_zonal_width_sliding_pre_state,30.0
2002,anomaly,1,12,sliding_001_012,pre_state,H_zonal_width_sliding_pre_state,27.875
2003,anomaly,1,12,sliding_001_012,pre_state,H_zonal_width_sliding_pre_state,20.25
2004,anomaly,1,12,sliding_001_012,pre_state,H_zonal_width_sliding_pre_state,30.0
2005,anomaly,1,12,sliding_001_012,pre_state,H_zonal_width_sliding_pre_state,30.0
2006,anomaly,1,12,sliding_001_012,pre_state,H_zonal_width_sliding_pre_state,18.25
2007,anomaly,1,12,sliding_001_012,pre_state,H_zonal_width_sliding_pre_state,30.0
2008,anomaly,1,12,sliding_001_012,pre_state,H_zonal_width_sliding_pre_state,16.875
2009,anomaly,1,12,sliding_001_012,pre_state,H_zonal_width_sliding_pre_state,30.0
2010,anomaly,1,12,sliding_001_012,pre_state,H_zonal_width_sliding_pre_state,30.0
2011,anomaly,1,12,sliding_001_012,pre_state,H_zonal_width_sliding_pre_state,19.375
2012,anomaly,1,12,sliding_001_012,pre_state,H_zonal_width_sliding_pre_state,30.0
2013,anomaly,1,12,sliding_001_012,pre_state,H_zonal_width_sliding_pre_state,30.0
2014,anomaly,1,12,sliding_001_012,pre_state,H_zonal_width_sliding_pre_state,30.0
2015,anomaly,1,12,sliding_001_012,pre_state,H_zonal_width_sliding_pre_state,16.875
2016,anomaly,1,12,sliding_001_012,pre_state,H_zonal_width_sliding_pre_state,16.5
2017,anomaly,1,12,sliding_001_012,pre_state,H_zonal_width_sliding_pre_state,28.375
2018,anomaly,1,12,sliding_001_012,pre_state,H_zonal_width_sliding_pre_state,30.0
2019,anomaly,1,12,sliding_001_012,pre_state,H_zonal_width_sliding_pre_state,28.25
2020,anomaly,1,12,sliding_001_012,pre_state,H_zonal_width_sliding_pre_state,30.0
2021,anomaly,1,12,sliding_001_012,pre_state,H_zonal_width_sliding_pre_state,26.0
2022,anomaly,1,12,sliding_001_012,pre_state,H_zonal_width_sliding_pre_state,30.0
2023,anomaly,1,12,sliding_001_012,pre_state,H_zonal_width_sliding_pre_state,30.0
1979,anomaly,1,12,sliding_001_012,post_state,H_zonal_width_sliding_post_state,23.7
1980,anomaly,1,12,sliding_001_012,post_state,H_zonal_width_sliding_post_state,22.9
1981,anomaly,1,12,sliding_001_012,post_state,H_zonal_width_sliding_post_state,19.0
1982,anomaly,1,12,sliding_001_012,post_state,H_zonal_width_sliding_post_state,30.0
1983,anomaly,1,12,sliding_001_012,post_state,H_zonal_width_sliding_post_state,19.95
1984,anomaly,1,12,sliding_001_012,post_state,H_zonal_width_sliding_post_state,19.65
1985,anomaly,1,12,sliding_001_012,post_state,H_zonal_width_sliding_post_state,30.0
1986,anomaly,1,12,sliding_001_012,post_state,H_zonal_width_sliding_post_state,20.95
1987,anomaly,1,12,sliding_001_012,post_state,H_zonal_width_sliding_post_state,21.35
1988,anomaly,1,12,sliding_001_012,post_state,H_zonal_width_sliding_post_state,27.15
1989,anomaly,1,12,sliding_001_012,post_state,H_zonal_width_sliding_post_state,25.35
1990,anomaly,1,12,sliding_001_012,post_state,H_zonal_width_sliding_post_state,19.8
1991,anomaly,1,12,sliding_001_012,post_state,H_zonal_width_sliding_post_state,22.8
1992,anomaly,1,12,sliding_001_012,post_state,H_zonal_width_sliding_post_state,30.0
1993,anomaly,1,12,sliding_001_012,post_state,H_zonal_width_sliding_post_state,30.0
1994,anomaly,1,12,sliding_001_012,post_state,H_zonal_width_sliding_post_state,21.95
1995,anomaly,1,12,sliding_001_012,post_state,H_zonal_width_sliding_post_state,16.9
1996,anomaly,1,12,sliding_001_012,post_state,H_zonal_width_sliding_post_state,30.0
1997,anomaly,1,12,sliding_001_012,post_state,H_zonal_width_sliding_post_state,19.3
1998,anomaly,1,12,sliding_001_012,post_state,H_zonal_width_sliding_post_state,21.85
1999,anomaly,1,12,sliding_001_012,post_state,H_zonal_width_sliding_post_state,30.0
2000,anomaly,1,12,sliding_001_012,post_state,H_zonal_width_sliding_post_state,26.7
2001,anomaly,1,12,sliding_001_012,post_state,H_zonal_width_sliding_post_state,30.0
2002,anomaly,1,12,sliding_001_012,post_state,H_zonal_width_sliding_post_state,23.45
2003,anomaly,1,12,sliding_001_012,post_state,H_zonal_width_sliding_post_state,19.95
2004,anomaly,1,12,sliding_001_012,post_state,H_zonal_width_sliding_post_state,29.6
2005,anomaly,1,12,sliding_001_012,post_state,H_zonal_width_sliding_post_state,21.15
2006,anomaly,1,12,sliding_001_012,post_state,H_zonal_width_sliding_post_state,22.5
2007,anomaly,1,12,sliding_001_012,post_state,H_zonal_width_sliding_post_state,30.0
2008,anomaly,1,12,sliding_001_012,post_state,H_zonal_width_sliding_post_state,22.0
