scope,object,config_id,reference_config_id,sensitivity_group,changed_factor,changed_value,baseline_candidate_day,perturbed_candidate_day,candidate_match_class,baseline_band_start,baseline_band_end,perturbed_band_start,perturbed_band_end,band_start_delta,band_end_delta,baseline_band_width,perturbed_band_width,band_width_delta
joint_all,joint_all,MERGE_GAP_2,BASELINE,window_merge,merge_gap_days,2,96,96,SAME_DAY,94,99,94,99,0,0,6,6,0
joint_all,joint_all,MERGE_GAP_2,BASELINE,window_merge,merge_gap_days,2,113,113,SAME_DAY,107,117,107,117,0,0,11,11,0
joint_all,joint_all,MERGE_GAP_2,BASELINE,window_merge,merge_gap_days,2,132,132,SAME_DAY,130,134,130,134,0,0,5,5,0
joint_all,joint_all,MERGE_GAP_2,BASELINE,window_merge,merge_gap_days,2,135,135,SAME_DAY,128,138,128,138,0,0,11,11,0
joint_all,joint_all,MERGE_GAP_2,BASELINE,window_merge,merge_gap_days,2,160,160,SAME_DAY,155,164,155,164,0,0,10,10,0
joint_all,joint_all,CLOSE_NEIGHBOR_3,BASELINE,window_merge,close_neighbor_exemption_days,3,18,18,SAME_DAY,16,20,16,20,0,0,5,5,0
joint_all,joint_all,CLOSE_NEIGHBOR_3,BASELINE,window_merge,close_neighbor_exemption_days,3,45,45,SAME_DAY,40,48,40,48,0,0,9,9,0
joint_all,joint_all,CLOSE_NEIGHBOR_3,BASELINE,window_merge,close_neighbor_exemption_days,3,81,81,SAME_DAY,75,86,75,86,0,0,12,12,0
joint_all,joint_all,CLOSE_NEIGHBOR_3,BASELINE,window_merge,close_neighbor_exemption_days,3,96,96,SAME_DAY,94,99,94,99,0,0,6,6,0
joint_all,joint_all,CLOSE_NEIGHBOR_3,BASELINE,window_merge,close_neighbor_exemption_days,3,113,113,SAME_DAY,107,117,107,117,0,0,11,11,0
joint_all,joint_all,CLOSE_NEIGHBOR_3,BASELINE,window_merge,close_neighbor_exemption_days,3,132,132,SAME_DAY,130,134,130,134,0,0,5,5,0
joint_all,joint_all,CLOSE_NEIGHBOR_3,BASELINE,window_merge,close_neighbor_exemption_days,3,135,135,SAME_DAY,128,138,128,138,0,0,11,11,0
joint_all,joint_all,CLOSE_NEIGHBOR_3,BASELINE,window_merge,close_neighbor_exemption_days,3,160,160,SAME_DAY,155,164,155,164,0,0,10,10,0
joint_all,joint_all,CLOSE_NEIGHBOR_5,BASELINE,window_merge,close_neighbor_exemption_days,5,18,18,SAME_DAY,16,20,16,20,0,0,5,5,0
joint_all,joint_all,CLOSE_NEIGHBOR_5,BASELINE,window_merge,close_neighbor_exemption_days,5,45,45,SAME_DAY,40,48,40,48,0,0,9,9,0
joint_all,joint_all,CLOSE_NEIGHBOR_5,BASELINE,window_merge,close_neighbor_exemption_days,5,81,81,SAME_DAY,75,86,75,86,0,0,12,12,0
joint_all,joint_all,CLOSE_NEIGHBOR_5,BASELINE,window_merge,close_neighbor_exemption_days,5,96,96,SAME_DAY,94,99,94,99,0,0,6,6,0
joint_all,joint_all,CLOSE_NEIGHBOR_5,BASELINE,window_merge,close_neighbor_exemption_days,5,113,113,SAME_DAY,107,117,107,117,0,0,11,11,0
joint_all,joint_all,CLOSE_NEIGHBOR_5,BASELINE,window_merge,close_neighbor_exemption_days,5,132,132,SAME_DAY,130,134,130,134,0,0,5,5,0
joint_all,joint_all,CLOSE_NEIGHBOR_5,BASELINE,window_merge,close_neighbor_exemption_days,5,135,135,SAME_DAY,128,138,128,138,0,0,11,11,0
joint_all,joint_all,CLOSE_NEIGHBOR_5,BASELINE,window_merge,close_neighbor_exemption_days,5,160,160,SAME_DAY,155,164,155,164,0,0,10,10,0
joint_all,joint_all,PROTECT_THR_090,BASELINE,window_merge,significant_peak_threshold,0.90,18,18,SAME_DAY,16,20,16,20,0,0,5,5,0
joint_all,joint_all,PROTECT_THR_090,BASELINE,window_merge,significant_peak_threshold,0.90,45,45,SAME_DAY,40,48,40,48,0,0,9,9,0
joint_all,joint_all,PROTECT_THR_090,BASELINE,window_merge,significant_peak_threshold,0.90,81,81,SAME_DAY,75,86,75,86,0,0,12,12,0
joint_all,joint_all,PROTECT_THR_090,BASELINE,window_merge,significant_peak_threshold,0.90,96,96,SAME_DAY,94,99,94,99,0,0,6,6,0
joint_all,joint_all,PROTECT_THR_090,BASELINE,window_merge,significant_peak_threshold,0.90,113,113,SAME_DAY,107,117,107,117,0,0,11,11,0
joint_all,joint_all,PROTECT_THR_090,BASELINE,window_merge,significant_peak_threshold,0.90,132,132,SAME_DAY,130,134,130,134,0,0,5,5,0
joint_all,joint_all,PROTECT_THR_090,BASELINE,window_merge,significant_peak_threshold,0.90,135,135,SAME_DAY,128,138,128,138,0,0,11,11,0
joint_all,joint_all,PROTECT_THR_090,BASELINE,window_merge,significant_peak_threshold,0.90,160,160,SAME_DAY,155,164,155,164,0,0,10,10,0
joint_all,joint_all,SMOOTH_INPUT_5D,BASELINE,smooth_input,smoothed_fields_input,smooth5,18,17,STRICT_SHIFT_LE_2D,16,20,15,19,-1,-1,5,5,0
joint_all,joint_all,SMOOTH_INPUT_5D,BASELINE,smooth_input,smoothed_fields_input,smooth5,45,44,STRICT_SHIFT_LE_2D,40,48,40,48,0,0,9,9,0
joint_all,joint_all,SMOOTH_INPUT_5D,BASELINE,smooth_input,smoothed_fields_input,smooth5,81,79,STRICT_SHIFT_LE_2D,75,86,75,86,0,0,12,12,0
joint_all,joint_all,SMOOTH_INPUT_5D,BASELINE,smooth_input,smoothed_fields_input,smooth5,96,97,STRICT_SHIFT_LE_2D,94,99,94,99,0,0,6,6,0
joint_all,joint_all,SMOOTH_INPUT_5D,BASELINE,smooth_input,smoothed_fields_input,smooth5,113,113,SAME_DAY,107,117,108,117,1,0,11,10,-1
joint_all,joint_all,SMOOTH_INPUT_5D,BASELINE,smooth_input,smoothed_fields_input,smooth5,132,134,STRICT_SHIFT_LE_2D,130,134,131,137,1,3,5,7,2
joint_all,joint_all,SMOOTH_INPUT_5D,BASELINE,smooth_input,smoothed_fields_input,smooth5,135,134,STRICT_SHIFT_LE_2D,128,138,131,137,3,-1,11,7,-4
joint_all,joint_all,SMOOTH_INPUT_5D,BASELINE,smooth_input,smoothed_fields_input,smooth5,160,159,STRICT_SHIFT_LE_2D,155,164,155,164,0,0,10,10,0
joint_all,joint_all,SMOOTH5_DET_WIDTH_16,SMOOTH_INPUT_5D,smooth5_detector_width,detector_width,16,17,16,STRICT_SHIFT_LE_2D,15,19,14,18,-1,-1,5,5,0
joint_all,joint_all,SMOOTH5_DET_WIDTH_16,SMOOTH_INPUT_5D,smooth5_detector_width,detector_width,16,44,44,SAME_DAY,40,48,41,48,1,0,9,8,-1
joint_all,joint_all,SMOOTH5_DET_WIDTH_16,SMOOTH_INPUT_5D,smooth5_detector_width,detector_width,16,67,66,STRICT_SHIFT_LE_2D,65,69,64,68,-1,-1,5,5,0
joint_all,joint_all,SMOOTH5_DET_WIDTH_16,SMOOTH_INPUT_5D,smooth5_detector_width,detector_width,16,79,78,STRICT_SHIFT_LE_2D,75,86,76,80,1,-6,12,5,-7
