window_id,basis,object_A,object_B,baseline_config,metric_family,metric_name,median,q025,q975,P_positive,P_negative,decision
W113,2d_field,H,Jw,C0_full_stage,2d_pattern_state_late,2d_pattern_state_late,-0.18725504920193314,-0.6706840499302416,0.18572368773744355,0.19,0.81,B_direction_tendency
W113,2d_field,H,Jw,C1_buffered_stage,2d_dist_core_growth_share,2d_dist_core_growth_share,0.14188539141969564,-0.06568982581701265,0.33841522576591604,0.906,0.094,A_direction_tendency
W113,2d_field,H,Jw,C1_buffered_stage,2d_dist_early_growth_share,2d_dist_early_growth_share,-0.19056472611871209,-0.3625470942467171,-0.03201773507912539,0.011,0.989,B_direction_supported
W113,2d_field,H,Jw,C1_buffered_stage,2d_dist_growth_center,2d_dist_growth_center,-0.7092328917239854,-4.135768002477739,2.7346916187218673,0.338,0.662,unresolved
W113,2d_field,H,Jw,C1_buffered_stage,2d_dist_late_growth_share,2d_dist_late_growth_share,0.13346826061916545,-0.0058432526160695775,0.26705533473582627,0.967,0.033,A_direction_tendency
W113,2d_field,H,Jw,C1_buffered_stage,2d_dist_state_compare,2d_dist_state_compare,0.00026737503953222497,-0.06879152955099005,0.06554568660643027,0.504,0.496,unresolved
W113,2d_field,H,Jw,C1_buffered_stage,2d_dist_state_core,2d_dist_state_core,-0.056985154593150844,-0.19626023070472712,0.08631065080647318,0.214,0.786,unresolved
W113,2d_field,H,Jw,C1_buffered_stage,2d_dist_state_early,2d_dist_state_early,-0.07843170498206661,-0.19306089245490163,0.021242549852246932,0.065,0.935,B_direction_tendency
W113,2d_field,H,Jw,C1_buffered_stage,2d_dist_state_late,2d_dist_state_late,0.11633672840218429,0.02073552231179888,0.1897575159770738,0.988,0.012,A_direction_supported
W113,2d_field,H,Jw,C1_buffered_stage,2d_pattern_core_growth_share,2d_pattern_core_growth_share,-0.10276765987451712,-0.2826690064622053,0.08919951164998734,0.152,0.848,B_direction_tendency
W113,2d_field,H,Jw,C1_buffered_stage,2d_pattern_early_growth_share,2d_pattern_early_growth_share,-0.10518536344070199,-0.37174463932581164,0.14163592122347263,0.218,0.782,unresolved
W113,2d_field,H,Jw,C1_buffered_stage,2d_pattern_growth_center,2d_pattern_growth_center,-5.615247688579416,-10.88465823343006,-0.9583980429711293,0.011,0.989,B_direction_supported
