year,mode,domain,pseudo_event_id,pseudo_pattern_corr,pseudo_pattern_cosine
1999,raw,object_domain_spatial,PSEUDO_48_56,0.29571722258919303,0.2878628335684152
2000,raw,object_domain_spatial,PSEUDO_48_56,-0.6260177308035272,-0.6233024321524007
2001,raw,object_domain_spatial,PSEUDO_48_56,-0.30961017289998144,-0.3103337783435299
2002,raw,object_domain_spatial,PSEUDO_48_56,0.1023668962001696,0.05435999786784845
2003,raw,object_domain_spatial,PSEUDO_48_56,-0.06015574040376907,-0.07189983859303978
2004,raw,object_domain_spatial,PSEUDO_48_56,0.7946889474138545,0.7669744122214949
2005,raw,object_domain_spatial,PSEUDO_48_56,0.6933245032624576,0.6712359973359434
2006,raw,object_domain_spatial,PSEUDO_48_56,0.35324882227003673,0.28935345640846494
2007,raw,object_domain_spatial,PSEUDO_48_56,0.3592265565712502,0.35998545067557564
2008,raw,object_domain_spatial,PSEUDO_48_56,0.14424585336787943,0.14781074448197845
2009,raw,object_domain_spatial,PSEUDO_48_56,0.7864402054335227,0.7673511328801369
2010,raw,object_domain_spatial,PSEUDO_48_56,0.8644553037621253,0.8587677183138788
2011,raw,object_domain_spatial,PSEUDO_48_56,-0.3302686905538597,-0.3311154139032196
2012,raw,object_domain_spatial,PSEUDO_48_56,0.0148267225436286,0.022794669040596172
2013,raw,object_domain_spatial,PSEUDO_48_56,-0.3440652372235311,-0.3330947268283096
2014,raw,object_domain_spatial,PSEUDO_48_56,0.4313860932174477,0.431468134570781
2015,raw,object_domain_spatial,PSEUDO_48_56,0.5111177465785293,0.5104582086203293
2016,raw,object_domain_spatial,PSEUDO_48_56,0.08510424585109509,0.02803380570398711
2017,raw,object_domain_spatial,PSEUDO_48_56,-0.41190266421906924,-0.41215821613475556
2018,raw,object_domain_spatial,PSEUDO_48_56,-0.21763020049875542,-0.23814770113989647
2019,raw,object_domain_spatial,PSEUDO_48_56,-0.34309451310260736,-0.33916283891576254
2020,raw,object_domain_spatial,PSEUDO_48_56,-0.19607660952393113,-0.2238877252328063
2021,raw,object_domain_spatial,PSEUDO_48_56,0.7171609345926687,0.6464913070068264
2022,raw,object_domain_spatial,PSEUDO_48_56,0.6048840142519077,0.6063175537901516
2023,raw,object_domain_spatial,PSEUDO_48_56,-0.037215124929269025,-0.03562782968896245
1979,raw,profile,PSEUDO_48_56,0.4076993685999606,0.4873387619339808
1980,raw,profile,PSEUDO_48_56,-0.5994929291627291,-0.7173908570791899
1981,raw,profile,PSEUDO_48_56,-0.34220600816895685,-0.4847191653526229
1982,raw,profile,PSEUDO_48_56,0.4295442949252753,0.49636979756465616
1983,raw,profile,PSEUDO_48_56,-0.3154818587875203,-0.4158438428894656
1984,raw,profile,PSEUDO_48_56,-0.7890409721255581,-0.8355361325073083
1985,raw,profile,PSEUDO_48_56,0.315185480204061,0.352661815830538
