window,source,target,source_family,target_family,same_family_edge,tau,graph_entry,pcmci_graph_selected,val_matrix,p_matrix,edge_interpretation,direction_semantics,q_within_variant_window,pcmci_plus_supported,support_rule,variant_id,variant_role,pcmci_variable_scope,conditioning_family_rule,n_pcmci_variables,conditioning_variables,q_within_family_edge_window,pcmci_plus_supported_family_fdr
S1,P_main_minus_south,Jw_strength,P,Jw,False,1,,False,0.024701925546484538,0.3342550122567895,lagged_direct_edge_control,source(t-tau)->target(t),0.6954852280744533,False,graph_selected_and_window_BH_q_le_alpha,c2_family_representative_standard,family representative sensitivity: smaller variable pool to reduce same-field collinearity,representative_variables,standard PCMCI+ within representative pool,11,P_main_minus_south;P_spread_lat;P_total_centroid_lat_10_50;V_strength;V_NS_diff;H_strength;H_centroid_lat;Je_strength;Je_axis_lat;Jw_strength;Jw_axis_lat,0.7086463595758354,False
S1,P_main_minus_south,Jw_strength,P,Jw,False,2,,False,0.042692344753248956,0.09527141155125579,lagged_direct_edge_control,source(t-tau)->target(t),0.5717509186962617,False,graph_selected_and_window_BH_q_le_alpha,c2_family_representative_standard,family representative sensitivity: smaller variable pool to reduce same-field collinearity,representative_variables,standard PCMCI+ within representative pool,11,P_main_minus_south;P_spread_lat;P_total_centroid_lat_10_50;V_strength;V_NS_diff;H_strength;H_centroid_lat;Je_strength;Je_axis_lat;Jw_strength;Jw_axis_lat,0.48851624518627745,False
S1,P_main_minus_south,Jw_strength,P,Jw,False,3,,False,0.021154902051987556,0.4086037362194517,lagged_direct_edge_control,source(t-tau)->target(t),0.7291070386071999,False,graph_selected_and_window_BH_q_le_alpha,c2_family_representative_standard,family representative sensitivity: smaller variable pool to reduce same-field collinearity,representative_variables,standard PCMCI+ within representative pool,11,P_main_minus_south;P_spread_lat;P_total_centroid_lat_10_50;V_strength;V_NS_diff;H_strength;H_centroid_lat;Je_strength;Je_axis_lat;Jw_strength;Jw_axis_lat,0.7086463595758354,False
S1,P_main_minus_south,Jw_strength,P,Jw,False,4,,False,0.018395080768409407,0.47243090638389035,lagged_direct_edge_control,source(t-tau)->target(t),0.7543235156663518,False,graph_selected_and_window_BH_q_le_alpha,c2_family_representative_standard,family representative sensitivity: smaller variable pool to reduce same-field collinearity,representative_variables,standard PCMCI+ within representative pool,11,P_main_minus_south;P_spread_lat;P_total_centroid_lat_10_50;V_strength;V_NS_diff;H_strength;H_centroid_lat;Je_strength;Je_axis_lat;Jw_strength;Jw_axis_lat,0.7086463595758354,False
S1,P_main_minus_south,Jw_strength,P,Jw,False,5,,False,0.022861970706674284,0.3716728512207118,lagged_direct_edge_control,source(t-tau)->target(t),0.7061484112110331,False,graph_selected_and_window_BH_q_le_alpha,c2_family_representative_standard,family representative sensitivity: smaller variable pool to reduce same-field collinearity,representative_variables,standard PCMCI+ within representative pool,11,P_main_minus_south;P_spread_lat;P_total_centroid_lat_10_50;V_strength;V_NS_diff;H_strength;H_centroid_lat;Je_strength;Je_axis_lat;Jw_strength;Jw_axis_lat,0.7086463595758354,False
S1,P_main_minus_south,Jw_axis_lat,P,Jw,False,1,,False,-0.03872395217485321,0.13027099871634065,lagged_direct_edge_control,source(t-tau)->target(t),0.5717509186962617,False,graph_selected_and_window_BH_q_le_alpha,c2_family_representative_standard,family representative sensitivity: smaller variable pool to reduce same-field collinearity,representative_variables,standard PCMCI+ within representative pool,11,P_main_minus_south;P_spread_lat;P_total_centroid_lat_10_50;V_strength;V_NS_diff;H_strength;H_centroid_lat;Je_strength;Je_axis_lat;Jw_strength;Jw_axis_lat,0.48851624518627745,False
S1,P_main_minus_south,Jw_axis_lat,P,Jw,False,2,,False,0.013838315693892642,0.5885956825173584,lagged_direct_edge_control,source(t-tau)->target(t),0.8172048040185017,False,graph_selected_and_window_BH_q_le_alpha,c2_family_representative_standard,family representative sensitivity: smaller variable pool to reduce same-field collinearity,representative_variables,standard PCMCI+ within representative pool,11,P_main_minus_south;P_spread_lat;P_total_centroid_lat_10_50;V_strength;V_NS_diff;H_strength;H_centroid_lat;Je_strength;Je_axis_lat;Jw_strength;Jw_axis_lat,0.7586174209167605,False
S1,P_main_minus_south,Jw_axis_lat,P,Jw,False,3,,False,-0.020557116747186507,0.42167207638014265,lagged_direct_edge_control,source(t-tau)->target(t),0.7332081997512836,False,graph_selected_and_window_BH_q_le_alpha,c2_family_representative_standard,family representative sensitivity: smaller variable pool to reduce same-field collinearity,representative_variables,standard PCMCI+ within representative pool,11,P_main_minus_south;P_spread_lat;P_total_centroid_lat_10_50;V_strength;V_NS_diff;H_strength;H_centroid_lat;Je_strength;Je_axis_lat;Jw_strength;Jw_axis_lat,0.7086463595758354,False
S1,P_main_minus_south,Jw_axis_lat,P,Jw,False,4,,False,-0.03543667547010913,0.1659254822121054,lagged_direct_edge_control,source(t-tau)->target(t),0.5890352161091948,False,graph_selected_and_window_BH_q_le_alpha,c2_family_representative_standard,family representative sensitivity: smaller variable pool to reduce same-field collinearity,representative_variables,standard PCMCI+ within representative pool,11,P_main_minus_south;P_spread_lat;P_total_centroid_lat_10_50;V_strength;V_NS_diff;H_strength;H_centroid_lat;Je_strength;Je_axis_lat;Jw_strength;Jw_axis_lat,0.553084940707018,False
S1,P_main_minus_south,Jw_axis_lat,P,Jw,False,5,,False,-0.04871445508367883,0.05677356259646323,lagged_direct_edge_control,source(t-tau)->target(t),0.5717509186962617,False,graph_selected_and_window_BH_q_le_alpha,c2_family_representative_standard,family representative sensitivity: smaller variable pool to reduce same-field collinearity,representative_variables,standard PCMCI+ within representative pool,11,P_main_minus_south;P_spread_lat;P_total_centroid_lat_10_50;V_strength;V_NS_diff;H_strength;H_centroid_lat;Je_strength;Je_axis_lat;Jw_strength;Jw_axis_lat,0.48851624518627745,False
