rep,point_id,null_global_peak_score,null_local_peak_score,null_local_peak_day,no_peak_in_local_window
8,RP004,47.131886430886254,28.482695968707453,132.0,False
8,RP005,47.131886430886254,0.0,,True
9,RP001,28.42781608332008,18.184410132125954,44.0,False
9,RP002,28.42781608332008,16.473773755215777,79.0,False
9,RP003,28.42781608332008,8.707334357232636,116.0,False
9,LP006,28.42781608332008,13.380139928040833,134.0,False
9,RP004,28.42781608332008,13.737192890116868,138.0,False
9,RP005,28.42781608332008,0.0,,True
10,RP001,46.10108116768986,0.0,,True
10,RP002,46.10108116768986,0.0,,True
10,RP003,46.10108116768986,0.0,,True
10,LP006,46.10108116768986,0.0,,True
10,RP004,46.10108116768986,26.37207304597277,137.0,False
10,RP005,46.10108116768986,0.0,,True
11,RP001,29.93351491985482,0.0,,True
11,RP002,29.93351491985482,0.0,,True
11,RP003,29.93351491985482,0.0,,True
11,LP006,29.93351491985482,0.0,,True
11,RP004,29.93351491985482,20.9311789784103,136.0,False
11,RP005,29.93351491985482,16.539549558633723,159.0,False
12,RP001,37.55436261207829,21.71993067641159,45.0,False
12,RP002,37.55436261207829,16.387223224504453,80.0,False
12,RP003,37.55436261207829,17.65824620337521,111.0,False
12,LP006,37.55436261207829,21.737895549948185,131.0,False
12,RP004,37.55436261207829,0.0,,True
12,RP005,37.55436261207829,19.493093102356482,160.0,False
13,RP001,49.34143048179726,0.0,,True
13,RP002,49.34143048179726,0.0,,True
13,RP003,49.34143048179726,23.086647705335746,115.0,False
13,LP006,49.34143048179726,12.54315990910981,129.0,False
13,RP004,49.34143048179726,0.0,,True
13,RP005,49.34143048179726,0.0,,True
14,RP001,77.4466817076776,31.967236953740297,48.0,False
14,RP002,77.4466817076776,0.0,,True
14,RP003,77.4466817076776,22.27873394762992,111.0,False
14,LP006,77.4466817076776,52.51889927682807,134.0,False
14,RP004,77.4466817076776,52.51889927682807,134.0,False
14,RP005,77.4466817076776,53.28708896179046,159.0,False
15,RP001,25.08080598596316,15.668943665414218,46.0,False
15,RP002,25.08080598596316,16.623186537991003,78.0,False
15,RP003,25.08080598596316,0.0,,True
15,LP006,25.08080598596316,10.56295634150041,131.0,False
15,RP004,25.08080598596316,13.472058948342628,138.0,False
15,RP005,25.08080598596316,0.0,,True
16,RP001,33.551044311831845,23.612942176131657,47.0,False
16,RP002,33.551044311831845,8.563913544517545,84.0,False
16,RP003,33.551044311831845,23.203455833499184,114.0,False
16,LP006,33.551044311831845,33.551044311831845,132.0,False
16,RP004,33.551044311831845,33.551044311831845,132.0,False
16,RP005,33.551044311831845,10.944920621669858,159.0,False
17,RP001,51.14823348707391,28.24701282809213,48.0,False
17,RP002,51.14823348707391,21.89730342036738,83.0,False
17,RP003,51.14823348707391,20.816826458851605,116.0,False
17,LP006,51.14823348707391,0.0,,True
17,RP004,51.14823348707391,0.0,,True
17,RP005,51.14823348707391,11.37987401755678,163.0,False
18,RP001,45.73366408895426,0.0,,True
18,RP002,45.73366408895426,45.73366408895426,78.0,False
18,RP003,45.73366408895426,15.731574653651975,110.0,False
18,LP006,45.73366408895426,0.0,,True
18,RP004,45.73366408895426,15.20308142979425,137.0,False
18,RP005,45.73366408895426,0.0,,True
19,RP001,45.42557393553622,28.848836173347124,47.0,False
19,RP002,45.42557393553622,0.0,,True
19,RP003,45.42557393553622,15.945791970481174,114.0,False
19,LP006,45.42557393553622,27.080317075862666,129.0,False
19,RP004,45.42557393553622,45.42557393553622,138.0,False
19,RP005,45.42557393553622,23.050744258252937,161.0,False
20,RP001,41.72056757796936,18.110801033346927,47.0,False
20,RP002,41.72056757796936,0.0,,True
20,RP003,41.72056757796936,36.946284642505695,110.0,False
20,LP006,41.72056757796936,31.370319187082167,133.0,False
20,RP004,41.72056757796936,31.370319187082167,133.0,False
20,RP005,41.72056757796936,0.0,,True
21,RP001,33.111475984799306,0.0,,True
21,RP002,33.111475984799306,0.0,,True
21,RP003,33.111475984799306,27.64605505971381,112.0,False
21,LP006,33.111475984799306,0.0,,True
21,RP004,33.111475984799306,21.83808999155814,136.0,False
21,RP005,33.111475984799306,0.0,,True
22,RP001,66.79594263756155,13.89280336687701,44.0,False
22,RP002,66.79594263756155,11.587051895182213,84.0,False
22,RP003,66.79594263756155,11.33860079975487,112.0,False
22,LP006,66.79594263756155,25.666006605851152,135.0,False
22,RP004,66.79594263756155,25.666006605851152,135.0,False
22,RP005,66.79594263756155,0.0,,True
23,RP001,31.974555058958856,0.0,,True
23,RP002,31.974555058958856,0.0,,True
23,RP003,31.974555058958856,27.779702467349956,110.0,False
23,LP006,31.974555058958856,0.0,,True
23,RP004,31.974555058958856,17.808865817025783,138.0,False
23,RP005,31.974555058958856,0.0,,True
24,RP001,48.776035539905,0.0,,True
24,RP002,48.776035539905,37.7866407780664,82.0,False
24,RP003,48.776035539905,24.303827520634947,111.0,False
24,LP006,48.776035539905,0.0,,True
24,RP004,48.776035539905,26.810698017318536,136.0,False
24,RP005,48.776035539905,20.57242257608992,160.0,False
25,RP001,40.521276593891855,0.0,,True
25,RP002,40.521276593891855,0.0,,True
25,RP003,40.521276593891855,0.0,,True
25,LP006,40.521276593891855,0.0,,True
25,RP004,40.521276593891855,0.0,,True
25,RP005,40.521276593891855,0.0,,True
26,RP001,47.87141277234613,37.66756895838728,42.0,False
26,RP002,47.87141277234613,22.158525986063992,84.0,False
26,RP003,47.87141277234613,22.170774394686198,116.0,False
26,LP006,47.87141277234613,18.36663596515566,131.0,False
26,RP004,47.87141277234613,0.0,,True
26,RP005,47.87141277234613,32.38902565658368,159.0,False
27,RP001,49.50192707048025,23.871331321471345,43.0,False
27,RP002,49.50192707048025,15.677741154563178,84.0,False
27,RP003,49.50192707048025,18.307934457109916,116.0,False
27,LP006,49.50192707048025,20.016906311125187,134.0,False
27,RP004,49.50192707048025,20.016906311125187,134.0,False
27,RP005,49.50192707048025,13.298987723609137,158.0,False
28,RP001,43.00683064505387,43.00683064505387,45.0,False
28,RP002,43.00683064505387,37.24789174534432,81.0,False
28,RP003,43.00683064505387,0.0,,True
28,LP006,43.00683064505387,0.0,,True
