window_id,left_out_year_index,left_out_year,object,v9_observed_peak_day,loo_peak_day,loo_peak_shift,loo_peak_score,influence_flag,method_role
W113,32,2011,Je,111.0,111.0,0.0,17.517461765839585,low_shift,leave_one_year_out_influence_diagnostic
W113,32,2011,Jw,104.0,108.0,4.0,23.966537039176362,shift_ge_3_days,leave_one_year_out_influence_diagnostic
W113,33,2012,P,113.0,113.0,0.0,24.107540612895505,low_shift,leave_one_year_out_influence_diagnostic
W113,33,2012,V,114.0,114.0,0.0,18.993383973551914,low_shift,leave_one_year_out_influence_diagnostic
W113,33,2012,H,115.0,115.0,0.0,31.66101145475444,low_shift,leave_one_year_out_influence_diagnostic
W113,33,2012,Je,111.0,111.0,0.0,16.2712872422466,low_shift,leave_one_year_out_influence_diagnostic
W113,33,2012,Jw,104.0,104.0,0.0,25.637164909216125,low_shift,leave_one_year_out_influence_diagnostic
W113,34,2013,P,113.0,112.0,-1.0,26.778625086439057,low_shift,leave_one_year_out_influence_diagnostic
W113,34,2013,V,114.0,114.0,0.0,20.886731582937173,low_shift,leave_one_year_out_influence_diagnostic
W113,34,2013,H,115.0,115.0,0.0,36.95667880850549,low_shift,leave_one_year_out_influence_diagnostic
W113,34,2013,Je,111.0,112.0,1.0,16.801364293569694,low_shift,leave_one_year_out_influence_diagnostic
W113,34,2013,Jw,104.0,104.0,0.0,25.701758663106332,low_shift,leave_one_year_out_influence_diagnostic
W113,35,2014,P,113.0,113.0,0.0,27.28514876406144,low_shift,leave_one_year_out_influence_diagnostic
W113,35,2014,V,114.0,114.0,0.0,18.932213676869885,low_shift,leave_one_year_out_influence_diagnostic
W113,35,2014,H,115.0,115.0,0.0,33.25264924213175,low_shift,leave_one_year_out_influence_diagnostic
W113,35,2014,Je,111.0,112.0,1.0,15.940282152269013,low_shift,leave_one_year_out_influence_diagnostic
W113,35,2014,Jw,104.0,103.0,-1.0,24.175266177665343,low_shift,leave_one_year_out_influence_diagnostic
W113,36,2015,P,113.0,113.0,0.0,27.78246629119269,low_shift,leave_one_year_out_influence_diagnostic
W113,36,2015,V,114.0,114.0,0.0,21.366534885882867,low_shift,leave_one_year_out_influence_diagnostic
W113,36,2015,H,115.0,114.0,-1.0,37.7207448230675,low_shift,leave_one_year_out_influence_diagnostic
W113,36,2015,Je,111.0,111.0,0.0,17.44020804473844,low_shift,leave_one_year_out_influence_diagnostic
W113,36,2015,Jw,104.0,104.0,0.0,24.032815256546183,low_shift,leave_one_year_out_influence_diagnostic
W113,37,2016,P,113.0,112.0,-1.0,26.063572810376982,low_shift,leave_one_year_out_influence_diagnostic
W113,37,2016,V,114.0,114.0,0.0,18.757784496300165,low_shift,leave_one_year_out_influence_diagnostic
W113,37,2016,H,115.0,115.0,0.0,34.15448222960795,low_shift,leave_one_year_out_influence_diagnostic
W113,37,2016,Je,111.0,111.0,0.0,16.951910117539477,low_shift,leave_one_year_out_influence_diagnostic
W113,37,2016,Jw,104.0,104.0,0.0,27.611078281922154,low_shift,leave_one_year_out_influence_diagnostic
W113,38,2017,P,113.0,113.0,0.0,27.02499141819785,low_shift,leave_one_year_out_influence_diagnostic
W113,38,2017,V,114.0,115.0,1.0,18.93556308138502,low_shift,leave_one_year_out_influence_diagnostic
W113,38,2017,H,115.0,115.0,0.0,32.80060983876629,low_shift,leave_one_year_out_influence_diagnostic
