window_id,anchor_day,accepted_window_start,accepted_window_end,analysis_window_start,analysis_window_end,pre_period_start,pre_period_end,post_period_start,post_period_end,field,day,relative_to_anchor,raw_progress,progress
W007,160,155,164,145,175,145,152,168,175,V,162,2,0.6243390549189796,0.6243390549189796
W007,160,155,164,145,175,145,152,168,175,V,163,3,0.6909778536064983,0.6909778536064983
W007,160,155,164,145,175,145,152,168,175,V,164,4,0.7380132244795109,0.7380132244795109
W007,160,155,164,145,175,145,152,168,175,V,165,5,0.7842360347480046,0.7842360347480046
W007,160,155,164,145,175,145,152,168,175,V,166,6,0.8264253402658224,0.8264253402658224
W007,160,155,164,145,175,145,152,168,175,V,167,7,0.8549348195812363,0.8549348195812363
W007,160,155,164,145,175,145,152,168,175,V,168,8,0.8842252345057516,0.8842252345057516
W007,160,155,164,145,175,145,152,168,175,V,169,9,0.9104470312255859,0.9104470312255859
W007,160,155,164,145,175,145,152,168,175,V,170,10,0.9298312645631021,0.9298312645631021
W007,160,155,164,145,175,145,152,168,175,V,171,11,0.9423090366619286,0.9423090366619286
W007,160,155,164,145,175,145,152,168,175,V,172,12,0.9787419270793513,0.9787419270793513
W007,160,155,164,145,175,145,152,168,175,V,173,13,1.0533418453387702,1.0
W007,160,155,164,145,175,145,152,168,175,V,174,14,1.125991558440879,1.0
W007,160,155,164,145,175,145,152,168,175,V,175,15,1.1751121021846331,1.0
W002,45,40,48,30,60,30,37,53,60,H,30,-15,-0.27755918460996626,0.0
W002,45,40,48,30,60,30,37,53,60,H,31,-14,-0.2128121188211482,0.0
W002,45,40,48,30,60,30,37,53,60,H,32,-13,-0.14601302145761172,0.0
W002,45,40,48,30,60,30,37,53,60,H,33,-12,-0.07355119381222475,0.0
W002,45,40,48,30,60,30,37,53,60,H,34,-11,0.015346260631071612,0.015346260631071612
W002,45,40,48,30,60,30,37,53,60,H,35,-10,0.11806104856527726,0.11806104856527726
W002,45,40,48,30,60,30,37,53,60,H,36,-9,0.23057379540273243,0.23057379540273243
W002,45,40,48,30,60,30,37,53,60,H,37,-8,0.34595441410186906,0.34595441410186906
W002,45,40,48,30,60,30,37,53,60,H,38,-7,0.4617681824431798,0.4617681824431798
W002,45,40,48,30,60,30,37,53,60,H,39,-6,0.5593252146627877,0.5593252146627877
W002,45,40,48,30,60,30,37,53,60,H,40,-5,0.6279891620298624,0.6279891620298624
W002,45,40,48,30,60,30,37,53,60,H,41,-4,0.6684212943160861,0.6684212943160861
W002,45,40,48,30,60,30,37,53,60,H,42,-3,0.6949819476898192,0.6949819476898192
W002,45,40,48,30,60,30,37,53,60,H,43,-2,0.7115780351512082,0.7115780351512082
W002,45,40,48,30,60,30,37,53,60,H,44,-1,0.7081784689711922,0.7081784689711922
W002,45,40,48,30,60,30,37,53,60,H,45,0,0.6783563728272777,0.6783563728272777
W002,45,40,48,30,60,30,37,53,60,H,46,1,0.6421488239564292,0.6421488239564292
W002,45,40,48,30,60,30,37,53,60,H,47,2,0.6049198154494838,0.6049198154494838
W002,45,40,48,30,60,30,37,53,60,H,48,3,0.5778235404490808,0.5778235404490808
W002,45,40,48,30,60,30,37,53,60,H,49,4,0.5927732449965134,0.5927732449965134
W002,45,40,48,30,60,30,37,53,60,H,50,5,0.6580403804234162,0.6580403804234162
W002,45,40,48,30,60,30,37,53,60,H,51,6,0.7346311105178897,0.7346311105178897
W002,45,40,48,30,60,30,37,53,60,H,52,7,0.7779679944789535,0.7779679944789535
W002,45,40,48,30,60,30,37,53,60,H,53,8,0.8177294769331557,0.8177294769331557
W002,45,40,48,30,60,30,37,53,60,H,54,9,0.8740310577089151,0.8740310577089151
W002,45,40,48,30,60,30,37,53,60,H,55,10,0.9395982117193405,0.9395982117193405
W002,45,40,48,30,60,30,37,53,60,H,56,11,1.002401098519305,1.0
W002,45,40,48,30,60,30,37,53,60,H,57,12,1.0538202926096851,1.0
W002,45,40,48,30,60,30,37,53,60,H,58,13,1.0926856917137318,1.0
W002,45,40,48,30,60,30,37,53,60,H,59,14,1.1073604515963202,1.0
W002,45,40,48,30,60,30,37,53,60,H,60,15,1.1123737191995455,1.0
W003,81,75,86,66,96,66,73,89,96,H,66,-15,-0.0925062113087268,0.0
W003,81,75,86,66,96,66,73,89,96,H,67,-14,-0.0682331227458906,0.0
W003,81,75,86,66,96,66,73,89,96,H,68,-13,-0.050807847883740424,0.0
W003,81,75,86,66,96,66,73,89,96,H,69,-12,-0.03211612399652559,0.0
W003,81,75,86,66,96,66,73,89,96,H,70,-11,-0.006002694348929916,0.0
W003,81,75,86,66,96,66,73,89,96,H,71,-10,0.031673314046064244,0.031673314046064244
W003,81,75,86,66,96,66,73,89,96,H,72,-9,0.08102384666409122,0.08102384666409122
W003,81,75,86,66,96,66,73,89,96,H,73,-8,0.13696883957365782,0.13696883957365782
W003,81,75,86,66,96,66,73,89,96,H,74,-7,0.18995923864464914,0.18995923864464914
