object,baseline_config,baseline_role,day,D_pre,D_post,S_dist,R_pre,R_post,R_diff,S_pattern,V_dist,V_pattern,pattern_dynamic_range,pattern_branch_valid
V,C0_full_stage,main_full_stage,105,1.5462647240676737,0.27994354644483926,0.8467077655024118,0.26544963317468895,0.9912135448946197,0.7257639117199307,1.0814582320266315,0.013847476946977078,-0.00734231777934391,1.2517656667023853,True
V,C0_full_stage,main_full_stage,106,1.550509143758699,0.2980192230577804,0.8387802814348873,0.2508337526613112,0.9894517596206795,0.7386180069593684,1.0917270032362623,-0.007927484067524526,0.010268771209630767,1.2517656667023853,True
V,C0_full_stage,main_full_stage,107,1.5325140963221702,0.3460341025599179,0.815797059257867,0.23523827094162242,0.9870618210321341,0.7518235500905117,1.1022765361739497,-0.0229832221770202,0.010549532937687456,1.2517656667023853,True
V,C1_buffered_stage,buffered_sensitivity,49,0.37206581675546513,1.9138353025973487,0.1627654904254147,0.9985512970199086,0.3035034103521908,-0.6950478866677179,-0.009620449849044007,,,1.3634665543589848,True
V,C1_buffered_stage,buffered_sensitivity,50,0.27839753066769357,1.8301869881242838,0.1320305295740241,0.9991642303626933,0.32610190977761244,-0.6730623205850809,0.006504306575929861,-0.030734960851390575,0.016124756424973866,1.3634665543589848,True
V,C1_buffered_stage,buffered_sensitivity,51,0.2227520686929317,1.8166074821238134,0.10922648171761644,0.998681326930682,0.2854571877754956,-0.7132241391551863,-0.022951361729030513,-0.022804047856407675,-0.029455668304960374,1.3634665543589848,True
V,C1_buffered_stage,buffered_sensitivity,52,0.2040325829939164,1.8280809995494924,0.10040412344399946,0.9954325858903371,0.23576061900701617,-0.759671966883321,-0.05701734419089693,-0.008822358273616979,-0.034065982461866415,1.3634665543589848,True
V,C1_buffered_stage,buffered_sensitivity,53,0.21462478446501035,1.8437315112081,0.10426998713302216,0.991660878902641,0.20165646207861532,-0.7900044168240257,-0.07926391110794544,0.003865863689022697,-0.02224656691704851,1.3634665543589848,True
V,C1_buffered_stage,buffered_sensitivity,54,0.23540272848336968,1.8604558713654673,0.11231803925147814,0.9908826262483139,0.19569606319469585,-0.7951865630536181,-0.0830646249670608,0.008048052118455981,-0.0038007138591153594,1.3634665543589848,True
V,C1_buffered_stage,buffered_sensitivity,55,0.2620584187110314,1.8817975830482914,0.12223694991453585,0.9895205256089419,0.18687320043111177,-0.8026473251778301,-0.08853653192389815,0.009918910663057709,-0.005471906956837358,1.3634665543589848,True
V,C1_buffered_stage,buffered_sensitivity,56,0.24166342717814104,1.8420644790954783,0.11597647967882407,0.9959862586986561,0.24564185598956956,-0.7503444027090865,-0.05017627856709096,-0.006260470235711774,0.03836025335680719,1.3634665543589848,True
V,C1_buffered_stage,buffered_sensitivity,57,0.20796350507905415,1.8183298807560422,0.10263247490853658,0.9968051389760102,0.25979273069514697,-0.7370124082808632,-0.040398265028290845,-0.013344004770287493,0.009778013538800118,1.3634665543589848,True
V,C1_buffered_stage,buffered_sensitivity,58,0.19514499376517985,1.818262519322987,0.09692275036058955,0.9948605596499571,0.2408528718996458,-0.7540076877503114,-0.052863022168914815,-0.005709724547947034,-0.01246475714062397,1.3634665543589848,True
