window,source,target,source_family,target_family,positive_peak_lag,positive_peak_signed_r,positive_peak_abs_r,negative_peak_lag,negative_peak_signed_r,negative_peak_abs_r,lag0_signed_r,lag0_abs_r,sample_status,surrogate_mode,T_pos_obs,T_pos_null90,T_pos_null95,T_pos_null99,p_pos_surrogate,T_neg_obs,T_neg_null90,T_neg_null95,T_neg_null99,p_neg_surrogate,T_0_obs,T_0_null90,T_0_null95,T_0_null99,p_0_surrogate,S_pos,S_neg,S_0,strength_excess,strength_ratio,q_pos_global,q_pos_within_window
T3_expand17,V_pos_band_width,P_spread_lat,V,P,4,0.1048112250461569,0.1048112250461569,-5,0.2316679988196097,0.2316679988196097,0.08796811704114525,0.08796811704114525,ok,pooled_window_variable_ar1,0.1048112250461569,0.16231134037590614,0.19311639044541798,0.25342195644418386,0.33766233766233766,0.2316679988196097,0.16411580861464461,0.18928556067591892,0.2485400208967533,0.016983016983016984,0.08796811704114525,0.14754791611211382,0.17294268836792606,0.2326041694446065,0.3116883116883117,-0.08830516539926107,0.042382438143690776,-0.08497457132678081,-0.08830516539926107,0.5427360401901284,0.4318936877076412,0.4318936877076412
T3_expand17,V_pos_band_width,P_north_band_share_35_45,V,P,5,0.12021857434732204,0.12021857434732204,-5,0.20677810133878602,0.20677810133878602,0.024632539073679856,0.024632539073679856,ok,pooled_window_variable_ar1,0.12021857434732204,0.15937446518485662,0.18762008301163902,0.2209483980640747,0.24375624375624375,0.20677810133878602,0.15819909640533417,0.18986328064786848,0.24441607215572425,0.029970029970029972,0.024632539073679856,0.14512739218997614,0.1679493757781362,0.2157491321267443,0.7992007992007992,-0.06740150866431698,0.016914820690917542,-0.14331683670445636,-0.06740150866431698,0.6407553627394157,0.392083644510829,0.392083644510829
T3_expand17,V_pos_band_width,P_north_minus_main_35_45,V,P,2,0.03793255020583356,0.03793255020583356,-5,0.10245661406791376,0.10245661406791376,0.014531806858039514,0.014531806858039514,ok,pooled_window_variable_ar1,0.03793255020583356,0.15403455098552202,0.18446227797678427,0.24101538269061784,0.8451548451548452,0.10245661406791376,0.16274900246261761,0.19015924899203476,0.22894877641860842,0.31868131868131866,0.014531806858039514,0.14125260801923728,0.17033374047572172,0.22185021127662335,0.8671328671328671,-0.14652972777095072,-0.087702634924121,-0.15580193361768221,-0.14652972777095072,0.20563852198880256,0.8555248432549046,0.8555248432549046
T3_expand17,V_pos_band_width,P_total_centroid_lat_10_50,V,P,4,0.18586239078863345,0.18586239078863345,-5,0.21666741360772787,0.21666741360772787,0.05398297271106509,0.05398297271106509,ok,pooled_window_variable_ar1,0.18586239078863345,0.16702343539641046,0.18582082615683346,0.2471027070450867,0.05094905094905095,0.21666741360772787,0.16487123797864392,0.19295959876209443,0.23927249265137301,0.023976023976023976,0.05398297271106509,0.14074103055414217,0.17451412898415675,0.222091515024035,0.5604395604395604,4.1564631799995144e-05,0.023707814845633446,-0.12053115627309166,4.1564631799995144e-05,1.0002236812345506,0.15861496993572466,0.15861496993572466
T3_expand17,V_pos_band_width,P_main_28_35_mean,V,P,5,0.07475107851876303,0.07475107851876303,-4,0.10772354812615169,0.10772354812615169,0.032035868863787176,0.032035868863787176,ok,pooled_window_variable_ar1,0.07475107851876303,0.15919567236565368,0.1887018708368109,0.2462430235650582,0.5354645354645354,0.10772354812615169,0.15901582798599526,0.18219980396894642,0.24237733866300945,0.32367632367632365,0.032035868863787176,0.1413698937720577,0.16715652760659427,0.21665711706409038,0.6943056943056943,-0.11395079231804786,-0.07447625584279473,-0.1351206587428071,-0.11395079231804786,0.39613321366277104,0.589010989010989,0.589010989010989
T3_expand17,V_pos_band_width,P_south_10_25_mean,V,P,5,-0.12379390814010797,0.12379390814010797,-5,-0.13762638909970126,0.13762638909970126,-0.03127864606059948,0.03127864606059948,ok,pooled_window_variable_ar1,0.12379390814010797,0.16820611292397541,0.1931023359842641,0.23733473048276932,0.2597402597402597,0.13762638909970126,0.16394578731523352,0.19029476801896814,0.23960726719835587,0.16683316683316685,0.03127864606059948,0.1442510815967651,0.17779105948139495,0.21808397822833056,0.7412587412587412,-0.06930842784415613,-0.05266837891926687,-0.14651241342079546,-0.06930842784415613,0.6410792883945016,0.3968253968253968,0.3968253968253968
T3_expand17,V_pos_band_width,P_scs_10_20_mean,V,P,4,-0.13990863811320098,0.13990863811320098,-5,-0.06485701863655918,0.06485701863655918,-0.03129287912646812,0.03129287912646812,ok,pooled_window_variable_ar1,0.13990863811320098,0.16117502095323763,0.1891925243436989,0.24489934647520992,0.15984015984015984,0.06485701863655918,0.15868199533471755,0.18590286070845907,0.2285361439677203,0.6193806193806194,0.03129287912646812,0.14183509800068206,0.16925336899713556,0.21970122234200273,0.7362637362637363,-0.049283886230497925,-0.12104584207189989,-0.13796048987066745,-0.049283886230497925,0.7395040506940658,0.3066700741119346,0.3066700741119346
T3_expand17,V_pos_band_width,P_highlat_40_60_mean,V,P,3,0.27197140986093726,0.27197140986093726,-5,0.08973555533608651,0.08973555533608651,0.10747296714387737,0.10747296714387737,ok,pooled_window_variable_ar1,0.27197140986093726,0.15768419173321752,0.18563040324064992,0.23120240624033445,0.001998001998001998,0.08973555533608651,0.16191141591780683,0.18438026913842004,0.23678102570198922,0.4275724275724276,0.10747296714387737,0.1469376039038569,0.16764019558595272,0.22041652066353706,0.22677322677322678,0.08634100662028735,-0.09464471380233352,-0.06016722844207535,0.08634100662028735,1.465123197024765,0.0253592561284869,0.0253592561284869
T3_expand17,V_pos_band_width,P_highlat_35_60_mean,V,P,3,0.22758679516422986,0.22758679516422986,-5,0.1549865802594525,0.1549865802594525,0.10511871532757887,0.10511871532757887,ok,pooled_window_variable_ar1,0.22758679516422986,0.15666889897341382,0.18171005480343796,0.22666937070031531,0.00999000999000999,0.1549865802594525,0.1573044509376406,0.18834725298062005,0.24782954651045108,0.10589410589410589,0.10511871532757887,0.13572236399428575,0.16444468790897657,0.22032435868529998,0.23276723276723277,0.045876740360791896,-0.03336067272116755,-0.0593259725813977,0.045876740360791896,1.2524722168534832,0.0716674629718108,0.0716674629718108
T3_expand17,V_pos_band_width,P_highlat_minus_main,V,P,2,0.0686175580907045,0.0686175580907045,-3,-0.08447370445143607,0.08447370445143607,0.006933952656580211,0.006933952656580211,ok,pooled_window_variable_ar1,0.0686175580907045,0.15943756823246152,0.19484892170255502,0.2354938213931728,0.6233766233766234,0.08447370445143607,0.16441494751468608,0.18578031263790235,0.23755921695041066,0.5004995004995005,0.006933952656580211,0.1395063304080082,0.1681236797586393,0.21678154476932912,0.9330669330669331,-0.12623136361185053,-0.10130660818646628,-0.1611897271020591,-0.12623136361185053,0.35215775120096404,0.6551410373066424,0.6551410373066424
