window_id,anchor_day,field,band_id,band_label,feature_indices,lat_values,lat_min,lat_max,lat_center,n_features,accepted_window_start,accepted_window_end,analysis_window_start,analysis_window_end,pre_period_start,pre_period_end,post_period_start,post_period_end,bootstrap_id,pre_post_distance,within_pre_variability,within_post_variability,separation_ratio,pre_post_separation_label,onset_day,midpoint_day,finish_day,duration,progress_monotonicity_corr,n_crossings_025,n_crossings_050,n_crossings_075,progress_quality_label,near_left_boundary,near_right_boundary
W002,45,H,5,H_band_25_29,5;6;7,25;27;29,25.0,29.0,27.0,3,40,48,30,60,30,37,53,60,5,0.6214180683835521,0.12008845977750555,0.04710273017101321,7.4336221731236485,clear_separation,36.0,39.0,51.0,16.0,0.9509749351381229,1,1,1,monotonic_clear_progress,False,False
W002,45,H,6,H_band_27_31,6;7;8,27;29;31,27.0,31.0,29.0,3,40,48,30,60,30,37,53,60,5,0.5611791809164647,0.09541829678970712,0.05116420658925634,7.656837180055209,clear_separation,37.0,41.0,51.0,15.0,0.9751471173773935,1,1,1,monotonic_clear_progress,False,False
W002,45,H,7,H_band_29_33,7;8;9,29;31;33,29.0,33.0,31.0,3,40,48,30,60,30,37,53,60,5,0.5195750826032304,0.07877256187308003,0.05497410219606853,7.769540813770645,clear_separation,37.0,47.0,52.0,16.0,0.986602737382429,1,1,1,monotonic_clear_progress,False,False
W002,45,H,8,H_band_31_35,8;9;10,31;33;35,31.0,35.0,33.0,3,40,48,30,60,30,37,53,60,5,0.508204386037169,0.07258725823515164,0.05738131364578013,7.820419639525321,clear_separation,38.0,49.0,53.0,16.0,0.9849091397908663,1,1,1,monotonic_clear_progress,False,False
W002,45,H,0,H_band_15_19,0;1;2,15;17;19,15.0,19.0,17.0,3,40,48,30,60,30,37,53,60,6,0.18630824677045255,0.037803941191309365,0.03517687947491277,5.105676945383442,clear_separation,42.0,45.0,53.0,12.0,0.9472161095351435,1,3,1,nonmonotonic_progress,False,False
W002,45,H,1,H_band_17_21,1;2;3,17;19;21,17.0,21.0,19.0,3,40,48,30,60,30,37,53,60,6,0.3631528929993622,0.08075795354806913,0.0768837423895842,4.6073203010754264,clear_separation,37.0,38.0,39.0,3.0,0.7472851130792121,1,3,3,nonmonotonic_progress,False,False
W002,45,H,2,H_band_19_23,2;3;4,19;21;23,19.0,23.0,21.0,3,40,48,30,60,30,37,53,60,6,0.6052995079858313,0.12277683424215252,0.1047351816397559,5.321033314519044,clear_separation,37.0,38.0,39.0,3.0,0.7937497415477703,1,3,3,nonmonotonic_progress,False,False
W002,45,H,3,H_band_21_25,3;4;5,21;23;25,21.0,25.0,23.0,3,40,48,30,60,30,37,53,60,6,0.757867568849936,0.14701505810242088,0.11567392273741003,5.770075063074379,clear_separation,37.0,38.0,54.0,18.0,0.8391360440254069,1,3,3,nonmonotonic_progress,False,False
W002,45,H,4,H_band_23_27,4;5;6,23;25;27,23.0,27.0,25.0,3,40,48,30,60,30,37,53,60,6,0.7802874371725925,0.14483088492902652,0.10297045358999198,6.297685410657365,clear_separation,37.0,39.0,54.0,18.0,0.892019747387848,1,3,1,nonmonotonic_progress,False,False
W002,45,H,5,H_band_25_29,5;6;7,25;27;29,25.0,29.0,27.0,3,40,48,30,60,30,37,53,60,6,0.6821483366282503,0.12586619180336084,0.0838176244865794,6.506447170710622,clear_separation,37.0,39.0,54.0,18.0,0.9172553876834416,1,3,1,nonmonotonic_progress,False,False
W002,45,H,6,H_band_27_31,6;7;8,27;29;31,27.0,31.0,29.0,3,40,48,30,60,30,37,53,60,6,0.5881829612875146,0.10738855910450455,0.06926454479468844,6.6591862616408,clear_separation,37.0,39.0,53.0,17.0,0.928018293672436,1,3,1,nonmonotonic_progress,False,False
W002,45,H,7,H_band_29_33,7;8;9,29;31;33,29.0,33.0,31.0,3,40,48,30,60,30,37,53,60,6,0.5289413499407474,0.09213999948055596,0.0586228157953291,7.01686750762522,clear_separation,37.0,51.0,53.0,17.0,0.9354177027771454,1,3,1,nonmonotonic_progress,False,False
W002,45,H,8,H_band_31_35,8;9;10,31;33;35,31.0,35.0,33.0,3,40,48,30,60,30,37,53,60,6,0.5075393957467739,0.0798099759006265,0.050666098479641736,7.779807878949318,clear_separation,37.0,51.0,53.0,17.0,0.9426125467687927,1,1,1,monotonic_clear_progress,False,False
W002,45,H,0,H_band_15_19,0;1;2,15;17;19,15.0,19.0,17.0,3,40,48,30,60,30,37,53,60,7,0.31561583436710094,0.07097680979319732,0.07680335067617501,4.271423624935655,clear_separation,46.0,47.0,54.0,9.0,0.8933658774739816,1,1,3,nonmonotonic_progress,False,False
W002,45,H,1,H_band_17_21,1;2;3,17;19;21,17.0,21.0,19.0,3,40,48,30,60,30,37,53,60,7,0.3207697832023945,0.13922090497977574,0.07730789667595359,2.9628370983130514,clear_separation,38.0,41.0,44.0,7.0,0.9333087953395202,1,1,1,monotonic_clear_progress,False,False
W002,45,H,2,H_band_19_23,2;3;4,19;21;23,19.0,23.0,21.0,3,40,48,30,60,30,37,53,60,7,0.4508912603694147,0.17355014377290617,0.06728852362773874,3.744342760505267,clear_separation,36.0,37.0,38.0,3.0,0.7553245656331423,1,1,1,monotonic_clear_progress,False,False
W002,45,H,3,H_band_21_25,3;4;5,21;23;25,21.0,25.0,23.0,3,40,48,30,60,30,37,53,60,7,0.5688710140693636,0.17978289763520264,0.048312683622117415,4.9880055626559345,clear_separation,36.0,37.0,38.0,3.0,0.7557894653070376,1,1,1,monotonic_clear_progress,False,False
W002,45,H,4,H_band_23_27,4;5;6,23;25;27,23.0,27.0,25.0,3,40,48,30,60,30,37,53,60,7,0.610117342096337,0.14837208170687444,0.023910098075993272,7.082767850490434,clear_separation,36.0,38.0,39.0,4.0,0.824608835924919,1,1,1,monotonic_clear_progress,False,False
W002,45,H,5,H_band_25_29,5;6;7,25;27;29,25.0,29.0,27.0,3,40,48,30,60,30,37,53,60,7,0.5267070200926591,0.11761463691206178,0.020103784303102445,7.649042378464532,clear_separation,36.0,38.0,41.0,6.0,0.8595185514458511,1,1,1,monotonic_clear_progress,False,False
W002,45,H,6,H_band_27_31,6;7;8,27;29;31,27.0,31.0,29.0,3,40,48,30,60,30,37,53,60,7,0.42353127329063606,0.10071805493233056,0.02887391977805847,6.536381195372685,clear_separation,36.0,38.0,42.0,7.0,0.8710941378690519,1,1,1,monotonic_clear_progress,False,False
W002,45,H,7,H_band_29_33,7;8;9,29;31;33,29.0,33.0,31.0,3,40,48,30,60,30,37,53,60,7,0.3448552982135727,0.09308229458589869,0.03967293437194247,5.195355405818214,clear_separation,36.0,38.0,42.0,7.0,0.8822556709123626,1,1,1,monotonic_clear_progress,False,False
W002,45,H,8,H_band_31_35,8;9;10,31;33;35,31.0,35.0,33.0,3,40,48,30,60,30,37,53,60,7,0.3122715712204373,0.08993890697874582,0.04931323832938209,4.484980400481135,clear_separation,36.0,38.0,43.0,8.0,0.9147842650958353,1,1,5,nonmonotonic_progress,False,False
W002,45,H,0,H_band_15_19,0;1;2,15;17;19,15.0,19.0,17.0,3,40,48,30,60,30,37,53,60,8,0.2956201451766244,0.1270500393533881,0.03578584484683793,3.6308967967956427,clear_separation,35.0,36.0,41.0,7.0,0.8504258048546381,1,1,5,nonmonotonic_progress,False,False
W002,45,H,1,H_band_17_21,1;2;3,17;19;21,17.0,21.0,19.0,3,40,48,30,60,30,37,53,60,8,0.27574497996525377,0.09831701929989631,0.04928182290678395,3.736411151184995,clear_separation,36.0,38.0,42.0,7.0,0.9187536233486687,1,1,3,nonmonotonic_progress,False,False
W002,45,H,2,H_band_19_23,2;3;4,19;21;23,19.0,23.0,21.0,3,40,48,30,60,30,37,53,60,8,0.4118482959449879,0.0770591097212639,0.05620972091873366,6.180714484564561,clear_separation,37.0,39.0,43.0,7.0,0.9177302049200052,1,1,3,nonmonotonic_progress,False,False
W002,45,H,3,H_band_21_25,3;4;5,21;23;25,21.0,25.0,23.0,3,40,48,30,60,30,37,53,60,8,0.5423982763625541,0.06467251107665548,0.057464508523158,8.881799770959871,clear_separation,38.0,39.0,44.0,7.0,0.9250554239311191,1,1,3,nonmonotonic_progress,False,False
W002,45,H,4,H_band_23_27,4;5;6,23;25;27,23.0,27.0,25.0,3,40,48,30,60,30,37,53,60,8,0.6271014562282008,0.06542547323922053,0.04936738548536508,10.92579213001107,clear_separation,38.0,39.0,44.0,7.0,0.9460527944121633,1,1,3,nonmonotonic_progress,False,False
W002,45,H,5,H_band_25_29,5;6;7,25;27;29,25.0,29.0,27.0,3,40,48,30,60,30,37,53,60,8,0.5919016791110981,0.059040313656960094,0.04191680646689142,11.725803556465221,clear_separation,38.0,40.0,51.0,14.0,0.962808560721319,1,1,1,monotonic_clear_progress,False,False
W002,45,H,6,H_band_27_31,6;7;8,27;29;31,27.0,31.0,29.0,3,40,48,30,60,30,37,53,60,8,0.5323020154465838,0.050067491591265015,0.035557736255222405,12.433298662597066,clear_separation,38.0,42.0,51.0,14.0,0.9734067893601202,1,1,1,monotonic_clear_progress,False,False
W002,45,H,7,H_band_29_33,7;8;9,29;31;33,29.0,33.0,31.0,3,40,48,30,60,30,37,53,60,8,0.4910064131050767,0.04398898151787113,0.03176104711021785,12.963860792787662,clear_separation,38.0,43.0,51.0,14.0,0.9821963148145963,1,1,1,monotonic_clear_progress,False,False
W002,45,H,8,H_band_31_35,8;9;10,31;33;35,31.0,35.0,33.0,3,40,48,30,60,30,37,53,60,8,0.4786719770003349,0.04103180782402433,0.03191108950677874,13.124567147816649,clear_separation,38.0,49.0,51.0,14.0,0.9859269484541037,1,1,1,monotonic_clear_progress,False,False
