mode,year,H_H_E1_strength,H_H_E2_strength,P_E2_CONTROL_strength,P_P45_strength,V_E2_CONTROL_strength,V_V45_strength,H_package_strength,M_combined_strength,joint45_strength_proxy
raw,1982,5777.831785766804,5827.591072393588,7.330945474090859,5.7188280921029495,3.600353967268244,2.085390717038052,-0.9526163197297031,-1.0327632666397875,-1.0327632666397875
raw,1983,5836.801241686885,5836.437447013155,5.504255406539917,8.932776668789689,2.9909054630604057,3.2611398991414275,1.0472569584062974,0.837449689904773,0.837449689904773
raw,1984,5792.425936357713,5807.432785426455,6.305015128138212,8.082892778696637,1.5441456903718667,2.5995409946537005,-1.2318884663536216,0.0512027883650428,0.0512027883650428
raw,1985,5783.003351833846,5838.165235986852,4.502105267678617,4.638526356104142,3.233814015433923,1.8552609998863256,-0.43777450764220527,-1.524091423147389,-1.524091423147389
raw,1986,5811.757852926461,5810.851041084294,4.647592070024648,8.531730577782795,1.7855735373905033,2.8614662292908077,-0.5583203708839517,0.3936720506156599,0.3936720506156599
raw,1987,5826.534760296253,5827.064640174292,4.788830175542321,7.914018621401001,2.035904527788434,3.1951725249681453,0.4277267350449628,0.4997539055968111,0.4997539055968111
raw,1988,5796.31469289344,5837.9878878642185,5.931639030662703,6.7370891699193,3.009242246579914,2.28958249122391,-0.06166294047445159,-0.5802333392224445,-0.5802333392224445
raw,1989,5788.469470106092,5812.277927253764,6.605900239207856,8.502294212858232,2.3988875964640073,3.0355911129908595,-1.1776489217930353,0.5303333553042515,0.5303333553042515
raw,1990,5783.588469542639,5821.921182006222,5.10187001485968,6.719092412128526,2.3939488356185663,2.6606250741880166,-0.9837325174404512,-0.2766042476420827,-0.2766042476420827
raw,1991,5823.3733726169185,5828.191404438584,5.092642369766711,6.963153942031851,1.9145321471347354,2.604853113915618,0.37597835462761103,-0.255238312492882,-0.255238312492882
raw,1992,5795.459809260374,5828.749857657373,5.62521025544544,6.465932815414263,3.1167217481616993,2.3928586059560404,-0.4062554437862786,-0.5696083407194364,-0.5696083407194364
raw,1993,5804.078040022335,5838.381377868437,7.348872329382134,4.759495188243202,3.4192647677134196,2.48336790337623,0.17490561850847103,-0.9680623638135997,-0.9680623638135997
raw,1994,5821.462718964985,5816.376905468124,6.20578218253025,5.797009620439997,2.380746891350947,1.7942676873180852,-0.08819163970987715,-1.2532086036195722,-1.2532086036195722
raw,1995,5829.231458318593,5811.026944138213,5.418442465467054,9.087684997414073,2.1825646200355417,2.635205281270498,-0.050444913820970605,0.35981594528375027,0.35981594528375027
raw,1996,5782.161202489772,5814.441989148583,5.406935247927307,9.8849233250151,1.7477763860844495,2.782314531602933,-1.2838285611366713,0.703505961197749,0.703505961197749
raw,1997,5803.002872797479,5840.973617191466,5.569961062957529,5.600300033064552,3.8714384006683136,2.5259127708873894,0.23383632578437696,-0.699251926065152,-0.699251926065152
raw,1998,5836.107096497857,5862.850946940029,6.732282921245021,8.232554497984212,3.772550040154879,3.436212492392666,1.9423953375651637,0.7886770940323917,0.7886770940323917
raw,1999,5814.606161751298,5805.968543660697,7.181900579318283,6.7357439144642255,1.5524238079439157,2.491071707586992,-0.6456765112609006,-0.4130123692483839,-0.4130123692483839
raw,2000,5792.709737869739,5811.763128909786,4.998305573154835,8.826501509797653,1.6035278668897484,2.1139415055000406,-1.0737178342784448,-0.14626938314510923,-0.14626938314510923
raw,2001,5802.488856887834,5823.27877290374,6.051873908812991,8.706836299263115,1.8314525266246329,2.3254597727582076,-0.39394631503851074,-0.003554206554875483,-0.003554206554875483
raw,2002,5839.127359294467,5841.079910590351,4.723648309254616,7.082838334661765,2.3583096994644808,2.3167831246872916,1.2748889569086872,-0.461622255038266,-0.461622255038266
raw,2003,5843.199373106976,5838.974131912274,4.847315292217191,7.616582447136373,2.5023476962665816,2.2137328141764785,1.318870298073183,-0.39916035743799844,-0.39916035743799844
raw,2004,5812.522408020256,5833.850935195182,5.239948619947926,8.933909637020802,2.8333674562868993,4.127446580105245,0.2604455430717652,1.5583396610831066,1.5583396610831066
raw,2005,5822.162915294358,5812.318004248286,6.25720030450449,6.133312717258152,3.20236520080784,3.012531204875285,-0.2087013884714788,-0.14651918847228312,-0.14651918847228312
raw,2006,5801.5803279877955,5850.797599443182,5.076621582367565,9.595936243957047,2.5145309487858998,3.516624692376237,0.5333287473426922,1.2340615038905298,1.2340615038905298
raw,2007,5803.85930944221,5814.284051070185,4.716353320221442,4.23593656038756,1.2761033906371178,1.701886308159615,-0.666205668333728,-1.7634313804668633,-1.7634313804668633
raw,2008,5806.940879224038,5808.277190158849,6.093167518190839,11.607478353071226,2.138506257787647,3.428731377023549,-0.7858159181098756,1.7193939281509527,1.7193939281509527
raw,2009,5797.094169946523,5809.351094334417,6.916410508205478,4.111869632864465,2.0078612910144717,1.9458749864079745,-1.031374880820327,-1.594930003539869,-1.594930003539869
raw,2010,5827.3663123925635,5824.205798642085,6.218585298797509,6.609070175542071,2.3814971041367765,2.7773533304102496,0.3525640521352216,-0.21005631981414113,-0.21005631981414113
raw,2011,5773.719326578043,5836.592350637263,6.036247218987261,6.889575332400638,3.5466252629805552,2.5186772523761314,-0.7588707634880825,-0.34734430127686866,-0.34734430127686866
raw,2012,5795.188051969785,5812.834349945604,5.6887698759028344,8.407940208194619,2.100661518221886,2.6108099314870508,-0.9654377486778467,0.15081505329874292,0.15081505329874292
raw,2013,5804.842460627609,5817.494038537137,5.070757951939852,9.181528371936515,1.911607997301639,3.1636725892744746,-0.5267658560588893,0.8254363979778758,0.8254363979778758
