window_id,target_type,target_name,influence_group,evidence_level,years,n_years,mean_effect,max_percentile,notes
W160,pairwise_order,P-Jw,reduce_P_earlier,usable_90,1994,1,0.05117104825873253,0.9013333333333333,statistical high-influence year candidates only; not physical year types
W160,pairwise_order,P-V,push_P_earlier,strict_99,1984;1995;1986;2000,4,0.1228604890589628,1.0,statistical high-influence year candidates only; not physical year types
W160,pairwise_order,P-V,push_V_earlier,credible_95,1990;2020;1998,3,0.058775568283756845,0.9796444444444444,statistical high-influence year candidates only; not physical year types
W160,pairwise_order,P-V,push_V_earlier,strict_99,2004;1996,2,0.10291822696701798,0.9998666666666667,statistical high-influence year candidates only; not physical year types
W160,pairwise_order,P-V,push_V_earlier,usable_90,1999;2011,2,0.04844375406010727,0.9342666666666667,statistical high-influence year candidates only; not physical year types
W160,pairwise_order,P-V,reduce_P_earlier,strict_99,2022;2021,2,0.08114677625225175,0.9965333333333334,statistical high-influence year candidates only; not physical year types
W160,pairwise_order,P-V,reduce_P_earlier,usable_90,2013;2005,2,0.05566037563141418,0.9495111111111111,statistical high-influence year candidates only; not physical year types
W160,pairwise_order,P-V,reduce_V_earlier,strict_99,2001;2018,2,0.0777213485182544,0.9986222222222222,statistical high-influence year candidates only; not physical year types
W160,pairwise_order,V-H,push_H_earlier,credible_95,2020;2005,2,0.0679444241201499,0.9829333333333333,statistical high-influence year candidates only; not physical year types
W160,pairwise_order,V-H,push_H_earlier,strict_99,1990;2000,2,0.0997934308903719,0.9992888888888889,statistical high-influence year candidates only; not physical year types
W160,pairwise_order,V-H,push_H_earlier,usable_90,1981;1991;1988,3,0.05229017782790831,0.9255555555555556,statistical high-influence year candidates only; not physical year types
W160,pairwise_order,V-H,push_V_earlier,credible_95,1998,1,0.059127523799560544,0.9539111111111112,statistical high-influence year candidates only; not physical year types
W160,pairwise_order,V-H,push_V_earlier,strict_99,2013;1980,2,0.11309397087471493,1.0,statistical high-influence year candidates only; not physical year types
W160,pairwise_order,V-H,push_V_earlier,usable_90,2001,1,0.05233805233805233,0.9330222222222222,statistical high-influence year candidates only; not physical year types
W160,pairwise_order,V-H,reduce_H_earlier,credible_95,2022;2007,2,0.0709626827717284,0.9825333333333334,statistical high-influence year candidates only; not physical year types
W160,pairwise_order,V-H,reduce_H_earlier,strict_99,1999,1,0.11516541107107758,0.9998666666666667,statistical high-influence year candidates only; not physical year types
W160,pairwise_order,V-H,reduce_H_earlier,usable_90,2014,1,0.05053625053625055,0.9089777777777778,statistical high-influence year candidates only; not physical year types
W160,pairwise_order,V-H,reduce_V_earlier,credible_95,1979,1,0.06056492455490001,0.9660888888888889,statistical high-influence year candidates only; not physical year types
W160,pairwise_order,V-H,reduce_V_earlier,strict_99,1992;1982,2,0.0897801803512646,0.9995555555555555,statistical high-influence year candidates only; not physical year types
W160,pairwise_order,V-H,reduce_V_earlier,usable_90,1987,1,0.05491205491205489,0.9458222222222222,statistical high-influence year candidates only; not physical year types
W160,pairwise_order,V-Je,push_Je_earlier,credible_95,1994;1996;2017,3,0.06810473549202917,0.9825777777777778,statistical high-influence year candidates only; not physical year types
W160,pairwise_order,V-Je,push_Je_earlier,strict_99,2009,1,0.11320013101867019,0.9998222222222222,statistical high-influence year candidates only; not physical year types
W160,pairwise_order,V-Je,push_Je_earlier,usable_90,1988,1,0.05507338190265021,0.9326222222222222,statistical high-influence year candidates only; not physical year types
W160,pairwise_order,V-Je,push_V_earlier,credible_95,1993;2015,2,0.07617796394910237,0.9835555555555555,statistical high-influence year candidates only; not physical year types
W160,pairwise_order,V-Je,push_V_earlier,strict_99,2020;2018;2022;1980;1989;2014,6,0.13404281055407638,1.0,statistical high-influence year candidates only; not physical year types
W160,pairwise_order,V-Je,push_V_earlier,usable_90,2019,1,0.06368788444260143,0.9472888888888888,statistical high-influence year candidates only; not physical year types
W160,pairwise_order,V-Je,reduce_Je_earlier,credible_95,2008;2001,2,0.07024520939198634,0.9844888888888889,statistical high-influence year candidates only; not physical year types
W160,pairwise_order,V-Je,reduce_Je_earlier,strict_99,1987;2005;1999;2007;1979,5,0.11483730514581754,1.0,statistical high-influence year candidates only; not physical year types
W160,pairwise_order,V-Je,reduce_V_earlier,strict_99,1984;1986;1995;1998;1991;2010;1997;2002;1990,9,0.13243547367969907,1.0,statistical high-influence year candidates only; not physical year types
W160,pairwise_order,V-Je,reduce_V_earlier,usable_90,1992,1,0.06224037050785736,0.9429777777777778,statistical high-influence year candidates only; not physical year types
W160,pairwise_order,V-Jw,push_Jw_earlier,credible_95,1984,1,0.06463392211945906,0.9676,statistical high-influence year candidates only; not physical year types
W160,pairwise_order,V-Jw,push_Jw_earlier,strict_99,1979;2013,2,0.09384686695211453,0.9986222222222222,statistical high-influence year candidates only; not physical year types
W160,pairwise_order,V-Jw,push_V_earlier,credible_95,1999;2004;2002,3,0.06642856394866574,0.9848888888888889,statistical high-influence year candidates only; not physical year types
W160,pairwise_order,V-Jw,push_V_earlier,strict_99,2018;2021,2,0.09621058449837043,0.9997777777777778,statistical high-influence year candidates only; not physical year types
W160,pairwise_order,V-Jw,reduce_Jw_earlier,credible_95,2005,1,0.07399757455251355,0.9864888888888889,statistical high-influence year candidates only; not physical year types
W160,pairwise_order,V-Jw,reduce_Jw_earlier,strict_99,1995;1981,2,0.10211071058731874,1.0,statistical high-influence year candidates only; not physical year types
W160,pairwise_order,V-Jw,reduce_V_earlier,credible_95,2022;2015,2,0.07096500063686983,0.9887111111111111,statistical high-influence year candidates only; not physical year types
W160,pairwise_order,V-Jw,reduce_V_earlier,strict_99,2010;2001;1983,3,0.10765845558582365,1.0,statistical high-influence year candidates only; not physical year types
W160,pairwise_order,V-Jw,reduce_V_earlier,usable_90,2007,1,0.05522597346564556,0.9391111111111111,statistical high-influence year candidates only; not physical year types
