replicate_id,status,n_valid_days,n_detected_local_peaks
764,success,175,8
765,success,175,9
766,success,175,8
767,success,175,8
768,success,175,7
769,success,175,11
770,success,175,10
771,success,175,8
772,success,175,8
773,success,175,8
774,success,175,8
775,success,175,8
776,success,175,9
777,success,175,8
778,success,175,9
779,success,175,8
780,success,175,10
781,success,175,9
782,success,175,10
783,success,175,8
784,success,175,9
785,success,175,10
786,success,175,8
787,success,175,9
788,success,175,10
789,success,175,8
790,success,175,11
791,success,175,9
792,success,175,10
793,success,175,9
794,success,175,9
795,success,175,11
796,success,175,9
797,success,175,10
798,success,175,10
799,success,175,8
800,success,175,10
801,success,175,7
802,success,175,8
803,success,175,10
804,success,175,9
805,success,175,9
806,success,175,9
807,success,175,9
808,success,175,9
809,success,175,8
810,success,175,8
811,success,175,9
812,success,175,9
813,success,175,9
814,success,175,6
815,success,175,10
816,success,175,9
817,success,175,8
818,success,175,9
819,success,175,9
820,success,175,12
821,success,175,8
822,success,175,10
823,success,175,7
824,success,175,9
825,success,175,10
826,success,175,8
827,success,175,10
828,success,175,9
829,success,175,9
830,success,175,10
831,success,175,8
832,success,175,9
833,success,175,8
834,success,175,8
835,success,175,9
836,success,175,11
837,success,175,12
838,success,175,8
839,success,175,8
840,success,175,10
841,success,175,8
842,success,175,10
843,success,175,6
844,success,175,10
845,success,175,9
846,success,175,8
847,success,175,9
848,success,175,8
849,success,175,9
850,success,175,7
851,success,175,9
852,success,175,10
853,success,175,9
854,success,175,7
855,success,175,9
856,success,175,10
857,success,175,9
858,success,175,8
859,success,175,7
860,success,175,11
861,success,175,10
862,success,175,7
863,success,175,8
864,success,175,9
865,success,175,8
866,success,175,9
867,success,175,9
868,success,175,8
869,success,175,8
870,success,175,10
871,success,175,9
872,success,175,9
873,success,175,8
874,success,175,9
875,success,175,9
876,success,175,10
877,success,175,9
878,success,175,9
879,success,175,10
880,success,175,7
881,success,175,9
882,success,175,9
883,success,175,10
884,success,175,10
885,success,175,7
886,success,175,10
887,success,175,7
888,success,175,10
889,success,175,9
890,success,175,9
891,success,175,9
892,success,175,8
893,success,175,8
894,success,175,9
895,success,175,8
896,success,175,8
897,success,175,10
898,success,175,11
899,success,175,8
900,success,175,8
901,success,175,9
902,success,175,8
903,success,175,8
904,success,175,9
905,success,175,8
906,success,175,7
907,success,175,8
908,success,175,7
909,success,175,10
910,success,175,9
911,success,175,9
912,success,175,11
913,success,175,7
914,success,175,10
915,success,175,10
916,success,175,10
917,success,175,9
918,success,175,9
919,success,175,10
920,success,175,9
921,success,175,8
922,success,175,8
923,success,175,9
924,success,175,8
925,success,175,11
926,success,175,8
927,success,175,10
928,success,175,9
929,success,175,9
930,success,175,7
931,success,175,10
932,success,175,8
933,success,175,9
934,success,175,9
935,success,175,7
936,success,175,11
937,success,175,8
938,success,175,11
939,success,175,9
940,success,175,8
941,success,175,9
942,success,175,9
943,success,175,9
944,success,175,8
945,success,175,9
946,success,175,8
947,success,175,10
948,success,175,8
949,success,175,8
950,success,175,8
951,success,175,8
952,success,175,8
953,success,175,9
954,success,175,10
955,success,175,7
956,success,175,10
957,success,175,8
958,success,175,7
959,success,175,10
960,success,175,10
961,success,175,9
962,success,175,8
963,success,175,8
964,success,175,9
965,success,175,9
966,success,175,9
967,success,175,8
968,success,175,7
969,success,175,8
970,success,175,8
971,success,175,9
972,success,175,8
973,success,175,11
974,success,175,9
975,success,175,9
976,success,175,11
977,success,175,10
978,success,175,10
979,success,175,10
980,success,175,10
981,success,175,10
982,success,175,9
983,success,175,9
984,success,175,8
985,success,175,9
986,success,175,8
987,success,175,9
988,success,175,8
989,success,175,9
990,success,175,8
991,success,175,8
992,success,175,7
993,success,175,10
994,success,175,11
995,success,175,10
996,success,175,8
997,success,175,9
998,success,175,8
999,success,175,11
