mode,cluster_id,object,n_years,n_window_days,between_year_variance,within_window_noise,snr_between_over_within,median_window_cv,mean_window_cv,peak_day_iqr,bootstrap_rank_corr_median,bootstrap_rank_corr_p10,bootstrap_fraction_rank_corr_ge_0_8,median_bootstrap_ci_width,ci_width_to_between_year_sd,object_window_usability
local_background_removed,M,P,45,9,1.5478847640481697,0.3799646949339272,4.073759443132633,0.10134530600884188,0.10792130700648388,6.0,0.983201581027668,0.9508432147562582,1.0,0.5356331003055748,0.43538956191943157,usable_for_yearwise_mapping
local_background_removed,M,V,45,9,0.21818735078216547,0.12094891966714126,1.8039627917374235,0.14530069486260816,0.15792157766869758,5.0,0.9687088274044795,0.9124242424242425,0.994,0.26712637552659513,0.5783382354338101,usable_for_yearwise_mapping
local_background_removed,M,H,45,9,38.56451045766596,16.476506168013753,2.3405757303408086,0.19526309211185822,0.19979505081036059,4.0,0.9832674571805007,0.9475625823451911,1.0,3.0338498574474464,0.49406045204686205,usable_for_yearwise_mapping
local_background_removed,M,Je,45,9,17.690940442442752,8.798624475854256,2.0106484247610914,0.3052592968875291,0.5193705481373655,6.0,0.974505928853755,0.9204216073781292,0.996,2.6062976182255446,0.6266549370581693,usable_for_yearwise_mapping
local_background_removed,M,Jw,45,9,15.58325267964439,5.3177463584306555,2.930424211552712,0.2752254836994378,0.31341285903225313,6.0,0.9880764163372859,0.9667720685111989,1.0,1.6113802160631394,0.41280874560532044,usable_for_yearwise_mapping
raw,E1,P,45,12,1.362923720578264,0.7208484594068721,1.8907215556759502,0.12819615786842717,0.1375430495040662,5.0,0.9813570487483532,0.9512252964426877,1.0,0.6587077275873474,0.5706067461879926,usable_for_yearwise_mapping
raw,E1,V,45,12,0.3439709521070593,0.15785537873489516,2.1790258581087096,0.14677515815979758,0.15588623200431834,5.0,0.9728590250329381,0.9413438735177866,1.0,0.30062837096689243,0.5183809078042937,usable_for_yearwise_mapping
raw,E1,H,45,12,291.98871790764343,91.04256927734461,3.2071669354821233,0.0012361214371914243,0.0014038047746025896,5.0,0.9931488801054018,0.9787747035573122,1.0,6.360315923190683,0.37642249684432394,usable_for_yearwise_mapping
raw,E1,Je,45,12,33.13802503893954,15.60180500363123,2.1239866176525557,0.06976556123148198,0.07311208709018692,6.0,0.9829380764163373,0.9459025032938077,1.0,3.226392042876469,0.5668050952939149,usable_for_yearwise_mapping
raw,E1,Jw,45,12,27.446719952141347,9.603159244559336,2.8580927643877625,0.06207225638240313,0.06864397355373676,6.0,0.98866930171278,0.9626218708827404,1.0,1.9339543584357664,0.3733197046479679,usable_for_yearwise_mapping
raw,E2,P,45,12,0.8870435965615691,0.7036513556737404,1.260629414564222,0.12067425543893925,0.12830084140976175,6.0,0.9781949934123848,0.9484453227931489,1.0,0.7248203232920281,0.7782834549259415,usable_for_yearwise_mapping
raw,E2,V,45,12,0.3334712777155169,0.18204055730629978,1.8318515535666553,0.147763885567277,0.14686720432522818,7.0,0.9744400527009223,0.9216337285902503,1.0,0.3678528371165144,0.64420606880401,usable_for_yearwise_mapping
raw,E2,H,45,12,167.06202079392713,73.98237900985272,2.2581325854860133,0.0010822243808088867,0.001272205801080251,7.0,0.9881422924901185,0.9598155467720685,1.0,6.300764808674103,0.4929857004275609,usable_for_yearwise_mapping
raw,E2,Je,45,12,19.400427611759046,15.745342482232967,1.2321375437624962,0.07438848819321392,0.08249564694619946,9.0,0.971870882740448,0.9254150197628458,1.0,3.218285647623631,0.7389224403534433,usable_for_yearwise_mapping
raw,E2,Jw,45,12,17.933431533277624,10.713553870215302,1.673901279680181,0.0763209291732218,0.08662065032294167,8.0,0.9774044795783926,0.9360474308300395,1.0,2.469675795664152,0.5897774515375079,usable_for_yearwise_mapping
raw,M,P,45,9,3.054843672755743,0.8206355838378632,3.722533768844687,0.09101270837698694,0.10518788858254574,3.0,0.9897233201581027,0.9640316205533597,1.0,0.8569916623920086,0.49586336126958547,usable_for_yearwise_mapping
raw,M,V,45,9,0.327350785438156,0.11819354251182701,2.7696164991639036,0.10300214676611252,0.11345481936016139,6.0,0.9762845849802372,0.9335309617918314,1.0,0.3086548529865243,0.5455647912417121,usable_for_yearwise_mapping
raw,M,H,45,9,198.92195492610125,35.57102721424253,5.592246569883929,0.0007816217171617856,0.0008960061737810269,8.0,0.9897233201581027,0.9559552042160737,1.0,4.931569266592305,0.35360931481437907,usable_for_yearwise_mapping
raw,M,Je,45,9,26.9584593587407,10.45064518875884,2.57959761065621,0.05968728926704877,0.06671746300994728,7.0,0.9826086956521739,0.944505928853755,1.0,2.7564182632901364,0.5368803424390354,usable_for_yearwise_mapping
raw,M,Jw,45,9,30.54201513172036,6.916100619344045,4.416074434529076,0.0509879387845819,0.06339914053009427,7.0,0.9891963109354414,0.9672332015810277,1.0,1.8390449014255381,0.3365297071544788,usable_for_yearwise_mapping
