year,point_id,formal_point_day,nearest_yearwise_peak_day,nearest_yearwise_peak_score,best_match_peak_rank_within_year,day_offset,best_match_exists,near_point_flag,strict_point_flag
2010,RP004,135,142,19.837779986306966,,7,True,False,False
2010,RP005,160,163,24.50062735404598,,3,True,True,False
2011,RP001,45,60,27.06611957901066,,15,True,False,False
2011,RP002,81,77,30.122279123401814,,-4,True,False,False
2011,RP003,113,109,25.046020271247567,,-4,True,False,False
2011,LP006,132,129,25.426588962877148,,-3,True,True,False
2011,RP004,135,129,25.426588962877148,,-6,True,False,False
2011,RP005,160,157,18.52490140487052,,-3,True,True,False
2012,RP001,45,40,12.66302466902749,,-5,True,False,False
2012,RP002,81,81,40.152159120870635,,0,True,True,True
2012,RP003,113,110,30.91762131518209,,-3,True,True,False
2012,LP006,132,151,21.028842323047023,,19,True,False,False
2012,RP004,135,151,21.028842323047023,,16,True,False,False
2012,RP005,160,162,20.111996278362152,,2,True,True,True
2013,RP001,45,40,18.92438532502213,,-5,True,False,False
2013,RP002,81,79,21.830827650492473,,-2,True,True,True
2013,RP003,113,132,33.64705435761579,,19,True,False,False
2013,LP006,132,132,33.64705435761579,,0,True,True,True
2013,RP004,135,132,33.64705435761579,,-3,True,True,False
2013,RP005,160,164,25.938707480672328,,4,True,False,False
2014,RP001,45,34,31.278464814418882,,-11,True,False,False
2014,RP002,81,74,41.187895781190555,,-7,True,False,False
2014,RP003,113,107,25.784261216859523,,-6,True,False,False
2014,LP006,132,130,33.112204704451784,,-2,True,True,True
2014,RP004,135,130,33.112204704451784,,-5,True,False,False
2014,RP005,160,161,15.30949977686744,,1,True,True,True
2015,RP001,45,34,19.914280636277848,,-11,True,False,False
2015,RP002,81,92,57.96898219278152,,11,True,False,False
2015,RP003,113,110,37.32952891591648,,-3,True,True,False
2015,LP006,132,129,27.224047505314005,,-3,True,True,False
2015,RP004,135,129,27.224047505314005,,-6,True,False,False
2015,RP005,160,158,16.684378985076386,,-2,True,True,True
2016,RP001,45,49,22.90818259733657,,4,True,False,False
2016,RP002,81,76,30.18746369779931,,-5,True,False,False
2016,RP003,113,114,26.34121256577305,,1,True,True,True
2016,LP006,132,129,25.094632269365555,,-3,True,True,False
2016,RP004,135,129,25.094632269365555,,-6,True,False,False
2016,RP005,160,161,21.557941322150768,,1,True,True,True
2017,RP001,45,42,16.216820937753848,,-3,True,True,False
2017,RP002,81,59,23.988385567474122,,-22,True,False,False
2017,RP003,113,110,25.22863587719661,,-3,True,True,False
2017,LP006,132,138,32.43580066606669,,6,True,False,False
2017,RP004,135,138,32.43580066606669,,3,True,True,False
2017,RP005,160,152,27.742352416719605,,-8,True,False,False
2018,RP001,45,40,14.461372422281023,,-5,True,False,False
2018,RP002,81,78,36.24207891535008,,-3,True,True,False
2018,RP003,113,100,28.739838778037726,,-13,True,False,False
2018,LP006,132,126,22.895487160047914,,-6,True,False,False
2018,RP004,135,126,22.895487160047914,,-9,True,False,False
2018,RP005,160,154,25.76934314215362,,-6,True,False,False
2019,RP001,45,41,11.022355457063545,,-4,True,False,False
2019,RP002,81,93,14.158493973451543,,12,True,False,False
2019,RP003,113,93,14.158493973451543,,-20,True,False,False
2019,LP006,132,136,36.7327370055148,,4,True,False,False
2019,RP004,135,136,36.7327370055148,,1,True,True,True
2019,RP005,160,167,37.60173790097125,,7,True,False,False
2020,RP001,45,44,21.16225516342154,,-1,True,True,True
2020,RP002,81,66,22.004123894034556,,-15,True,False,False
2020,RP003,113,117,23.42543252932039,,4,True,False,False
2020,LP006,132,145,19.842523176170527,,13,True,False,False
2020,RP004,135,145,19.842523176170527,,10,True,False,False
2020,RP005,160,161,21.96075307504829,,1,True,True,True
2021,RP001,45,45,19.310425994960056,,0,True,True,True
2021,RP002,81,88,26.16998190234945,,7,True,False,False
2021,RP003,113,106,52.67765623246624,,-7,True,False,False
2021,LP006,132,127,32.143726266386636,,-5,True,False,False
2021,RP004,135,127,32.143726266386636,,-8,True,False,False
2021,RP005,160,155,14.84423276902155,,-5,True,False,False
2022,RP001,45,49,11.957257508934521,,4,True,False,False
2022,RP002,81,78,27.833626729870215,,-3,True,True,False
2022,RP003,113,120,20.938956966133752,,7,True,False,False
2022,LP006,132,120,20.938956966133752,,-12,True,False,False
2022,RP004,135,149,28.35906202839486,,14,True,False,False
2022,RP005,160,149,28.35906202839486,,-11,True,False,False
2023,RP001,45,52,29.90966669980525,,7,True,False,False
2023,RP002,81,64,27.376958989115856,,-17,True,False,False
2023,RP003,113,123,26.958842101920187,,10,True,False,False
2023,LP006,132,123,26.958842101920187,,-9,True,False,False
2023,RP004,135,142,32.83735277617945,,7,True,False,False
2023,RP005,160,164,30.54445899898943,,4,True,False,False
