window_id,field,bootstrap_id,v7e_anchor_day,v7e_onset_day,v7e_midpoint_day,v7e_finish_day,v7e_duration,v7e_pre_post_separation_label,v7e_progress_quality_label,v7e_progress_monotonicity_corr,v7e_n_crossings_025,v7e_n_crossings_050,v7e_n_crossings_075,marker_extract_status,t10_day,t15_day,t20_day,t25_day,t30_day,t35_day,t40_day,t45_day,t50_day,t75_day,pre_progress_upper90,pre_progress_upper95,departure90_day,departure95_day,peak_change_day_raw,peak_change_value_raw,peak_change_day_smooth3,peak_change_value_smooth3,duration_25_75,tail_50_75,early_span_25_50,analysis_start,analysis_end,progress_at_analysis_start,progress_at_anchor,progress_at_analysis_end
W002,P,2,45,39.0,43.0,46.0,8.0,clear_separation,monotonic_clear_progress,0.9334200666399571,1,1,1,success,36.0,37.0,38.0,39.0,40.0,40.0,41.0,42.0,43.0,46.0,0.12408982686293393,0.14532688789186426,37.0,37.0,46.0,0.12711198931809442,46.0,0.11008149743570728,8.0,3.0,4.0,30,60,0.0,0.7109272957255103,0.9341447683288605
W002,V,2,45,42.0,45.0,48.0,7.0,clear_separation,monotonic_clear_progress,0.9547850760395715,1,1,1,success,38.0,40.0,41.0,42.0,43.0,44.0,44.0,45.0,45.0,48.0,0.06681116439588004,0.0813673583723939,37.0,37.0,45.0,0.1148969545243897,45.0,0.1048688147875369,7.0,3.0,3.0,30,60,0.0,0.5562979261623576,0.9586267542882781
W002,H,2,45,38.0,42.0,54.0,17.0,clear_separation,nonmonotonic_progress,0.9602752742791666,1,3,1,success,36.0,37.0,38.0,38.0,39.0,39.0,40.0,42.0,42.0,54.0,0.15278184307736858,0.17130076811217637,37.0,37.0,55.0,0.10472046637543042,54.0,0.09196230917064552,17.0,12.0,4.0,30,60,0.0,0.5108990320887439,1.0
W002,Je,2,45,41.0,44.0,46.0,6.0,clear_separation,monotonic_clear_progress,0.9620302867182735,1,1,1,success,40.0,40.0,40.0,41.0,42.0,42.0,43.0,44.0,44.0,46.0,0.0487966977873707,0.04937065532364957,38.0,38.0,46.0,0.1251035901134674,45.0,0.10911311931415013,6.0,2.0,3.0,30,60,0.0,0.6469872755602084,1.0
W002,Jw,2,45,46.0,48.0,51.0,6.0,clear_separation,monotonic_clear_progress,0.9438299107214415,1,1,1,success,38.0,45.0,45.0,46.0,46.0,47.0,47.0,48.0,48.0,51.0,0.07436577385457471,0.076573371526743,37.0,37.0,46.0,0.12056027699672858,47.0,0.09879244148502486,6.0,3.0,2.0,30,60,0.0,0.2064483614500278,0.9715362150569096
W002,P,3,45,40.0,42.0,45.0,6.0,clear_separation,monotonic_clear_progress,0.919901547599599,1,1,1,success,38.0,39.0,39.0,40.0,40.0,41.0,41.0,42.0,42.0,45.0,0.0349289497838473,0.05948628222856965,37.0,37.0,45.0,0.11867489309084267,46.0,0.10056027218407393,6.0,3.0,2.0,30,60,0.0,0.77928268231055,0.9340057249732552
W002,V,3,45,41.0,45.0,47.0,7.0,clear_separation,monotonic_clear_progress,0.9615852875450674,1,1,1,success,37.0,38.0,40.0,41.0,42.0,43.0,43.0,44.0,45.0,47.0,0.11246793125584126,0.12782144052889757,37.0,37.0,45.0,0.13571207416075604,45.0,0.10860893462236054,7.0,2.0,4.0,30,60,0.0,0.6217669793618587,1.0
W002,H,3,45,38.0,41.0,50.0,13.0,clear_separation,monotonic_clear_progress,0.9769022705525127,1,1,1,success,36.0,37.0,37.0,38.0,39.0,39.0,40.0,41.0,41.0,50.0,0.13759781330154675,0.17063686849795823,37.0,37.0,37.0,0.09439730056117575,37.0,0.08583038946445316,13.0,9.0,3.0,30,60,0.0,0.646580693426057,1.0
W002,Je,3,45,44.0,47.0,52.0,9.0,clear_separation,monotonic_clear_progress,0.9742910847517039,1,1,1,success,40.0,41.0,42.0,44.0,45.0,46.0,46.0,47.0,47.0,52.0,0.05436543888911061,0.05462508252861708,40.0,40.0,46.0,0.11214752609199252,46.0,0.0902803655624006,9.0,5.0,3.0,30,60,0.0,0.32183257040843966,1.0
W002,Jw,3,45,40.0,46.0,49.0,10.0,clear_separation,monotonic_clear_progress,0.9772855137938538,1,1,1,success,38.0,39.0,40.0,40.0,41.0,42.0,44.0,45.0,46.0,49.0,0.02529459047363554,0.041748683263546596,37.0,37.0,46.0,0.07699254013442275,47.0,0.07436871214231677,10.0,3.0,6.0,30,60,0.0,0.4781732044174661,0.9692071260599787
