year,mode,domain,H35_score,H35_score_share,is_top_fraction_year,H35_residual_norm,H35_residual_fraction
2018,anomaly,profile,83.22412978577576,0.01660574571372267,False,25.29585419605481,0.09238472559519521
2019,anomaly,profile,59.83911986274135,0.011939724821772637,False,59.5539024159494,0.990489909724883
2020,anomaly,profile,70.158019674895,0.013998659253013645,False,51.3265248018004,0.5352159861046868
2021,anomaly,profile,135.6913405934364,0.027074550412828156,False,135.6872775186053,0.9999401138793093
2022,anomaly,profile,109.08166685655016,0.021765110990183932,False,97.36353308202109,0.7966895461812933
2023,anomaly,profile,160.30489344498935,0.03198570299341085,False,160.29469456585278,0.9998727605317331
1979,local_background_removed,object_domain_spatial,1367.05716853803,0.02994127655749875,True,619.1724860162765,0.20513980853246122
1980,local_background_removed,object_domain_spatial,908.5562383483272,0.019899192386752952,False,908.5181813966955,0.9999162271899653
1981,local_background_removed,object_domain_spatial,1048.9888653726844,0.02297494680302876,False,1048.7202899592412,0.9994880002252292
1982,local_background_removed,object_domain_spatial,2064.0321721336068,0.045206418218425796,True,1202.536547482799,0.3394404886073791
1983,local_background_removed,object_domain_spatial,1068.1908273697368,0.023395508040577575,False,947.0587412833846,0.7860608112068188
1984,local_background_removed,object_domain_spatial,760.821191580329,0.016663500424253585,False,494.1683672080857,0.42187586646870767
1985,local_background_removed,object_domain_spatial,1044.3120692208804,0.022872515646375702,False,1036.4905485179454,0.9850768161199692
1986,local_background_removed,object_domain_spatial,573.4999591201106,0.012560792099201645,False,539.3511413156336,0.8844563851720589
1987,local_background_removed,object_domain_spatial,1144.4804389111575,0.025066402579734724,False,507.52519464741704,0.19665204379352433
1988,local_background_removed,object_domain_spatial,1066.8825715816704,0.023366854631444483,False,572.6317205601475,0.2880829544891552
1989,local_background_removed,object_domain_spatial,984.9166624883609,0.02157163786295035,False,775.2842148482773,0.6196164136680209
1990,local_background_removed,object_domain_spatial,971.2592712450057,0.021272513775324544,False,955.0993044311231,0.9670005090618734
1991,local_background_removed,object_domain_spatial,2720.5045166480127,0.059584470923036315,True,1179.4335693514522,0.18795248267471798
1992,local_background_removed,object_domain_spatial,1417.0371707992947,0.031035938217953887,True,1013.3282467314858,0.5113730220332685
1993,local_background_removed,object_domain_spatial,301.68612690460174,0.006607527444423814,False,300.7556935383143,0.9938412906411077
1994,local_background_removed,object_domain_spatial,607.1752558752222,0.013298348213536586,False,597.0147710465646,0.9668119810988532
1995,local_background_removed,object_domain_spatial,788.7993488870875,0.017276277830180743,False,590.7094367679895,0.5608086852259035
1996,local_background_removed,object_domain_spatial,968.7296957554105,0.021217111030618525,False,510.2866655108181,0.27747458699910604
1997,local_background_removed,object_domain_spatial,782.4117704378253,0.017136377131597227,False,782.1456887833158,0.9993199580573894
1998,local_background_removed,object_domain_spatial,356.38322360071754,0.007805502874245859,False,355.2324918169812,0.99355259227118
1999,local_background_removed,object_domain_spatial,1099.5490910706483,0.02408231651314208,False,660.1337875025177,0.3604414065000167
