mode,feature_index,lat,H18_profile_diff,H35_profile_diff,H18_contribution_fraction,H35_contribution_fraction,same_sign
local_background_removed,32,23.0,1.2315532094709158,1.1368772914460856,0.006391220639425769,0.01140003467226604,True
local_background_removed,33,23.25,1.3174034831157242,1.2057041909030628,0.0068367458807223015,0.012090196263229016,True
local_background_removed,34,23.5,1.4046151850873314,1.272408393567096,0.00728933633751616,0.012759072516521565,True
local_background_removed,35,23.75,1.4930129128063463,1.3368495607078896,0.007748081747402934,0.013405256185817924,True
local_background_removed,36,24.0,1.583239225918172,1.4002203632448156,0.008216316712928563,0.014040706776278188,True
local_background_removed,37,24.25,1.6745265723387235,1.463259108509669,0.008690057975648416,0.0146728276631343,True
local_background_removed,38,24.5,1.7670015770787393,1.5261718888541687,0.009169962663793637,0.015303685437013907,True
local_background_removed,39,24.75,1.8593558339692833,1.5876101337366098,0.009649240723595253,0.015919757309618653,True
local_background_removed,40,25.0,1.95073052090895,1.646767546339801,0.010123435245276338,0.016512958141293377,True
local_background_removed,41,25.25,2.041772447044167,1.7032184868880986,0.01059590288442808,0.017079019830074274,True
local_background_removed,42,25.5,2.1337275292361255,1.7571334254604178,0.011073109402738255,0.017619651764322633,True
local_background_removed,43,25.75,2.226430431678931,1.8091782663535305,0.011554196779938684,0.018141531297987495,True
local_background_removed,44,26.0,2.319804690124306,1.8590488529311051,0.012038768200140281,0.018641608501031495,True
local_background_removed,45,26.25,2.415326942921389,1.9066452859706229,0.012534486768291662,0.019118881634208877,True
local_background_removed,46,26.5,2.513088358308349,1.950991437408798,0.013041825607536002,0.019563562575397975,True
local_background_removed,47,26.75,2.61327874688419,1.9914537844053715,0.013561769751575947,0.01996929867563749,True
local_background_removed,48,27.0,2.715437538005997,2.0283812633459517,0.014091929040915122,0.020339588893807402,True
local_background_removed,49,27.25,2.8187032610325895,2.0620703190742096,0.014627832821017582,0.02067740582996023,True
local_background_removed,50,27.5,2.9229120209249766,2.092990768074271,0.015168630548563043,0.02098746056791209,True
local_background_removed,51,27.75,3.027269115496869,2.1210681276595533,0.015710198067992367,0.021269006232678387,True
local_background_removed,52,28.0,3.131254422676467,2.1456794821444416,0.016249836174029853,0.021515796538518938,True
local_background_removed,53,28.25,3.236513616806881,2.1670690603476404,0.01679608519424445,0.021730280489404657,True
local_background_removed,54,28.5,3.3429518528280484,2.1844674838386813,0.017348452924401073,0.021904743144726367,True
local_background_removed,55,28.75,3.45016539597526,2.196770908433582,0.01790484415826648,0.02202811570922809,True
local_background_removed,56,29.0,3.560573965774839,2.2049219562799554,0.018477816178188947,0.022109850324531877,True
local_background_removed,57,29.25,3.675608833926173,2.2100047434070773,0.019074796656115906,0.02216081796186346,True
local_background_removed,58,29.5,3.7960116964911914,2.2123899317334508,0.01969963466908498,0.022184735432838675,True
