window,source,target,source_object,target_object,family_direction,T_pos_obs_raw,T_0_obs_raw,T_neg_obs_raw,n_relation_bootstrap,positive_peak_lag_obs,bootstrap_peak_lag_mode,bootstrap_peak_lag_mode_fraction,bootstrap_peak_lag_entropy,peak_lag_stability_label
T4,Jw_PC1,V_PC1,Jw,V,Jw→V,0.09378203020995493,0.08232397631089987,0.09236138692665888,1000,5.0,5.0,0.567,0.8153347583987802,peak_lag_moderate
T4,Jw_PC1,H_PC1,Jw,H,Jw→H,0.10537121868779549,0.07740384806197564,0.29765527122681346,1000,5.0,5.0,0.374,1.2544769771344493,peak_lag_unstable
T4,Jw_PC1,Je_PC1,Jw,Je,Jw→Je,0.11321251584469666,0.0163930630182656,0.05077233240006191,1000,5.0,5.0,0.526,1.2573213908631553,peak_lag_moderate
S5,P_PC1,V_PC1,P,V,P→V,0.2227408869791718,0.2520112812765216,0.2542305613099531,1000,1.0,1.0,0.952,0.25534974143957084,peak_lag_stable
S5,P_PC1,H_PC1,P,H,P→H,0.14465320529991746,0.1366027435856223,0.11958956124120691,1000,1.0,1.0,0.585,1.171970367025349,peak_lag_moderate
S5,P_PC1,Je_PC1,P,Je,P→Je,0.05210202951067357,0.057119428148172384,0.19590754422377882,1000,5.0,5.0,0.396,1.3547839949195715,peak_lag_unstable
S5,P_PC1,Jw_PC1,P,Jw,P→Jw,0.0495058634537409,0.05265987354728091,0.05730647450563584,1000,1.0,1.0,0.437,1.3269083056554432,peak_lag_moderate
S5,V_PC1,P_PC1,V,P,V→P,0.2620451298762896,0.2520112812765215,0.2165197133423032,1000,1.0,1.0,0.89,0.37362005183552965,peak_lag_stable
S5,V_PC1,H_PC1,V,H,V→H,0.1682497024446324,0.16561112605948303,0.14199973695019025,1000,1.0,1.0,0.781,0.6723476963109523,peak_lag_stable
S5,V_PC1,Je_PC1,V,Je,V→Je,0.0954959266535258,0.11624771209416725,0.13258582488437493,1000,1.0,1.0,0.667,0.9082085434790516,peak_lag_stable
S5,V_PC1,Jw_PC1,V,Jw,V→Jw,0.35003938489211217,0.3360769196056118,0.301047016389002,1000,1.0,1.0,0.748,0.6479306810852451,peak_lag_stable
S5,H_PC1,P_PC1,H,P,H→P,0.12070444379920693,0.1366027435856223,0.1419667679234326,1000,1.0,1.0,0.619,1.1025605721535163,peak_lag_stable
S5,H_PC1,V_PC1,H,V,H→V,0.14141024767290306,0.16561112605948303,0.1726287918185907,1000,1.0,1.0,0.841,0.5906387451394951,peak_lag_stable
S5,H_PC1,Je_PC1,H,Je,H→Je,0.6243428071605087,0.5975986782195547,0.5447017674697824,1000,2.0,1.0,0.494,0.7571044023594741,peak_lag_moderate
S5,H_PC1,Jw_PC1,H,Jw,H→Jw,0.3838487436049176,0.3867115386832934,0.3617000710493171,1000,1.0,1.0,0.75,0.8942722026895351,peak_lag_stable
S5,Je_PC1,P_PC1,Je,P,Je→P,0.14746442513722857,0.05711942814817242,0.0346076036582538,1000,4.0,4.0,0.37,1.3882467972010664,peak_lag_unstable
S5,Je_PC1,V_PC1,Je,V,Je→V,0.1269824130431827,0.11624771209416725,0.09487303434770508,1000,2.0,1.0,0.419,1.3039566449281896,peak_lag_moderate
S5,Je_PC1,H_PC1,Je,H,Je→H,0.5387236725925109,0.5975986782195547,0.6438538441832569,1000,1.0,1.0,1.0,-1.000088900581841e-12,peak_lag_stable
S5,Je_PC1,Jw_PC1,Je,Jw,Je→Jw,0.23902000414552668,0.2925439531045571,0.40640416714111427,1000,1.0,1.0,0.946,0.23153877718063523,peak_lag_stable
S5,Jw_PC1,P_PC1,Jw,P,Jw→P,0.09008073661778478,0.05265987354728091,0.1022978044873666,1000,5.0,5.0,0.61,0.8368017527004642,peak_lag_stable
S5,Jw_PC1,V_PC1,Jw,V,Jw→V,0.2999832590485563,0.3360769196056118,0.3569971899810767,1000,1.0,1.0,0.994,0.03667793874813416,peak_lag_stable
S5,Jw_PC1,H_PC1,Jw,H,Jw→H,0.3450138529675289,0.3867115386832934,0.39565396019475696,1000,1.0,1.0,0.987,0.06937160841229079,peak_lag_stable
S5,Jw_PC1,Je_PC1,Jw,Je,Jw→Je,0.3513492702089855,0.2925439531045571,0.23963771995216032,1000,3.0,3.0,0.481,1.1479795046408225,peak_lag_moderate
