window_id,config_id,smoothing,detector_width,band_half_width,search_mode,selection_rule,P_peak_day,V_peak_day,H_peak_day,Je_peak_day,Jw_peak_day,sequence_string,sequence_with_days,front_object,last_object
W045,smooth9__narrow_w16_b8__narrow_search__closest_anchor,smooth9,16,8,narrow_search,closest_anchor,44.0,44.0,48.0,45.0,43.0,Jw/P/V/Je -> H,Jw/P/V/Je(day44/5月15日) -> H(day48/5月19日),Jw/P/V/Je,H
W045,smooth9__narrow_w16_b8__narrow_search__max_overlap,smooth9,16,8,narrow_search,max_overlap,44.0,44.0,48.0,45.0,43.0,Jw/P/V/Je -> H,Jw/P/V/Je(day44/5月15日) -> H(day48/5月19日),Jw/P/V/Je,H
W045,smooth9__narrow_w16_b8__narrow_search__max_score,smooth9,16,8,narrow_search,max_score,44.0,44.0,32.0,30.0,49.0,Je -> H -> P/V -> Jw,Je(day30/5月1日) -> H(day32/5月3日) -> P/V(day44/5月15日) -> Jw(day49/5月20日),Je,Jw
W045,smooth9__narrow_w16_b8__wide_search__baseline_rule,smooth9,16,8,wide_search,baseline_rule,44.0,44.0,32.0,34.0,43.0,H -> Je -> Jw/P/V,H(day32/5月3日) -> Je(day34/5月5日) -> Jw/P/V(day44/5月15日),H,Jw/P/V
W045,smooth9__narrow_w16_b8__wide_search__closest_anchor,smooth9,16,8,wide_search,closest_anchor,44.0,44.0,32.0,34.0,43.0,H -> Je -> Jw/P/V,H(day32/5月3日) -> Je(day34/5月5日) -> Jw/P/V(day44/5月15日),H,Jw/P/V
W045,smooth9__narrow_w16_b8__wide_search__max_overlap,smooth9,16,8,wide_search,max_overlap,44.0,44.0,32.0,34.0,43.0,H -> Je -> Jw/P/V,H(day32/5月3日) -> Je(day34/5月5日) -> Jw/P/V(day44/5月15日),H,Jw/P/V
W045,smooth9__narrow_w16_b8__wide_search__max_score,smooth9,16,8,wide_search,max_score,44.0,74.0,18.0,28.0,74.0,H -> Je -> P -> Jw/V,H(day18/4月19日) -> Je(day28/4月29日) -> P(day44/5月15日) -> Jw/V(day74/6月14日),H,Jw/V
W045,smooth9__wide_w24_b12__baseline_search__baseline_rule,smooth9,24,12,baseline_search,baseline_rule,42.0,44.0,37.0,32.0,48.0,Je -> H -> P -> V -> Jw,Je(day32/5月3日) -> H(day37/5月8日) -> P(day42/5月13日) -> V(day44/5月15日) -> Jw(day48/5月19日),Je,Jw
W045,smooth9__wide_w24_b12__baseline_search__closest_anchor,smooth9,24,12,baseline_search,closest_anchor,42.0,44.0,37.0,32.0,48.0,Je -> H -> P -> V -> Jw,Je(day32/5月3日) -> H(day37/5月8日) -> P(day42/5月13日) -> V(day44/5月15日) -> Jw(day48/5月19日),Je,Jw
W045,smooth9__wide_w24_b12__baseline_search__max_overlap,smooth9,24,12,baseline_search,max_overlap,42.0,44.0,37.0,32.0,48.0,Je -> H -> P -> V -> Jw,Je(day32/5月3日) -> H(day37/5月8日) -> P(day42/5月13日) -> V(day44/5月15日) -> Jw(day48/5月19日),Je,Jw
W045,smooth9__wide_w24_b12__baseline_search__max_score,smooth9,24,12,baseline_search,max_score,42.0,69.0,19.0,26.0,69.0,H -> Je -> P -> Jw/V,H(day19/4月20日) -> Je(day26/4月27日) -> P(day42/5月13日) -> Jw/V(day69/6月9日),H,Jw/V
W045,smooth9__wide_w24_b12__narrow_search__baseline_rule,smooth9,24,12,narrow_search,baseline_rule,42.0,44.0,42.0,48.0,48.0,H/P -> V -> Je/Jw,H/P(day42/5月13日) -> V(day44/5月15日) -> Je/Jw(day48/5月19日),H/P,Je/Jw
W045,smooth9__wide_w24_b12__narrow_search__closest_anchor,smooth9,24,12,narrow_search,closest_anchor,42.0,44.0,42.0,48.0,48.0,H/P -> V -> Je/Jw,H/P(day42/5月13日) -> V(day44/5月15日) -> Je/Jw(day48/5月19日),H/P,Je/Jw
W045,smooth9__wide_w24_b12__narrow_search__max_overlap,smooth9,24,12,narrow_search,max_overlap,42.0,44.0,36.0,36.0,48.0,H/Je -> P -> V -> Jw,H/Je(day36/5月7日) -> P(day42/5月13日) -> V(day44/5月15日) -> Jw(day48/5月19日),H/Je,Jw
W045,smooth9__wide_w24_b12__narrow_search__max_score,smooth9,24,12,narrow_search,max_score,42.0,44.0,30.0,30.0,48.0,H/Je -> P -> V -> Jw,H/Je(day30/5月1日) -> P(day42/5月13日) -> V(day44/5月15日) -> Jw(day48/5月19日),H/Je,Jw
W045,smooth9__wide_w24_b12__wide_search__baseline_rule,smooth9,24,12,wide_search,baseline_rule,42.0,44.0,31.0,32.0,48.0,H/Je -> P -> V -> Jw,H/Je(day32/5月3日) -> P(day42/5月13日) -> V(day44/5月15日) -> Jw(day48/5月19日),H/Je,Jw
W045,smooth9__wide_w24_b12__wide_search__closest_anchor,smooth9,24,12,wide_search,closest_anchor,42.0,44.0,31.0,32.0,48.0,H/Je -> P -> V -> Jw,H/Je(day32/5月3日) -> P(day42/5月13日) -> V(day44/5月15日) -> Jw(day48/5月19日),H/Je,Jw
