window_id,target_name,object_A,object_B,quantile_scheme,fraction_each_tail,high_n,low_n,high_P_A_earlier,high_P_B_earlier,low_P_A_earlier,low_P_B_earlier,high_delta_median,low_delta_median,high_dominant_direction,low_dominant_direction,high_dominant_probability,low_dominant_probability,high_order_level,low_order_level,high_low_reversal_flag
W160,W160_P_vs_Je_delta_peak,P,Je,decile,0.1,100,100,0.95,0.04,0.6,0.29,7.0,1.0,P_earlier,P_earlier,0.95,0.6,credible_95,weak_or_none,False
W160,W160_P_vs_Jw_delta_peak,P,Jw,tercile,0.3333333333333333,332,332,0.5090361445783133,0.42168674698795183,0.16566265060240964,0.8102409638554217,1.0,-7.0,P_earlier,Jw_earlier,0.5090361445783133,0.8102409638554217,weak_or_none,weak_or_none,True
W160,W160_P_vs_Jw_delta_peak,P,Jw,quartile,0.25,249,249,0.5461847389558233,0.37751004016064255,0.17670682730923695,0.7991967871485943,2.0,-8.0,P_earlier,Jw_earlier,0.5461847389558233,0.7991967871485943,weak_or_none,weak_or_none,True
W160,W160_P_vs_Jw_delta_peak,P,Jw,quintile,0.2,199,199,0.5678391959798995,0.35678391959798994,0.1658291457286432,0.8090452261306532,2.0,-8.0,P_earlier,Jw_earlier,0.5678391959798995,0.8090452261306532,weak_or_none,weak_or_none,True
W160,W160_P_vs_Jw_delta_peak,P,Jw,decile,0.1,99,99,0.6767676767676768,0.24242424242424243,0.15151515151515152,0.8181818181818182,5.0,-8.0,P_earlier,Jw_earlier,0.6767676767676768,0.8181818181818182,weak_or_none,weak_or_none,True
W160,W160_V_vs_H_delta_peak,V,H,tercile,0.3333333333333333,333,333,0.3963963963963964,0.5375375375375375,0.16516516516516516,0.8258258258258259,-1.0,-6.0,H_earlier,H_earlier,0.5375375375375375,0.8258258258258259,weak_or_none,weak_or_none,False
W160,W160_V_vs_H_delta_peak,V,H,quartile,0.25,249,249,0.44176706827309237,0.4859437751004016,0.17670682730923695,0.8192771084337349,0.0,-7.0,H_earlier,H_earlier,0.4859437751004016,0.8192771084337349,weak_or_none,weak_or_none,False
W160,W160_V_vs_H_delta_peak,V,H,quintile,0.2,199,199,0.46733668341708545,0.4623115577889447,0.1658291457286432,0.8291457286432161,0.0,-7.0,V_earlier,H_earlier,0.46733668341708545,0.8291457286432161,weak_or_none,weak_or_none,True
W160,W160_V_vs_H_delta_peak,V,H,decile,0.1,99,99,0.5252525252525253,0.40404040404040403,0.13131313131313133,0.8686868686868687,1.0,-7.0,V_earlier,H_earlier,0.5252525252525253,0.8686868686868687,weak_or_none,weak_or_none,True
W160,W160_V_vs_Je_delta_peak,V,Je,tercile,0.3333333333333333,333,333,0.8288288288288288,0.0990990990990991,0.24924924924924924,0.5525525525525525,3.0,-1.0,V_earlier,Je_earlier,0.8288288288288288,0.5525525525525525,weak_or_none,weak_or_none,True
