window_id,target_name,object,abs_loading_fraction,positive_loading_fraction,negative_loading_fraction,early_half_abs_loading_fraction,late_half_abs_loading_fraction,dominant_day_start,dominant_day_end,dominant_profile_coord_min,dominant_profile_coord_max,dominant_object_rank
W081,W081_P_vs_Jw_delta_peak,V,0.19994784310298772,0.45313541628241716,0.5468645837175828,0.4448272314808284,0.5551727685191715,49.0,107.0,0.0,10.0,3
W081,W081_V_vs_H_delta_peak,H,0.17360254310346337,0.3465724585791392,0.6534275414208608,0.46718185402816303,0.5328181459718371,49.0,104.0,0.0,10.0,4
W081,W081_V_vs_H_delta_peak,Je,0.16668994350682648,0.4793679015291745,0.5206320984708255,0.42661353451675416,0.5733864654832459,50.0,104.0,0.0,10.0,5
W081,W081_V_vs_H_delta_peak,Jw,0.17714911280370194,0.27739042384112417,0.7226095761588761,0.5019399685159122,0.4980600314840882,54.0,107.0,0.0,10.0,3
W081,W081_V_vs_H_delta_peak,P,0.23120045327357783,0.42619444594501316,0.5738055540549868,0.52385631746885,0.47614368253114997,49.0,99.0,0.0,12.0,2
W081,W081_V_vs_H_delta_peak,V,0.2513579473124302,0.3553168127148297,0.6446831872851703,0.43727198843707576,0.5627280115629243,55.0,107.0,0.0,10.0,1
W081,W081_V_vs_Je_delta_peak,H,0.1780950549452387,0.6084578405734616,0.3915421594265383,0.49855196984938854,0.5014480301506115,69.0,98.0,0.0,10.0,4
W081,W081_V_vs_Je_delta_peak,Je,0.2018387810701431,0.5395309246535477,0.4604690753464523,0.45793076321266457,0.5420692367873354,70.0,98.0,0.0,10.0,3
W081,W081_V_vs_Je_delta_peak,Jw,0.1405518023179543,0.48279253069482836,0.5172074693051717,0.5613495252440117,0.4386504747559883,63.0,107.0,0.0,10.0,5
W081,W081_V_vs_Je_delta_peak,P,0.23892949861008236,0.4259031087892999,0.5740968912107,0.4670495425776088,0.5329504574223911,50.0,104.0,0.0,12.0,2
W081,W081_V_vs_Je_delta_peak,V,0.2405848630565816,0.30506405985172336,0.6949359401482766,0.3071208719560222,0.6928791280439778,66.0,105.0,0.0,10.0,1
W081,W081_V_vs_Jw_delta_peak,H,0.186282151212026,0.33624701559202347,0.6637529844079767,0.448681761183688,0.5513182388163121,49.0,100.0,0.0,10.0,4
W081,W081_V_vs_Jw_delta_peak,Je,0.14652021019035724,0.3262979884268186,0.6737020115731813,0.46939485550740384,0.5306051444925962,59.0,107.0,0.0,10.0,5
W081,W081_V_vs_Jw_delta_peak,Jw,0.2305696048383398,0.4328308118257837,0.5671691881742162,0.4097806143974828,0.5902193856025171,73.0,93.0,0.0,10.0,1
W081,W081_V_vs_Jw_delta_peak,P,0.21627864431900024,0.4516045776959454,0.5483954223040546,0.5042923428356539,0.49570765716434617,49.0,104.0,0.0,12.0,3
W081,W081_V_vs_Jw_delta_peak,V,0.2203493894402768,0.43969873600154585,0.560301263998454,0.3525796396161149,0.6474203603838851,66.0,107.0,0.0,10.0,2
W081,W081_H_vs_Je_delta_peak,H,0.18291519149648527,0.7602316116725878,0.23976838832741204,0.5398197017795373,0.4601802982204626,49.0,107.0,0.0,10.0,5
W081,W081_H_vs_Je_delta_peak,Je,0.21582597306577825,0.5641512040227261,0.43584879597727394,0.46755647359444275,0.5324435264055571,49.0,107.0,0.0,10.0,2
W081,W081_H_vs_Je_delta_peak,Jw,0.19359207264919553,0.648402246246431,0.35159775375356916,0.6855410122347385,0.31445898776526165,54.0,82.0,0.0,10.0,3
W081,W081_H_vs_Je_delta_peak,P,0.22098384220399056,0.45295665826091613,0.5470433417390839,0.4641184124505798,0.5358815875494202,59.0,106.0,0.0,12.0,1
W081,W081_H_vs_Je_delta_peak,V,0.18668292058455027,0.31949147091579133,0.6805085290842088,0.3231071712196958,0.6768928287803042,69.0,105.0,0.0,10.0,4
W081,W081_H_vs_Jw_delta_peak,H,0.15985294193897373,0.38726180354013523,0.6127381964598647,0.528915287742107,0.4710847122578929,49.0,107.0,0.0,10.0,5
W081,W081_H_vs_Jw_delta_peak,Je,0.17006479801601274,0.33567640509988106,0.6643235949001189,0.4477386095221894,0.5522613904778106,49.0,107.0,0.0,10.0,3
W081,W081_H_vs_Jw_delta_peak,Jw,0.2873104245903757,0.5307157913779394,0.4692842086220607,0.4233478643397412,0.5766521356602589,73.0,94.0,0.0,10.0,1
W081,W081_H_vs_Jw_delta_peak,P,0.22222479797893674,0.4968906094338571,0.5031093905661429,0.5302838645905675,0.46971613540943263,49.0,106.0,0.0,12.0,2
W081,W081_H_vs_Jw_delta_peak,V,0.16054703747570104,0.5579004122668283,0.44209958773317176,0.4238662968194929,0.576133703180507,49.0,107.0,0.0,10.0,4
W081,W081_Je_vs_Jw_delta_peak,H,0.1847106457219032,0.15673618835433972,0.8432638116456603,0.6257828324840862,0.37421716751591405,49.0,99.0,0.0,10.0,4
W081,W081_Je_vs_Jw_delta_peak,Je,0.22496544352700987,0.3077683160481059,0.6922316839518943,0.570298150634118,0.42970184936588207,49.0,107.0,0.0,10.0,1
W081,W081_Je_vs_Jw_delta_peak,Jw,0.22322428796773006,0.4229933559654882,0.577006644034512,0.3533935435803024,0.6466064564196977,77.0,96.0,0.0,10.0,2
W081,W081_Je_vs_Jw_delta_peak,P,0.21478429907675384,0.5402700293220042,0.4597299706779957,0.5084097031214526,0.4915902968785472,49.0,105.0,0.0,12.0,3
W081,W081_Je_vs_Jw_delta_peak,V,0.1523153237066031,0.7668229045185071,0.23317709548149315,0.33743721937808974,0.6625627806219104,49.0,107.0,0.0,10.0,5
W113,W113_P_vs_V_delta_peak,H,0.16628714136693987,0.4495286729094524,0.5504713270905476,0.5894127458313217,0.41058725416867836,89.0,146.0,0.0,10.0,4
W113,W113_P_vs_V_delta_peak,Je,0.1348630408633066,0.6156208534840603,0.38437914651593974,0.5185246041979725,0.48147539580202753,88.0,154.0,0.0,10.0,5
