window,source,target,source_family,target_family,same_family_edge,tau,graph_entry,pcmci_graph_selected,val_matrix,p_matrix,edge_interpretation,direction_semantics,q_within_window,pcmci_plus_supported,support_rule
T1,P_south_band_share_18_24,V_strength,P,V,False,3,,False,-0.058281631761211414,0.437074093414615,lagged_direct_edge_control,source(t-tau)->target(t),0.7844919625390525,False,graph_selected_and_window_BH_q_le_alpha
T1,P_south_band_share_18_24,V_strength,P,V,False,4,,False,0.041160748288682214,0.5832698747030779,lagged_direct_edge_control,source(t-tau)->target(t),0.8527953754052653,False,graph_selected_and_window_BH_q_le_alpha
T1,P_south_band_share_18_24,V_strength,P,V,False,5,,False,0.12012920537948965,0.10820877511474952,lagged_direct_edge_control,source(t-tau)->target(t),0.6652276008216654,False,graph_selected_and_window_BH_q_le_alpha
T1,P_south_band_share_18_24,V_pos_centroid_lat,P,V,False,1,,False,0.04510701435770649,0.5487941209968384,lagged_direct_edge_control,source(t-tau)->target(t),0.8341346802469427,False,graph_selected_and_window_BH_q_le_alpha
T1,P_south_band_share_18_24,V_pos_centroid_lat,P,V,False,2,,False,0.05811673246323652,0.4396673951458321,lagged_direct_edge_control,source(t-tau)->target(t),0.7847990940787328,False,graph_selected_and_window_BH_q_le_alpha
T1,P_south_band_share_18_24,V_pos_centroid_lat,P,V,False,3,,False,-0.10650175462278275,0.15474579218796594,lagged_direct_edge_control,source(t-tau)->target(t),0.6652276008216654,False,graph_selected_and_window_BH_q_le_alpha
T1,P_south_band_share_18_24,V_pos_centroid_lat,P,V,False,4,,False,-0.052136619118505846,0.48700144252709293,lagged_direct_edge_control,source(t-tau)->target(t),0.8071103222049208,False,graph_selected_and_window_BH_q_le_alpha
T1,P_south_band_share_18_24,V_pos_centroid_lat,P,V,False,5,,False,-0.020627835555571773,0.7834294458659921,lagged_direct_edge_control,source(t-tau)->target(t),0.9433005055775041,False,graph_selected_and_window_BH_q_le_alpha
T1,P_south_band_share_18_24,V_NS_diff,P,V,False,1,,False,0.09378032327180694,0.21972792603208166,lagged_direct_edge_control,source(t-tau)->target(t),0.6794799319064372,False,graph_selected_and_window_BH_q_le_alpha
T1,P_south_band_share_18_24,V_NS_diff,P,V,False,2,,False,-0.08739041904860838,0.24742333084862184,lagged_direct_edge_control,source(t-tau)->target(t),0.7045866926888665,False,graph_selected_and_window_BH_q_le_alpha
T1,P_south_band_share_18_24,V_NS_diff,P,V,False,3,,False,-0.11569743695605911,0.12195286739690342,lagged_direct_edge_control,source(t-tau)->target(t),0.6652276008216654,False,graph_selected_and_window_BH_q_le_alpha
T1,P_south_band_share_18_24,V_NS_diff,P,V,False,4,,False,-0.006075389326791436,0.9354874510358044,lagged_direct_edge_control,source(t-tau)->target(t),0.9826126157932128,False,graph_selected_and_window_BH_q_le_alpha
T1,P_south_band_share_18_24,V_NS_diff,P,V,False,5,,False,0.06578362779805749,0.3802791195885253,lagged_direct_edge_control,source(t-tau)->target(t),0.7571818197507408,False,graph_selected_and_window_BH_q_le_alpha
T1,P_south_band_share_18_24,H_strength,P,H,False,1,,False,0.04905675985741596,0.5131284666731896,lagged_direct_edge_control,source(t-tau)->target(t),0.8180308888992878,False,graph_selected_and_window_BH_q_le_alpha
