window,source,target,source_family,target_family,same_family_edge,tau,graph_entry,pcmci_graph_selected,val_matrix,p_matrix,edge_interpretation,direction_semantics,q_within_window_tau0,tau0_supported,support_rule
T1,P_spread_lat,Je_strength,P,Je,False,0,,False,-0.05320419947270421,0.48437895740638826,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.8356015436460197,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_spread_lat,Je_axis_lat,P,Je,False,0,,False,0.12664938914183202,0.09585464947976653,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.6418093921688716,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_spread_lat,Je_meridional_width,P,Je,False,0,,False,-0.000825163561256323,0.9913029857064147,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.9934613230281912,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_spread_lat,Jw_strength,P,Jw,False,0,,False,0.12808290299520836,0.09118119045382143,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.63826833317675,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_spread_lat,Jw_axis_lat,P,Jw,False,0,,False,0.13240870943693636,0.07894409247633999,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.6078695120678179,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_spread_lat,Jw_meridional_width,P,Jw,False,0,,False,-0.0006186075255685472,0.9934613230281911,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.9934613230281912,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_north_band_share_35_45,V_strength,P,V,False,0,,False,0.14401921221302555,0.05796704133031459,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.6078695120678179,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_north_band_share_35_45,V_pos_centroid_lat,P,V,False,0,,False,0.12227144964523379,0.11112364647502955,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.6561983703064279,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_north_band_share_35_45,V_NS_diff,P,V,False,0,,False,0.14324278973754512,0.06009262301938926,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.6078695120678179,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_north_band_share_35_45,H_strength,P,H,False,0,,False,0.061598297066790264,0.4194084782265746,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.7789673125123757,False,tau0_graph_selected_and_window_BH_q_le_alpha
