object,replicate_id,replicate_kind,replicate_label,candidate_id,point_day,month_day,matched_peak_day,matched_peak_score,matched_peak_prominence,offset_days,abs_offset_days,match_type
V,19,bootstrap,19,CP009,161,09-09,162,58.27709362066879,34.54476816179329,1,1,strict
V,20,bootstrap,20,CP001,16,04-17,18,3.163480669230018,0.0365100549785784,2,2,strict
V,20,bootstrap,20,CP002,30,05-01,31,17.524726158764917,14.855529019042237,1,1,strict
V,20,bootstrap,20,CP003,45,05-16,48,15.661712820536719,4.249603060801364,3,3,matched
V,20,bootstrap,20,CP004,69,06-09,79,39.233753563191804,37.200211905851575,10,10,no_match
V,20,bootstrap,20,CP005,80,06-20,79,39.233753563191804,37.200211905851575,-1,1,strict
V,20,bootstrap,20,CP006,95,07-05,95,9.829806098210117,0.5209599962786182,0,0,strict
V,20,bootstrap,20,CP007,114,07-24,110,24.09851499199698,16.14022784751677,-4,4,matched
V,20,bootstrap,20,CP008,136,08-15,134,13.109842036461156,10.217893772989015,-2,2,strict
V,20,bootstrap,20,CP009,161,09-09,162,43.548721396311564,12.234484535641478,1,1,strict
V,21,bootstrap,21,CP001,16,04-17,26,26.863936275731003,24.75794966149113,10,10,no_match
V,21,bootstrap,21,CP002,30,05-01,26,26.863936275731003,24.75794966149113,-4,4,matched
V,21,bootstrap,21,CP003,45,05-16,45,22.25879104178985,12.94440849767972,0,0,strict
V,21,bootstrap,21,CP004,69,06-09,64,11.61794508615847,2.1674249033388353,-5,5,matched
V,21,bootstrap,21,CP005,80,06-20,83,24.78642706750714,22.503783544785158,3,3,matched
V,21,bootstrap,21,CP006,95,07-05,83,24.78642706750714,22.503783544785158,-12,12,no_match
V,21,bootstrap,21,CP007,114,07-24,111,31.738053509377416,29.82189924479846,-3,3,matched
V,21,bootstrap,21,CP008,136,08-15,132,10.314768874912314,5.4160628751322735,-4,4,matched
V,21,bootstrap,21,CP009,161,09-09,161,25.45017352698621,0.7680813949598537,0,0,strict
V,22,bootstrap,22,CP001,16,04-17,16,10.738846234995995,1.579663237561265,0,0,strict
V,22,bootstrap,22,CP002,30,05-01,16,10.738846234995995,1.579663237561265,-14,14,no_match
V,22,bootstrap,22,CP003,45,05-16,45,23.57222829202637,18.886833289231646,0,0,strict
V,22,bootstrap,22,CP004,69,06-09,77,23.850575125931822,22.209909452803362,8,8,near
