window_id,window_start_day,window_end_day,window_anchor_day,day,month_day,relative_to_anchor,field,score,is_peak_day
W007,155,164,160,162,09-10,2,H,0.6442144446765443,False
W007,155,164,160,163,09-11,3,H,0.393805128283212,False
W007,155,164,160,164,09-12,4,H,0.4567564427116304,False
W007,155,164,160,155,09-03,-5,Je,8.829590637586817,False
W007,155,164,160,156,09-04,-4,Je,10.537300612525723,False
W007,155,164,160,157,09-05,-3,Je,12.589655863943594,False
W007,155,164,160,158,09-06,-2,Je,14.86466286992279,False
W007,155,164,160,159,09-07,-1,Je,17.098626751221754,False
W007,155,164,160,160,09-08,0,Je,19.033830774063958,False
W007,155,164,160,161,09-09,1,Je,20.223520665922436,False
W007,155,164,160,162,09-10,2,Je,20.266046161694703,True
W007,155,164,160,163,09-11,3,Je,19.40288182219537,False
W007,155,164,160,164,09-12,4,Je,18.039385174623433,False
W007,155,164,160,155,09-03,-5,Jw,10.813803603691476,True
W007,155,164,160,156,09-04,-4,Jw,10.446314398572122,False
W007,155,164,160,157,09-05,-3,Jw,10.042274757412013,False
W007,155,164,160,158,09-06,-2,Jw,9.631445444758638,False
W007,155,164,160,159,09-07,-1,Jw,9.184315775941675,False
W007,155,164,160,160,09-08,0,Jw,8.79322277104649,False
W007,155,164,160,161,09-09,1,Jw,8.600325051210058,False
W007,155,164,160,162,09-10,2,Jw,8.691824031375567,False
W007,155,164,160,163,09-11,3,Jw,8.928980734584808,False
W007,155,164,160,164,09-12,4,Jw,9.150578461018158,False
W007,155,164,160,155,09-03,-5,P,18.739719715808558,False
W007,155,164,160,156,09-04,-4,P,20.038379639918126,False
W007,155,164,160,157,09-05,-3,P,21.02810941477442,False
W007,155,164,160,158,09-06,-2,P,21.186921722771807,True
W007,155,164,160,159,09-07,-1,P,19.749519002548524,False
W007,155,164,160,160,09-08,0,P,17.76029095214629,False
W007,155,164,160,161,09-09,1,P,15.618548639594898,False
W007,155,164,160,162,09-10,2,P,13.572455514006393,False
W007,155,164,160,163,09-11,3,P,11.92922475353723,False
W007,155,164,160,164,09-12,4,P,10.320547307747235,False
W007,155,164,160,155,09-03,-5,V,22.37029727573204,False
W007,155,164,160,156,09-04,-4,V,25.227418961709308,False
W007,155,164,160,157,09-05,-3,V,27.139169207696106,False
W007,155,164,160,158,09-06,-2,V,28.818893059905392,False
W007,155,164,160,159,09-07,-1,V,30.857005968908307,False
W007,155,164,160,160,09-08,0,V,32.95904552211712,False
W007,155,164,160,161,09-09,1,V,34.08042868585578,True
W007,155,164,160,162,09-10,2,V,33.59825982364314,False
W007,155,164,160,163,09-11,3,V,31.582649697346206,False
W007,155,164,160,164,09-12,4,V,29.00517277605967,False
