year,mode,cluster_id,object,window_day_min,window_day_max,strength_raw,note,strength_z
2020,local_background_removed,E2,P,27,38,3.0485463853535606,,-0.31628838113006347
2021,local_background_removed,E2,P,27,38,3.6123495513743835,,0.16208902843747258
2022,local_background_removed,E2,P,27,38,3.6443181445382073,,0.18921383671615413
2023,local_background_removed,E2,P,27,38,2.818099380763161,,-0.5118187501356215
1979,local_background_removed,M,P,40,48,3.9732004649540493,,0.4682648991702451
1980,local_background_removed,M,P,40,48,7.056682995714793,,3.0845474502646746
1981,local_background_removed,M,P,40,48,4.470777665337161,,0.8904507018131994
1982,local_background_removed,M,P,40,48,3.7377187354373516,,0.2684626515849227
1983,local_background_removed,M,P,40,48,4.321804917205266,,0.7640498554851013
1984,local_background_removed,M,P,40,48,3.654823035339449,,0.198127058124177
1985,local_background_removed,M,P,40,48,3.2974000674881774,,-0.10514025888538582
1986,local_background_removed,M,P,40,48,3.522298948168777,,0.0856826212235388
1987,local_background_removed,M,P,40,48,2.841386886222453,,-0.492059697316655
1988,local_background_removed,M,P,40,48,3.7923097771525454,,0.3147822231929034
1989,local_background_removed,M,P,40,48,3.831364234731676,,0.3479192670669702
1990,local_background_removed,M,P,40,48,3.7001380303479667,,0.2365760616651395
1991,local_background_removed,M,P,40,48,4.8678730240920896,,1.2273793686264292
1992,local_background_removed,M,P,40,48,3.1436412304334667,,-0.23560202036764183
1993,local_background_removed,M,P,40,48,4.465683335769272,,0.8861282497074939
1994,local_background_removed,M,P,40,48,5.773079664465197,,1.9954318270779061
1995,local_background_removed,M,P,40,48,5.811463981478942,,2.0280002680652998
1996,local_background_removed,M,P,40,48,7.864042989060443,,3.7695786907435385
1997,local_background_removed,M,P,40,48,3.867626613484134,,0.378687279483057
1998,local_background_removed,M,P,40,48,4.070003463325475,,0.5504005989857061
1999,local_background_removed,M,P,40,48,3.8240376266828355,,0.3417027645878203
2000,local_background_removed,M,P,40,48,5.402854509320489,,1.6813020716087375
2001,local_background_removed,M,P,40,48,3.5326902455771556,,0.09449946056722285
2002,local_background_removed,M,P,40,48,3.996553582659889,,0.4880796228659128
2003,local_background_removed,M,P,40,48,5.5558407893824775,,1.8111083316053769
2004,local_background_removed,M,P,40,48,4.325447914205815,,0.767140876559858
2005,local_background_removed,M,P,40,48,2.8562620161774865,,-0.4794384022198365
2006,local_background_removed,M,P,40,48,6.918774666328384,,2.967534575301109
2007,local_background_removed,M,P,40,48,2.5670004750994937,,-0.7248719064071703
2008,local_background_removed,M,P,40,48,7.780478419422542,,3.69867557283957
2009,local_background_removed,M,P,40,48,4.26167413939001,,0.7130299118945739
2010,local_background_removed,M,P,40,48,4.71847617277206,,1.1006186779470464
2011,local_background_removed,M,P,40,48,4.632221540756687,,1.0274330878093865
2012,local_background_removed,M,P,40,48,3.0767450801368326,,-0.2923622675915151
2013,local_background_removed,M,P,40,48,4.667373133142914,,1.0572586168616234
2014,local_background_removed,M,P,40,48,2.975311760703574,,-0.3784267161769751
2015,local_background_removed,M,P,40,48,4.479957422568144,,0.8982395698956713
2016,local_background_removed,M,P,40,48,3.2208811631635497,,-0.1700652494492196
2017,local_background_removed,M,P,40,48,3.0286584564388197,,-0.33316295099643006
2018,local_background_removed,M,P,40,48,2.2190587552523917,,-1.0200945455343555
2019,local_background_removed,M,P,40,48,3.165746647893564,,-0.2168459491369602
2020,local_background_removed,M,P,40,48,3.549485563332441,,0.10875000239610697
2021,local_background_removed,M,P,40,48,3.6169915943637094,,0.1660277230638395
2022,local_background_removed,M,P,40,48,4.2622241076018526,,0.7134965505805227
2023,local_background_removed,M,P,40,48,3.9242768249687425,,0.4267540216631801
1979,raw,E1,P,12,23,5.590099962586229,,-0.2900878981851783
1980,raw,E1,P,12,23,6.842686345473959,,0.528433013091218
1981,raw,E1,P,12,23,5.052273014600573,,-0.6415387917828931
1982,raw,E1,P,12,23,4.7395841067960145,,-0.8458699367312797
1983,raw,E1,P,12,23,6.822983953467471,,0.5155581965677487
1984,raw,E1,P,12,23,5.648508466916741,,-0.25192000585931423
1985,raw,E1,P,12,23,4.772275346047455,,-0.8245073678031755
1986,raw,E1,P,12,23,5.810010199089681,,-0.1463843343903714
1987,raw,E1,P,12,23,3.6199146305050087,,-1.5775343493279024
1988,raw,E1,P,12,23,5.142345983256481,,-0.5826792916375745
1989,raw,E1,P,12,23,5.415093382314831,,-0.4044485103713556
1990,raw,E1,P,12,23,7.090342901075065,,0.69026781534003
1991,raw,E1,P,12,23,4.298668134472807,,-1.1339929343885657
1992,raw,E1,P,12,23,4.678535633890283,,-0.8857629551749513
1993,raw,E1,P,12,23,4.57673723273309,,-0.952284610862736
1994,raw,E1,P,12,23,6.046103240934875,,0.007894120490824276
1995,raw,E1,P,12,23,6.094009919099737,,0.03919944074931757
1996,raw,E1,P,12,23,5.839653155177463,,-0.12701371072610917
1997,raw,E1,P,12,23,5.5218025233768016,,-0.3347178597936267
1998,raw,E1,P,12,23,5.907746331056914,,-0.0825172279812959
1999,raw,E1,P,12,23,7.265165297038696,,0.8045080695936165
2000,raw,E1,P,12,23,5.025885279093095,,-0.6587822438985921
2001,raw,E1,P,12,23,5.601439340674217,,-0.28267801555138355
2002,raw,E1,P,12,23,5.074008969424393,,-0.6273351138626209
2003,raw,E1,P,12,23,5.157860706900863,,-0.5725409683178496
2004,raw,E1,P,12,23,3.9277403331579333,,-1.3763811369890515
2005,raw,E1,P,12,23,3.36830933148579,,-1.741949515777656
2006,raw,E1,P,12,23,3.792909728025237,,-1.4644881699960153
2007,raw,E1,P,12,23,4.946836968443911,,-0.7104375198551
2008,raw,E1,P,12,23,5.137107453060375,,-0.5861024858926328
2009,raw,E1,P,12,23,7.722914936231223,,1.1036312733318856
2010,raw,E1,P,12,23,6.317636653209002,,0.18533160431865892
2011,raw,E1,P,12,23,3.2461720190705576,,-1.8217619308132476
2012,raw,E1,P,12,23,6.491642273740523,,0.29903812470755375
2013,raw,E1,P,12,23,3.8883971802382002,,-1.4020904962957563
2014,raw,E1,P,12,23,4.005624133182553,,-1.3254868275500078
2015,raw,E1,P,12,23,4.037685955998989,,-1.3045355600067747
2016,raw,E1,P,12,23,6.824562512129499,,0.5165897288374575
2017,raw,E1,P,12,23,4.823495032629113,,-0.79103711368828
2018,raw,E1,P,12,23,4.183844448992922,,-1.209026152822918
2019,raw,E1,P,12,23,5.626142344911319,,-0.26653547575081343
2020,raw,E1,P,12,23,3.080177401500518,,-1.9302335440261973
2021,raw,E1,P,12,23,7.1683829918442195,,0.7412642552543751
2022,raw,E1,P,12,23,4.72639177444168,,-0.8544906594599082
2023,raw,E1,P,12,23,5.613560946237241,,-0.2747569749212708
1979,raw,E2,P,27,38,6.2848253004249335,,0.16389054544405185
1980,raw,E2,P,27,38,7.167303289162227,,0.740558707728675
1981,raw,E2,P,27,38,5.082972448432828,,-0.6214777972683944
1982,raw,E2,P,27,38,7.330945474090867,,0.8474930893896454
1983,raw,E2,P,27,38,5.504255406539917,,-0.34618428020168535
1984,raw,E2,P,27,38,6.305015128138233,,0.177083883966785
1985,raw,E2,P,27,38,4.502105267678626,,-1.0010539611297373
1986,raw,E2,P,27,38,4.647592070024653,,-0.9059834800341174
1987,raw,E2,P,27,38,4.788830175542329,,-0.8136893720870396
1988,raw,E2,P,27,38,5.931639030662707,,-0.06690419360589375
1989,raw,E2,P,27,38,6.605900239207859,,0.37370166511688063
1990,raw,E2,P,27,38,5.101870014859686,,-0.6091289058035534
1991,raw,E2,P,27,38,5.0926423697667245,,-0.6151588455934248
1992,raw,E2,P,27,38,5.62521025544542,,-0.267144563259221
1993,raw,E2,P,27,38,7.3488723293821545,,0.8592076554505635
1994,raw,E2,P,27,38,6.20578218253025,,0.11223866276900035
1995,raw,E2,P,27,38,5.418442465467063,,-0.40226000295090497
1996,raw,E2,P,27,38,5.406935247927324,,-0.4097795627318188
1997,raw,E2,P,27,38,5.569961062957528,,-0.3032479570053813
1998,raw,E2,P,27,38,6.732282921245034,,0.4562882790892722
1999,raw,E2,P,27,38,7.181900579318297,,0.7500975207031279
2000,raw,E2,P,27,38,4.998305573154843,,-0.6768046065441683
2001,raw,E2,P,27,38,6.051873908813014,,0.011665047905345607
2002,raw,E2,P,27,38,4.723648309254615,,-0.856283416954042
2003,raw,E2,P,27,38,4.84731529221719,,-0.7754714163030637
2004,raw,E2,P,27,38,5.239948619947933,,-0.5188994196709904
2005,raw,E2,P,27,38,6.25720030450451,,0.14583858739652558
2006,raw,E2,P,27,38,5.076621582367573,,-0.6256278636830891
2007,raw,E2,P,27,38,4.716353320221443,,-0.8610504343452235
2008,raw,E2,P,27,38,6.093167518190847,,0.03864896154163569
2009,raw,E2,P,27,38,6.916410508205477,,0.5766091466389669
