rep_id,pattern_corr_with_full,sign_flipped,fit_status,window_id,target_name
187,0.9896326696598917,False,ok,W113,W113_P_vs_V_delta_peak
188,0.9729313890137932,False,ok,W113,W113_P_vs_V_delta_peak
189,0.9768886350056861,False,ok,W113,W113_P_vs_V_delta_peak
190,0.9767860230558051,False,ok,W113,W113_P_vs_V_delta_peak
191,0.9846216020970463,False,ok,W113,W113_P_vs_V_delta_peak
192,0.9786668766238643,False,ok,W113,W113_P_vs_V_delta_peak
193,0.9668992179182725,False,ok,W113,W113_P_vs_V_delta_peak
194,0.9833934961703155,False,ok,W113,W113_P_vs_V_delta_peak
195,0.9831896387766842,False,ok,W113,W113_P_vs_V_delta_peak
196,0.9770108523650167,False,ok,W113,W113_P_vs_V_delta_peak
197,0.9867008876644207,False,ok,W113,W113_P_vs_V_delta_peak
198,0.9823395724949745,False,ok,W113,W113_P_vs_V_delta_peak
199,0.9802610608605402,False,ok,W113,W113_P_vs_V_delta_peak
200,0.966653768522489,False,ok,W113,W113_P_vs_V_delta_peak
201,0.9830110277797792,False,ok,W113,W113_P_vs_V_delta_peak
202,0.977347611091272,False,ok,W113,W113_P_vs_V_delta_peak
203,0.9805359557360664,False,ok,W113,W113_P_vs_V_delta_peak
204,0.9706203603883232,False,ok,W113,W113_P_vs_V_delta_peak
205,0.9733583493549975,False,ok,W113,W113_P_vs_V_delta_peak
206,0.9861952881516332,False,ok,W113,W113_P_vs_V_delta_peak
207,0.9700235242321471,False,ok,W113,W113_P_vs_V_delta_peak
208,0.9815777235218568,False,ok,W113,W113_P_vs_V_delta_peak
209,0.9776411623023809,False,ok,W113,W113_P_vs_V_delta_peak
210,0.978087902863167,False,ok,W113,W113_P_vs_V_delta_peak
211,0.9705940146746996,False,ok,W113,W113_P_vs_V_delta_peak
212,0.9898835935520548,False,ok,W113,W113_P_vs_V_delta_peak
213,0.9788997452161955,False,ok,W113,W113_P_vs_V_delta_peak
214,0.9892783764847094,False,ok,W113,W113_P_vs_V_delta_peak
215,0.9802387001635575,False,ok,W113,W113_P_vs_V_delta_peak
216,0.9663056734839363,False,ok,W113,W113_P_vs_V_delta_peak
217,0.9741307497760535,False,ok,W113,W113_P_vs_V_delta_peak
218,0.9829807591680806,False,ok,W113,W113_P_vs_V_delta_peak
219,0.9725911203489925,False,ok,W113,W113_P_vs_V_delta_peak
220,0.9726718383031303,False,ok,W113,W113_P_vs_V_delta_peak
221,0.9745822905584944,False,ok,W113,W113_P_vs_V_delta_peak
222,0.9655741531979167,False,ok,W113,W113_P_vs_V_delta_peak
223,0.9730226305845028,False,ok,W113,W113_P_vs_V_delta_peak
224,0.9773569685060917,False,ok,W113,W113_P_vs_V_delta_peak
225,0.9825480000289186,False,ok,W113,W113_P_vs_V_delta_peak
226,0.968829448950915,False,ok,W113,W113_P_vs_V_delta_peak
227,0.9874927662918831,False,ok,W113,W113_P_vs_V_delta_peak
228,0.9884116694710073,False,ok,W113,W113_P_vs_V_delta_peak
229,0.9831642107939748,False,ok,W113,W113_P_vs_V_delta_peak
230,0.9598275314583945,False,ok,W113,W113_P_vs_V_delta_peak
231,0.9691421535877341,False,ok,W113,W113_P_vs_V_delta_peak
232,0.9865071179685995,False,ok,W113,W113_P_vs_V_delta_peak
233,0.9671905365611839,False,ok,W113,W113_P_vs_V_delta_peak
234,0.9769417778648948,False,ok,W113,W113_P_vs_V_delta_peak
235,0.9799721908087994,False,ok,W113,W113_P_vs_V_delta_peak
236,0.978892331456017,False,ok,W113,W113_P_vs_V_delta_peak
237,0.9837850021056281,False,ok,W113,W113_P_vs_V_delta_peak
238,0.9792306696688576,False,ok,W113,W113_P_vs_V_delta_peak
239,0.9809287955699508,False,ok,W113,W113_P_vs_V_delta_peak
240,0.9806814876319718,False,ok,W113,W113_P_vs_V_delta_peak
241,0.9820132671511556,False,ok,W113,W113_P_vs_V_delta_peak
242,0.961725610003543,False,ok,W113,W113_P_vs_V_delta_peak
243,0.9681003819897266,False,ok,W113,W113_P_vs_V_delta_peak
244,0.9745180084792908,False,ok,W113,W113_P_vs_V_delta_peak
245,0.982487940896356,False,ok,W113,W113_P_vs_V_delta_peak
246,0.9632221277018944,False,ok,W113,W113_P_vs_V_delta_peak
247,0.9821963685096881,False,ok,W113,W113_P_vs_V_delta_peak
248,0.978586264164206,False,ok,W113,W113_P_vs_V_delta_peak
249,0.9705889530843999,False,ok,W113,W113_P_vs_V_delta_peak
250,0.9694931188530447,False,ok,W113,W113_P_vs_V_delta_peak
251,0.97787404202476,False,ok,W113,W113_P_vs_V_delta_peak
252,0.9715219832744113,False,ok,W113,W113_P_vs_V_delta_peak
253,0.9835952920820229,False,ok,W113,W113_P_vs_V_delta_peak
254,0.9851503043016241,False,ok,W113,W113_P_vs_V_delta_peak
255,0.9753935507365238,False,ok,W113,W113_P_vs_V_delta_peak
256,0.9824512414890506,False,ok,W113,W113_P_vs_V_delta_peak
257,0.9729786832831946,False,ok,W113,W113_P_vs_V_delta_peak
258,0.9795598313557584,False,ok,W113,W113_P_vs_V_delta_peak
259,0.9797858522368821,False,ok,W113,W113_P_vs_V_delta_peak
260,0.9725802450376292,False,ok,W113,W113_P_vs_V_delta_peak
261,0.9746808167352784,False,ok,W113,W113_P_vs_V_delta_peak
262,0.9657270568651907,False,ok,W113,W113_P_vs_V_delta_peak
263,0.9845366699201589,False,ok,W113,W113_P_vs_V_delta_peak
264,0.9755556507248901,False,ok,W113,W113_P_vs_V_delta_peak
265,0.9831585478513122,False,ok,W113,W113_P_vs_V_delta_peak
266,0.9878451810006647,False,ok,W113,W113_P_vs_V_delta_peak
267,0.9887250854706912,False,ok,W113,W113_P_vs_V_delta_peak
268,0.9749935069523867,False,ok,W113,W113_P_vs_V_delta_peak
269,0.9695539870531706,False,ok,W113,W113_P_vs_V_delta_peak
270,0.9803483151449557,False,ok,W113,W113_P_vs_V_delta_peak
271,0.9802721856969286,False,ok,W113,W113_P_vs_V_delta_peak
272,0.9854501470561825,False,ok,W113,W113_P_vs_V_delta_peak
273,0.9724486352064392,False,ok,W113,W113_P_vs_V_delta_peak
274,0.9824161651115106,False,ok,W113,W113_P_vs_V_delta_peak
275,0.9726496945954576,False,ok,W113,W113_P_vs_V_delta_peak
276,0.9828604677012317,False,ok,W113,W113_P_vs_V_delta_peak
277,0.9833953412873014,False,ok,W113,W113_P_vs_V_delta_peak
278,0.980539785533561,False,ok,W113,W113_P_vs_V_delta_peak
279,0.9623556151214039,False,ok,W113,W113_P_vs_V_delta_peak
280,0.974699854279504,False,ok,W113,W113_P_vs_V_delta_peak
281,0.9788504082991195,False,ok,W113,W113_P_vs_V_delta_peak
282,0.9774415478172189,False,ok,W113,W113_P_vs_V_delta_peak
283,0.9648845487123945,False,ok,W113,W113_P_vs_V_delta_peak
284,0.9732860316123593,False,ok,W113,W113_P_vs_V_delta_peak
285,0.9725556619078786,False,ok,W113,W113_P_vs_V_delta_peak
286,0.9649248547299184,False,ok,W113,W113_P_vs_V_delta_peak
287,0.9846777505310149,False,ok,W113,W113_P_vs_V_delta_peak
288,0.9871687154296499,False,ok,W113,W113_P_vs_V_delta_peak
289,0.9777376437836359,False,ok,W113,W113_P_vs_V_delta_peak
290,0.9874926122247077,False,ok,W113,W113_P_vs_V_delta_peak
291,0.9815831930970466,False,ok,W113,W113_P_vs_V_delta_peak
292,0.9828562635837494,False,ok,W113,W113_P_vs_V_delta_peak
293,0.9597192015655729,False,ok,W113,W113_P_vs_V_delta_peak
294,0.9726131356297875,False,ok,W113,W113_P_vs_V_delta_peak
295,0.9772806527189518,False,ok,W113,W113_P_vs_V_delta_peak
296,0.9729276297262831,False,ok,W113,W113_P_vs_V_delta_peak
297,0.979701011779901,False,ok,W113,W113_P_vs_V_delta_peak
298,0.9873643775743403,False,ok,W113,W113_P_vs_V_delta_peak
299,0.9617750583451234,False,ok,W113,W113_P_vs_V_delta_peak
0,0.9824694205229417,False,ok,W113,W113_P_vs_H_delta_peak
1,0.9675690899268962,False,ok,W113,W113_P_vs_H_delta_peak
2,0.9753569411954948,False,ok,W113,W113_P_vs_H_delta_peak
3,0.9582497672921636,False,ok,W113,W113_P_vs_H_delta_peak
4,0.9446525933442221,False,ok,W113,W113_P_vs_H_delta_peak
5,0.9648438956483241,False,ok,W113,W113_P_vs_H_delta_peak
6,0.969791107428924,False,ok,W113,W113_P_vs_H_delta_peak
7,0.9784382303652565,False,ok,W113,W113_P_vs_H_delta_peak
8,0.977456772041766,False,ok,W113,W113_P_vs_H_delta_peak
9,0.9852018493036208,False,ok,W113,W113_P_vs_H_delta_peak
10,0.974573549781095,False,ok,W113,W113_P_vs_H_delta_peak
11,0.9600990919243299,False,ok,W113,W113_P_vs_H_delta_peak
12,0.9729792358318955,False,ok,W113,W113_P_vs_H_delta_peak
13,0.9696784089161917,False,ok,W113,W113_P_vs_H_delta_peak
14,0.976580032207185,False,ok,W113,W113_P_vs_H_delta_peak
15,0.9764821992174317,False,ok,W113,W113_P_vs_H_delta_peak
16,0.9738351417243636,False,ok,W113,W113_P_vs_H_delta_peak
17,0.9672816469312251,False,ok,W113,W113_P_vs_H_delta_peak
18,0.9788440509098789,False,ok,W113,W113_P_vs_H_delta_peak
19,0.9798827682912279,False,ok,W113,W113_P_vs_H_delta_peak
20,0.9775020831234006,False,ok,W113,W113_P_vs_H_delta_peak
21,0.9825583598602561,False,ok,W113,W113_P_vs_H_delta_peak
22,0.9862492996259659,False,ok,W113,W113_P_vs_H_delta_peak
23,0.9685534993142391,False,ok,W113,W113_P_vs_H_delta_peak
24,0.979504733333615,False,ok,W113,W113_P_vs_H_delta_peak
25,0.9668511891306327,False,ok,W113,W113_P_vs_H_delta_peak
26,0.9639450044869768,False,ok,W113,W113_P_vs_H_delta_peak
27,0.9693079295652781,False,ok,W113,W113_P_vs_H_delta_peak
28,0.9778190098980294,False,ok,W113,W113_P_vs_H_delta_peak
29,0.9672025196321563,False,ok,W113,W113_P_vs_H_delta_peak
30,0.9767868019698006,False,ok,W113,W113_P_vs_H_delta_peak
31,0.9659932100705909,False,ok,W113,W113_P_vs_H_delta_peak
32,0.961109020163701,False,ok,W113,W113_P_vs_H_delta_peak
33,0.9566696183928387,False,ok,W113,W113_P_vs_H_delta_peak
34,0.9780104477476119,False,ok,W113,W113_P_vs_H_delta_peak
35,0.9695664857272074,False,ok,W113,W113_P_vs_H_delta_peak
36,0.9697418057493673,False,ok,W113,W113_P_vs_H_delta_peak
37,0.9691319862285515,False,ok,W113,W113_P_vs_H_delta_peak
38,0.9821784781656175,False,ok,W113,W113_P_vs_H_delta_peak
39,0.9654237937020408,False,ok,W113,W113_P_vs_H_delta_peak
40,0.953286682344122,False,ok,W113,W113_P_vs_H_delta_peak
41,0.9776808126810194,False,ok,W113,W113_P_vs_H_delta_peak
42,0.9732799976151052,False,ok,W113,W113_P_vs_H_delta_peak
43,0.9835702766744785,False,ok,W113,W113_P_vs_H_delta_peak
44,0.9630224464994476,False,ok,W113,W113_P_vs_H_delta_peak
45,0.9646338854875949,False,ok,W113,W113_P_vs_H_delta_peak
46,0.9639029375985774,False,ok,W113,W113_P_vs_H_delta_peak
47,0.97629667779814,False,ok,W113,W113_P_vs_H_delta_peak
48,0.9661208335990774,False,ok,W113,W113_P_vs_H_delta_peak
49,0.9839594862828276,False,ok,W113,W113_P_vs_H_delta_peak
50,0.9756686599393158,False,ok,W113,W113_P_vs_H_delta_peak
51,0.9694651482279206,False,ok,W113,W113_P_vs_H_delta_peak
52,0.9576874985402393,False,ok,W113,W113_P_vs_H_delta_peak
53,0.9643762939535786,False,ok,W113,W113_P_vs_H_delta_peak
54,0.9707180898003619,False,ok,W113,W113_P_vs_H_delta_peak
55,0.9604597987076499,False,ok,W113,W113_P_vs_H_delta_peak
56,0.977157676310711,False,ok,W113,W113_P_vs_H_delta_peak
57,0.9842111475131778,False,ok,W113,W113_P_vs_H_delta_peak
58,0.9567925092707354,False,ok,W113,W113_P_vs_H_delta_peak
59,0.971743615304375,False,ok,W113,W113_P_vs_H_delta_peak
60,0.955328248184206,False,ok,W113,W113_P_vs_H_delta_peak
61,0.9636886981425723,False,ok,W113,W113_P_vs_H_delta_peak
62,0.9778518261369495,False,ok,W113,W113_P_vs_H_delta_peak
63,0.9759156846429548,False,ok,W113,W113_P_vs_H_delta_peak
64,0.981972502784377,False,ok,W113,W113_P_vs_H_delta_peak
65,0.9773189048903338,False,ok,W113,W113_P_vs_H_delta_peak
66,0.984075720744167,False,ok,W113,W113_P_vs_H_delta_peak
67,0.965459790201983,False,ok,W113,W113_P_vs_H_delta_peak
68,0.9629813839195188,False,ok,W113,W113_P_vs_H_delta_peak
69,0.9626990854991259,False,ok,W113,W113_P_vs_H_delta_peak
70,0.9752174679957293,False,ok,W113,W113_P_vs_H_delta_peak
71,0.968001045631781,False,ok,W113,W113_P_vs_H_delta_peak
72,0.9607772270166224,False,ok,W113,W113_P_vs_H_delta_peak
73,0.9744941050607281,False,ok,W113,W113_P_vs_H_delta_peak
74,0.9644855434672992,False,ok,W113,W113_P_vs_H_delta_peak
75,0.9410457989499118,False,ok,W113,W113_P_vs_H_delta_peak
76,0.963318278987219,False,ok,W113,W113_P_vs_H_delta_peak
77,0.9605834709674383,False,ok,W113,W113_P_vs_H_delta_peak
78,0.9706052993251608,False,ok,W113,W113_P_vs_H_delta_peak
79,0.9749933161835067,False,ok,W113,W113_P_vs_H_delta_peak
80,0.9674606013962422,False,ok,W113,W113_P_vs_H_delta_peak
81,0.9571596812660033,False,ok,W113,W113_P_vs_H_delta_peak
82,0.9840855189002208,False,ok,W113,W113_P_vs_H_delta_peak
83,0.96473735558992,False,ok,W113,W113_P_vs_H_delta_peak
84,0.961775445813163,False,ok,W113,W113_P_vs_H_delta_peak
85,0.9704662241074404,False,ok,W113,W113_P_vs_H_delta_peak
86,0.965771444991625,False,ok,W113,W113_P_vs_H_delta_peak
87,0.9548593212459746,False,ok,W113,W113_P_vs_H_delta_peak
88,0.9754219203108366,False,ok,W113,W113_P_vs_H_delta_peak
89,0.9635994027348419,False,ok,W113,W113_P_vs_H_delta_peak
90,0.968647505052796,False,ok,W113,W113_P_vs_H_delta_peak
91,0.9748160317113238,False,ok,W113,W113_P_vs_H_delta_peak
92,0.9769962034896458,False,ok,W113,W113_P_vs_H_delta_peak
93,0.9654561257889719,False,ok,W113,W113_P_vs_H_delta_peak
94,0.9746531919982292,False,ok,W113,W113_P_vs_H_delta_peak
95,0.9646518547646523,False,ok,W113,W113_P_vs_H_delta_peak
96,0.965915120916095,False,ok,W113,W113_P_vs_H_delta_peak
