year,candidate_id,start_day,end_day,center_day,width_days,nearest_window_id,overlap_ratio_with_main_window,overlap_days_with_main_window
1999,Y1999_C07,154,165,163,12,W005,0.6666666666666666,8
2000,Y2000_C01,29,34,30,6,W001,0.0,0
2000,Y2000_C02,50,56,52,7,W001,0.0,0
2000,Y2000_C03,87,92,90,6,W002,0.0,0
2000,Y2000_C04,116,121,118,6,W003,0.07692307692307693,1
2000,Y2000_C05,137,141,139,5,W004,0.0,0
2000,Y2000_C06,156,160,158,5,W005,0.625,5
2001,Y2001_C01,35,39,36,5,W001,0.0,0
2001,Y2001_C02,65,65,65,1,W002,0.0,0
2001,Y2001_C03,86,91,89,6,W002,0.0,0
2001,Y2001_C04,131,135,133,5,W004,0.2,1
2001,Y2001_C05,143,147,145,5,W004,0.0,0
2001,Y2001_C06,158,164,161,7,W005,0.6666666666666666,6
2002,Y2002_C01,48,48,48,1,W001,0.0,0
2002,Y2002_C02,62,72,64,11,W002,0.0,0
2002,Y2002_C03,89,95,92,7,W002,0.0,0
2002,Y2002_C04,104,109,106,6,W003,0.07692307692307693,1
2002,Y2002_C05,129,132,130,4,W004,0.0,0
2002,Y2002_C06,142,151,147,10,W004,0.0,0
2002,Y2002_C07,161,164,162,4,W005,0.3333333333333333,3
2003,Y2003_C01,14,14,14,1,W001,0.0,0
2003,Y2003_C02,49,54,52,6,W001,0.0,0
2003,Y2003_C03,78,83,80,6,W002,0.6,6
2003,Y2003_C04,107,119,116,13,W003,0.6153846153846154,8
2003,Y2003_C05,152,155,153,4,W005,0.0,0
2004,Y2004_C01,44,49,46,6,W001,0.5714285714285714,4
2004,Y2004_C02,73,73,73,1,W002,0.0,0
2004,Y2004_C03,92,100,95,9,W002,0.0,0
2004,Y2004_C04,108,113,111,6,W003,0.5555555555555556,5
2004,Y2004_C05,133,143,141,11,W004,0.09090909090909091,1
2004,Y2004_C06,167,168,168,2,W005,0.0,0
2005,Y2005_C01,22,27,24,6,W001,0.0,0
2005,Y2005_C02,53,53,53,1,W001,0.0,0
2005,Y2005_C03,83,87,85,5,W002,0.25,3
2005,Y2005_C04,102,108,104,7,W003,0.0,0
2005,Y2005_C05,137,149,140,13,W004,0.0,0
2005,Y2005_C06,160,165,163,6,W005,0.4,4
2006,Y2006_C01,29,36,32,8,W001,0.0,0
2006,Y2006_C02,49,56,52,8,W001,0.0,0
2006,Y2006_C03,72,78,74,7,W002,0.21428571428571427,3
2006,Y2006_C04,94,100,97,7,W002,0.0,0
2006,Y2006_C05,124,127,126,4,W004,0.0,0
2006,Y2006_C06,141,146,143,6,W004,0.0,0
2006,Y2006_C07,155,160,158,6,W005,0.5555555555555556,5
2007,Y2007_C01,15,16,15,2,W001,0.0,0
2007,Y2007_C02,59,63,61,5,W001,0.0,0
2007,Y2007_C03,73,78,75,6,W002,0.23076923076923078,3
2007,Y2007_C04,98,98,98,1,W003,0.0,0
2007,Y2007_C05,120,126,123,7,W003,0.0,0
2007,Y2007_C06,147,155,152,9,W005,0.0,0
