field,feature_id,marker,median,q05,q10,q25,q75,q90,q95,q025,q975,iqr,q90_width,q95_width,valid_fraction,same_day_fraction_if_relevant,edge_hit_fraction,bootstrap_stability_label
H,10,t15,36.0,35.0,35.0,35.0,36.0,37.0,38.0,35.0,39.0,1.0,3.0,4.0,1.0,0.472,0.0,stable_feature_marker
H,10,t20,36.0,35.0,35.0,36.0,37.0,38.0,40.0,35.0,45.0,1.0,5.0,10.0,1.0,0.459,0.0,moderately_stable_feature_marker
H,10,t25,37.0,36.0,36.0,36.0,38.0,42.0,46.0,35.0,47.0,2.0,10.0,12.0,1.0,0.346,0.0,unstable_feature_marker
H,10,t30,38.0,36.0,36.0,37.0,40.0,47.0,48.0,36.0,49.0,3.0,12.0,13.0,1.0,0.217,0.0,unstable_feature_marker
H,10,t35,39.0,36.0,37.0,37.0,47.0,49.0,50.0,36.0,50.0,10.0,14.0,14.0,1.0,0.085,0.0,unstable_feature_marker
H,10,t40,43.0,37.0,37.0,38.0,49.0,50.0,50.0,36.975,51.0,11.0,13.0,14.024999999999999,1.0,0.037,0.0,unstable_feature_marker
H,10,t45,48.0,37.0,38.0,39.0,50.0,50.0,51.0,37.0,51.0,11.0,14.0,14.0,1.0,0.11,0.0,unstable_feature_marker
H,10,t50,49.0,38.0,39.0,47.0,50.0,51.0,51.0,37.0,52.0,3.0,13.0,15.0,1.0,0.202,0.0,unstable_feature_marker
H,10,t75,52.0,50.0,51.0,51.0,53.0,54.0,54.0,50.0,54.02499999999998,2.0,4.0,4.024999999999977,1.0,0.233,0.0,moderately_stable_feature_marker
H,10,peak_raw,37.0,31.0,31.0,31.0,50.0,50.0,53.0,31.0,57.0,19.0,22.0,26.0,1.0,0.047,0.013,unstable_feature_marker
H,10,peak_smooth3,36.0,32.0,32.0,32.0,50.0,51.0,53.0,32.0,56.02499999999998,18.0,21.0,24.024999999999977,1.0,0.074,0.0,unstable_feature_marker
H,10,duration_25_75,15.0,6.0,10.0,13.0,16.0,17.0,18.0,5.0,19.0,3.0,12.0,14.0,1.0,0.203,0.0,unstable_feature_marker
H,10,tail_50_75,3.0,2.0,2.0,2.0,5.0,13.0,15.0,2.0,16.0,3.0,13.0,14.0,1.0,0.361,0.0,unstable_feature_marker
H,10,early_span_25_50,11.0,2.0,2.0,5.0,13.0,14.0,15.0,1.0,15.0,8.0,13.0,14.0,1.0,0.094,0.0,unstable_feature_marker
Je,0,departure90,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,0.0,0.0,0.0,1.0,0.999,0.0,stable_feature_marker
Je,0,departure95,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,0.0,0.0,0.0,1.0,0.999,0.0,stable_feature_marker
Je,0,t10,35.0,35.0,35.0,35.0,35.0,36.0,36.0,34.0,36.0,0.0,1.0,2.0,1.0,0.792,0.0,stable_feature_marker
Je,0,t15,36.0,35.0,35.0,35.0,36.0,37.0,37.0,35.0,37.0,1.0,2.0,2.0,1.0,0.528,0.0,stable_feature_marker
Je,0,t20,36.0,35.0,36.0,36.0,37.0,37.0,38.0,35.0,38.0,1.0,3.0,3.0,1.0,0.555,0.0,stable_feature_marker
Je,0,t25,37.0,36.0,36.0,36.0,38.0,38.0,39.0,36.0,39.0,2.0,3.0,3.0,1.0,0.45,0.0,stable_feature_marker
Je,0,t30,38.0,36.0,37.0,37.0,38.0,39.0,40.0,36.0,40.0,1.0,4.0,4.0,1.0,0.336,0.0,moderately_stable_feature_marker
Je,0,t35,38.0,37.0,37.0,38.0,39.0,40.0,41.0,37.0,42.0,1.0,4.0,5.0,1.0,0.356,0.0,moderately_stable_feature_marker
Je,0,t40,39.0,37.0,38.0,38.0,40.0,42.0,43.0,37.0,43.02499999999998,2.0,6.0,6.024999999999977,1.0,0.26,0.0,moderately_stable_feature_marker
Je,0,t45,40.0,38.0,38.0,39.0,42.0,43.0,44.0,37.0,45.0,3.0,6.0,8.0,1.0,0.216,0.0,moderately_stable_feature_marker
Je,0,t50,41.0,38.0,39.0,40.0,43.0,45.0,47.0,38.0,49.0,3.0,9.0,11.0,1.0,0.157,0.0,unstable_feature_marker
Je,0,t75,52.0,43.0,46.0,51.0,52.25,53.0,53.0,42.0,54.0,1.25,10.0,12.0,1.0,0.283,0.0,unstable_feature_marker
Je,0,peak_raw,32.0,31.0,32.0,32.0,34.0,37.0,39.049999999999955,31.0,52.0,2.0,8.049999999999955,21.0,1.0,0.577,0.002,unstable_feature_marker
Je,0,peak_smooth3,33.0,32.0,32.0,32.0,35.0,37.0,39.0,32.0,53.0,3.0,7.0,21.0,1.0,0.241,0.0,moderately_stable_feature_marker
Je,0,duration_25_75,14.0,7.0,9.0,13.0,15.0,16.0,17.0,6.0,17.0,2.0,10.0,11.0,1.0,0.208,0.0,unstable_feature_marker
Je,0,tail_50_75,9.0,4.0,4.0,7.0,11.0,13.0,13.0,3.0,14.0,4.0,9.0,11.0,1.0,0.112,0.0,unstable_feature_marker
Je,0,early_span_25_50,4.0,2.0,2.0,3.0,6.0,7.0,10.0,2.0,11.0,3.0,8.0,9.0,1.0,0.239,0.0,moderately_stable_feature_marker
Je,1,departure90,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,0.0,0.0,0.0,1.0,0.993,0.0,stable_feature_marker
Je,1,departure95,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,0.0,0.0,0.0,1.0,0.992,0.0,stable_feature_marker
Je,1,t10,35.0,34.0,34.0,35.0,35.0,36.0,36.0,34.0,36.0,0.0,2.0,2.0,1.0,0.731,0.0,stable_feature_marker
Je,1,t15,36.0,35.0,35.0,35.0,36.0,37.0,37.0,35.0,37.0,1.0,2.0,2.0,1.0,0.41,0.0,stable_feature_marker
Je,1,t20,36.0,35.0,35.0,36.0,37.0,37.0,38.0,35.0,38.0,1.0,3.0,3.0,1.0,0.54,0.0,stable_feature_marker
Je,1,t25,37.0,35.0,36.0,36.0,37.0,38.0,39.0,35.0,40.0,1.0,4.0,5.0,1.0,0.346,0.0,moderately_stable_feature_marker
Je,1,t30,37.0,36.0,36.0,37.0,38.0,39.0,40.0,36.0,41.02499999999998,1.0,4.0,5.024999999999977,1.0,0.34,0.0,moderately_stable_feature_marker
Je,1,t35,38.0,36.0,37.0,37.0,39.0,41.0,42.0,36.0,43.0,2.0,6.0,7.0,1.0,0.311,0.0,moderately_stable_feature_marker
Je,1,t40,39.0,37.0,37.0,38.0,40.0,42.0,43.0,36.0,44.0,2.0,6.0,8.0,1.0,0.197,0.0,moderately_stable_feature_marker
Je,1,t45,40.0,37.0,38.0,38.0,42.0,44.0,47.0,37.0,49.0,4.0,10.0,12.0,1.0,0.152,0.0,unstable_feature_marker
Je,1,t50,41.0,37.0,38.0,39.0,43.0,48.0,50.0,37.0,50.0,4.0,13.0,13.0,1.0,0.095,0.0,unstable_feature_marker
Je,1,t75,52.0,41.0,42.0,51.0,53.0,54.0,54.0,39.0,54.0,2.0,13.0,15.0,1.0,0.234,0.0,unstable_feature_marker
Je,1,peak_raw,32.0,31.0,31.0,32.0,34.0,38.0,51.0,31.0,54.0,2.0,20.0,23.0,1.0,0.57,0.004,unstable_feature_marker
Je,1,peak_smooth3,32.0,32.0,32.0,32.0,35.0,38.10000000000002,51.0,32.0,55.0,3.0,19.0,23.0,1.0,0.591,0.0,unstable_feature_marker
Je,1,duration_25_75,15.0,5.0,6.0,13.0,16.0,17.0,18.0,4.0,18.0,3.0,13.0,14.0,1.0,0.173,0.0,unstable_feature_marker
Je,1,tail_50_75,10.0,3.0,3.0,5.0,12.0,14.0,15.0,2.0,15.0,7.0,12.0,13.0,1.0,0.103,0.0,unstable_feature_marker
Je,1,early_span_25_50,4.0,2.0,2.0,3.0,6.0,10.0,12.0,1.9750000000000014,13.0,3.0,10.0,11.024999999999999,1.0,0.16,0.0,unstable_feature_marker
Je,2,departure90,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,39.0,0.0,0.0,2.0,1.0,0.969,0.0,stable_feature_marker
Je,2,departure95,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,40.0,0.0,0.0,3.0,1.0,0.966,0.0,stable_feature_marker
Je,2,t10,35.0,34.0,34.0,34.0,35.0,36.0,36.0,34.0,37.0,1.0,2.0,3.0,1.0,0.544,0.0,stable_feature_marker
Je,2,t15,35.0,34.0,34.900000000000006,35.0,36.0,36.0,37.0,34.0,38.0,1.0,3.0,4.0,1.0,0.514,0.0,stable_feature_marker
Je,2,t20,36.0,35.0,35.0,35.0,36.0,37.0,39.0,34.0,40.0,1.0,4.0,6.0,1.0,0.418,0.0,moderately_stable_feature_marker
Je,2,t25,36.0,35.0,35.0,36.0,37.0,39.0,40.0,35.0,43.0,1.0,5.0,8.0,1.0,0.368,0.0,moderately_stable_feature_marker
Je,2,t30,37.0,35.0,36.0,36.0,38.0,40.0,41.0,35.0,43.0,2.0,6.0,8.0,1.0,0.275,0.0,moderately_stable_feature_marker
Je,2,t35,38.0,36.0,36.0,37.0,39.0,41.0,43.0,35.0,47.0,2.0,7.0,12.0,1.0,0.191,0.0,moderately_stable_feature_marker
Je,2,t40,38.0,36.0,36.0,37.0,40.0,43.0,48.0,35.0,49.0,3.0,12.0,14.0,1.0,0.194,0.0,unstable_feature_marker
Je,2,t45,39.0,36.0,37.0,37.0,42.0,48.0,50.0,36.0,50.02499999999998,5.0,14.0,14.024999999999977,1.0,0.139,0.0,unstable_feature_marker
Je,2,t50,40.0,36.0,37.0,38.0,44.0,50.0,51.0,36.0,51.02499999999998,6.0,15.0,15.024999999999977,1.0,0.107,0.0,unstable_feature_marker
Je,2,t75,52.0,38.0,39.0,43.0,53.0,54.0,54.0,37.0,55.0,10.0,16.0,18.0,1.0,0.144,0.0,unstable_feature_marker
Je,2,peak_raw,32.0,31.0,31.0,31.0,34.0,51.0,54.0,31.0,55.0,3.0,23.0,24.0,1.0,0.439,0.009,unstable_feature_marker
Je,2,peak_smooth3,32.0,32.0,32.0,32.0,35.0,51.0,54.0,32.0,55.0,3.0,22.0,23.0,1.0,0.654,0.0,unstable_feature_marker
Je,2,duration_25_75,15.0,3.0,4.0,7.0,17.0,18.0,18.0,2.0,19.0,10.0,15.0,17.0,1.0,0.116,0.0,unstable_feature_marker
Je,2,tail_50_75,6.0,1.0,2.0,3.0,12.0,15.0,16.0,1.0,16.024999999999977,9.0,15.0,15.024999999999977,1.0,0.021,0.0,unstable_feature_marker
Je,2,early_span_25_50,3.0,1.0,1.0,2.0,7.0,13.0,14.0,1.0,15.0,5.0,13.0,14.0,1.0,0.185,0.0,unstable_feature_marker
Je,3,departure90,37.0,37.0,37.0,37.0,37.0,38.0,43.34999999999991,37.0,50.0,0.0,6.349999999999909,13.0,0.994,0.893,0.0,moderately_stable_feature_marker
Je,3,departure95,37.0,37.0,37.0,37.0,37.0,40.0,47.0,37.0,50.0,0.0,10.0,13.0,0.994,0.873,0.0,unstable_feature_marker
Je,3,t10,34.0,33.0,34.0,34.0,35.0,36.0,36.0,33.0,37.0,1.0,3.0,4.0,1.0,0.471,0.004,stable_feature_marker
Je,3,t15,35.0,34.0,34.0,34.0,36.0,37.0,38.0,33.0,40.02499999999998,2.0,4.0,7.024999999999977,1.0,0.381,0.004,moderately_stable_feature_marker
Je,3,t20,35.0,34.0,34.0,35.0,36.0,38.0,41.0,34.0,43.0,1.0,7.0,9.0,1.0,0.329,0.004,moderately_stable_feature_marker
Je,3,t25,36.0,34.0,34.0,35.0,37.0,39.10000000000002,43.0,34.0,48.0,2.0,9.0,14.0,1.0,0.276,0.004,unstable_feature_marker
Je,3,t30,36.0,34.0,35.0,35.0,38.0,42.0,48.0,34.0,50.0,3.0,14.0,16.0,1.0,0.275,0.004,unstable_feature_marker
Je,3,t35,37.0,34.0,35.0,36.0,39.0,47.0,50.0,34.0,51.0,3.0,16.0,17.0,1.0,0.188,0.004,unstable_feature_marker
Je,3,t40,37.0,34.0,35.0,36.0,41.0,49.0,51.0,34.0,52.0,5.0,17.0,18.0,1.0,0.183,0.004,unstable_feature_marker
Je,3,t45,38.0,35.0,35.0,36.0,43.0,50.0,52.0,34.0,53.0,7.0,17.0,19.0,1.0,0.093,0.004,unstable_feature_marker
Je,3,t50,39.0,35.0,35.0,37.0,49.0,51.0,53.0,34.0,53.0,12.0,18.0,19.0,1.0,0.064,0.004,unstable_feature_marker
Je,3,t75,52.0,35.95,36.0,39.0,53.0,54.0,55.0,35.0,55.0,14.0,19.049999999999997,20.0,1.0,0.129,0.004,unstable_feature_marker
Je,3,peak_raw,31.0,31.0,31.0,31.0,34.25,51.0,54.0,31.0,54.0,3.25,23.0,23.0,1.0,0.618,0.008,unstable_feature_marker
Je,3,peak_smooth3,32.0,32.0,32.0,32.0,37.0,53.0,54.0,32.0,54.02499999999998,5.0,22.0,22.024999999999977,1.0,0.659,0.0,unstable_feature_marker
Je,3,duration_25_75,13.5,1.0,2.0,3.0,17.0,18.0,19.0,1.0,20.0,14.0,18.0,19.0,1.0,0.0,0.0,unstable_feature_marker
Je,3,tail_50_75,3.0,0.0,1.0,1.0,11.0,15.0,16.0,0.0,17.0,10.0,16.0,17.0,1.0,0.129,0.0,unstable_feature_marker
Je,3,early_span_25_50,2.0,0.0,1.0,1.0,8.0,14.0,15.0,0.0,17.0,7.0,15.0,17.0,1.0,0.223,0.0,unstable_feature_marker
Je,4,departure90,37.0,37.0,37.0,37.0,44.0,51.0,54.0,37.0,55.0,7.0,17.0,18.0,0.962,0.619,0.0,unstable_feature_marker
Je,4,departure95,37.0,37.0,37.0,37.0,45.0,51.0,54.0,37.0,55.0,8.0,17.0,18.0,0.94,0.586,0.0,unstable_feature_marker
Je,4,t10,34.0,30.0,30.0,33.0,35.0,36.0,38.0,30.0,41.0,2.0,8.0,11.0,1.0,0.221,0.12,moderately_stable_feature_marker
Je,4,t15,34.0,30.0,30.0,33.0,36.0,38.0,44.0,30.0,49.02499999999998,3.0,14.0,19.024999999999977,1.0,0.177,0.117,unstable_feature_marker
Je,4,t20,35.0,30.0,30.0,33.0,36.0,42.0,49.049999999999955,30.0,51.0,3.0,19.049999999999955,21.0,1.0,0.138,0.111,unstable_feature_marker
Je,4,t25,36.0,30.0,30.0,34.0,37.0,49.0,50.0,30.0,52.0,3.0,20.0,22.0,1.0,0.168,0.108,unstable_feature_marker
Je,4,t30,36.0,30.0,30.0,34.0,39.0,50.0,51.0,30.0,52.0,5.0,21.0,22.0,1.0,0.164,0.107,unstable_feature_marker
Je,4,t35,36.0,30.0,30.0,34.0,41.0,51.0,52.0,30.0,53.0,7.0,22.0,23.0,1.0,0.144,0.105,unstable_feature_marker
Je,4,t40,37.0,30.0,30.0,34.0,48.0,52.0,53.0,30.0,54.0,14.0,23.0,24.0,1.0,0.11,0.102,unstable_feature_marker
Je,4,t45,37.0,30.0,30.900000000000006,35.0,50.0,52.0,53.0,30.0,54.0,15.0,23.0,24.0,1.0,0.115,0.1,unstable_feature_marker
Je,4,t50,37.0,30.0,31.0,35.0,50.0,52.0,54.0,30.0,54.0,15.0,24.0,24.0,1.0,0.103,0.098,unstable_feature_marker
Je,4,t75,50.0,30.0,33.0,36.0,53.0,55.0,55.0,30.0,55.0,17.0,25.0,25.0,1.0,0.046,0.082,unstable_feature_marker
Je,4,peak_raw,32.0,31.0,31.0,31.0,50.0,52.0,55.0,31.0,55.0,19.0,24.0,24.0,1.0,0.019,0.006,unstable_feature_marker
Je,4,peak_smooth3,44.0,32.0,32.0,32.0,51.0,53.0,54.0,32.0,56.0,19.0,22.0,24.0,1.0,0.01,0.0,unstable_feature_marker
Je,4,duration_25_75,4.0,0.0,0.0,1.0,15.0,18.0,21.0,0.0,22.0,14.0,21.0,22.0,1.0,0.05,0.0,unstable_feature_marker
Je,4,tail_50_75,1.0,0.0,0.0,1.0,3.0,14.100000000000023,16.0,0.0,18.0,2.0,16.0,18.0,1.0,0.365,0.0,unstable_feature_marker
Je,4,early_span_25_50,1.0,0.0,0.0,1.0,4.0,15.0,17.0,0.0,20.0,3.0,17.0,20.0,1.0,0.31,0.0,unstable_feature_marker
Je,5,departure90,42.0,37.0,37.0,37.0,51.0,53.0,55.0,37.0,55.02499999999998,14.0,18.0,18.024999999999977,0.96,0.027,0.0,unstable_feature_marker
Je,5,departure95,43.0,37.0,37.0,38.0,51.0,53.0,55.0,37.0,56.0,13.0,18.0,19.0,0.951,0.035,0.0,unstable_feature_marker
Je,5,t10,32.0,30.0,30.0,30.0,35.0,37.0,39.0,30.0,48.0,5.0,9.0,18.0,1.0,0.098,0.318,unstable_feature_marker
Je,5,t15,33.0,30.0,30.0,30.0,36.0,38.0,47.0,30.0,50.0,6.0,17.0,20.0,1.0,0.08,0.284,unstable_feature_marker
Je,5,t20,33.0,30.0,30.0,30.0,36.0,44.0,50.0,30.0,52.0,6.0,20.0,22.0,1.0,0.07,0.261,unstable_feature_marker
Je,5,t25,34.0,30.0,30.0,31.0,38.0,49.0,52.0,30.0,53.0,7.0,22.0,23.0,1.0,0.036,0.236,unstable_feature_marker
Je,5,t30,35.0,30.0,30.0,31.0,40.0,50.0,52.0,30.0,53.0,9.0,22.0,23.0,1.0,0.094,0.213,unstable_feature_marker
Je,5,t35,35.0,30.0,30.0,31.0,43.25,52.0,53.0,30.0,53.0,12.25,23.0,23.0,1.0,0.086,0.197,unstable_feature_marker
Je,5,t40,36.0,30.0,30.0,31.0,49.0,52.0,53.0,30.0,54.0,18.0,23.0,24.0,1.0,0.07,0.181,unstable_feature_marker
Je,5,t45,37.0,30.0,30.0,32.0,49.0,52.0,53.0,30.0,54.0,17.0,23.0,24.0,1.0,0.029,0.163,unstable_feature_marker
Je,5,t50,38.0,30.0,30.0,32.0,50.0,53.0,54.0,30.0,54.0,18.0,24.0,24.0,1.0,0.029,0.15,unstable_feature_marker
Je,5,t75,42.0,30.0,30.0,35.0,53.0,54.0,55.0,30.0,55.0,18.0,25.0,25.0,1.0,0.019,0.106,unstable_feature_marker
Je,5,peak_raw,47.5,31.0,31.0,40.0,52.0,55.0,57.0,31.0,58.0,12.0,26.0,27.0,1.0,0.0,0.01,unstable_feature_marker
Je,5,peak_smooth3,49.0,32.0,35.0,41.0,52.0,56.0,57.0,32.0,58.0,11.0,25.0,26.0,1.0,0.135,0.0,unstable_feature_marker
Je,5,duration_25_75,2.0,0.0,0.0,1.0,15.0,21.0,23.0,0.0,24.0,14.0,23.0,24.0,1.0,0.115,0.0,unstable_feature_marker
Je,5,tail_50_75,1.0,0.0,0.0,0.0,1.0,11.0,18.0,0.0,22.0,1.0,18.0,22.0,1.0,0.356,0.0,unstable_feature_marker
Je,5,early_span_25_50,1.0,0.0,0.0,0.0,3.0,18.0,21.0,0.0,22.0,3.0,21.0,22.0,1.0,0.25,0.0,unstable_feature_marker
Je,6,departure90,47.0,37.0,37.0,37.0,51.0,53.0,55.0,37.0,56.0,14.0,18.0,19.0,0.906,0.037,0.0,unstable_feature_marker
Je,6,departure95,47.0,37.0,37.0,37.0,51.0,53.0,55.0,37.0,56.0,14.0,18.0,19.0,0.9,0.035,0.0,unstable_feature_marker
Je,6,t10,31.0,30.0,30.0,30.0,35.0,35.0,36.0,30.0,44.0,5.0,6.0,14.0,1.0,0.071,0.463,moderately_stable_feature_marker
Je,6,t15,31.0,30.0,30.0,30.0,35.0,36.0,45.0,30.0,50.0,5.0,15.0,20.0,1.0,0.067,0.438,unstable_feature_marker
Je,6,t20,33.0,30.0,30.0,30.0,35.0,40.0,50.0,30.0,51.02499999999998,5.0,20.0,21.024999999999977,1.0,0.024,0.41,unstable_feature_marker
Je,6,t25,34.0,30.0,30.0,30.0,36.0,47.0,50.0,30.0,52.0,6.0,20.0,22.0,1.0,0.052,0.382,unstable_feature_marker
Je,6,t30,34.0,30.0,30.0,30.0,36.0,49.0,51.0,30.0,52.0,6.0,21.0,22.0,1.0,0.047,0.356,unstable_feature_marker
Je,6,t35,35.0,30.0,30.0,30.0,37.0,50.0,52.0,30.0,52.0,7.0,22.0,22.0,1.0,0.185,0.334,unstable_feature_marker
Je,6,t40,35.0,30.0,30.0,30.0,38.0,51.0,52.0,30.0,53.0,8.0,22.0,23.0,1.0,0.172,0.314,unstable_feature_marker
Je,6,t45,35.0,30.0,30.0,30.0,40.0,52.0,52.0,30.0,53.0,10.0,22.0,23.0,1.0,0.153,0.297,unstable_feature_marker
Je,6,t50,35.0,30.0,30.0,30.0,45.25,52.0,53.0,30.0,53.0,15.25,23.0,23.0,1.0,0.14,0.279,unstable_feature_marker
Je,6,t75,37.0,30.0,30.0,33.0,51.0,53.0,54.0,30.0,55.0,18.0,24.0,25.0,1.0,0.031,0.204,unstable_feature_marker
Je,6,peak_raw,48.0,35.0,35.0,40.0,50.0,53.0,57.0,34.0,58.0,10.0,22.0,24.0,1.0,0.031,0.016,unstable_feature_marker
Je,6,peak_smooth3,48.0,35.0,35.0,39.0,50.0,53.0,56.0,35.0,58.0,11.0,21.0,23.0,1.0,0.129,0.0,unstable_feature_marker
Je,6,duration_25_75,1.0,0.0,0.0,0.0,8.0,22.0,23.0,0.0,24.0,8.0,23.0,24.0,1.0,0.196,0.0,unstable_feature_marker
Je,6,tail_50_75,0.0,0.0,0.0,0.0,1.0,11.200000000000045,21.049999999999955,0.0,23.0,1.0,21.049999999999955,23.0,1.0,0.504,0.0,unstable_feature_marker
Je,6,early_span_25_50,0.0,0.0,0.0,0.0,1.0,18.0,21.0,0.0,22.0,1.0,21.0,22.0,1.0,0.556,0.0,unstable_feature_marker
Je,7,departure90,48.0,37.0,43.0,46.0,50.0,52.0,53.0,37.0,55.0,4.0,16.0,18.0,0.92,0.128,0.0,unstable_feature_marker
Je,7,departure95,48.0,37.0,43.0,46.0,50.0,52.0,53.0,37.0,55.25,4.0,16.0,18.25,0.911,0.124,0.0,unstable_feature_marker
Je,7,t10,30.0,30.0,30.0,30.0,30.0,34.0,35.0,30.0,46.0,0.0,5.0,16.0,1.0,0.86,0.86,moderately_stable_feature_marker
Je,7,t15,30.0,30.0,30.0,30.0,30.0,35.0,46.0,30.0,48.0,0.0,16.0,18.0,1.0,0.823,0.823,unstable_feature_marker
Je,7,t20,30.0,30.0,30.0,30.0,30.0,46.0,48.0,30.0,49.0,0.0,18.0,19.0,1.0,0.763,0.763,unstable_feature_marker
Je,7,t25,30.0,30.0,30.0,30.0,34.0,48.0,49.0,30.0,50.0,4.0,19.0,20.0,1.0,0.712,0.712,unstable_feature_marker
Je,7,t30,30.0,30.0,30.0,30.0,44.0,49.0,50.0,30.0,51.0,14.0,20.0,21.0,1.0,0.649,0.649,unstable_feature_marker
Je,7,t35,30.0,30.0,30.0,30.0,47.0,49.0,51.0,30.0,52.0,17.0,21.0,22.0,1.0,0.589,0.589,unstable_feature_marker
Je,7,t40,30.0,30.0,30.0,30.0,48.0,50.0,51.0,30.0,52.0,18.0,21.0,22.0,1.0,0.52,0.52,unstable_feature_marker
Je,7,t45,35.0,30.0,30.0,30.0,49.0,51.0,52.0,30.0,52.0,19.0,22.0,22.0,1.0,0.033,0.462,unstable_feature_marker
Je,7,t50,44.0,30.0,30.0,30.0,49.0,51.0,52.0,30.0,53.0,19.0,22.0,23.0,1.0,0.012,0.412,unstable_feature_marker
Je,7,t75,49.0,30.0,30.0,34.0,52.0,53.0,54.0,30.0,55.0,18.0,24.0,25.0,1.0,0.087,0.238,unstable_feature_marker
Je,7,peak_raw,46.0,42.0,42.0,45.0,48.0,50.10000000000002,52.0,36.0,56.0,3.0,10.0,20.0,1.0,0.178,0.017,unstable_feature_marker
Je,7,peak_smooth3,46.0,41.0,44.0,45.0,48.0,50.0,52.0,36.0,53.0,3.0,11.0,17.0,1.0,0.236,0.0,unstable_feature_marker
Je,7,duration_25_75,12.0,0.0,0.0,0.0,20.0,23.0,23.0,0.0,25.0,20.0,23.0,25.0,1.0,0.002,0.0,unstable_feature_marker
Je,7,tail_50_75,1.0,0.0,0.0,0.0,3.0,19.0,22.0,0.0,23.0,3.0,22.0,23.0,1.0,0.26,0.0,unstable_feature_marker
Je,7,early_span_25_50,1.0,0.0,0.0,0.0,17.0,20.0,21.049999999999955,0.0,22.0,17.0,21.049999999999955,22.0,1.0,0.126,0.0,unstable_feature_marker
Je,8,departure90,46.0,42.0,43.0,45.0,47.0,48.0,50.0,41.0,51.0,2.0,8.0,10.0,0.997,0.274,0.0,moderately_stable_feature_marker
Je,8,departure95,46.0,42.0,44.0,45.0,47.0,49.0,50.0,42.0,51.0,2.0,8.0,9.0,0.993,0.263,0.0,moderately_stable_feature_marker
Je,8,t10,30.0,30.0,30.0,30.0,30.0,32.0,44.0,30.0,46.0,0.0,14.0,16.0,1.0,0.89,0.89,unstable_feature_marker
Je,8,t15,30.0,30.0,30.0,30.0,30.0,45.0,46.0,30.0,47.0,0.0,16.0,17.0,1.0,0.801,0.801,unstable_feature_marker
Je,8,t20,30.0,30.0,30.0,30.0,44.0,46.0,47.0,30.0,48.0,14.0,17.0,18.0,1.0,0.66,0.66,unstable_feature_marker
Je,8,t25,30.0,30.0,30.0,30.0,46.0,47.0,48.0,30.0,49.0,16.0,18.0,19.0,1.0,0.538,0.538,unstable_feature_marker
Je,8,t30,44.0,30.0,30.0,30.0,46.0,48.0,48.0,30.0,49.02499999999998,16.0,18.0,19.024999999999977,1.0,0.044,0.4,unstable_feature_marker
Je,8,t35,46.0,30.0,30.0,30.0,47.0,48.0,49.0,30.0,50.0,17.0,19.0,20.0,1.0,0.198,0.276,unstable_feature_marker
Je,8,t40,46.0,30.0,30.0,44.0,47.0,49.0,50.0,30.0,51.0,3.0,20.0,21.0,1.0,0.198,0.203,unstable_feature_marker
Je,8,t45,47.0,30.0,30.0,45.0,48.0,49.0,51.0,30.0,51.0,3.0,21.0,21.0,1.0,0.202,0.145,unstable_feature_marker
Je,8,t50,47.0,30.0,30.0,46.0,48.0,50.0,51.0,30.0,52.0,2.0,21.0,22.0,1.0,0.194,0.107,unstable_feature_marker
Je,8,t75,49.0,44.0,46.0,47.0,52.0,53.0,54.0,30.0,55.0,5.0,10.0,25.0,1.0,0.112,0.036,unstable_feature_marker
Je,8,peak_raw,46.0,42.0,44.0,45.0,46.0,47.0,49.0,41.0,52.0,1.0,7.0,11.0,1.0,0.528,0.006,moderately_stable_feature_marker
Je,8,peak_smooth3,46.0,42.0,44.0,45.0,46.0,47.0,49.0,41.0,52.0,1.0,7.0,11.0,1.0,0.399,0.0,moderately_stable_feature_marker
Je,8,duration_25_75,14.0,2.0,3.0,4.0,19.0,22.0,23.0,0.0,24.0,15.0,21.0,24.0,1.0,0.009,0.0,unstable_feature_marker
Je,8,tail_50_75,2.0,0.0,1.0,1.0,3.0,6.0,16.0,0.0,18.0,2.0,16.0,18.0,1.0,0.304,0.0,unstable_feature_marker
Je,8,early_span_25_50,3.0,0.0,0.0,1.0,17.0,19.0,20.0,0.0,21.0,16.0,20.0,21.0,1.0,0.049,0.0,unstable_feature_marker
Je,9,departure90,45.0,40.0,41.0,43.0,46.0,46.0,47.0,40.0,48.0,3.0,7.0,8.0,1.0,0.239,0.0,moderately_stable_feature_marker
Je,9,departure95,45.0,41.0,42.0,43.0,46.0,46.0,47.0,40.0,48.0,3.0,6.0,8.0,1.0,0.253,0.0,moderately_stable_feature_marker
Je,9,t10,30.0,30.0,30.0,30.0,30.0,44.0,45.0,30.0,46.0,0.0,15.0,16.0,1.0,0.751,0.751,unstable_feature_marker
Je,9,t15,30.0,30.0,30.0,30.0,43.0,45.0,46.0,30.0,46.0,13.0,16.0,16.0,1.0,0.539,0.539,unstable_feature_marker
Je,9,t20,43.0,30.0,30.0,30.0,45.0,46.0,46.0,30.0,47.0,15.0,16.0,17.0,1.0,0.085,0.343,unstable_feature_marker
