mode,h_metric,group_fraction,year,group,h_metric_value,h_metric_z
local_background_removed,H_zonal_width_transition,0.3,2005,low,-8.45,-1.0416789331088667
local_background_removed,H_zonal_width_transition,0.3,2006,middle,-1.5,-0.19669102925775
local_background_removed,H_zonal_width_transition,0.3,2007,high,7.600000000000001,0.9096960103170937
local_background_removed,H_zonal_width_transition,0.3,2008,middle,-3.099999999999998,-0.3912206186335464
local_background_removed,H_zonal_width_transition,0.3,2009,high,16.1,1.9431344538760136
local_background_removed,H_zonal_width_transition,0.3,2010,middle,0.0,-0.014319539217940616
local_background_removed,H_zonal_width_transition,0.3,2011,middle,2.6999999999999993,0.3139491428537162
local_background_removed,H_zonal_width_transition,0.3,2012,low,-12.6,-1.5462400555523395
local_background_removed,H_zonal_width_transition,0.3,2013,low,-7.5,-0.9261769894169876
local_background_removed,H_zonal_width_transition,0.3,2014,low,-13.35,-1.6374258005722442
local_background_removed,H_zonal_width_transition,0.3,2015,low,-6.899999999999999,-0.8532283934010637
local_background_removed,H_zonal_width_transition,0.3,2016,middle,1.25,0.13765670248190054
local_background_removed,H_zonal_width_transition,0.3,2017,middle,-5.199999999999999,-0.6465407046892798
local_background_removed,H_zonal_width_transition,0.3,2018,middle,-4.800000000000001,-0.5979083073453307
local_background_removed,H_zonal_width_transition,0.3,2019,middle,0.0,-0.014319539217940616
local_background_removed,H_zonal_width_transition,0.3,2020,middle,-1.7000000000000028,-0.22100722792972494
local_background_removed,H_zonal_width_transition,0.3,2021,low,-8.25,-1.0173627344368923
local_background_removed,H_zonal_width_transition,0.3,2022,high,12.600000000000001,1.5176009771164582
local_background_removed,H_zonal_width_transition,0.3,2023,high,9.200000000000001,1.1042255996928905
local_background_removed,H_north_edge_lat_transition,0.3,1979,low,0.0,-0.3826128748029843
local_background_removed,H_north_edge_lat_transition,0.3,1980,high,4.149999999999999,0.7670726339573904
local_background_removed,H_north_edge_lat_transition,0.3,1981,low,0.0,-0.3826128748029843
local_background_removed,H_north_edge_lat_transition,0.3,1982,middle,0.0,-0.3826128748029843
local_background_removed,H_north_edge_lat_transition,0.3,1983,middle,0.0,-0.3826128748029843
local_background_removed,H_north_edge_lat_transition,0.3,1984,middle,1.75,0.10219426744536665
local_background_removed,H_north_edge_lat_transition,0.3,1985,low,0.0,-0.3826128748029843
local_background_removed,H_north_edge_lat_transition,0.3,1986,low,0.0,-0.3826128748029843
local_background_removed,H_north_edge_lat_transition,0.3,1987,high,7.100000000000001,1.5843189594617542
local_background_removed,H_north_edge_lat_transition,0.3,1988,middle,0.0,-0.3826128748029843
local_background_removed,H_north_edge_lat_transition,0.3,1989,high,3.0500000000000007,0.46233671597271325
local_background_removed,H_north_edge_lat_transition,0.3,1990,middle,0.0,-0.3826128748029843
local_background_removed,H_north_edge_lat_transition,0.3,1991,high,8.399999999999999,1.9444614079890998
local_background_removed,H_north_edge_lat_transition,0.3,1992,low,0.0,-0.3826128748029843
local_background_removed,H_north_edge_lat_transition,0.3,1993,middle,1.25,-0.03632205891130504
local_background_removed,H_north_edge_lat_transition,0.3,1994,high,12.0,2.9417789577571365
local_background_removed,H_north_edge_lat_transition,0.3,1995,low,0.0,-0.3826128748029843
local_background_removed,H_north_edge_lat_transition,0.3,1996,low,-2.5,-1.0751945065863429
local_background_removed,H_north_edge_lat_transition,0.3,1997,middle,2.450000000000003,0.2961171243447078
local_background_removed,H_north_edge_lat_transition,0.3,1998,middle,0.0,-0.3826128748029843
local_background_removed,H_north_edge_lat_transition,0.3,1999,low,-8.250000000000004,-2.668132259688068
local_background_removed,H_north_edge_lat_transition,0.3,2000,high,4.75,0.9332922255853968
local_background_removed,H_north_edge_lat_transition,0.3,2001,middle,3.0,0.4484850833370459
local_background_removed,H_north_edge_lat_transition,0.3,2002,low,0.0,-0.3826128748029843
local_background_removed,H_north_edge_lat_transition,0.3,2003,middle,0.0,-0.3826128748029843
local_background_removed,H_north_edge_lat_transition,0.3,2004,low,0.0,-0.3826128748029843
local_background_removed,H_north_edge_lat_transition,0.3,2005,low,0.0,-0.3826128748029843
local_background_removed,H_north_edge_lat_transition,0.3,2006,high,5.350000000000001,1.0995118172134033
local_background_removed,H_north_edge_lat_transition,0.3,2007,high,3.1000000000000014,0.4761883486083806
local_background_removed,H_north_edge_lat_transition,0.3,2008,middle,0.0,-0.3826128748029843
local_background_removed,H_north_edge_lat_transition,0.3,2009,middle,0.0,-0.3826128748029843
local_background_removed,H_north_edge_lat_transition,0.3,2010,high,3.1999999999999993,0.5038916138797144
local_background_removed,H_north_edge_lat_transition,0.3,2011,high,6.199999999999999,1.3349895720197444
local_background_removed,H_north_edge_lat_transition,0.3,2012,middle,0.0,-0.3826128748029843
local_background_removed,H_north_edge_lat_transition,0.3,2013,middle,0.0,-0.3826128748029843
local_background_removed,H_north_edge_lat_transition,0.3,2014,middle,0.0,-0.3826128748029843
local_background_removed,H_north_edge_lat_transition,0.3,2015,low,-2.5,-1.0751945065863429
local_background_removed,H_north_edge_lat_transition,0.3,2016,high,7.149999999999999,1.5981705920974205
local_background_removed,H_north_edge_lat_transition,0.3,2017,middle,0.0,-0.3826128748029843
local_background_removed,H_north_edge_lat_transition,0.3,2018,high,4.149999999999999,0.7670726339573904
local_background_removed,H_north_edge_lat_transition,0.3,2019,low,-8.149999999999999,-2.640428994416732
local_background_removed,H_north_edge_lat_transition,0.3,2020,middle,0.0,-0.3826128748029843
local_background_removed,H_north_edge_lat_transition,0.3,2021,high,6.0,1.2795830414770761
local_background_removed,H_north_edge_lat_transition,0.3,2022,middle,0.0,-0.3826128748029843
local_background_removed,H_north_edge_lat_transition,0.3,2023,middle,0.5,-0.2440965484463126
