pair,field_early_candidate,field_late_candidate,bootstrap_id,delta_late_minus_early,H_midpoint,P_midpoint,V_midpoint,Je_midpoint,Jw_midpoint,H_onset,H_finish,H_duration,five_field_midpoint_range,tail_type,tail_interpretation
H-Je,H,Je,122,-5.0,51.0,42.0,42.0,46.0,40.0,38.0,54.0,17.0,11.0,early_field_late_tail,"H shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
H-Je,H,Je,156,-1.0,48.0,42.0,45.0,47.0,42.0,37.0,51.0,15.0,6.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-Je,H,Je,158,-7.0,50.0,41.0,42.0,43.0,41.0,43.0,53.0,11.0,9.0,mixed_tail,Both H late-side and Je early-side effects occur in this tail sample.
H-Je,H,Je,171,-4.0,50.0,40.0,42.0,46.0,42.0,39.0,54.0,16.0,10.0,early_field_late_tail,"H shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
H-Je,H,Je,190,-5.0,50.0,44.0,44.0,45.0,44.0,38.0,53.0,16.0,6.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-Je,H,Je,191,-7.0,53.0,40.0,45.0,46.0,41.0,39.0,55.0,17.0,13.0,early_field_late_tail,"H shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
H-Je,H,Je,197,-1.0,45.0,43.0,44.0,44.0,46.0,37.0,52.0,16.0,3.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-Je,H,Je,202,0.0,43.0,45.0,45.0,43.0,45.0,37.0,54.0,18.0,2.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-Je,H,Je,204,-3.0,50.0,41.0,42.0,47.0,43.0,42.0,54.0,13.0,9.0,early_field_late_tail,"H shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
H-Je,H,Je,206,-4.0,50.0,42.0,44.0,46.0,43.0,42.0,52.0,11.0,8.0,early_field_late_tail,"H shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
H-Je,H,Je,212,-4.0,50.0,40.0,44.0,46.0,45.0,38.0,54.0,17.0,10.0,early_field_late_tail,"H shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
H-Je,H,Je,215,0.0,49.0,42.0,45.0,49.0,48.0,43.0,52.0,10.0,7.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-Je,H,Je,219,-7.0,52.0,40.0,42.0,45.0,43.0,39.0,54.0,16.0,12.0,mixed_tail,Both H late-side and Je early-side effects occur in this tail sample.
H-Je,H,Je,220,-1.0,45.0,40.0,42.0,44.0,44.0,39.0,53.0,15.0,5.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-Je,H,Je,224,-4.0,50.0,43.0,42.0,46.0,46.0,38.0,53.0,16.0,8.0,early_field_late_tail,"H shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
H-Je,H,Je,226,-3.0,49.0,45.0,45.0,46.0,48.0,39.0,52.0,14.0,4.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-Je,H,Je,235,-3.0,51.0,41.0,41.0,48.0,41.0,39.0,54.0,16.0,10.0,early_field_late_tail,"H shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
H-Je,H,Je,241,-6.0,50.0,42.0,44.0,44.0,45.0,37.0,53.0,17.0,8.0,mixed_tail,Both H late-side and Je early-side effects occur in this tail sample.
H-Je,H,Je,249,-6.0,52.0,41.0,43.0,46.0,42.0,39.0,54.0,16.0,11.0,early_field_late_tail,"H shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
H-Je,H,Je,254,-8.0,51.0,44.0,43.0,43.0,42.0,38.0,54.0,17.0,9.0,mixed_tail,Both H late-side and Je early-side effects occur in this tail sample.
H-Je,H,Je,266,-5.0,51.0,41.0,42.0,46.0,42.0,38.0,54.0,17.0,10.0,early_field_late_tail,"H shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
H-Je,H,Je,273,-5.0,51.0,41.0,45.0,46.0,43.0,37.0,54.0,18.0,10.0,early_field_late_tail,"H shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
H-Je,H,Je,281,0.0,44.0,41.0,42.0,44.0,45.0,38.0,51.0,14.0,4.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-Je,H,Je,288,-3.0,49.0,44.0,44.0,46.0,46.0,41.0,53.0,13.0,5.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-Je,H,Je,296,-8.0,51.0,45.0,44.0,43.0,45.0,38.0,53.0,16.0,8.0,mixed_tail,Both H late-side and Je early-side effects occur in this tail sample.
H-Je,H,Je,298,-6.0,52.0,42.0,43.0,46.0,43.0,36.0,55.0,20.0,10.0,early_field_late_tail,"H shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
H-Je,H,Je,313,-8.0,52.0,42.0,47.0,44.0,43.0,39.0,54.0,16.0,10.0,mixed_tail,Both H late-side and Je early-side effects occur in this tail sample.
H-Je,H,Je,321,-3.0,49.0,41.0,41.0,46.0,43.0,44.0,51.0,8.0,8.0,early_field_late_tail,"H shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
H-Je,H,Je,329,-4.0,50.0,44.0,47.0,46.0,45.0,38.0,53.0,16.0,6.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-Je,H,Je,339,-1.0,48.0,41.0,43.0,47.0,48.0,38.0,51.0,14.0,7.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-Je,H,Je,344,-3.0,50.0,41.0,43.0,47.0,46.0,39.0,53.0,15.0,9.0,early_field_late_tail,"H shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
H-Je,H,Je,345,-3.0,49.0,41.0,44.0,46.0,49.0,37.0,51.0,15.0,8.0,early_field_late_tail,"H shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
H-Je,H,Je,353,-5.0,50.0,41.0,43.0,45.0,42.0,37.0,53.0,17.0,9.0,mixed_tail,Both H late-side and Je early-side effects occur in this tail sample.
H-Je,H,Je,359,-1.0,50.0,45.0,47.0,49.0,42.0,37.0,53.0,17.0,8.0,early_field_late_tail,"H shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
H-Je,H,Je,367,0.0,50.0,40.0,45.0,50.0,43.0,38.0,53.0,16.0,10.0,early_field_late_tail,"H shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
H-Je,H,Je,379,-6.0,51.0,42.0,43.0,45.0,46.0,40.0,54.0,15.0,9.0,mixed_tail,Both H late-side and Je early-side effects occur in this tail sample.
H-Je,H,Je,381,-2.0,50.0,41.0,42.0,48.0,44.0,41.0,53.0,13.0,9.0,early_field_late_tail,"H shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
H-Je,H,Je,383,-5.0,50.0,42.0,44.0,45.0,42.0,37.0,52.0,16.0,8.0,mixed_tail,Both H late-side and Je early-side effects occur in this tail sample.
H-Je,H,Je,386,-4.0,49.0,44.0,48.0,45.0,44.0,37.0,52.0,16.0,5.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-Je,H,Je,388,-4.0,50.0,44.0,45.0,46.0,46.0,40.0,53.0,14.0,6.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-Je,H,Je,392,-6.0,51.0,42.0,44.0,45.0,48.0,37.0,52.0,16.0,9.0,mixed_tail,Both H late-side and Je early-side effects occur in this tail sample.
H-Je,H,Je,401,-5.0,51.0,41.0,42.0,46.0,41.0,39.0,54.0,16.0,10.0,early_field_late_tail,"H shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
H-Je,H,Je,406,-3.0,49.0,41.0,41.0,46.0,41.0,42.0,53.0,12.0,8.0,early_field_late_tail,"H shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
H-Je,H,Je,425,-8.0,52.0,44.0,46.0,44.0,44.0,38.0,54.0,17.0,8.0,mixed_tail,Both H late-side and Je early-side effects occur in this tail sample.
H-Je,H,Je,432,-2.0,47.0,45.0,46.0,45.0,48.0,39.0,51.0,13.0,3.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-Je,H,Je,448,-6.0,51.0,41.0,40.0,45.0,42.0,38.0,54.0,17.0,11.0,mixed_tail,Both H late-side and Je early-side effects occur in this tail sample.
H-Je,H,Je,466,-8.0,50.0,41.0,45.0,42.0,41.0,42.0,54.0,13.0,9.0,mixed_tail,Both H late-side and Je early-side effects occur in this tail sample.
H-Je,H,Je,469,-1.0,46.0,41.0,44.0,45.0,43.0,38.0,51.0,14.0,5.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-Je,H,Je,475,-6.0,50.0,43.0,43.0,44.0,41.0,36.0,53.0,18.0,9.0,mixed_tail,Both H late-side and Je early-side effects occur in this tail sample.
H-Je,H,Je,482,-1.0,51.0,41.0,41.0,50.0,42.0,39.0,54.0,16.0,10.0,early_field_late_tail,"H shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
H-Je,H,Je,485,-1.0,49.0,40.0,42.0,48.0,43.0,38.0,53.0,16.0,9.0,early_field_late_tail,"H shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
H-Je,H,Je,510,-4.0,50.0,41.0,44.0,46.0,39.0,37.0,53.0,17.0,11.0,early_field_late_tail,"H shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
H-Je,H,Je,518,-1.0,50.0,41.0,41.0,49.0,42.0,39.0,53.0,15.0,9.0,early_field_late_tail,"H shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
H-Je,H,Je,520,-7.0,51.0,41.0,44.0,44.0,44.0,37.0,54.0,18.0,10.0,mixed_tail,Both H late-side and Je early-side effects occur in this tail sample.
H-Je,H,Je,538,-2.0,48.0,41.0,44.0,46.0,40.0,38.0,52.0,15.0,8.0,early_field_late_tail,"H shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
H-Je,H,Je,550,-5.0,51.0,42.0,45.0,46.0,44.0,37.0,54.0,18.0,9.0,early_field_late_tail,"H shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
H-Je,H,Je,561,-7.0,51.0,40.0,42.0,44.0,48.0,38.0,53.0,16.0,11.0,mixed_tail,Both H late-side and Je early-side effects occur in this tail sample.
H-Je,H,Je,564,-7.0,51.0,45.0,45.0,44.0,44.0,38.0,54.0,17.0,7.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-Je,H,Je,573,-6.0,49.0,46.0,47.0,43.0,40.0,37.0,52.0,16.0,9.0,mixed_tail,Both H late-side and Je early-side effects occur in this tail sample.
H-Je,H,Je,578,0.0,47.0,44.0,45.0,47.0,42.0,42.0,52.0,11.0,5.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-Je,H,Je,588,-5.0,51.0,41.0,45.0,46.0,43.0,40.0,54.0,15.0,10.0,early_field_late_tail,"H shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
H-Je,H,Je,595,-6.0,51.0,42.0,43.0,45.0,43.0,38.0,53.0,16.0,9.0,mixed_tail,Both H late-side and Je early-side effects occur in this tail sample.
H-Je,H,Je,611,-3.0,51.0,42.0,45.0,48.0,45.0,38.0,54.0,17.0,9.0,early_field_late_tail,"H shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
H-Je,H,Je,612,-6.0,50.0,42.0,42.0,44.0,42.0,39.0,53.0,15.0,8.0,mixed_tail,Both H late-side and Je early-side effects occur in this tail sample.
H-Je,H,Je,617,-7.0,51.0,43.0,45.0,44.0,45.0,39.0,54.0,16.0,8.0,mixed_tail,Both H late-side and Je early-side effects occur in this tail sample.
H-Je,H,Je,619,-6.0,51.0,42.0,46.0,45.0,45.0,38.0,54.0,17.0,9.0,mixed_tail,Both H late-side and Je early-side effects occur in this tail sample.
H-Je,H,Je,623,-2.0,48.0,41.0,43.0,46.0,43.0,39.0,52.0,14.0,7.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-Je,H,Je,625,-8.0,51.0,45.0,47.0,43.0,45.0,38.0,54.0,17.0,8.0,mixed_tail,Both H late-side and Je early-side effects occur in this tail sample.
H-Je,H,Je,628,0.0,50.0,41.0,42.0,50.0,46.0,45.0,53.0,9.0,9.0,early_field_late_tail,"H shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
H-Je,H,Je,633,-5.0,50.0,40.0,44.0,45.0,43.0,37.0,53.0,17.0,10.0,mixed_tail,Both H late-side and Je early-side effects occur in this tail sample.
H-Je,H,Je,635,-4.0,51.0,42.0,44.0,47.0,42.0,39.0,53.0,15.0,9.0,early_field_late_tail,"H shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
H-Je,H,Je,650,-5.0,49.0,43.0,45.0,44.0,43.0,38.0,51.0,14.0,6.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-Je,H,Je,655,-5.0,50.0,44.0,45.0,45.0,41.0,38.0,53.0,16.0,9.0,mixed_tail,Both H late-side and Je early-side effects occur in this tail sample.
H-Je,H,Je,661,-4.0,50.0,41.0,44.0,46.0,44.0,38.0,52.0,15.0,9.0,early_field_late_tail,"H shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
H-Je,H,Je,671,-4.0,50.0,41.0,44.0,46.0,41.0,38.0,54.0,17.0,9.0,early_field_late_tail,"H shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
H-Je,H,Je,685,-6.0,50.0,42.0,45.0,44.0,49.0,38.0,52.0,15.0,8.0,mixed_tail,Both H late-side and Je early-side effects occur in this tail sample.
H-Je,H,Je,692,-5.0,52.0,45.0,45.0,47.0,42.0,39.0,54.0,16.0,10.0,early_field_late_tail,"H shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
H-Je,H,Je,695,-3.0,49.0,44.0,44.0,46.0,43.0,39.0,53.0,15.0,6.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-Je,H,Je,711,-5.0,51.0,40.0,43.0,46.0,50.0,37.0,54.0,18.0,11.0,early_field_late_tail,"H shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
H-Je,H,Je,723,-2.0,49.0,45.0,45.0,47.0,44.0,43.0,52.0,10.0,5.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-Je,H,Je,731,-4.0,48.0,41.0,44.0,44.0,44.0,39.0,53.0,15.0,7.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-Je,H,Je,732,-1.0,46.0,42.0,45.0,45.0,47.0,40.0,51.0,12.0,5.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-Je,H,Je,736,-6.0,49.0,45.0,46.0,43.0,42.0,37.0,52.0,16.0,7.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-Je,H,Je,741,-4.0,51.0,40.0,44.0,47.0,42.0,49.0,54.0,6.0,11.0,early_field_late_tail,"H shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
H-Je,H,Je,742,-5.0,50.0,41.0,42.0,45.0,46.0,40.0,53.0,14.0,9.0,mixed_tail,Both H late-side and Je early-side effects occur in this tail sample.
H-Je,H,Je,765,-4.0,50.0,43.0,45.0,46.0,47.0,37.0,52.0,16.0,7.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-Je,H,Je,786,-5.0,51.0,42.0,43.0,46.0,42.0,42.0,54.0,13.0,9.0,early_field_late_tail,"H shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
H-Je,H,Je,787,-4.0,50.0,40.0,44.0,46.0,43.0,38.0,53.0,16.0,10.0,early_field_late_tail,"H shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
H-Je,H,Je,799,-6.0,50.0,40.0,45.0,44.0,49.0,39.0,53.0,15.0,10.0,mixed_tail,Both H late-side and Je early-side effects occur in this tail sample.
H-Je,H,Je,804,-6.0,50.0,41.0,43.0,44.0,42.0,38.0,53.0,16.0,9.0,mixed_tail,Both H late-side and Je early-side effects occur in this tail sample.
H-Je,H,Je,819,-5.0,50.0,43.0,43.0,45.0,43.0,37.0,52.0,16.0,7.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-Je,H,Je,830,-6.0,52.0,41.0,45.0,46.0,40.0,42.0,54.0,13.0,12.0,early_field_late_tail,"H shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
H-Je,H,Je,837,-4.0,51.0,42.0,45.0,47.0,45.0,37.0,54.0,18.0,9.0,early_field_late_tail,"H shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
H-Je,H,Je,871,0.0,46.0,44.0,45.0,46.0,46.0,38.0,51.0,14.0,2.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-Je,H,Je,873,-3.0,50.0,45.0,45.0,47.0,44.0,39.0,53.0,15.0,6.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-Je,H,Je,921,-4.0,49.0,42.0,42.0,45.0,43.0,40.0,52.0,13.0,7.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-Je,H,Je,922,-8.0,52.0,42.0,43.0,44.0,43.0,38.0,55.0,18.0,10.0,mixed_tail,Both H late-side and Je early-side effects occur in this tail sample.
H-Je,H,Je,924,-3.0,50.0,43.0,45.0,47.0,42.0,37.0,53.0,17.0,8.0,early_field_late_tail,"H shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
H-Je,H,Je,925,-4.0,51.0,41.0,43.0,47.0,48.0,37.0,54.0,18.0,10.0,early_field_late_tail,"H shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
H-Je,H,Je,937,-4.0,49.0,42.0,47.0,45.0,45.0,45.0,52.0,8.0,7.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-Je,H,Je,944,-2.0,48.0,43.0,41.0,46.0,43.0,42.0,53.0,12.0,7.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-Je,H,Je,954,-7.0,52.0,41.0,44.0,45.0,41.0,38.0,55.0,18.0,11.0,mixed_tail,Both H late-side and Je early-side effects occur in this tail sample.
H-Je,H,Je,959,-3.0,50.0,44.0,43.0,47.0,45.0,39.0,53.0,15.0,7.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-Je,H,Je,968,0.0,48.0,41.0,41.0,48.0,43.0,40.0,53.0,14.0,7.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-Je,H,Je,972,-3.0,50.0,45.0,47.0,47.0,44.0,40.0,52.0,13.0,6.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-Je,H,Je,984,-3.0,49.0,41.0,44.0,46.0,44.0,38.0,52.0,15.0,8.0,early_field_late_tail,"H shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
H-Je,H,Je,987,-8.0,52.0,40.0,44.0,44.0,40.0,36.0,54.0,19.0,12.0,mixed_tail,Both H late-side and Je early-side effects occur in this tail sample.
H-Je,H,Je,991,-5.0,51.0,44.0,44.0,46.0,45.0,37.0,54.0,18.0,7.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-Je,H,Je,996,-6.0,50.0,41.0,44.0,44.0,41.0,39.0,52.0,14.0,9.0,mixed_tail,Both H late-side and Je early-side effects occur in this tail sample.
H-Jw,H,Jw,13,-4.0,52.0,41.0,44.0,45.0,48.0,37.0,54.0,18.0,11.0,early_field_late_tail,"H shifts to the late side of its own bootstrap distribution, weakening its lead over Jw."
H-Jw,H,Jw,18,-1.0,40.0,44.0,45.0,48.0,39.0,37.0,43.0,7.0,9.0,late_field_early_tail,"Jw shifts to the early side of its own bootstrap distribution, weakening H's lead."
H-Jw,H,Jw,20,-3.0,43.0,45.0,47.0,45.0,40.0,38.0,53.0,16.0,7.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-Jw,H,Jw,30,-4.0,50.0,42.0,45.0,45.0,46.0,38.0,53.0,16.0,8.0,early_field_late_tail,"H shifts to the late side of its own bootstrap distribution, weakening its lead over Jw."
H-Jw,H,Jw,36,-9.0,51.0,42.0,45.0,49.0,42.0,49.0,54.0,6.0,9.0,mixed_tail,Both H late-side and Jw early-side effects occur in this tail sample.
H-Jw,H,Jw,44,-7.0,50.0,41.0,44.0,51.0,43.0,38.0,52.0,15.0,10.0,early_field_late_tail,"H shifts to the late side of its own bootstrap distribution, weakening its lead over Jw."
H-Jw,H,Jw,59,-10.0,52.0,40.0,46.0,45.0,42.0,50.0,54.0,5.0,12.0,mixed_tail,Both H late-side and Jw early-side effects occur in this tail sample.
H-Jw,H,Jw,62,-4.0,46.0,40.0,44.0,46.0,42.0,39.0,51.0,13.0,6.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-Jw,H,Jw,72,-8.0,51.0,42.0,43.0,46.0,43.0,38.0,54.0,17.0,9.0,early_field_late_tail,"H shifts to the late side of its own bootstrap distribution, weakening its lead over Jw."
H-Jw,H,Jw,98,-9.0,52.0,41.0,43.0,42.0,43.0,42.0,54.0,13.0,11.0,early_field_late_tail,"H shifts to the late side of its own bootstrap distribution, weakening its lead over Jw."
H-Jw,H,Jw,101,-9.0,51.0,41.0,42.0,46.0,42.0,38.0,53.0,16.0,10.0,mixed_tail,Both H late-side and Jw early-side effects occur in this tail sample.
H-Jw,H,Jw,109,-11.0,51.0,40.0,46.0,47.0,40.0,37.0,54.0,18.0,11.0,mixed_tail,Both H late-side and Jw early-side effects occur in this tail sample.
H-Jw,H,Jw,121,0.0,40.0,47.0,47.0,48.0,40.0,38.0,43.0,6.0,8.0,late_field_early_tail,"Jw shifts to the early side of its own bootstrap distribution, weakening H's lead."
H-Jw,H,Jw,122,-11.0,51.0,42.0,42.0,46.0,40.0,38.0,54.0,17.0,11.0,mixed_tail,Both H late-side and Jw early-side effects occur in this tail sample.
H-Jw,H,Jw,131,-3.0,46.0,41.0,42.0,49.0,43.0,41.0,51.0,11.0,8.0,early_field_late_tail,"H shifts to the late side of its own bootstrap distribution, weakening its lead over Jw."
H-Jw,H,Jw,156,-6.0,48.0,42.0,45.0,47.0,42.0,37.0,51.0,15.0,6.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-Jw,H,Jw,158,-9.0,50.0,41.0,42.0,43.0,41.0,43.0,53.0,11.0,9.0,mixed_tail,Both H late-side and Jw early-side effects occur in this tail sample.
H-Jw,H,Jw,171,-8.0,50.0,40.0,42.0,46.0,42.0,39.0,54.0,16.0,10.0,mixed_tail,Both H late-side and Jw early-side effects occur in this tail sample.
H-Jw,H,Jw,190,-6.0,50.0,44.0,44.0,45.0,44.0,38.0,53.0,16.0,6.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-Jw,H,Jw,191,-12.0,53.0,40.0,45.0,46.0,41.0,39.0,55.0,17.0,13.0,mixed_tail,Both H late-side and Jw early-side effects occur in this tail sample.
H-Jw,H,Jw,204,-7.0,50.0,41.0,42.0,47.0,43.0,42.0,54.0,13.0,9.0,early_field_late_tail,"H shifts to the late side of its own bootstrap distribution, weakening its lead over Jw."
H-Jw,H,Jw,206,-7.0,50.0,42.0,44.0,46.0,43.0,42.0,52.0,11.0,8.0,early_field_late_tail,"H shifts to the late side of its own bootstrap distribution, weakening its lead over Jw."
H-Jw,H,Jw,211,-1.0,43.0,44.0,46.0,45.0,42.0,37.0,54.0,18.0,4.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-Jw,H,Jw,212,-5.0,50.0,40.0,44.0,46.0,45.0,38.0,54.0,17.0,10.0,early_field_late_tail,"H shifts to the late side of its own bootstrap distribution, weakening its lead over Jw."
H-Jw,H,Jw,215,-1.0,49.0,42.0,45.0,49.0,48.0,43.0,52.0,10.0,7.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-Jw,H,Jw,219,-9.0,52.0,40.0,42.0,45.0,43.0,39.0,54.0,16.0,12.0,early_field_late_tail,"H shifts to the late side of its own bootstrap distribution, weakening its lead over Jw."
H-Jw,H,Jw,220,-1.0,45.0,40.0,42.0,44.0,44.0,39.0,53.0,15.0,5.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-Jw,H,Jw,224,-4.0,50.0,43.0,42.0,46.0,46.0,38.0,53.0,16.0,8.0,early_field_late_tail,"H shifts to the late side of its own bootstrap distribution, weakening its lead over Jw."
H-Jw,H,Jw,226,-1.0,49.0,45.0,45.0,46.0,48.0,39.0,52.0,14.0,4.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-Jw,H,Jw,235,-10.0,51.0,41.0,41.0,48.0,41.0,39.0,54.0,16.0,10.0,mixed_tail,Both H late-side and Jw early-side effects occur in this tail sample.
H-Jw,H,Jw,241,-5.0,50.0,42.0,44.0,44.0,45.0,37.0,53.0,17.0,8.0,early_field_late_tail,"H shifts to the late side of its own bootstrap distribution, weakening its lead over Jw."
H-Jw,H,Jw,249,-10.0,52.0,41.0,43.0,46.0,42.0,39.0,54.0,16.0,11.0,mixed_tail,Both H late-side and Jw early-side effects occur in this tail sample.
H-Jw,H,Jw,254,-9.0,51.0,44.0,43.0,43.0,42.0,38.0,54.0,17.0,9.0,mixed_tail,Both H late-side and Jw early-side effects occur in this tail sample.
H-Jw,H,Jw,262,-3.0,43.0,45.0,46.0,46.0,40.0,37.0,54.0,18.0,6.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-Jw,H,Jw,266,-9.0,51.0,41.0,42.0,46.0,42.0,38.0,54.0,17.0,10.0,mixed_tail,Both H late-side and Jw early-side effects occur in this tail sample.
H-Jw,H,Jw,273,-8.0,51.0,41.0,45.0,46.0,43.0,37.0,54.0,18.0,10.0,early_field_late_tail,"H shifts to the late side of its own bootstrap distribution, weakening its lead over Jw."
H-Jw,H,Jw,276,0.0,39.0,46.0,47.0,47.0,39.0,37.0,54.0,18.0,8.0,late_field_early_tail,"Jw shifts to the early side of its own bootstrap distribution, weakening H's lead."
H-Jw,H,Jw,288,-3.0,49.0,44.0,44.0,46.0,46.0,41.0,53.0,13.0,5.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
