baseline_config,field,day,R_diff,S_pattern,dR_diff,dS_pattern,dRdiff_smooth3,dSpattern_smooth3
C1_buffered_stage,Jw,23,-1.093665103456516,0.0401190399627528,0.00388049004924107,0.0015840631739586011,0.006690974160086682,0.0027313369266272667
C1_buffered_stage,Jw,24,-1.1062049605570103,0.0350001179741547,-0.012539857100494434,-0.005118921988598105,-0.0067055188474773875,-0.0027372742446927674
C1_buffered_stage,Jw,25,-1.1176621500481891,0.0303231540547159,-0.011457189491178799,-0.004676963919438799,-0.0015206631446774328,-0.0006207531669745354
C1_buffered_stage,Jw,26,-1.0982270928905482,0.0382567804618292,0.019435057157640934,0.007933626407113297,0.009406469462968007,0.003839835094066967
C1_buffered_stage,Jw,27,-1.0779855521681063,0.0465196232563556,0.020241540722441886,0.008262842794526402,0.01456987171910007,0.005947598614262867
C1_buffered_stage,Jw,28,-1.073952534890889,0.0481659498975045,0.004033017277217388,0.0016463266411489014,0.013883546720750317,0.005667432413227068
C1_buffered_stage,Jw,29,-1.0565764527282973,0.0552590777015104,0.017376082162591677,0.007093127804005901,0.017457997366996308,0.007126566585458234
C1_buffered_stage,Jw,30,-1.0256115600671174,0.0678993230127303,0.030964892661179855,0.012640245311219898,0.040025094745685164,0.016338729855329134
C1_buffered_stage,Jw,31,-0.9538772506538334,0.0971821394634919,0.07173430941328396,0.029282816450761598,0.07493343807205781,0.0305887396287144
C1_buffered_stage,Jw,32,-0.8317761385121238,0.1470252965876536,0.1221011121417096,0.049843157124161694,0.10850427655092461,0.044292763676833
C1_buffered_stage,Jw,33,-0.7000987304143436,0.2007776140432293,0.13167740809778028,0.05375231745557571,0.11327073767658036,0.046238491005971
C1_buffered_stage,Jw,34,-0.6140650376240924,0.2358976124814049,0.08603369279025119,0.03511999843817559,0.08391674347221967,0.0342558340122196
C1_buffered_stage,Jw,35,-0.5800259080954648,0.2497927986243124,0.03403912952862753,0.013895186142907495,0.06030460473759166,0.024617072166859304
C1_buffered_stage,Jw,36,-0.5191849162015686,0.2746288305438072,0.060840991893896246,0.024836031919494822,0.08240030990812695,0.03363680741141597
C1_buffered_stage,Jw,37,-0.3668641078997115,0.3368080347156528,0.15232080830185707,0.06217920417184558,0.12544050798798326,0.051206339071861
C1_buffered_stage,Jw,38,-0.203704384131515,0.4034118158398954,0.1631597237681965,0.06660378112424259,0.1508457333865062,0.061577060673837
