mode,year,object,window,strength
anomaly,2013,P,P45,4.9647921055202255
anomaly,2014,P,P45,4.126736220023443
anomaly,2015,P,P45,5.127258648984772
anomaly,2016,P,P45,2.808265541035006
anomaly,2017,P,P45,4.61460238048015
anomaly,2018,P,P45,4.624020385607986
anomaly,2019,P,P45,3.0971439233893183
anomaly,2020,P,P45,3.5819405164886455
anomaly,2021,P,P45,5.820591934046913
anomaly,2022,P,P45,5.667307095331685
anomaly,2023,P,P45,2.9115420011679394
anomaly,1979,V,E1,1.320317466248343
anomaly,1980,V,E1,0.999771793269421
anomaly,1981,V,E1,1.5294819059841769
anomaly,1982,V,E1,0.9029956800898872
anomaly,1983,V,E1,2.7229767223585424
anomaly,1984,V,E1,0.8665126671633228
anomaly,1985,V,E1,1.4451282862117363
anomaly,1986,V,E1,1.015204199409203
anomaly,1987,V,E1,1.0070508056950587
anomaly,1988,V,E1,1.2687484946431486
anomaly,1989,V,E1,1.13069682751981
anomaly,1990,V,E1,1.1816142662099636
anomaly,1991,V,E1,0.6551751185586744
anomaly,1992,V,E1,0.6143694192297439
anomaly,1993,V,E1,0.7774649793692262
anomaly,1994,V,E1,1.2244262359425662
anomaly,1995,V,E1,1.9648874063197943
anomaly,1996,V,E1,1.6022357704848988
anomaly,1997,V,E1,2.484626728221489
anomaly,1998,V,E1,1.8849693666482439
anomaly,1999,V,E1,1.1823925963631048
anomaly,2000,V,E1,0.9582969237428794
anomaly,2001,V,E1,1.0246435657394082
anomaly,2002,V,E1,1.4884372531779655
anomaly,2003,V,E1,1.986672371987887
anomaly,2004,V,E1,1.2623684245255786
anomaly,2005,V,E1,1.081844976622324
anomaly,2006,V,E1,1.1844723865495013
anomaly,2007,V,E1,0.8465112895488996
anomaly,2008,V,E1,1.2942757081496694
anomaly,2009,V,E1,1.348278228008304
anomaly,2010,V,E1,1.1655781450308844
anomaly,2011,V,E1,1.9373815324171462
anomaly,2012,V,E1,1.4986014373575325
anomaly,2013,V,E1,0.7448522003261585
anomaly,2014,V,E1,1.3890385103556706
anomaly,2015,V,E1,1.2429627713463698
anomaly,2016,V,E1,1.9192186485166711
anomaly,2017,V,E1,1.0445197562751314
anomaly,2018,V,E1,1.0160411147534107
anomaly,2019,V,E1,0.9805119254141088
anomaly,2020,V,E1,1.6219964281896624
anomaly,2021,V,E1,2.7238154399172356
anomaly,2022,V,E1,1.1433101734582523
anomaly,2023,V,E1,1.1330638178753063
anomaly,1979,V,E2,0.78703453702032
