mode,source_object,source_package_type,source_col,target_object,target_col,is_self_target,n_years,pearson_r,spearman_r,permutation_p
anomaly,V,main_cluster_source,V_M_source_strength,M,M_combined_strength,False,45,0.7928627791705697,0.699209486166008,0.009900990099009901
anomaly,V,main_cluster_source,V_M_source_strength,joint_proxy,joint45_strength_proxy,False,45,0.7928627791705697,0.699209486166008,0.009900990099009901
anomaly,V,main_cluster_source,V_M_source_strength,M_minus_P,M_minus_P_strength,False,45,0.7026357066452558,0.6600790513833992,0.009900990099009901
anomaly,V,main_cluster_source,V_M_source_strength,M_minus_V,M_minus_V_strength,False,45,0.5577050043953373,0.44703557312252956,0.009900990099009901
anomaly,V,main_cluster_source,V_M_source_strength,M_minus_Je,M_minus_Je_strength,False,45,0.830483898165126,0.7658761528326745,0.009900990099009901
anomaly,V,main_cluster_source,V_M_source_strength,M_minus_Jw,M_minus_Jw_strength,False,45,0.8476402814233966,0.7737812911725954,0.009900990099009901
anomaly,Je,main_cluster_source,Je_M_source_strength,P,P_P45_strength,False,45,0.44906469293202417,0.4740447957839262,0.009900990099009901
anomaly,Je,main_cluster_source,Je_M_source_strength,V,V_V45_strength,False,45,0.36776539744094217,0.3073781291172595,0.0297029702970297
anomaly,Je,main_cluster_source,Je_M_source_strength,Je,Je_Je46_strength,True,45,1.0,0.9999999999999999,0.009900990099009901
anomaly,Je,main_cluster_source,Je_M_source_strength,Jw,Jw_Jw41_strength,False,45,-0.011018911731829038,0.00303030303030303,0.9108910891089109
anomaly,Je,main_cluster_source,Je_M_source_strength,M,M_combined_strength,False,45,0.6923580689412151,0.6897233201581027,0.009900990099009901
anomaly,Je,main_cluster_source,Je_M_source_strength,joint_proxy,joint45_strength_proxy,False,45,0.6923580689412151,0.6897233201581027,0.009900990099009901
anomaly,Je,main_cluster_source,Je_M_source_strength,M_minus_P,M_minus_P_strength,False,45,0.7082044851568745,0.703425559947299,0.009900990099009901
anomaly,Je,main_cluster_source,Je_M_source_strength,M_minus_V,M_minus_V_strength,False,45,0.750977897915488,0.776284584980237,0.009900990099009901
