window_id,segment_id,object_A,object_B,baseline_config,branch,raw_start_idx,raw_end_idx,start_day,end_day,duration,raw_sign_type,D_mean,E_abs_mean,signed_integral,abs_integral,peak_abs_delta,classified_type,directional_bias,P_near_null,P_separation_gt_null,support_basis,null_n,null_E_median,null_E_q025,null_E_q975
W045,SEG00161,P,Je,C0_full_stage,dist,68,71,68,71,4,negative,-0.009281589906856708,0.009281589906856708,-0.03712635962742683,0.03712635962742683,0.016475700385084946,uncertain_segment,negative,0.75,0.25,same_object_reproducibility_null,2000,0.019466944367578384,0.0011172122609235564,0.07315041201092534
W045,SEG00162,P,Je,C0_full_stage,dist,72,74,72,74,3,positive,0.005864038765131936,0.005864038765131936,0.01759211629539581,0.01759211629539581,0.010790310830133598,uncertain_segment,positive,0.8445,0.1555,same_object_reproducibility_null,2000,0.020508175208508485,0.0009759069861855948,0.08118125372533624
W045,SEG00163,P,Je,C0_full_stage,pattern,4,19,4,19,16,positive,0.37290741144653694,0.37290741144653694,5.966518583144591,5.966518583144591,0.4605996547936645,A_dominant_segment,positive,0.014,0.986,same_object_reproducibility_null,2000,0.075376213094905,0.002663914862714149,0.340290441524104
W045,SEG00164,P,Je,C0_full_stage,pattern,20,23,20,23,4,negative,-0.09000825722725878,0.09000825722725878,-0.3600330289090351,0.3600330289090351,0.11909825840805821,uncertain_segment,negative,0.49,0.51,same_object_reproducibility_null,2000,0.08766911227582896,0.003698246822883799,0.3223899289109182
W045,SEG00165,P,Je,C0_full_stage,pattern,24,29,24,29,6,positive,0.07392306524131116,0.07392306524131116,0.443538391447867,0.443538391447867,0.10211995661802045,uncertain_segment,positive,0.603,0.397,same_object_reproducibility_null,2000,0.09795174138694304,0.00536899876057308,0.3641654414947232
W045,SEG00166,P,Je,C0_full_stage,pattern,30,45,30,45,16,negative,-0.5299686264765652,0.5299686264765652,-8.479498023625043,8.479498023625043,0.92765088929526,B_dominant_segment,negative,0.01,0.99,same_object_reproducibility_null,2000,0.12961357581476957,0.005959154502777375,0.43634503315898626
W045,SEG00167,P,Je,C0_full_stage,pattern,46,61,46,61,16,positive,0.2352472945251184,0.2352472945251184,3.7639567124018942,3.7639567124018942,0.4468458372283445,A_dominant_segment_tendency,positive,0.0705,0.9295,same_object_reproducibility_null,2000,0.08006636634475275,0.004415660280026143,0.3102208944644585
W045,SEG00168,P,Je,C0_full_stage,pattern,62,74,62,74,13,negative,-0.22995737598319776,0.22995737598319776,-2.989445887781571,2.989445887781571,0.5133013052968192,B_dominant_segment_tendency,negative,0.0685,0.9315,same_object_reproducibility_null,2000,0.08140394226957422,0.004097933555619423,0.2826484963219469
W045,SEG00169,P,Je,C1_buffered_stage,dist,4,18,4,18,15,negative,-0.06351010496702611,0.06351010496702611,-0.9526515745053917,0.9526515745053917,0.07859599898966116,B_dominant_segment,negative,0.0,1.0,same_object_reproducibility_null,2000,0.012629702604594254,0.0006254331274899562,0.0407369483632732
W045,SEG00170,P,Je,C1_buffered_stage,dist,19,21,19,21,3,positive,0.03156888330294817,0.03156888330294817,0.09470664990884452,0.09470664990884452,0.05187082839504357,uncertain_segment,positive,0.311,0.689,same_object_reproducibility_null,2000,0.02104269924457656,0.001104263745796443,0.07439071929036582
W045,SEG00171,P,Je,C1_buffered_stage,dist,22,43,22,43,22,negative,-0.14285849742742576,0.14285849742742576,-3.142886943403367,3.142886943403367,0.24044370541717813,B_dominant_segment,negative,0.001,0.999,same_object_reproducibility_null,2000,0.024992872451201034,0.0011658090709257257,0.08221468217938119
W045,SEG00172,P,Je,C1_buffered_stage,dist,44,55,44,55,12,positive,0.081895962086483,0.081895962086483,0.982751545037796,0.982751545037796,0.1318276430818437,A_dominant_segment_tendency,positive,0.0825,0.9175,same_object_reproducibility_null,2000,0.03079141302326762,0.0018837935141413195,0.11499157295674074
