lineage_id,lineage_day,lineage_month_day,lineage_status,lineage_strict_accepted_flag,lineage_strict_accepted_window_id,config_id,reference_config_id,sensitivity_group,changed_factor,changed_value,input_source,object,baseline_candidate_id,baseline_candidate_day,baseline_candidate_source,baseline_object_support_class,assigned_candidate_available,assignment_class,candidate_selection_basis,assigned_candidate_id,assigned_candidate_day,assigned_candidate_date,assigned_peak_score,assigned_registry_rank,object_support_class,nearest_joint_candidate_day,nearest_joint_lineage_status,nearest_joint_derived_window_id,nearest_strict_accepted_window_id,was_v10_window_conditioned_main_peak,v10_window_id_if_main,candidate_provenance_class,distance_to_lineage_day,distance_to_baseline_object_candidate,candidate_shift_class
W160,160,09-08,strict_accepted_main_window,True,W160,BASELINE,BASELINE,baseline,none,baseline,baseline_smooth9,Jw,CP005,152,V10_WINDOW_CONDITIONED_MAIN,object_weak_candidate,True,BASELINE_MAIN_CANDIDATE,baseline,CP005,152.0,08-31,11.561730035015003,5.0,object_weak_candidate,160.0,strict_accepted_main_window,W007,W160,True,W160,BASELINE_MAIN_CANDIDATE,8.0,0.0,SAME_DAY
J018_W001,18,04-19,derived_non_strict_candidate_window,False,,DET_WIDTH_16,BASELINE,detector_width,detector_width,16,baseline_smooth9,P,CP001,18,OBJECT_NATIVE_NEAREST_TO_LINEAGE,object_weak_candidate,True,PERTURBED_MATCH_TO_BASELINE_CANDIDATE_STRICT,baseline,CP001,17.0,04-18,3.94150578530354,1.0,object_weak_candidate,18.0,derived_non_strict_candidate_window,W001,,False,,BASELINE_OBJECT_NATIVE_CANDIDATE,1.0,1.0,STRICT_SHIFT_LE_2D
J018_W001,18,04-19,derived_non_strict_candidate_window,False,,DET_WIDTH_16,BASELINE,detector_width,detector_width,16,baseline_smooth9,V,CP001,16,OBJECT_NATIVE_NEAREST_TO_LINEAGE,object_weak_candidate,True,PERTURBED_SAME_AS_BASELINE_CANDIDATE_DAY,baseline,CP001,16.0,04-17,3.970004362065366,1.0,object_weak_candidate,18.0,derived_non_strict_candidate_window,W001,,False,,BASELINE_OBJECT_NATIVE_CANDIDATE,2.0,0.0,SAME_DAY
J018_W001,18,04-19,derived_non_strict_candidate_window,False,,DET_WIDTH_16,BASELINE,detector_width,detector_width,16,baseline_smooth9,H,CP001,19,OBJECT_NATIVE_NEAREST_TO_LINEAGE,object_weak_candidate,True,PERTURBED_SAME_AS_BASELINE_CANDIDATE_DAY,baseline,CP001,19.0,04-20,10.54815298826301,1.0,object_weak_candidate,18.0,derived_non_strict_candidate_window,W001,,False,,BASELINE_OBJECT_NATIVE_CANDIDATE,1.0,0.0,SAME_DAY
J018_W001,18,04-19,derived_non_strict_candidate_window,False,,DET_WIDTH_16,BASELINE,detector_width,detector_width,16,baseline_smooth9,Je,CP001,26,OBJECT_NATIVE_NEAREST_TO_LINEAGE,object_candidate,True,PERTURBED_SAME_AS_BASELINE_CANDIDATE_DAY,baseline,CP002,26.0,04-27,3.9163646516640007,2.0,object_candidate,18.0,derived_non_strict_candidate_window,W001,,False,,BASELINE_OBJECT_NATIVE_CANDIDATE,8.0,0.0,SAME_DAY
J018_W001,18,04-19,derived_non_strict_candidate_window,False,,DET_WIDTH_16,BASELINE,detector_width,detector_width,16,baseline_smooth9,Jw,CP001,41,OBJECT_NATIVE_NEAREST_TO_LINEAGE,object_candidate,True,PERTURBED_MATCH_TO_BASELINE_CANDIDATE_STRICT,baseline,CP003,42.0,05-13,7.169683048585748,3.0,object_candidate,45.0,strict_accepted_main_window,W002,W045,False,,BASELINE_OBJECT_NATIVE_CANDIDATE,24.0,1.0,STRICT_SHIFT_LE_2D
W045,45,05-16,strict_accepted_main_window,True,W045,DET_WIDTH_16,BASELINE,detector_width,detector_width,16,baseline_smooth9,P,CP003,45,V10_WINDOW_CONDITIONED_MAIN,object_strong_candidate,True,PERTURBED_SAME_AS_BASELINE_CANDIDATE_DAY,baseline,CP003,45.0,05-16,17.809129795259068,3.0,object_strong_candidate,45.0,strict_accepted_main_window,W002,W045,True,W045,BASELINE_MAIN_CANDIDATE,0.0,0.0,SAME_DAY
W045,45,05-16,strict_accepted_main_window,True,W045,DET_WIDTH_16,BASELINE,detector_width,detector_width,16,baseline_smooth9,V,CP003,45,V10_WINDOW_CONDITIONED_MAIN,object_strong_candidate,True,PERTURBED_SAME_AS_BASELINE_CANDIDATE_DAY,baseline,CP003,45.0,05-16,11.537522689450334,3.0,object_strong_candidate,45.0,strict_accepted_main_window,W002,W045,True,W045,BASELINE_MAIN_CANDIDATE,0.0,0.0,SAME_DAY
W045,45,05-16,strict_accepted_main_window,True,W045,DET_WIDTH_16,BASELINE,detector_width,detector_width,16,baseline_smooth9,H,CP002,35,V10_WINDOW_CONDITIONED_MAIN,object_candidate,True,PERTURBED_MATCH_TO_BASELINE_CANDIDATE_STRICT,baseline,CP002,36.0,05-07,6.077812362689405,2.0,object_candidate,45.0,strict_accepted_main_window,W002,W045,False,,BASELINE_OBJECT_NATIVE_CANDIDATE,9.0,1.0,STRICT_SHIFT_LE_2D
W045,45,05-16,strict_accepted_main_window,True,W045,DET_WIDTH_16,BASELINE,detector_width,detector_width,16,baseline_smooth9,Je,CP003,46,V10_WINDOW_CONDITIONED_MAIN,object_strong_candidate,True,PERTURBED_SAME_AS_BASELINE_CANDIDATE_DAY,baseline,CP004,46.0,05-17,8.435658671233387,4.0,object_strong_candidate,45.0,strict_accepted_main_window,W002,W045,True,W045,BASELINE_MAIN_CANDIDATE,1.0,0.0,SAME_DAY
