window,source_family,target_family,family_edge,n_candidate_lagged_tests,n_graph_selected,n_pcmci_plus_supported,min_q,max_abs_val
T2,Jw,Je,Jw->Je,45,0,0,0.700716466998632,0.10583601709254271
T2,Jw,P,Jw->P,105,0,0,0.700716466998632,0.10897599317346034
T2,Jw,V,Jw->V,45,0,0,0.700716466998632,0.0993890592295596
T2,P,H,P->H,140,0,0,0.700716466998632,0.10905109947790169
T2,P,Je,P->Je,105,1,0,0.700716466998632,0.12181250842283275
T2,P,Jw,P->Jw,105,0,0,0.700716466998632,0.11040635386117825
T2,V,H,V->H,60,0,0,0.700716466998632,0.10700460592825353
T2,V,Je,V->Je,45,0,0,0.700716466998632,0.10639359987807787
T2,V,Jw,V->Jw,45,0,0,0.700716466998632,0.10645770327713916
T2,V,P,V->P,105,0,0,0.700716466998632,0.11050949942179672
T3,H,Je,H->Je,60,0,0,0.6637584092593206,0.1180810363095457
T3,H,Jw,H->Jw,60,0,0,0.6637584092593206,0.11710041315443695
T3,H,P,H->P,140,0,0,0.6637584092593206,0.11910200563163786
T3,H,V,H->V,60,0,0,0.6637584092593206,0.1150246026876203
T3,Je,H,Je->H,60,1,0,0.6637584092593206,0.1561528934916299
T3,Je,Jw,Je->Jw,45,1,0,0.6637584092593206,0.14591508602636452
T3,Je,P,Je->P,105,0,0,0.6637584092593206,0.11887606426222372
T3,Je,V,Je->V,45,0,0,0.6637584092593206,0.11688919389649405
T3,Jw,H,Jw->H,60,0,0,0.6637584092593206,0.1190091744134632
T3,Jw,Je,Jw->Je,45,0,0,0.6637584092593206,0.0913359731049806
T3,Jw,P,Jw->P,105,0,0,0.6637584092593206,0.1188770774359764
T3,Jw,V,Jw->V,45,0,0,0.6637584092593206,0.10955839653173631
T3,P,H,P->H,140,0,0,0.6637584092593206,0.1187547831987239
T3,P,Je,P->Je,105,0,0,0.6637584092593206,0.11921084433931954
T3,P,Jw,P->Jw,105,0,0,0.6637584092593206,0.1193499345411731
T3,P,V,P->V,105,0,0,0.6637584092593206,0.11853650079490502
T3,V,H,V->H,60,0,0,0.6637584092593206,0.11502110371537869
T3,V,Je,V->Je,45,0,0,0.6637584092593206,0.11602086566350422
T3,V,Jw,V->Jw,45,0,0,0.6637584092593206,0.11522526226265949
T3,V,P,V->P,105,0,0,0.6637584092593206,0.11771661184469892
T4,Jw,Je,Jw->Je,45,1,1,0.00786203580898107,0.3013159794253869
T4,H,Je,H->Je,60,0,0,0.6147525187828783,0.11756112222070265
T4,H,Jw,H->Jw,60,0,0,0.6147525187828783,0.12631868265277918
