window_id,object_A,object_B,tau_sync_primary,tau_sync_q50,tau_sync_q75,tau_sync_q90,delta_observed,delta_median,delta_q025,delta_q975,P_within_tau_q50,P_within_tau_q75,P_within_tau_q90,synchrony_decision,tau_quality_flag,target_name,phase_group,phase_group_size,years_in_phase_group,group_role
W081,V,Je,3.0,1.0,3.0,10.0,6.0,3.0,-10.0,9.0,0.04,0.192,0.976,synchrony_indeterminate,normal,W081_Je_earlier_minus_Jw_earlier,target_mode_high,15,1979;1980;1984;1986;1990;1997;2001;2003;2004;2006;2007;2010;2011;2012;2013,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W081,V,Jw,3.0,1.0,3.0,10.0,6.0,5.0,-8.0,10.0,0.028,0.206,0.988,synchrony_indeterminate,normal,W081_Je_earlier_minus_Jw_earlier,target_mode_high,15,1979;1980;1984;1986;1990;1997;2001;2003;2004;2006;2007;2010;2011;2012;2013,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W081,H,Je,3.0,1.0,3.0,10.0,12.0,4.0,-12.0,13.0,0.2,0.368,0.64,synchrony_indeterminate,normal,W081_Je_earlier_minus_Jw_earlier,target_mode_high,15,1979;1980;1984;1986;1990;1997;2001;2003;2004;2006;2007;2010;2011;2012;2013,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W081,H,Jw,3.0,1.0,3.0,10.0,12.0,11.0,-6.0,14.0,0.116,0.222,0.446,synchrony_indeterminate,normal,W081_Je_earlier_minus_Jw_earlier,target_mode_high,15,1979;1980;1984;1986;1990;1997;2001;2003;2004;2006;2007;2010;2011;2012;2013,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W081,Je,Jw,3.0,1.0,3.0,10.0,0.0,1.0,-10.0,14.0,0.456,0.62,0.714,synchrony_indeterminate,normal,W081_Je_earlier_minus_Jw_earlier,target_mode_high,15,1979;1980;1984;1986;1990;1997;2001;2003;2004;2006;2007;2010;2011;2012;2013,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W081,P,V,12.0,4.0,12.0,17.0,-6.0,-1.0,-18.0,17.55000000000001,0.5871743486973948,0.7975951903807615,0.9458917835671342,synchrony_indeterminate,broad_resolution_warning,W081_Je_earlier_minus_Jw_earlier,target_mode_low,15,1982;1987;1988;1989;1994;1995;1998;2014;2015;2016;2017;2019;2020;2021;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W081,P,H,12.0,4.0,12.0,17.0,13.0,-2.0,-17.0,15.0,0.46169354838709675,0.8205645161290323,0.9717741935483871,synchrony_tendency,broad_resolution_warning,W081_Je_earlier_minus_Jw_earlier,target_mode_low,15,1982;1987;1988;1989;1994;1995;1998;2014;2015;2016;2017;2019;2020;2021;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W081,P,Je,12.0,4.0,12.0,17.0,14.0,4.0,-9.0,16.0,0.498,0.788,0.984,synchrony_indeterminate,broad_resolution_warning,W081_Je_earlier_minus_Jw_earlier,target_mode_low,15,1982;1987;1988;1989;1994;1995;1998;2014;2015;2016;2017;2019;2020;2021;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W081,P,Jw,12.0,4.0,12.0,17.0,4.0,-1.0,-14.0,13.0,0.492,0.93,0.994,synchrony_tendency,broad_resolution_warning,W081_Je_earlier_minus_Jw_earlier,target_mode_low,15,1982;1987;1988;1989;1994;1995;1998;2014;2015;2016;2017;2019;2020;2021;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W081,V,H,12.0,4.0,12.0,17.0,19.0,-1.0,-20.0,16.649999999999977,0.5595959595959596,0.802020202020202,0.9434343434343434,synchrony_tendency,broad_resolution_warning,W081_Je_earlier_minus_Jw_earlier,target_mode_low,15,1982;1987;1988;1989;1994;1995;1998;2014;2015;2016;2017;2019;2020;2021;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W081,V,Je,12.0,4.0,12.0,17.0,20.0,3.0,-16.099999999999998,21.0,0.503006012024048,0.7214428857715431,0.8537074148296593,synchrony_indeterminate,broad_resolution_warning,W081_Je_earlier_minus_Jw_earlier,target_mode_low,15,1982;1987;1988;1989;1994;1995;1998;2014;2015;2016;2017;2019;2020;2021;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W081,V,Jw,12.0,4.0,12.0,17.0,10.0,-3.0,-17.0,14.0,0.35070140280561124,0.8597194388777555,0.969939879759519,synchrony_tendency,broad_resolution_warning,W081_Je_earlier_minus_Jw_earlier,target_mode_low,15,1982;1987;1988;1989;1994;1995;1998;2014;2015;2016;2017;2019;2020;2021;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W081,H,Je,12.0,4.0,12.0,17.0,1.0,4.0,-14.0,21.0,0.4274193548387097,0.6754032258064516,0.8870967741935484,synchrony_indeterminate,broad_resolution_warning,W081_Je_earlier_minus_Jw_earlier,target_mode_low,15,1982;1987;1988;1989;1994;1995;1998;2014;2015;2016;2017;2019;2020;2021;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W081,H,Jw,12.0,4.0,12.0,17.0,-9.0,-2.0,-13.625,16.625,0.4032258064516129,0.8729838709677419,0.9919354838709677,synchrony_tendency,broad_resolution_warning,W081_Je_earlier_minus_Jw_earlier,target_mode_low,15,1982;1987;1988;1989;1994;1995;1998;2014;2015;2016;2017;2019;2020;2021;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W081,Je,Jw,12.0,4.0,12.0,17.0,-10.0,-8.0,-16.525,10.0,0.178,0.88,0.978,synchrony_tendency,broad_resolution_warning,W081_Je_earlier_minus_Jw_earlier,target_mode_low,15,1982;1987;1988;1989;1994;1995;1998;2014;2015;2016;2017;2019;2020;2021;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W081,P,V,3.0,1.0,3.0,6.0,-5.0,-3.0,-11.0,3.0,0.274,0.604,0.87,synchrony_indeterminate,normal,W081_Je_earlier_minus_Jw_earlier,target_mode_mid,15,1981;1983;1985;1991;1992;1993;1996;1999;2000;2002;2005;2008;2009;2018;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W081,P,H,3.0,1.0,3.0,6.0,-3.0,-3.0,-12.0,1.5249999999999773,0.126,0.51,0.904,synchrony_indeterminate,normal,W081_Je_earlier_minus_Jw_earlier,target_mode_mid,15,1981;1983;1985;1991;1992;1993;1996;1999;2000;2002;2005;2008;2009;2018;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W081,P,Je,3.0,1.0,3.0,6.0,-4.0,-4.0,-12.549999999999999,6.0,0.10821643286573146,0.374749498997996,0.8356713426853707,synchrony_indeterminate,normal,W081_Je_earlier_minus_Jw_earlier,target_mode_mid,15,1981;1983;1985;1991;1992;1993;1996;1999;2000;2002;2005;2008;2009;2018;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
