window_id,object_A,object_B,A_peak_day,B_peak_day,delta_observed,delta_median,delta_q025,delta_q975,P_A_earlier,P_B_earlier,P_same_day,peak_order_decision,target_name,phase_group,phase_group_size,years_in_phase_group,group_role,targeted_best_direction,targeted_best_prob,targeted_order_level
W081,P,Jw,82.0,76.0,-6.0,-6.0,-14.0,1.5249999999999773,0.05,0.922,0.028,B_peak_earlier_tendency,W081_Je_earlier_minus_Jw_earlier,target_mode_mid,15,1981;1983;1985;1991;1992;1993;1996;1999;2000;2002;2005;2008;2009;2018;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
W081,V,H,77.0,79.0,2.0,-1.0,-8.0,8.0,0.284,0.562,0.154,B_peak_earlier_tendency,W081_Je_earlier_minus_Jw_earlier,target_mode_mid,15,1981;1983;1985;1991;1992;1993;1996;1999;2000;2002;2005;2008;2009;2018;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
W081,V,Je,77.0,78.0,1.0,-1.0,-12.0,8.550000000000011,0.3486973947895792,0.5571142284569138,0.09418837675350701,B_peak_earlier_tendency,W081_Je_earlier_minus_Jw_earlier,target_mode_mid,15,1981;1983;1985;1991;1992;1993;1996;1999;2000;2002;2005;2008;2009;2018;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
W081,V,Jw,77.0,76.0,-1.0,-2.0,-13.0,7.524999999999977,0.272,0.64,0.088,B_peak_earlier_tendency,W081_Je_earlier_minus_Jw_earlier,target_mode_mid,15,1981;1983;1985;1991;1992;1993;1996;1999;2000;2002;2005;2008;2009;2018;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
W081,H,Je,79.0,78.0,-1.0,-1.0,-12.0,10.550000000000011,0.3366733466933868,0.5250501002004008,0.13827655310621242,B_peak_earlier_tendency,W081_Je_earlier_minus_Jw_earlier,target_mode_mid,15,1981;1983;1985;1991;1992;1993;1996;1999;2000;2002;2005;2008;2009;2018;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
W081,H,Jw,79.0,76.0,-3.0,-2.0,-11.0,8.0,0.284,0.634,0.082,B_peak_earlier_tendency,W081_Je_earlier_minus_Jw_earlier,target_mode_mid,15,1981;1983;1985;1991;1992;1993;1996;1999;2000;2002;2005;2008;2009;2018;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
W081,Je,Jw,78.0,76.0,-2.0,-2.0,-12.0,9.0,0.24048096192384769,0.6432865731462926,0.11623246492985972,B_peak_earlier_tendency,W081_Je_earlier_minus_Jw_earlier,target_mode_mid,15,1981;1983;1985;1991;1992;1993;1996;1999;2000;2002;2005;2008;2009;2018;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
W081,P,V,85.0,84.0,-1.0,-2.0,-5.0,1.5249999999999773,0.042,0.852,0.106,B_peak_earlier_tendency,W081_Jw_late_minus_early_peak_influence,target_mode_high,15,1980;1984;1988;1991;1994;1997;1998;2000;2001;2004;2005;2010;2011;2012;2018,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
W081,P,H,85.0,79.0,-6.0,-5.0,-11.0,2.5249999999999773,0.038,0.944,0.018,B_peak_earlier_tendency,W081_Jw_late_minus_early_peak_influence,target_mode_high,15,1980;1984;1988;1991;1994;1997;1998;2000;2001;2004;2005;2010;2011;2012;2018,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
W081,P,Je,85.0,86.0,1.0,0.0,-9.524999999999999,5.0,0.476,0.394,0.13,peak_order_unresolved,W081_Jw_late_minus_early_peak_influence,target_mode_high,15,1980;1984;1988;1991;1994;1997;1998;2000;2001;2004;2005;2010;2011;2012;2018,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
