day,date_mmdd,lat,shape_profile_value
67,06-07,31.0,0.2733910291616338
67,06-07,33.0,0.7955597978178772
67,06-07,35.0,1.0526811557529063
67,06-07,37.0,1.01898651944835
67,06-07,39.0,0.71340568524153
67,06-07,41.0,0.25094670508531636
67,06-07,43.0,-0.21888192099796278
67,06-07,45.0,-0.6279685223818429
68,06-08,25.0,-1.7055913377655034
68,06-08,27.0,-1.0755983819659962
68,06-08,29.0,-0.39688815678056755
68,06-08,31.0,0.2579971032169554
68,06-08,33.0,0.7869674118174997
68,06-08,35.0,1.0455212297697147
68,06-08,37.0,1.0130822295585977
68,06-08,39.0,0.7235186086580323
68,06-08,41.0,0.2773683751952974
68,06-08,43.0,-0.19125154848467937
68,06-08,45.0,-0.6138936636938077
69,06-09,25.0,-1.7341091868446916
69,06-09,27.0,-1.1000285035831208
69,06-09,29.0,-0.41655157541148863
69,06-09,31.0,0.24885920876608236
69,06-09,33.0,0.7833297223639006
69,06-09,35.0,1.0449665597855209
69,06-09,37.0,1.0139800460854596
69,06-09,39.0,0.7324694544093816
69,06-09,41.0,0.3023000745156284
69,06-09,43.0,-0.15950856336916985
69,06-09,45.0,-0.5860735566548224
70,06-10,25.0,-1.7654894945595923
70,06-10,27.0,-1.1274781152097673
70,06-10,29.0,-0.4374188106424272
70,06-10,31.0,0.23517459459140394
70,06-10,33.0,0.7775083768769349
70,06-10,35.0,1.042968430936198
70,06-10,37.0,1.0239280423735861
70,06-10,39.0,0.754420637492773
70,06-10,41.0,0.32509756539392165
70,06-10,43.0,-0.13223071713262965
70,06-10,45.0,-0.5578478968662905
